patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-3C-AAAU,0.3163022,-0.07045509,-0.31221935,0.46280742,0.30955163,-0.17763965,-0.08756099,0.40772927,0.54485935,-0.11120757,-0.013339442,-0.28565168,-0.02923263,0.8683226,-0.081753574,-0.25479138,0.6876994,0.3900591,-0.087335385,-0.2309799,0.3222115,0.3850793,0.5473716,0.29401428,1.0852792,0.5759183,0.35306925,0.2323744,0.032155804,0.48549977,-0.2739708,0.98170596,0.15660904,0.6690537,-0.080916874,0.30489203,-0.15380147,0.2574239,-0.22340195,0.37813282,0.33727953,-0.09228914,-0.17652512,0.4442762,0.4069496,0.738114,0.8347638,0.12256695,0.46616107,0.622776,0.4806422,-0.20244808,0.3319402,0.81081456,0.70770204,0.6235622,-0.33868933,1.090818,0.39082724,-0.09662953,0.91491634,1.4392589,0.8776608,0.2244855
TCGA-3C-AALI,0.69297075,-0.06579518,-0.32791665,0.14841497,0.18976063,-0.22791465,-0.08880397,0.40651333,1.0387336,-0.2175757,0.11258384,-0.20644155,-0.016346162,0.9624146,-0.14869793,-0.35686752,0.62178105,0.21631506,-0.09718224,-0.20476034,0.92192715,0.3990139,1.4718965,0.09243873,0.83612394,0.37239993,0.40207493,0.65810555,0.99444425,0.17679816,-0.20252095,0.7993737,0.36746466,0.8356382,-0.123350196,0.6650698,-0.19852804,0.90146345,-0.23746367,0.42936334,0.5840697,-0.03754997,-0.20517622,0.7583183,-0.012852189,0.23432268,0.15525201,-0.022832373,0.9545867,0.38453555,0.9089338,-0.14726841,0.4295115,1.1381845,0.52673596,0.9919992,-0.37377065,0.48385984,0.22611907,-0.30147833,1.0346187,0.7050989,0.9335857,0.23004688
TCGA-3C-AALJ,0.6174129,-0.13038816,-0.25925836,0.4909545,0.36014676,-0.27148715,-0.08868509,0.8676203,0.8754142,-0.22273138,0.2433492,-0.31749484,-0.04750527,1.2448093,-0.20418994,-0.46691504,0.75200415,0.4211282,-0.104391955,-0.2737479,0.6321737,0.57146376,1.4650667,0.5853677,1.8236228,0.50343764,0.5233649,0.4450557,1.0771168,0.40880573,-0.3240978,1.2578956,0.39926982,1.0274395,-0.14759849,0.9183677,-0.20492642,1.1535904,-0.33120665,0.64841,0.8615061,-0.11438817,-0.27537146,0.92889977,-0.017706554,0.56308526,0.4403306,0.45213562,0.9087959,0.63828814,0.8533538,-0.1857575,0.74540323,0.8771627,0.925643,1.0107347,-0.46397176,0.84363735,0.6714584,-0.4333198,1.352911,0.7533239,1.1085494,0.43348086
TCGA-3C-AALK,0.47902596,-0.123481385,-0.39187238,0.92538565,0.6640257,-0.2838031,-0.11282436,0.9798303,0.8978954,-0.24354346,0.5100837,-0.2816095,-0.0651173,0.7968698,-0.16849135,-0.477351,0.50027347,0.45601875,-0.11629957,-0.3138754,0.6911998,0.62348855,1.2242643,0.7953039,1.5740093,0.80749476,0.6734254,0.57665133,0.91423434,0.63679373,-0.31198788,1.4312415,0.4755035,1.1530621,-0.093398325,0.7589187,-0.21592608,0.8272395,-0.33723718,0.81438774,0.9980582,-0.25037944,-0.30207816,0.7769838,-0.049074344,0.76207113,1.1034173,0.87721276,0.78587025,0.92678446,0.6204146,-0.19969857,0.6178811,1.0053334,0.6047277,1.3406109,-0.3476986,1.3103838,0.5466478,-0.44722793,1.1456678,1.0272956,1.3521235,0.7038176
TCGA-4H-AAAK,0.41103864,-0.07763877,-0.38343233,0.7852545,0.40949157,-0.17101596,-0.08699228,0.3947029,0.58057886,-0.16476472,0.065088406,-0.28823718,-0.023918275,0.7205306,-0.07234655,-0.27158797,0.6126538,0.3465163,-0.09248074,-0.2331169,0.5572669,0.505028,0.87951005,0.6807231,1.0761365,0.81359947,0.2172979,0.52455944,0.1923961,0.35501793,-0.25259584,1.1364015,0.06489236,0.70108837,-0.09739457,0.30233458,-0.17578588,0.3019531,-0.25417528,0.25598225,0.57881653,-0.20172237,-0.2741439,0.5142315,0.16280134,0.8089306,1.2282896,0.47324485,0.38852376,0.61932904,0.28576058,-0.2010634,0.53114986,0.7483415,0.41661653,0.9242509,-0.32117677,1.1002679,0.46990392,-0.10916088,0.5568083,1.1562881,1.1489071,0.6800089
TCGA-5L-AAT0,0.22300297,-0.064165585,-0.36935395,0.87357306,0.33179486,-0.188385,-0.09819984,0.64300203,0.5535806,-0.18639515,0.30608654,-0.29390937,-0.019655516,0.39986193,-0.082779296,-0.27949855,0.41880092,0.26816386,-0.12411405,-0.20736031,0.47386158,0.41565916,0.82288814,0.57810515,1.0104036,0.6315676,0.23707254,0.1966677,0.2520989,0.49573615,-0.232317,1.1965327,0.2139473,0.7660197,-0.07561754,0.12284096,-0.18549147,0.19886449,-0.23634024,0.4557007,0.67936254,-0.16233145,-0.20414281,0.3293994,-0.00798889,0.91563064,1.4333713,0.40442473,0.50305593,0.69479495,0.23215851,-0.18646866,0.5635107,0.7619285,0.41182476,0.9436718,-0.3186597,1.3070438,0.4215763,-0.108572364,0.71049,1.2567793,1.1476729,0.5749445
TCGA-5L-AAT1,0.4317106,-0.14773665,-0.34945866,0.9079647,0.4089092,-0.23214436,-0.09335836,0.6368938,0.86223656,-0.20089224,0.24897394,-0.27052757,-0.022351777,0.7973513,-0.120580666,-0.38468957,0.34119734,0.73062956,-0.10774578,-0.29874378,0.48820692,0.6260156,1.1122966,0.5615378,1.6725079,0.54554796,0.6401839,0.63861233,0.6581875,0.63323766,-0.32650992,1.2814633,0.04805634,0.9752227,-0.08269056,0.48066196,-0.22094579,0.34502888,-0.34323677,0.6221362,1.0267925,-0.26433006,-0.23836902,0.8528364,-0.03489856,0.7994196,1.2243247,0.79655784,0.7651737,0.6073218,0.57568324,-0.19248067,0.60002166,0.8197025,0.50577104,1.0443127,-0.37921053,1.1821356,0.53505045,-0.33301404,0.9665785,1.3011668,1.225686,0.47622907
TCGA-5T-A9QA,0.88856655,-0.19281249,-0.38594258,1.1240908,0.93998116,-0.41762,-0.11255449,1.103832,1.1530919,-0.33812752,0.78229135,-0.3389621,-0.08253993,1.475346,-0.27847525,-0.65502214,0.67037076,0.8266385,-0.094429255,-0.4497511,0.573129,0.8870119,2.0025978,1.2479501,2.0444498,0.96370876,0.7179716,1.0764867,1.5548085,0.6668937,-0.390344,1.4165423,0.6106488,1.3413833,-0.1413099,0.9106918,-0.2632383,1.8531835,-0.40860543,1.190597,1.2710023,-0.30384535,-0.4301254,1.1615449,-0.069150485,0.69731975,1.1707888,1.5699233,1.006107,1.3545583,0.9835662,-0.19953988,0.9019267,1.2584168,1.123856,1.7591321,-0.37880418,1.2629058,1.3488683,-0.66628355,1.7317494,0.8958196,1.8094733,0.49458334
TCGA-A1-A0SB,-0.0015003885,0.31095174,-0.31500837,0.78703564,0.5921749,-0.11179619,-0.09165969,0.97521794,0.35467535,-0.09868958,0.39330658,-0.0960299,-0.037813656,-0.011260936,-0.06504046,-0.15967168,-0.004109653,-0.027677951,-0.13147402,-0.050538164,0.26374358,-0.01081261,0.6345591,0.73966646,-0.03028425,1.0189347,-0.010188686,0.31495538,-0.0037308016,0.15515655,-0.06392157,0.92087173,0.56095135,0.3752576,0.17001805,-0.011520558,-0.10505785,0.73137206,-0.11814139,-0.0005112637,0.25764406,-0.04707914,-0.19276035,-0.03301064,-0.037772212,0.5801265,0.8525131,0.5810257,0.2800311,1.0193754,0.59412295,-0.054740973,0.074198134,0.69811076,0.1460566,0.42866117,-0.012817255,0.83507854,0.24591276,0.65440756,0.29334617,0.8207971,0.95351356,1.1997607
TCGA-A1-A0SE,0.2802265,-0.0436993,-0.40212518,0.87547433,0.28950167,-0.19048913,-0.11917607,0.8240288,0.7958579,-0.17420606,0.07562426,-0.31331703,-0.03896464,0.47653675,-0.08189078,-0.28947628,0.5630388,0.26387024,-0.11855654,-0.19220696,0.46240887,0.5041783,0.8837197,0.5683464,1.0557828,0.90827465,0.28064984,0.16115111,0.23354283,0.5823715,-0.23472755,1.2209107,0.41291055,0.8068019,-0.07214561,0.14622425,-0.21245174,0.4364226,-0.24891584,0.42335212,0.5902475,-0.14212604,-0.23680477,0.34387267,0.12727803,0.9248529,1.1929476,0.1796383,0.33263525,0.6442539,0.34983832,-0.1945056,0.3609595,0.96127445,0.42282078,0.91123194,-0.33867326,1.4095509,0.37789115,-0.08577346,0.8713769,1.5122755,1.3603889,0.7070674
