patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-3C-AAAU,0.3379444,0.49809,0.6086925,0.13603064,0.36294636,0.42237654,-0.006909717,-0.024338096,0.7936592,0.38212663,0.056311663,0.38198614,0.17170417,0.1915977,0.38906747,-0.06181419,0.27865162,0.5142082,0.29782423,0.19000152,0.2914075,0.19980201,0.43470544,0.4080579,0.5150712,0.5867087,0.4158939,0.4162527,0.4777668,0.44634292,0.658882,0.6456926,0.019184187,0.4623619,-0.011833794,0.52801716,0.2948751,0.20204285,0.436089,0.26307547,0.29302302,0.46075135,0.7072526,-0.018903524,0.12141036,0.6505592,-0.004913377,0.16283093,-0.0021633513,-0.0034288168,0.13503633,0.34963554,0.38137236,0.20173073,0.3520159,0.17679228,0.14035323,0.41199338,0.496367,0.32921997,0.29536778,0.20266049,0.23493472,0.14703968
TCGA-3C-AALI,0.28061652,0.3688737,0.3672019,0.21445954,0.23932314,0.29904646,-0.0042415196,-0.012934639,0.34585297,0.24134073,0.22149171,0.3239711,0.19179282,0.154453,0.16107695,-0.007582837,0.2268385,0.2703172,0.2584414,0.19048202,0.069523335,0.2840138,0.24399993,0.15949163,0.1573763,0.2940118,0.16641061,0.29180545,0.15862873,0.32838896,0.29381803,0.30747363,0.07045174,0.16911153,-0.0138404695,0.25961012,0.20056099,0.15678,0.14368346,0.20564274,0.17914534,0.2498182,0.22131534,-0.033723004,0.11832758,0.09235726,0.1358167,0.26003247,0.23179403,0.11167612,0.12841168,0.27253693,0.13196564,0.2799905,0.16432282,0.14046517,0.14545396,0.21901757,0.12879524,0.16072065,0.14448653,0.07926184,0.33529145,0.16099432
TCGA-3C-AALJ,0.27344224,0.3441991,0.43886802,0.2391561,0.2862577,0.38644153,-0.01156899,-0.012005663,0.37545893,0.3340681,0.19093281,0.32226765,0.20643672,0.11943777,0.18932927,-0.013475758,0.27495125,0.2623052,0.3274446,0.22299272,0.209085,0.3118336,0.32945427,0.22261941,0.23584573,0.34921983,0.24724159,0.37860927,0.24446285,0.2925158,0.27276075,0.36549404,0.099076405,0.39306712,-0.0072186026,0.2480521,0.21895917,0.23059657,0.27998796,0.28219128,0.29282418,0.264356,0.29024115,-0.039843086,0.17065406,0.15614763,0.15905127,0.24687764,0.2707468,0.030365406,0.19694492,0.2055666,0.18503347,0.22572756,0.3226919,0.18707088,0.21836337,0.24699488,0.20832661,0.35801393,0.15105376,0.0073250383,0.34060478,0.2603383
TCGA-3C-AALK,0.19019198,0.28804377,0.3158687,0.1338614,0.29323846,0.3248613,-0.008871677,-0.009509386,0.21931541,0.27579072,0.28624997,0.0949979,0.25109655,0.17577867,0.100748494,-0.0017392321,0.29157692,0.2661428,0.21691021,0.1568453,0.12300302,0.30474827,0.24621028,0.20228115,0.19770402,0.30156052,0.11350393,0.33276737,0.38296098,0.21293354,0.18999946,0.28992787,0.14681976,0.2211319,-0.00544579,0.32491434,0.19735137,0.32627845,0.16925326,0.2381391,0.21911265,0.1826042,0.16524427,-0.026427636,0.14277315,0.10623953,0.120512836,0.32131574,0.16668521,0.013401389,0.107783705,0.16048396,0.24896628,0.14090079,0.16200629,0.14273188,0.15347677,0.32051748,0.07876849,0.24357337,0.07334458,0.06962622,0.3178361,0.23535065
TCGA-4H-AAAK,0.15063384,0.14265864,0.29920775,0.15575577,0.23872712,0.27075246,-0.0122848535,-0.008888228,0.13496631,0.2101528,0.24725491,0.16550532,0.27599204,0.1579893,0.13532065,-0.0041562696,0.1573763,0.25365812,0.14391139,0.18078251,0.08012068,0.3181944,0.15469983,0.12526298,0.1965408,0.13556078,0.13105202,0.2474961,0.24643448,0.21916455,0.10223654,0.23696168,0.13985215,0.05689786,-0.002098269,0.11965646,0.15680626,0.3538542,0.124991976,0.22078328,0.08244701,0.1607136,0.19072998,-0.030160487,0.11724194,0.1495915,0.12152123,0.21281259,0.1544131,0.08023678,0.15721522,0.18878962,0.16369438,0.08227745,0.039847706,0.09597109,0.14638364,0.2504259,0.031505235,0.23784482,0.08654785,0.07071478,0.27154216,0.28258017
TCGA-5L-AAT0,0.11211313,0.22857405,0.2514164,0.24370256,0.23211163,0.21068469,-0.012184213,-0.011466849,0.07149638,0.14047098,0.16473539,0.22970623,0.24297088,0.14882013,0.115923375,-0.003963304,0.19818816,0.25742415,0.2411035,0.18016432,0.16263567,0.34412804,0.3099504,0.1171438,0.2795914,0.14853069,0.13753848,0.14936548,0.23782918,0.21862248,0.12827474,0.3055898,0.18905969,0.1692354,-0.0006975636,0.18051313,0.2063052,0.30437818,0.08737137,0.18792883,0.26818374,0.24254157,0.26877853,-0.036271073,0.18059367,0.15198602,0.078051746,0.2288037,0.13458493,0.02628124,0.112595096,0.20190167,0.19918936,0.083071366,0.0819439,0.13604903,0.15207547,0.2524208,0.11255385,0.28438556,0.08195812,0.076989,0.28376707,0.22982685
TCGA-5L-AAT1,0.25475872,0.37799737,0.2524118,0.18736474,0.3295607,0.27390683,-0.010380987,-0.01596897,0.15525663,0.29998517,0.38291967,0.10560967,0.24286193,0.14875828,0.026047435,0.023888268,0.36919647,0.28896767,0.28944087,0.113010556,0.196951,0.2922842,0.10391022,0.19032803,0.047157522,0.30660486,0.17240755,0.26594248,0.22936314,0.2644422,0.3010638,0.2927463,0.15973027,0.26422974,-0.0015370585,0.36159408,0.23731363,0.4942862,0.06909532,0.2978831,0.19158751,0.2051054,0.28679752,-0.02954056,0.17185017,-0.0019133252,-0.0006946449,0.36722842,0.20007764,0.0138351545,0.15604912,0.14980215,0.30483887,0.21217683,0.07665631,0.06564619,0.010710313,0.43020442,-0.0021546062,0.23543733,0.085960776,0.016676858,0.27068985,0.18637002
TCGA-5T-A9QA,0.057429485,0.42334452,0.34694085,0.28696138,0.4872378,0.48769107,-0.020092785,-0.014469862,0.23156801,0.139377,0.2958689,0.13878858,0.34459394,0.16268796,0.20714049,0.010172419,0.4852333,0.3897104,0.16204587,0.15925944,0.2792509,0.35172603,0.3682829,0.29806456,0.27733377,0.23345995,0.2546038,0.31797153,0.2678757,0.31262022,0.25901404,0.42533028,0.15515828,0.13951506,-0.011952968,0.7212452,0.326056,0.1954462,0.24265721,0.29923838,0.5047953,0.61643857,0.10895854,-0.055408478,0.121945195,0.29680017,0.14607657,0.39906043,0.30424413,0.08344657,0.228177,0.25588626,0.3203373,0.40415952,0.08477822,0.2590341,0.40311477,0.4379862,0.26400968,0.32401118,0.1617772,0.17737368,0.38461152,0.25628227
TCGA-A1-A0SB,0.1630239,0.46991274,0.659578,0.15549682,0.29950082,0.0927599,-0.06797363,-0.039138313,0.5776097,0.6505243,0.21415024,0.1243379,0.2639569,0.7551965,0.15358806,-0.0069265696,0.46788353,0.19283321,0.3619468,0.04400593,0.55521816,0.53757536,0.9028672,0.1736755,0.5255603,0.72264,0.5449932,0.3879149,0.73196673,0.80351186,-0.010727486,0.3579458,0.46238023,0.29965094,-0.0037073717,0.8496968,0.019988265,1.1410797,0.88275504,0.2661737,0.11488244,0.768189,0.6819063,-0.0581131,0.24307755,0.5233675,0.4399521,0.60211027,0.45136806,0.3595079,0.6361695,0.2048371,0.6119591,0.3710277,0.49698865,1.1027466,0.044293195,0.5587649,1.0039817,0.90810454,0.23678496,0.7822132,0.19215551,0.8226739
TCGA-A1-A0SE,0.18417063,0.22421496,0.2954763,0.18681237,0.22665693,0.21917877,-0.015940761,-0.024993254,0.08536959,0.13802591,0.3177421,0.20094234,0.3334025,0.10551052,0.29240507,-0.0049417275,0.17906204,0.29292464,0.30593702,0.12207627,0.25872478,0.29146132,0.26922226,0.14986399,0.45565042,0.1689651,0.121841,0.20757598,0.31233418,0.26144922,0.16395599,0.382046,0.215228,0.18185711,-0.005466424,0.21116476,0.1265573,0.29915643,0.061823435,0.22823681,0.27118254,0.2726441,0.3459813,-0.035662662,0.21566606,0.30328712,0.16070902,0.2501936,0.29555053,0.085905224,0.13732646,0.27516407,0.2913017,0.2162126,0.18916176,0.1862328,0.36096534,0.24133849,0.42089888,0.20590377,0.1591355,0.09163659,0.20895061,0.23989199
