patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-3C-AAAU,0.22788219,0.63037634,0.5059303,-0.18135358,0.08875233,0.16223568,0.36800194,0.16170593,-0.08728875,-0.117028154,-0.08554193,0.27128133,-0.15103598,-0.07521992,0.20673923,0.40377247,0.3370145,-0.13867824,0.28511092,0.87055147,-0.14289843,0.51040155,-0.03964361,0.4258438,-0.1024604,-0.06554707,0.4832204,-0.05702262,-0.12866494,0.38991404,0.26591608,0.41902202,0.56249326,-0.09128434,-0.098281525,0.4794653,-0.154743,0.61081576,0.6092802,0.5090736,0.41368195,0.19682717,0.45723906,0.53546983,0.28073925,0.71937525,-0.15815851,-0.11580272,0.37328383,-0.030813405,-0.054294903,-0.064624585,-0.15600684,0.25712067,0.3032788,0.55803823,-0.043037374,0.15413204,0.5024271,-0.035336792,0.57218075,0.98790675,0.1732738,-0.089001946
TCGA-3C-AALI,0.35116777,0.37260312,0.69994247,-0.15977004,0.14673632,0.14730152,0.52207863,0.21303521,-0.07314673,-0.111492686,-0.032856528,0.30508605,-0.13562284,-0.085418046,0.12837106,0.1869071,0.27413705,-0.17332752,0.4291481,1.0235419,-0.15243517,0.534928,-0.02575612,0.4315214,-0.10494604,-0.058828052,0.32402366,-0.11687135,-0.15991524,0.5558361,0.33414945,0.27650547,0.595632,-0.08273998,-0.087862305,0.59407276,-0.12441435,0.62043047,0.3921701,0.801707,0.6657224,0.44484684,0.33862796,0.615451,0.6530215,0.6059954,-0.109307006,-0.103093795,0.4498818,-0.059105493,-0.010488694,-0.038924944,-0.19968708,0.13766961,0.24366671,0.6425508,-0.039615035,0.34306282,0.2519077,-0.018541744,0.40346557,1.0431348,0.31413352,-0.11452992
TCGA-3C-AALJ,0.45218208,0.37701428,0.57475686,-0.17311965,0.25994012,0.2646899,0.36371025,0.27958226,-0.041775938,-0.1257401,-0.05341552,0.4199668,-0.14282428,-0.065094925,0.21122454,0.20960301,0.2056314,-0.17566001,0.35798958,0.86415356,-0.14175193,0.3719544,-0.043727677,0.56702644,-0.09870676,-0.0556645,0.325284,-0.12400826,-0.1600223,0.5223185,0.32945704,0.22681905,0.5168987,-0.074278,-0.08090226,0.49341065,-0.13356991,0.45191962,0.38855264,0.68717307,0.58808947,0.40166664,0.44251224,0.49128926,0.5509575,0.72379476,-0.12684606,-0.091428116,0.42804265,-0.05373305,-0.00230986,-0.039905973,-0.2073326,0.1646736,0.30748582,0.37813526,-0.043008156,0.5598613,0.37255073,-0.034386083,0.5332503,0.7702214,0.25746933,-0.1033258
TCGA-3C-AALK,0.22375937,0.19503917,0.44307047,-0.15512003,0.1919729,0.14133318,0.46481395,0.19764522,-0.03620046,-0.10710988,-0.013623858,0.10283748,-0.13068217,-0.0573575,0.12881424,0.22356199,0.16146779,-0.13209812,0.39365208,0.8071048,-0.12806031,0.39391336,-0.026627664,0.49850288,-0.08884179,-0.046798192,0.38324082,-0.04847843,-0.119153455,0.4782631,0.2903441,0.14378762,0.5023229,-0.06766098,-0.075291,0.26072934,-0.11561296,0.5200574,0.37405035,0.5201271,0.4708974,0.1508996,0.3490449,0.29550147,0.32980862,0.49835235,-0.09836313,-0.07186436,0.4123749,-0.04082608,-0.008322704,-0.027483014,-0.1612272,0.08613153,0.2852437,0.1783888,-0.040000357,0.2194193,0.3676195,-0.023539446,0.35544536,0.53528637,0.25595966,-0.061558034
TCGA-4H-AAAK,0.23424448,0.37010652,0.36407927,-0.18968527,0.17617023,0.16501036,0.4083444,0.27402315,-0.047853578,-0.10881044,-0.03787073,0.04784286,-0.1502911,-0.04789728,0.13757773,0.31040323,0.092833474,-0.16119209,0.4132607,0.8032733,-0.13460173,0.41805688,-0.023538178,0.48269776,-0.084669866,-0.052349556,0.44132477,-0.06324705,-0.1258248,0.4423339,0.30285168,0.24934986,0.5266805,-0.07423543,-0.080523334,0.37458476,-0.12890087,0.41482246,0.40688595,0.5330165,0.40780422,0.19403674,0.36702526,0.2682672,0.30457368,0.69875467,-0.10526817,-0.099706255,0.36900052,-0.033328805,-0.005872337,-0.038174383,-0.16078053,0.3192632,0.37187016,0.24257967,-0.038494397,0.3459622,0.3317908,-0.030778363,0.36903092,0.6790748,0.15151568,-0.058466066
TCGA-5L-AAT0,0.16949576,0.42005348,0.27819353,-0.15442458,0.14304456,0.12169816,0.45666465,0.1972884,-0.039230853,-0.10833706,-0.045737427,0.09971934,-0.14130087,-0.03394744,0.14189814,0.22647049,0.19584104,-0.14768402,0.38947853,0.58894914,-0.1261173,0.42497277,-0.026045391,0.58973145,-0.09760281,-0.04860469,0.41542733,-0.040133197,-0.12365817,0.46460712,0.29693818,0.10064831,0.5150421,-0.05898419,-0.07174259,0.21421771,-0.12292939,0.52043295,0.37008327,0.5278944,0.43116364,0.12286818,0.49527115,0.2768979,0.3605816,0.4896327,-0.09989627,-0.06921922,0.41423374,-0.036045253,-0.011025679,-0.026881387,-0.16471663,0.21385127,0.3386082,0.20351885,-0.037778724,0.26702797,0.43865386,-0.025032332,0.39037764,0.4480776,0.43778083,-0.03632519
TCGA-5L-AAT1,0.3345032,0.42346388,0.3930693,-0.1651404,0.19642079,0.10240908,0.55202717,0.3245319,-0.04186895,-0.11222135,-0.05395649,0.21381763,-0.15249585,-0.04538756,0.049786497,0.14469883,0.46310136,-0.17272036,0.49795976,0.65337384,-0.13996425,0.47909325,-0.03971568,0.63193387,-0.10340925,-0.049288772,0.41599387,-0.07304861,-0.14179839,0.5248614,0.18386504,0.07757324,0.54735404,-0.051963855,-0.07121754,0.19874181,-0.10005927,0.43397158,0.40349993,0.64969265,0.48955375,0.2748811,0.5468618,0.20464388,0.49812457,0.22468932,-0.09312049,-0.058975685,0.47136128,-0.03261877,-0.0016289946,-0.016994607,-0.19968474,0.41739342,0.40151545,0.47861552,-0.04202774,0.17720613,0.37167537,-0.028912319,0.41380152,0.35201252,0.60493857,-0.057547446
TCGA-5T-A9QA,0.5065058,0.44979376,0.59585893,-0.17933139,0.3015773,0.122272514,0.6411244,0.32482564,-0.04400584,-0.10988909,-0.07152218,0.35401604,-0.13809435,-0.08616826,0.2518475,0.3075417,0.5683017,-0.19329813,0.2806572,1.0954194,-0.16262452,0.59221596,0.010363409,0.6835029,-0.12037136,-0.061971307,0.33112425,-0.13068344,-0.16794287,0.49974516,0.44503987,0.39586914,0.610907,-0.09635585,-0.11282064,0.4814335,-0.14023326,0.6035039,0.50393605,0.70545024,0.6511484,0.31128913,0.50059986,0.6525263,0.6526939,1.016157,-0.12154477,-0.11708864,0.61403483,-0.06448401,-0.0254865,-0.037871372,-0.22871314,0.43371832,0.33373025,0.25425646,-0.06657154,0.27171925,0.48261708,-0.034520246,0.47783342,0.88004583,0.974867,-0.052427292
TCGA-A1-A0SB,0.1047542,0.5502285,0.24763754,-0.16978326,0.14862981,0.106890395,0.23859833,0.36270404,-0.08426603,-0.084700495,-0.08727342,0.12934034,-0.16769263,-0.013558415,0.26541865,0.32111165,0.409913,-0.13835336,0.50788337,0.41852874,-0.12577751,0.34087887,-0.017150128,0.37120003,-0.0802441,-0.047447227,0.43972048,-0.02957019,-0.13488297,0.3850462,0.29834482,0.31762248,0.44555283,-0.089443825,-0.07785018,0.39986965,-0.14535911,0.4256683,0.25144768,0.31830567,0.33648676,0.08025402,0.2997901,0.33481413,0.25451362,0.84487265,-0.11428362,-0.10688525,0.25817052,-0.08786514,-0.028873393,-0.07684292,-0.110533,0.059738692,0.28107443,0.21472943,-0.057302773,0.22557133,0.27208346,-0.0364596,0.40614828,0.21327206,-0.0094034765,-0.06786611
TCGA-A1-A0SE,0.42520276,0.57239,0.2776513,-0.13386244,0.21279351,0.11510718,0.3959138,0.39288646,-0.074228026,-0.078925766,-0.07820242,0.090861894,-0.13896783,-0.048183765,0.22996955,0.3231393,0.32445297,-0.10094365,0.4168263,0.5525307,-0.13013302,0.4880946,-0.0018076865,0.40636697,-0.07848296,-0.053048432,0.35972044,-0.024268234,-0.13359366,0.34356233,0.38094366,0.42662644,0.47882426,-0.07280903,-0.06967492,0.30963627,-0.12965858,0.49491787,0.3553803,0.37686014,0.3499077,0.20966557,0.30691525,0.5910815,0.51462424,0.66162884,-0.116180316,-0.1090725,0.21850799,-0.049981695,-0.048514266,-0.05850438,-0.131499,0.32978567,0.35753316,0.09616919,-0.05677713,0.20607108,0.4859621,-0.035241846,0.34660885,0.5216629,0.37243393,-0.045176946
TCGA-A1-A0SF,0.32834852,0.5965691,0.35165083,-0.12902856,0.14480107,0.0905955,0.42154318,0.31809467,-0.049441803,-0.08679699,-0.06840218,0.16250609,-0.13386293,-0.04758416,0.19714212,0.33530793,0.37162384,-0.12625404,0.2856871,0.5394874,-0.12522085,0.3480703,-0.0065883095,0.529139,-0.089393154,-0.050780024,0.30291012,-0.06231029,-0.117971085,0.40000406,0.38304558,0.32731268,0.53288907,-0.06734696,-0.07401956,0.24269341,-0.119636275,0.63872606,0.38563126,0.50893396,0.4263377,0.19104806,0.4446083,0.33848518,0.37615106,0.47209412,-0.11737236,-0.09201672,0.3203962,-0.039719258,-0.04210699,-0.044934697,-0.16066496,0.30419105,0.34073526,0.09343153,-0.045186676,0.26801056,0.4323786,-0.03484036,0.3522022,0.6206346,0.51727813,-0.07571044
TCGA-A1-A0SG,0.65105516,0.695609,0.25270274,-0.16177297,0.094880566,0.07087752,0.41495177,0.31043598,-0.081142955,-0.09568991,-0.07446449,0.16333586,-0.13366406,-0.071292065,0.18871081,0.42627996,0.49312633,-0.13302095,0.3849198,0.5156141,-0.15669803,0.39011976,-0.027786765,0.43858558,-0.09525744,-0.059756853,0.42021698,-0.069198705,-0.14377664,0.41453928,0.59319675,0.43408272,0.46618336,-0.07982907,-0.09291846,0.3922992,-0.13217734,0.40282863,0.6554316,0.47126892,0.39824417,0.20436811,0.22450347,0.3547449,0.37679774,0.59925246,-0.119742095,-0.105333626,0.23972498,-0.01761532,-0.013093963,-0.033609215,-0.15266003,0.28515893,0.36182773,0.2794579,-0.06306837,0.42738426,0.43749082,-0.043369625,0.30625147,0.7473385,0.4259575,-0.08472334
