patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-3C-AAAU,1.5736362,1.1487939,0.14943905,0.6040993,-0.0007875841,-0.25740308,-0.08746317,0.41329026,0.014418171,-0.18921098,0.13376938,-0.0066678487,-0.29472718,0.34588328,0.28391004,-0.04301914,0.7158211,-0.023231486,-0.05890168,0.8968458,-0.03295854,0.15307644,-0.29431275,-0.050678756,0.5554865,-0.0020607626,-0.03612956,0.13875955,-0.0020262615,0.93414456,0.5777543,-0.17378342,-0.058062207,0.43264082,-0.015813017,0.48865813,1.3189688,0.73134637,-0.48973843,1.9087571,0.3955238,-0.10200589,0.24707904,0.14982621,-0.26160234,-0.08609198,-0.07811178,0.16855581,-0.22619939,0.9487452,-0.009589127,0.30992138,0.036099963,1.0767426,-0.34321788,-0.21142574,-0.052911937,1.0691358,-0.00819457,0.23302352,1.4322472,-0.11575198,-0.038308382,-0.27453083
TCGA-3C-AALI,2.2957623,1.4037757,0.2374097,0.9821234,-0.016324194,-0.2811979,-0.08419082,0.73308617,0.3408845,-0.20636745,-0.018126486,-0.019216858,-0.3597473,1.0675474,0.5601254,-0.03298972,0.33555505,-0.020766122,-0.06316849,1.0093278,-0.045175377,0.22486827,-0.36687833,-0.04947762,0.11584324,-0.013257839,-0.0081273755,0.19958928,-0.025884539,1.1857268,0.7179842,-0.21529281,-0.103341974,-0.023605572,-0.050561767,0.13404664,1.7021865,0.8016714,-0.607075,2.1885428,0.68274814,-0.10785436,0.10535845,0.027847528,-0.32583,-0.15598463,-0.079921976,-0.048389554,-0.30103946,1.0559272,0.19947086,1.3952247,-0.049285654,1.0113384,-0.42975807,-0.26411626,-0.0828972,1.356391,-0.047547933,-0.02752857,1.271368,-0.19274029,-0.041590657,-0.39713418
TCGA-3C-AALJ,2.7822318,1.6965734,0.4815114,0.75872076,0.17057762,-0.36246073,-0.11189955,0.88114566,0.4252298,-0.27792692,-0.020185694,-0.0053844354,-0.45575523,1.5710663,0.8033534,-0.05483496,0.299377,-0.012638605,-0.06152108,1.0925642,-0.008715193,0.13963085,-0.4475995,-0.033589136,0.67237616,-0.019549258,-0.04054951,0.1375084,-0.031711686,1.5284735,0.9843832,-0.32914186,-0.095920324,-0.010218113,-0.047555305,0.24199222,2.133325,1.1219647,-0.75357497,2.6511636,0.27738214,-0.13185714,0.6877783,0.33782923,-0.41925558,-0.14869054,-0.12087201,-0.021126755,-0.35622033,0.96784145,0.046320684,1.2357525,-0.050939675,1.3150612,-0.52131945,-0.35795096,-0.07260976,1.4650904,-0.028866787,-0.038061053,1.6580262,-0.24762897,-0.03425963,-0.555232
TCGA-3C-AALK,3.0264077,1.8961838,0.51422924,1.1154337,0.35766923,-0.39522955,-0.12791716,0.9130254,0.32878372,-0.3186064,-0.0062178294,-0.053642552,-0.4676024,1.2474366,0.721459,-0.053884458,0.537787,-0.0159017,-0.05187474,1.4428633,-0.027162477,0.13352412,-0.47402325,-0.023478314,0.53679776,-0.016376687,-0.011517172,0.34728283,-0.017948676,1.6274431,0.963718,-0.31229383,-0.081797495,0.50215983,-0.07862961,0.5341541,2.0654619,1.2935294,-0.7896332,2.812612,0.037658088,-0.1470386,0.34403718,0.61320335,-0.45264632,-0.17208849,-0.11738338,-0.018149374,-0.37195572,0.2865815,0.096923016,0.9927314,-0.05093946,1.272852,-0.56381315,-0.41254234,-0.08782188,1.6791451,-0.0071119415,-0.031120786,2.0076268,-0.24936906,-0.030268857,-0.50451225
TCGA-4H-AAAK,2.239792,1.4381918,0.46536508,0.8811324,0.042875636,-0.29928264,-0.1013753,0.35944512,0.385658,-0.23120053,0.08787377,-0.045016687,-0.31879133,0.5851306,0.5025244,-0.034625333,0.66239965,0.0795294,-0.072412424,1.0682073,-0.019699557,0.30343002,-0.34103307,-0.02155453,0.31295186,0.029769154,-0.026176143,0.22675659,-0.008855353,0.92339337,0.4814257,-0.1927055,-0.05769345,0.8912536,-0.06617372,0.76786304,1.5591927,0.9317429,-0.5436073,2.3778355,0.15557666,-0.087246165,0.17997164,0.337677,-0.33645824,-0.13942192,-0.059596222,-0.015328911,-0.27571902,0.9361072,0.08468841,0.6553914,-0.014887265,0.9513858,-0.41229996,-0.29133368,-0.06919944,1.0280296,-0.012969727,0.21858706,1.5001012,-0.14422725,-0.014483879,-0.34468874
TCGA-5L-AAT0,2.1306198,1.3114097,0.5120395,0.900899,0.21689267,-0.28280622,-0.094251916,0.5043668,0.14222434,-0.23750646,0.09230423,-0.054923583,-0.295688,0.28970796,0.22160317,-0.021131221,0.8013586,-0.013756762,-0.041983888,0.9701207,-0.036859844,0.22412871,-0.34276077,-0.016591221,0.24369003,-0.018363183,-0.0081274,0.466276,-0.019476501,0.8840806,0.5298548,-0.17843382,-0.058306027,0.6816707,-0.053171217,0.80280393,1.4908178,0.8331182,-0.51799285,2.1032617,0.21794242,-0.109567545,0.13282034,0.3673787,-0.30449137,-0.11633872,-0.058862995,0.20431615,-0.25551942,0.5042404,0.04888698,0.17265812,-0.0125083355,0.9932342,-0.4036861,-0.27711293,-0.051234245,1.1652133,-0.019342504,-0.007177991,1.7094516,-0.12825342,-0.017840402,-0.31575605
TCGA-5L-AAT1,2.6043425,1.7491746,0.45090798,0.57836646,0.23405965,-0.36817506,-0.109403804,0.82149726,0.17101867,-0.2955048,0.19497511,-0.033946272,-0.4027922,0.7212523,0.67979544,-0.04693496,0.67518157,0.0709272,-0.070107535,1.3075467,-0.026375065,0.13145804,-0.40682563,-0.01618563,0.74412894,-0.015724363,-0.015457856,0.19935475,0.0066732466,1.3018705,0.84697753,-0.27793083,-0.078946605,0.63064384,-0.069810964,0.7500897,2.0076022,1.0264754,-0.6816289,2.5708559,0.059491895,-0.13408396,0.41398162,0.37843853,-0.37038738,-0.11956433,-0.11585345,-0.024272917,-0.32457575,0.41989034,0.0303369,0.8053096,-0.06119599,1.1103113,-0.4744564,-0.33764198,-0.06858041,1.454305,-0.01650044,-0.026468415,1.7745497,-0.20855792,-0.03731745,-0.4296442
TCGA-5T-A9QA,4.3021803,2.2817743,0.72537607,1.1888098,0.4274369,-0.45618176,-0.18869667,1.065607,0.752663,-0.39208958,-0.001792392,-0.008972425,-0.638508,2.367602,1.2433262,-0.09069906,0.38265744,-0.0014203215,-0.0997326,1.6578742,-0.0030573297,0.14501959,-0.62713516,-0.027894644,0.9536538,-0.03534051,-0.04353109,0.37316257,-0.020321138,2.2103698,1.4636924,-0.48699746,-0.1013785,0.48683593,-0.10717255,0.40915772,2.8807278,1.4805067,-1.0292681,3.6266685,-0.02813375,-0.22964819,0.9217852,0.9159933,-0.6041812,-0.22519012,-0.1632192,-0.04801837,-0.5391187,0.6204795,0.0691956,1.971902,-0.07101198,1.5497268,-0.7399327,-0.54611796,-0.113047004,2.0788605,-0.020515729,-0.04809788,2.0519392,-0.356747,-0.04457013,-0.80942106
TCGA-A1-A0SB,1.6716756,0.6919601,0.25152382,1.7546833,-0.000380015,-0.10452779,-0.06824363,0.090669915,-0.0021118526,-0.12964818,-0.052218277,-0.011269967,-0.21973024,0.73645157,0.12731959,-0.0011041429,0.34106758,0.47926387,0.08531848,0.33815205,-0.01794787,0.22517394,-0.22346309,-0.026229275,-0.05142763,-0.013104284,-0.018097727,0.31660938,-0.027278548,0.55322635,0.40603337,-0.086531274,-0.029480813,1.2001874,-0.03531257,0.098807,0.93677163,0.54519254,-0.3324974,1.3340335,0.13132682,-0.052969992,-0.017554823,0.41575766,-0.21358982,-0.09756616,-0.035119094,0.25152865,-0.12952329,0.026261017,-0.01837259,0.045662265,0.030617507,0.61488855,-0.29877606,-0.19112603,-0.027482664,0.87761116,-0.026364282,-0.007463665,1.2462099,-0.09422623,-0.0167337,-0.18840687
TCGA-A1-A0SE,2.3313723,1.4612074,0.46969968,1.2276278,0.19790512,-0.29840633,-0.07919061,0.39690003,0.06840278,-0.23755753,0.09029683,-0.040078692,-0.3265768,0.2220641,0.23512496,-0.020833401,0.7991863,-0.0047198557,-0.04659775,1.1080621,-0.041112833,0.17418358,-0.35842997,-0.02685498,0.27531275,-0.012381053,-0.007956035,0.28330737,-0.018414063,1.1162845,0.7474208,-0.20451014,-0.07710265,0.7907341,-0.045343276,0.8476777,1.3561127,1.1498585,-0.5617733,2.2173173,0.18809323,-0.121551454,0.08406663,0.41055036,-0.3251387,-0.15093024,-0.04156218,0.061997984,-0.25839108,0.7120081,0.052037366,0.06572625,-0.011193785,0.7844293,-0.4141229,-0.27761373,-0.052643597,1.2375493,-0.025411908,-0.0034476127,1.7790338,-0.1209957,-0.016190788,-0.3056336
