patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-3C-AAAU,0.057009224,-0.015621035,0.7264178,0.16479158,0.0038728025,0.47872323,-0.025865106,-0.010523151,0.10631579,0.06446324,0.15294972,0.16131319,-0.0056852843,0.1924938,0.014340423,-0.010285667,0.06319839,0.25766677,0.010678545,0.32637784,-0.00818957,0.16543466,0.39309195,-0.019953815,0.23014273,-0.007656029,0.030646924,0.19521768,-0.011631324,-0.021461824,0.12142463,-0.008496805,-0.015564417,-0.0006210622,0.046364192,0.121027306,0.09615885,0.23651576,-0.003201669,-0.008237916,0.3878022,0.034294493,0.6395177,0.015370015,0.25911856,0.61367714,0.4310715,0.09484971,0.038564544,0.23895803,-0.013604117,-0.009154591,0.2861179,0.06554462,0.21350072,-0.005871745,0.4116884,-0.029283589,-0.012176124,0.12653719,0.8096635,0.24413995,-0.002370645,-0.0059340117
TCGA-3C-AALI,0.00944919,-0.0050195446,0.44214463,0.010227609,-0.0061566974,0.35701734,-0.011911869,-0.0022676284,0.028764766,0.027929544,0.07735889,0.08268343,0.044658095,0.0053086244,0.021347843,-0.007842655,0.057797655,0.07979415,-0.0035210007,0.03193522,-0.001882762,0.09603487,0.15259825,-0.008154464,0.19424315,-0.009015953,-0.0042715627,0.103079684,-0.0074919136,-0.0031289328,0.20940177,0.04662192,-0.0033553124,-0.005570924,0.11071874,-0.0032416321,0.044819925,0.15174559,0.016118221,-0.006891716,0.21192808,-0.0016466752,0.44042644,0.015204763,0.17891137,0.48655096,0.22707689,0.11795859,0.049466267,0.05676517,-0.006636541,-0.0093713915,0.18017393,-0.0054557705,0.13086896,-0.0036470268,0.29536477,-0.0072140293,-0.003765118,0.112815395,0.46562886,0.104557835,0.0049026497,-0.0033485338
TCGA-3C-AALJ,-0.0025986906,-0.008336166,0.49033523,0.04176518,-0.0055411304,0.35598657,-0.013664593,-0.0004308589,0.031080458,0.02703014,0.11928496,0.05969443,0.002097156,0.081584305,0.059623253,-0.0048547904,0.04397276,0.13847424,-0.0059267743,0.08706695,-0.0021041161,0.1089275,0.20493777,-0.011418496,0.19833349,-0.008113101,-0.003611733,0.13116935,-0.00040413142,-0.010426677,0.24715738,0.080323026,-0.0030231834,-0.00743051,0.18038934,-8.482412e-05,0.076657586,0.19205435,0.05647385,-0.0066838935,0.2545444,-0.00445752,0.48567024,0.046581376,0.18695691,0.5785796,0.24367759,0.16847482,0.10148181,0.01876397,-0.008505649,-0.011698707,0.17736948,-0.00056474126,0.09497586,-0.0022863464,0.27363226,-0.008409101,-0.0034809746,0.116505295,0.6041746,0.042442746,0.055856917,-0.0015829339
TCGA-3C-AALK,-0.011635228,-0.0033321404,0.4554582,0.0121696405,-0.0021322395,0.36484465,-0.013670811,0.04413648,0.015887106,-0.00029809625,0.04872455,0.0751835,0.091288656,0.009066255,0.045175295,-0.0042948104,0.01950286,0.20363966,-0.0061251116,0.02140763,-0.0031840093,0.044914644,0.24379548,-0.011416666,0.0038238838,-0.010757196,-0.0061881444,0.052903846,-0.003327701,-0.0033715938,0.24680413,0.07235655,-0.0015499529,-0.0068384646,0.13162501,-0.0033392129,0.067429855,0.1710119,0.024716571,-0.003044226,0.15551828,-0.0006553765,0.40587246,0.019461919,0.1661286,0.52349824,0.21806484,0.12942071,0.1374447,0.005635418,-0.0056861253,-0.0056950743,0.16182911,0.027438434,0.07008876,-0.011051896,0.27098325,-0.007201582,-0.005701904,0.14043716,0.56038034,0.0576939,0.05250783,0.017622434
TCGA-4H-AAAK,-0.009275276,-0.005764201,0.33863285,0.009448711,-0.0019226767,0.22806665,-0.013339626,0.05167239,0.01248296,0.025239043,0.015455691,0.09568522,0.101833716,0.010779616,0.058343627,-0.0029051248,0.0146522075,0.115606144,-0.003097248,0.031334285,-0.00815983,0.010367842,0.19176508,-0.0077449637,-0.0020830664,-0.0084202085,-0.008299434,0.036487617,-0.0058612614,-0.0017636073,0.17605121,0.03372405,-0.0040037734,-0.00038685426,0.12010044,-0.0026925826,0.050965354,0.15261579,0.005660653,-0.0049458104,0.15269299,-0.00066336914,0.3406809,0.038802087,0.13491401,0.42119214,0.22555512,0.16529429,0.107001565,-0.0006759748,-0.004393592,-0.009153415,0.14115915,0.02832218,0.085423276,-0.006218943,0.19363974,-0.006944162,-0.0024644723,0.114946835,0.45989752,0.08704958,0.06485498,0.00992389
TCGA-5L-AAT0,-0.0067005395,-0.006529326,0.3940493,0.006660681,-0.0031900376,0.28533185,-0.015538937,0.02720688,-0.0011076954,0.022166476,0.030737791,0.08663855,0.08292048,0.033672214,0.037302688,-0.004932347,0.014158001,0.1400538,-0.0038215653,0.021880943,-0.0046355077,0.06804261,0.21157399,-0.008988454,-0.0033610468,-0.009968739,-0.0057064425,0.05173049,-0.0042976053,-0.004852035,0.13365105,0.0386328,-0.0046871896,-0.0036713202,0.15887272,0.0022595674,0.030752521,0.16722089,0.044777982,-0.002134759,0.18506503,0.0102763465,0.3738795,0.030605443,0.19199955,0.45702535,0.2110269,0.15197827,0.15253028,-0.0023911449,-0.0081904,-0.0070616836,0.13349345,0.020289117,0.12228275,-0.003981128,0.19586574,-0.007922518,-0.0028546231,0.098926485,0.48559862,0.05105467,0.034802727,0.001223471
TCGA-5L-AAT1,-0.009578849,-0.0066901143,0.46254098,-0.0024150105,-0.0021008602,0.326538,-0.008676673,0.033491082,-0.00012708866,0.021919042,0.04770782,0.07968882,0.06557165,-0.004761373,0.04228763,-0.006070378,0.08548275,0.23480548,-0.007767018,0.014145516,-0.013065037,-0.0008464772,0.25945917,-0.011925223,-0.0033160646,-0.008018205,-0.0057112672,0.053614065,-0.0071291523,-0.0021737206,0.2983494,0.07377593,-0.0025177225,-0.0033465873,0.16732745,-0.0077597606,0.07624701,0.16407984,0.015900552,-0.00058526994,0.14822787,0.023905331,0.41454425,0.08317642,0.15522711,0.55802804,0.19588184,0.102435336,0.12582162,0.04982785,-0.0045784637,-0.0026095423,0.17619139,0.008109832,0.08605976,-0.0063719186,0.32709277,-0.0074058934,-0.008577196,0.17036515,0.591635,0.04134418,0.107959956,-0.00572805
TCGA-5T-A9QA,-0.012680846,-0.004252154,0.5439265,-0.00081767776,-0.01395256,0.48046514,-0.011450668,0.044419244,0.02829843,0.057201095,0.05767506,0.060132023,0.01401981,0.097023934,-0.0024315722,-0.007856007,0.017737564,0.2831802,-0.0047695837,0.13909604,-0.0049293684,0.08074929,0.25129315,-0.0068647237,0.048168074,-0.013364705,-0.0037501485,0.08065672,-0.008150747,-0.007128697,0.238835,0.0606982,-0.0076586367,-0.007960707,0.15690386,-0.0048080194,0.0014772341,0.23413503,0.13761695,-0.002847521,0.3452036,-0.0015439928,0.57005954,0.05858737,0.2993117,0.75628555,0.27441022,0.1588553,0.18918131,0.07523654,-0.0047055683,0.044063337,0.32042724,0.0053330064,0.123695314,-0.013097243,0.35841146,-0.014840803,-0.004567088,0.13657966,0.6853066,0.14684647,0.058058884,0.0065273046
TCGA-A1-A0SB,-0.0056200232,-0.0057124295,1.0275911,0.3359825,-0.00082757924,0.51709294,-0.026574224,0.10960275,0.13153195,0.053723775,-0.005099014,0.22346708,0.1255398,0.24950701,0.15271325,-0.016405432,0.23748839,0.40602383,-0.0014715017,0.085211724,-0.010867774,0.032374747,0.56377965,-0.030333558,0.25168252,-0.0038773795,-0.000684609,0.07467742,-0.014619003,-0.012678481,0.52614737,0.06346437,0.040113054,-0.014087255,0.2861904,0.08644025,0.006724078,0.2617421,0.4804306,-0.011095035,0.48092222,0.15069999,0.86500514,-0.022359965,0.25530177,1.3621927,0.44558343,0.2463655,0.13523376,0.19798213,-0.018959597,-0.008257516,0.4884461,0.22667804,-0.004649322,-0.03264393,0.37087274,-0.020746259,-0.01083945,0.07482654,1.1817799,0.19144405,0.09858042,0.31215388
TCGA-A1-A0SE,-0.009862157,-0.011279197,0.4254126,0.018918645,0.011003913,0.3289766,-0.018479183,0.012991171,0.017903965,0.027823076,0.021360282,0.11288926,0.05253041,0.05421709,0.08218395,-0.0084780855,-0.00047701152,0.13424228,-0.0018701013,0.0472237,-0.004779835,0.046524543,0.27857265,-0.008253026,0.058748636,-0.0008022973,-0.00170483,0.07752663,-0.0074862638,-0.00018503294,0.19366108,0.05912603,-0.008122495,-0.009600601,0.07044558,0.027568597,0.08556421,0.18123685,0.07882988,-0.0048665083,0.2570641,0.04787217,0.45423138,0.035114933,0.197054,0.54457146,0.22331798,0.1903278,0.22436167,0.017015524,-0.01074599,-0.008828658,0.26840922,0.10966967,0.057538375,-0.0024538361,0.21792881,-0.01481004,-0.002639066,0.111927986,0.5441603,0.0826187,0.058064517,0.07824917
TCGA-A1-A0SF,-0.0042457576,-0.010155645,0.4533436,0.042778965,0.01056931,0.3561935,-0.01629213,0.031748667,0.035562202,0.048170224,0.0056197066,0.1047,0.09048605,0.053800195,0.044711214,-0.0056156167,0.052428715,0.124531075,-0.001817332,0.021214943,-0.003376878,0.057360336,0.25939617,-0.01332129,0.079144806,-0.0036810897,-0.004487581,0.042430826,-0.0060338303,-0.002664135,0.20193699,0.05160873,-0.006005487,-0.0039076502,0.06670603,0.0070926957,0.06383445,0.15535086,0.010053597,-0.004131566,0.24160753,0.02056883,0.45408607,-0.0044825873,0.17728597,0.54175794,0.26334915,0.15142033,0.17129603,0.020933233,-0.011856907,-0.0073105036,0.18791261,0.09890665,0.02056186,-0.007764242,0.19597934,-0.0118210735,-0.0042756675,0.11369245,0.55510145,0.04654264,0.019255657,0.06858967
TCGA-A1-A0SG,-0.00928921,-0.0090386495,0.6931603,0.17090197,-0.0055298195,0.44385487,-0.02386455,0.0040666983,-0.00031317325,0.027319163,0.026958186,0.16175202,0.012494497,0.01796766,0.06649706,-0.0056551206,0.060462862,0.20156875,0.0076106004,0.13960023,-0.011491593,0.039697826,0.34380952,-0.009011899,0.13235518,-0.0023606166,-0.015024922,0.05113448,-0.00583966,-0.007791186,0.2834411,0.02041681,-0.00071425916,-0.012523918,0.102369726,0.04833154,0.09667162,0.22435147,0.07435762,-0.0017883361,0.2740047,0.011598213,0.648196,0.038975343,0.30771428,0.7621964,0.37211674,0.20839357,0.18619539,0.02782797,-0.0066525103,-0.002553865,0.3004187,0.05203198,0.019030096,-0.015078576,0.30828288,-0.011994781,-0.009782995,0.06529691,0.6557126,0.19357586,0.16594577,0.017257266
TCGA-A1-A0SH,-0.009350031,-0.00088255294,0.42875552,0.003961701,-0.0054043294,0.2851318,-0.017521393,0.021480877,0.02015121,0.044949792,0.08028789,0.09737319,0.034386165,0.015961654,0.060074236,-0.008681786,0.04540106,0.18782972,-0.007952094,0.05783258,-0.0027367983,-0.0026753645,0.17283893,-0.010444358,0.040535893,-0.0064417827,-0.0071644816,0.093036994,0.010964912,-0.00029082652,0.18123198,0.062460203,-0.008977718,-0.00083340594,0.083132684,-0.004854832,0.020651985,0.19706614,0.10735808,0.012836374,0.22282629,0.044281363,0.43821713,-0.0011993311,0.120176524,0.4527061,0.25848654,0.18654966,0.12868142,0.029409647,-0.0009958182,-0.014575161,0.1874182,0.055181652,0.069885224,-0.005365786,0.113099694,-0.012417803,-0.006311863,0.12917335,0.50468594,0.14814731,0.095374584,0.059349284
TCGA-A1-A0SI,-0.0070053563,-0.0035985142,0.4424612,0.04520371,-0.0063580344,0.318802,-0.007861532,0.06594477,-0.0011269499,0.017493553,-0.0031825067,0.08182125,0.085159466,0.013037036,0.054040592,-0.0043252087,-0.0017811031,0.12951146,-0.0030210246,0.045117136,-0.006693878,0.011276992,0.23523732,-0.00879662,0.09582846,-0.00047641687,-0.010879402,0.09986444,-0.008513528,-0.0011901507,0.2156363,0.076179415,-0.0106657,0.04304339,0.11424983,-0.0039174394,0.04476733,0.13646314,-0.0023270797,-0.0063010636,0.2580883,0.018498346,0.38177192,-0.0015082952,0.218483,0.5921382,0.22953638,0.22515985,0.08670817,0.03631305,-0.0043050083,-0.009856767,0.26489866,0.05851069,0.03940293,-0.008396544,0.25359815,-0.008822006,-0.0074187713,0.15594134,0.4224599,0.05521658,0.12762845,0.10978337
