patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-3C-AAAU,-0.0562903,1.0974383,-0.0122497445,-0.07337278,0.5336793,0.76950306,-0.03752315,0.7811453,-0.028655574,-0.05054911,-0.013295463,0.35641122,-0.12851927,0.6791647,0.1301293,-0.009601833,0.016503965,0.06916596,0.113742344,-0.030445619,0.05999603,0.08764233,-0.06278139,-0.016836202,1.1017088,0.14070603,-0.0019849641,-0.03341592,-0.013804021,1.1832705,-0.13527538,-0.076741666,0.42945132,0.64630663,0.20227878,0.18586777,1.2785145,-0.018833939,0.22875199,0.32244304,0.0810034,1.373689,1.4541227,0.9267739,-0.09610078,-0.041187372,0.23940678,-0.005738052,0.53562367,0.18281074,-0.007578333,1.1757945,0.11822887,-0.038440384,-0.11804499,0.15233749,-0.022126008,-0.1478385,0.014636613,-0.0012379428,-0.0014151037,0.2940109,-0.020541716,0.4178417
TCGA-3C-AALI,-0.06135286,1.1134586,-0.0038888343,-0.055317916,0.47425595,0.66170466,-0.04901659,0.6469563,-0.011750052,-0.06452121,-0.025622929,0.39998272,-0.124574006,0.6335224,0.02199215,-0.016377423,0.10977514,-0.004062082,0.3681999,-0.029618371,0.06016609,0.04295343,-0.060041536,-0.0091949245,1.0039364,0.19216195,-0.008050583,-0.042369734,0.015183771,1.3127682,-0.14316182,-0.06764995,0.5413378,0.81459063,0.3267548,0.34720924,1.3893131,-0.033133533,-0.0004440775,0.20450276,-5.530957e-05,1.4436456,1.482933,0.9962606,-0.10694464,-0.04178826,0.23322354,0.051531456,0.58526194,0.15032715,-0.014785773,1.1887308,0.071367115,-0.0322326,-0.12496992,0.17842329,-0.024990184,-0.13488387,0.0051421784,0.01255268,0.0064400434,0.19665188,-0.026902286,0.5903239
TCGA-3C-AALJ,-0.058505334,1.1598024,-0.012270142,-0.05958103,0.50872123,0.7931091,-0.040540196,0.75424206,-0.011743802,-0.077815555,-0.026057482,0.44592103,-0.12504947,0.5982785,0.10281134,-0.005422447,0.08492915,0.094931185,0.27980337,-0.028605485,0.1028868,0.05904174,-0.06041167,-0.008963529,1.0211645,0.14462641,-0.006510667,-0.04339304,-0.0134545015,1.3352585,-0.14141761,-0.065911286,0.3914783,0.77771026,0.35357085,0.2136258,1.2856224,-0.017059362,0.16111317,0.25427383,0.09914712,1.3449396,1.4872789,0.99417144,-0.10119265,-0.041840263,0.1776212,-0.0030292142,0.41773778,0.0772036,-0.012287919,1.1386676,0.029042156,-0.031473167,-0.11240136,0.20781204,-0.019449469,-0.13914697,-0.007216189,-0.009374159,-0.0047151214,0.18601307,-0.01202215,0.5615497
TCGA-3C-AALK,-0.061017126,0.9502916,-0.005321375,-0.04984161,0.3882031,0.66951936,-0.03356675,0.5727535,-0.005709665,-0.05393227,-0.018241873,0.30881277,-0.098237306,0.64506245,0.06199839,-0.011473292,0.093760714,0.08558774,0.2264497,-0.02536028,0.05165361,0.08751924,-0.04802025,-0.0021595934,0.8970981,0.082409196,-0.008350151,-0.032307874,-0.0061085536,1.038458,-0.12197299,-0.05686235,0.5554597,0.6202902,0.26045543,0.29679823,1.13824,-0.01465817,0.16912965,0.10965914,-0.01014687,1.1784683,1.3167528,0.8035631,-0.092038326,-0.036388826,0.24138556,0.08179456,0.54389894,0.052614752,-0.0021167563,0.9431247,0.01238326,-0.025682557,-0.093928896,0.17052805,-0.02432631,-0.1150794,-0.007625028,-0.006381663,0.017553683,0.2969793,-0.010739433,0.45459083
TCGA-4H-AAAK,-0.051263075,1.0826156,-0.009440988,-0.062058873,0.4020881,0.7232302,-0.03440913,0.6035301,-0.021555014,-0.053839903,-0.014381713,0.34269345,-0.10676725,0.6154783,0.092703655,-0.0030831061,0.04302448,0.006291408,0.2584877,-0.02706117,0.11560739,0.1539828,-0.05946058,-0.008146569,0.92357457,0.108593576,-0.0048047737,-0.033508144,-0.0075404407,1.0489506,-0.11877181,-0.05723348,0.43161425,0.6096158,0.15743783,0.28617546,1.1901845,-0.008674114,0.27771127,0.21009451,0.006620312,1.1614355,1.3223614,0.8351901,-0.089775614,-0.042126857,0.21954505,-0.003479346,0.6323251,0.12653674,-0.009903308,0.97316,0.048317578,-0.02836424,-0.09647709,0.19704877,-0.018634764,-0.117647626,-0.014241733,-0.012113745,-0.004214569,0.27576712,-0.01593968,0.40456972
TCGA-5L-AAT0,-0.057064958,0.99292547,-0.010964669,-0.051799584,0.4122026,0.7200957,-0.03214824,0.5761966,-0.009248585,-0.045831665,-0.01662727,0.35328752,-0.10761634,0.62452096,0.047669437,-0.010119723,0.05675798,-2.2244827e-05,0.16142315,-0.015265524,0.05556068,0.06127379,-0.053537596,-0.004136677,0.93345225,0.085532114,-0.006969468,-0.034463108,-0.00810255,1.0033339,-0.12339534,-0.05729056,0.51951164,0.5424797,0.23560712,0.25459054,1.1589175,-0.018058775,0.26973307,0.13997176,-0.006896738,1.1515163,1.3258632,0.8593288,-0.08978164,-0.03552581,0.26801494,0.068025835,0.50715923,0.08409035,-0.007232126,0.96930873,0.045198124,-0.021480877,-0.10294499,0.06446092,-0.023681182,-0.12022095,-0.013947408,-0.004003621,0.09893684,0.2714348,-0.022069145,0.4658367
TCGA-5L-AAT1,-0.070536084,1.1225716,-0.009504902,-0.049812924,0.42868572,0.7858047,-0.022678344,0.62043244,-0.011610522,-0.061125632,-0.016736416,0.39843613,-0.107490994,0.64803267,0.029835247,-0.011118807,0.049056243,0.04380959,0.3739029,-0.024741877,0.0656475,0.01583256,-0.051970042,-0.0063923337,0.9658388,0.084137626,-0.012656636,-0.03376564,-0.010287932,1.095142,-0.12586902,-0.069852404,0.5312322,0.5729473,0.30480793,0.2657875,1.2366984,-0.015452357,0.1312424,0.013307674,-0.0031073948,1.2050577,1.3254759,0.84789395,-0.09425016,-0.04407461,0.16005887,0.07367074,0.44557074,0.057718236,-0.0055150497,1.005171,0.121502414,-0.020852147,-0.107896544,-0.00517331,-0.027628621,-0.12406593,-0.012114282,-0.00010205861,0.0792031,0.24733455,-0.017375147,0.4650484
TCGA-5T-A9QA,-0.08092373,1.159493,-0.011659558,-0.07637276,0.47715387,0.8722729,-0.03846493,0.7251975,-0.028480807,-0.07191024,-0.02394326,0.4615037,-0.14516357,0.6448239,-0.0011726165,-0.0096606435,0.017206749,-0.0005516172,0.2877098,-0.018655896,0.10716971,0.02910442,-0.07074086,-0.02525558,1.1338562,0.17322913,-0.01824742,-0.048791606,-0.0021878942,1.3086979,-0.15153573,-0.08748659,0.47878936,0.7375713,0.24566492,0.28708944,1.4450347,-0.031204397,0.2503676,0.32249963,0.17314507,1.5476832,1.5456481,1.0293211,-0.12630092,-0.053894486,0.063461095,0.12218378,0.5398682,0.26209536,0.038041703,1.2034969,0.12475631,-0.025321176,-0.12665068,0.18708229,-0.028852636,-0.1514389,-0.009608394,0.046302818,0.009312101,0.29574507,-0.02192428,0.5470856
TCGA-A1-A0SB,-0.045375913,1.099896,-0.008218271,-0.07389863,0.44637263,0.67859983,-0.033209283,0.5934805,-0.017706448,-0.049351837,-0.0063712085,0.23611216,-0.12666802,0.42917764,0.090454824,-0.006505526,0.118642,0.10478605,0.02394041,-0.016932,0.14446235,0.08027231,-0.049331084,-0.009330029,0.9146435,0.21216787,-0.0045095994,-0.030677283,-0.009704395,1.0936209,-0.11667835,-0.059980895,0.27687392,0.475621,0.26835066,0.093143195,1.1831659,-0.017071465,0.25452024,0.06096807,0.14492023,1.1186827,1.2436767,0.7785216,-0.10013844,-0.03518253,0.32592538,0.012013793,0.33347958,0.14164366,-0.009585925,1.0139078,0.05845259,-0.035931643,-0.09389227,0.21571387,-0.026084596,-0.114994265,-0.00750227,-0.0076102703,-0.007770326,0.2303025,-0.023915445,0.15174429
TCGA-A1-A0SE,-0.052605648,0.96016276,-0.0032820904,-0.06704264,0.40561247,0.6074689,-0.031512994,0.54855573,-0.0133221615,-0.049847323,-0.015243276,0.30073035,-0.11675395,0.52865654,0.14837083,-0.009597953,0.09229104,0.0721017,0.06486085,-0.020501481,0.047381766,0.04060378,-0.06358119,-0.010241735,0.94998527,0.18949758,-0.009128054,-0.03419888,-0.0059253066,1.027818,-0.11283133,-0.07295078,0.30783036,0.40930533,0.1276905,0.09211218,1.1946639,-0.017475286,0.29944554,0.117437564,0.04906804,1.1660061,1.223092,0.77551615,-0.09316987,-0.03671544,0.1313308,-0.005575633,0.35464153,0.15605366,-0.0041466914,0.9766143,0.13261041,-0.029609347,-0.10199044,0.083780795,-0.021824727,-0.11835543,-0.01002233,-0.010638146,-0.005497989,0.29560125,-0.018730368,0.20041755
