patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-3L-AA1B,0.16414477,-0.45458603,0.91314316,0.7686747,-0.026600672,-0.016975326,-0.17662813,2.5394173,1.7503831,0.33236998,0.41853777,0.7864973,0.07819559,0.5848313,-0.33776158,0.2837872,-0.38535064,0.55201924,0.08651686,0.4261236,0.6619489,2.5958042,0.96964824,1.4961506,2.3294797,0.34720397,1.5503013,-0.21994896,-0.092695385,1.1995878,-0.2616978,-0.45694003,-0.029143408,-0.046980966,-0.03321288,-0.49164128,-0.058115553,-0.082406715,2.7687292,1.1468748,-0.1227906,-0.054993957,-0.09906372,-0.034410227,0.30101568,1.0735222,-0.02435293,-0.22155356,0.64111406,0.12602146,-0.103000954,-0.53653264,0.058662858,-0.114718474,-0.051277954,-0.23115185,1.5432792,0.4284976,-0.065594785,-0.071093276,-0.008548914,0.618909,-0.08173202,-0.033455238
TCGA-4N-A93T,0.19904135,-0.3899841,0.3946901,0.35443002,0.1529174,-0.0063922703,-0.22949135,1.5859652,1.383201,0.7094256,-0.0012665306,0.42235294,-0.022059336,0.7195407,-0.41879445,0.060891245,-0.33154833,0.43635815,0.5931957,0.2614262,0.52084064,2.4905803,0.89485043,0.5156566,2.0186417,0.07621558,1.0968679,-0.13690065,-0.060796816,0.4025169,-0.21763897,-0.39905307,-0.043937396,-0.07363515,-0.018353818,-0.5055828,-0.013530633,-0.08990751,2.834831,1.0399817,-0.04043044,-0.12306496,-0.08995766,-0.04537929,0.2894877,1.1233644,-0.04252913,-0.18446888,0.64709586,0.83643675,-0.071664214,-0.4364929,0.29997388,-0.09844457,-0.08191888,-0.25232846,1.2483695,0.61047435,-0.02658755,-0.072660334,0.124599144,-0.013094449,-0.07657467,-0.008461184
TCGA-4T-AA8H,0.13391766,-0.3794378,0.74349153,0.6358274,-0.033075504,-0.008935399,-0.13846405,2.2937875,1.73759,0.3557626,0.3858903,1.3401242,0.11225319,0.5574207,-0.30902323,-0.015230084,-0.36560944,0.6176413,-0.022848284,0.10932152,0.21425357,2.3174613,0.79993653,2.188884,1.9313037,0.35637414,1.4982435,-0.20498891,-0.08616411,0.4723529,-0.19072555,-0.42825958,-0.0025937909,-0.0495911,-0.002877033,-0.44391456,-0.032942,-0.03890207,2.2891717,0.9857031,-0.12477465,-0.0041341493,-0.10933714,-0.026072323,-0.012366885,0.9437692,-0.022285452,-0.21626876,-0.009409762,0.41621888,-0.08683208,-0.474478,0.33917204,-0.08560637,-0.03220442,-0.2076253,1.2712536,0.38670343,-0.13763244,-0.07736083,0.13149449,0.8578387,-0.08579216,-0.06532506
TCGA-5M-AAT4,0.39622548,-0.40634033,0.55889255,0.65146744,-0.036220822,0.23656853,-0.17604256,1.8320782,1.5086881,0.50437975,-0.0155665595,0.4511988,0.030543316,0.06149967,-0.41285616,-0.010884336,-0.39172393,0.95703286,0.37543288,0.23372659,0.5198824,2.7929707,0.93023086,0.92888355,2.3548656,0.11080353,1.5350356,-0.19940989,-0.101077855,0.09064841,-0.27080408,-0.44761282,-0.017548997,-0.09480871,-0.008562962,-0.48713455,0.0113591775,-0.08609334,2.4628384,1.217894,-0.09151357,-0.09241637,-0.098515354,-0.037852634,0.3504765,1.4018388,-0.015588867,-0.21302302,0.3889974,0.7037429,-0.099168286,-0.50128955,0.57214355,-0.09681215,-0.04511442,-0.24536847,1.385483,0.28620172,-0.074150704,-0.07730681,0.34215128,-0.010124958,-0.094719276,-0.042282633
TCGA-5M-AAT6,0.09872503,-0.31083435,0.893634,0.7095458,-0.016039034,0.27199715,-0.1361069,1.555467,0.85002136,-0.00841173,0.3027746,1.4714897e-07,0.7038688,1.0219086,-0.10266333,0.18367633,-0.26636216,0.431618,-0.030905813,0.8844358,0.6510124,1.8281391,0.3769549,0.5385104,1.5263255,-0.0077079567,1.433476,-0.13600646,-0.05324013,1.3796899,-0.14577492,-0.24706092,-0.003908051,-0.037853546,-0.025784409,-0.33019882,-0.022506334,-0.032703724,2.0307872,0.7645565,-0.11720597,-0.060647935,-0.06516379,-0.017850632,0.28749987,0.8125179,-0.035038125,-0.15999229,1.1284299,-0.024620222,-0.054193806,-0.3189863,-0.014548021,-0.08422512,-0.027399916,-0.12146767,1.0477699,0.16788799,0.27716535,-0.093752414,0.27992263,1.0999838,-0.04767921,-0.04431996
TCGA-5M-AATE,1.0063102,-0.35381663,0.6834115,0.6396685,0.065955706,0.007854458,-0.1707941,1.0091001,1.7329475,0.822,-0.0015303597,0.22443493,0.25504115,0.64018553,-0.35712802,0.3276202,-0.27030984,0.37466198,0.35040268,0.24871998,0.6034162,1.9706041,0.4529516,0.19865908,1.6782838,0.23108642,1.3443749,-0.12919277,-0.08296453,0.28028026,-0.1901557,-0.304401,-0.020956103,-0.04821939,-0.026144138,-0.3919378,-0.004459998,-0.08955195,2.303482,0.826365,-0.072996356,-0.077044845,-0.09009558,-0.021161001,0.484769,0.86224556,-0.02248182,-0.13484204,0.6644285,0.77177525,-0.08690774,-0.37371,0.3268436,-0.10317882,-0.034216158,-0.20891105,0.86449176,0.60570323,-0.007020715,-0.0775326,0.26692554,0.23348558,-0.06999454,-0.03625444
TCGA-A6-2671,0.52136457,-0.45547447,0.4095289,0.63532794,-0.014028541,-0.008580071,-0.2436928,1.700175,1.6267655,1.293652,-0.0016828511,-0.034922298,0.13989523,1.0394218,-0.45771328,-0.0031957354,-0.35562897,0.42531285,0.96920264,-0.0038112623,0.82155395,2.7256389,1.2247196,0.16571657,2.7301846,0.6046845,1.4089944,-0.1432261,-0.13189815,0.5539453,-0.28469586,-0.44060284,-0.020511534,-0.084279865,-0.013073961,-0.5035397,0.24574819,-0.103646636,2.9271033,1.2097559,-0.07313811,-0.13132508,-0.04223955,-0.037792545,0.57547945,1.2552068,-0.014331149,-0.23105724,0.7352587,0.86758745,-0.09850537,-0.49315318,0.18042406,-0.09855858,-0.009547608,-0.29568166,1.4658537,0.42436028,-0.014599432,-0.06727817,0.22861798,-0.037461855,-0.109853424,-0.04060287
TCGA-A6-2672,0.35405257,-0.5455845,1.3154337,1.0200658,-0.019862946,-0.017027915,-0.14991538,2.934258,2.0064754,0.072525084,0.7027516,0.5868709,0.56083876,0.29399347,-0.40247947,-0.036635563,-0.5182387,1.3122044,-0.032930557,0.69101775,0.46684992,3.2308345,1.0816443,2.5961359,2.899723,0.4203511,2.016322,-0.29539493,-0.12015819,1.3347825,-0.2813733,-0.6065971,-0.027028605,-0.09988663,-0.026842523,-0.6090993,-0.04904997,-0.038388584,3.242947,1.3338886,-0.15076277,-0.023645705,-0.11569824,-0.012210528,0.25247112,1.2828125,-0.023662923,-0.31194457,0.18874042,-0.007887996,-0.06260269,-0.6437257,0.40328613,-0.12907039,-0.06733953,-0.30252096,1.5682626,-0.0039533474,-0.19276018,-0.10282909,0.6385522,1.2873311,-0.11821952,-0.063280754
TCGA-A6-2675,0.41632497,-0.30653638,0.5840174,0.4947614,-0.035820305,0.05099656,-0.1656907,0.88809216,1.172539,0.70217866,0.04618315,-0.0057569444,0.4901297,0.9897828,-0.24012963,0.28843376,-0.24872577,0.4015357,0.13958582,0.32178214,0.49258667,2.0121453,0.35650876,-0.009546935,1.5140326,-0.004271501,1.2503347,-0.11516237,-0.056967195,0.6775699,-0.1692678,-0.25380903,-0.025924323,-0.061307628,-0.03461855,-0.34588912,-0.0066779815,-0.08640705,1.9101149,0.6979765,-0.06790414,-0.09479235,-0.062391825,-0.022298496,0.6163761,1.1263813,-0.013856343,-0.15201403,0.7474582,0.17213875,-0.056246024,-0.2983978,0.10381062,-0.094491154,-0.010986149,-0.15990797,0.7233086,0.7810355,0.08698283,-0.08638649,0.4561625,0.18958548,-0.046650756,-0.037493225
TCGA-A6-2677,1.0255611,-0.4832259,1.2264105,0.8322128,-0.033958424,0.13437393,-0.18104032,2.5208585,2.1445975,1.066171,0.5751364,0.74706256,0.19264476,0.8689962,-0.379731,0.29262525,-0.45234948,0.67639446,0.02308993,0.4194813,0.76184213,3.2261233,0.95036167,2.0782492,2.6375365,0.83647704,2.1082091,-0.24361746,-0.1141445,1.0444769,-0.28282556,-0.49242845,-0.006458623,-0.074122116,-0.01474798,-0.58731943,-0.032450862,-0.10360779,3.0179853,1.3387544,-0.12638278,-0.07138807,-0.13507897,-0.017803106,0.6288749,1.4053187,-0.022994315,-0.27176103,0.37486494,0.70966494,-0.10591125,-0.6232362,0.3756177,-0.09896652,-0.058966663,-0.28949702,1.313429,0.42691523,-0.11044883,-0.10422311,0.18389763,0.80548507,-0.14144482,-0.087418474
