patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-3L-AA1B,0.13969976,0.23491372,0.1065373,-0.0003698271,-0.009957182,0.06301452,-0.0031524375,0.15166137,0.6412469,0.22839871,0.10568391,0.21382841,0.34439704,0.2753514,0.024127977,0.05340068,0.04459673,0.031435464,0.14583516,0.06031258,0.2272032,0.2147637,-0.0041878065,0.09305381,0.023857309,0.28076658,0.13952182,0.052136235,0.13833281,0.17727783,0.036063723,0.16238774,-0.006054601,-0.0028486017,-0.018007847,0.24685898,-0.005673375,0.49263,0.012217335,-1.7313287e-05,0.090525135,0.1947752,-0.000958417,-0.0016222972,0.077473156,0.07564129,-0.0002977673,0.19829744,0.077529214,-0.0014242089,0.5480662,-0.023152227,0.19409654,-0.0013373252,0.33587825,0.12927012,0.124921694,0.6501256,-0.0014589647,0.55430406,0.114714175,0.11032398,0.49079132,-0.00052512734
TCGA-4N-A93T,0.13734508,0.26596215,0.35086414,0.17077978,-0.0070477338,0.052111115,-0.015056932,0.17409861,0.7654881,0.13731477,0.32985288,0.196564,0.44495493,0.35562485,0.061738163,-0.0008225806,0.052415557,-0.002659559,0.02413068,-0.003146305,0.3219393,0.041111335,-0.012208222,0.15568432,0.10732813,0.29510438,0.19996162,0.03171572,0.023276553,0.49091485,0.03588409,0.40575063,-0.0055996776,0.06810803,-0.0095586395,0.2523721,0.0027282238,0.5132241,0.09139757,-0.0033208565,0.13500364,0.18266666,-0.008813798,-0.00638021,0.22890297,-0.004762372,-0.014313744,0.058201995,0.12590182,0.11624466,0.6786364,-0.030127406,0.1523215,0.035096288,0.417755,0.18705277,0.044160157,0.74919957,0.018894434,0.83518726,0.035028942,0.073814094,0.65905,-0.0030346503
TCGA-4T-AA8H,0.060046203,0.39913926,0.34071967,0.11528374,-0.0128519265,-0.010468903,-0.014916256,0.14891094,0.9456019,0.08539046,0.24678482,0.15472849,0.10456749,0.29610628,0.000722155,-0.011712598,0.06253837,0.075764224,-0.012478118,0.06266841,0.26394135,0.04341416,-0.0196978,0.22339028,0.09511334,0.023012534,-0.0015957769,0.034629147,0.111524545,0.40788972,0.10447108,0.27321303,-0.013586489,0.20500773,-0.019445674,0.22909075,-0.0012878288,0.7071739,0.09015484,0.10776903,0.18451211,0.15412925,0.023404695,-0.0064806486,0.3471937,0.16105,-0.021730749,0.36670133,-0.008458406,0.09637079,0.80998486,-0.03363259,0.24794316,0.07740644,0.4925876,0.10423228,0.31998146,0.9230313,0.119455494,0.96331155,0.11082299,0.06677435,0.8074914,0.026840199
TCGA-5M-AAT4,0.0592172,0.2793559,0.22134809,0.01670364,-0.008452524,-0.009855347,-0.010316972,0.27243072,0.98304445,0.0841628,0.11934556,0.010634184,0.58246386,0.52239174,0.043438412,0.04593966,0.2501266,0.029900685,0.13485211,0.07423366,0.34554368,0.25206712,-0.009194157,0.17016137,-0.0065953783,0.25069404,0.12966485,0.046126097,-0.001002244,0.27414057,0.15834828,0.1815944,-0.022613484,-0.0008977361,-0.014145446,0.27290612,-0.0066190804,0.769348,-0.007548393,-0.0065807374,0.15049158,0.21418628,0.13025016,-0.014935988,0.26248792,-0.0036828693,-0.009924176,0.1158687,0.32236204,-0.0006097203,0.8842588,-0.019571904,0.30899608,4.4502318e-05,0.6081951,0.05294777,0.2998483,0.89275485,0.109938115,0.96937674,0.051062964,0.2551595,0.9430959,0.057008322
TCGA-5M-AAT6,0.37236083,0.831766,0.2161951,0.080557644,0.053702414,-0.020216996,-0.04614942,0.8383953,1.754791,0.9363729,0.35385695,-0.00021783226,1.415587,0.8099056,-0.022746045,-0.025463477,0.87570834,-0.021062724,0.11678629,0.2785388,0.51599705,0.17942253,-0.0010416616,0.22276947,0.011188304,1.1005394,0.5800138,0.21011414,0.05855823,0.66615117,0.23650773,-0.0025945073,-0.0154927345,0.10971538,-0.02347813,0.36327177,-0.041930158,1.1797522,-0.025154514,-0.004810974,0.45121694,0.28140998,0.2159537,-0.011789752,0.2958264,-0.0061090235,0.04308785,0.03952,0.39228258,0.12682706,1.1442925,-0.06738194,0.4689991,0.27156395,0.62919813,0.41254702,0.8480258,1.3508631,0.03906531,1.7720624,0.2744202,0.08827078,1.7252711,-0.0044393092
TCGA-5M-AATE,0.20669,0.40048635,0.2570172,0.09884493,0.0048507974,0.07820332,-0.01515533,0.17644173,1.0078976,0.03042856,0.3444591,0.3085779,0.6094527,0.46448648,-0.005670905,-0.013211203,0.22189964,0.12040405,-0.01925224,0.08181619,0.32252854,0.18446591,-0.009008805,0.21776813,0.008766392,0.278876,0.2710752,0.07149618,0.07343621,0.24912453,0.03336606,0.30872816,-0.01741511,0.0078026056,-0.010761189,0.13249388,-0.00030304864,0.7096284,-0.0038837113,-0.003196431,0.1537128,0.2080332,0.1329257,-0.0063207992,0.33130896,0.05345964,-0.005495539,0.4176532,0.20185098,0.07684865,0.89875335,-0.040689025,0.28517818,0.019471772,0.43017134,0.2878763,0.27952287,0.9353559,0.12846799,1.1712816,0.3347196,0.15981251,1.0626863,0.039731115
TCGA-A6-2671,0.28315872,0.5831696,0.28571266,0.23092726,-0.003438554,0.037804376,-0.029265827,0.029644161,0.89647967,0.42898524,0.19968332,0.089139044,0.43028206,0.1119418,-0.015906602,-0.003600359,0.1976761,0.3604068,-0.023498992,0.13611284,0.23466061,0.07416085,0.036828328,0.74103135,0.043961495,0.27376977,0.30125764,0.26637018,0.28885543,0.39158896,0.27682808,0.021656001,0.14906727,0.35742316,-0.013081971,0.52704144,-0.018523145,0.7949029,0.1831594,0.015047904,0.007480506,0.1857861,0.40654427,-0.012759815,0.3187234,-0.007263971,0.039140087,0.1573469,0.021873537,-0.0038938911,0.9560136,-0.050101545,0.24950242,-0.0019186164,0.15731582,0.19478583,0.25001726,0.8972657,0.38880566,0.74965197,-0.010217077,0.07163979,0.93103606,0.2214187
TCGA-A6-2672,0.2669161,0.6707346,0.96585387,0.41911447,0.058295093,-0.0061610504,-0.033770338,0.22242072,1.1005845,0.024649898,0.004462205,0.37923527,0.7258622,0.5394687,0.017244967,0.082057476,-0.0012878726,0.026089814,0.17876786,-0.0002935268,0.23169523,0.2117059,-0.0061422936,0.3266698,0.11228204,0.6353661,0.59485877,0.24570303,0.06357523,0.77936894,0.2717746,0.7482749,-0.0055311928,0.16077861,0.0010079853,0.17478892,-0.006531231,0.95084846,0.31495047,-0.0017751463,0.23124547,0.3828651,0.055768974,-0.017182726,0.22003824,-0.0053363326,-0.0060067247,0.012171131,0.10654184,-0.0059112,0.98563945,-0.043208342,0.59716433,0.43531948,0.60633767,0.36293358,0.16156535,1.0076617,0.37857717,1.0538309,0.00489828,0.22055955,0.8777703,0.15232563
TCGA-A6-2675,0.07916354,0.2491175,0.19841333,0.077087805,-0.009576188,0.001010535,-0.008397263,0.2114529,0.62414706,0.22890604,0.07440019,0.09709512,0.24236596,0.15575258,0.010930555,-0.0063707917,0.27710846,0.0722497,0.07971023,0.12465591,0.1567345,0.05750413,-0.013166755,-0.0017401126,0.09362276,0.08469997,0.062140267,0.02617706,-0.0022459873,0.1586522,0.15166368,0.054305248,-0.0046097063,0.00010629371,-0.011802487,0.19369665,-0.0116032725,0.52238876,-0.009071617,0.03133364,0.16297485,0.06944128,0.04544369,-0.0028908195,0.14425746,0.060879845,-0.007012741,0.11958268,0.15370417,0.020458395,0.6001277,-0.017262325,0.14631814,0.10417103,0.4954119,-0.0015075312,0.119281486,0.62196934,-0.0014076794,0.6644728,0.10316199,0.06916392,0.5597324,0.032855406
TCGA-A6-2677,0.22136892,0.37524754,0.35837737,0.11559129,0.060191743,0.15460065,-0.027415946,0.22433394,0.6948916,0.10647526,0.059517127,0.21958634,0.41307145,0.5998547,0.09265421,0.023730211,0.3027678,0.07588065,-0.0039589307,0.11142884,0.10279146,0.02298209,-0.012746911,0.22512409,-0.004986686,0.10412879,0.08413489,-0.0021308796,0.24024102,0.47302702,0.20925982,0.16078585,-0.007713545,-0.0025566227,-0.0031649624,0.04994403,-0.013319167,0.7366778,0.08550431,0.060930833,0.12117286,0.17163064,-0.0001072187,-0.0014025149,0.38042372,-0.022683863,-0.008549819,-0.01265505,0.113655806,0.10342214,0.750977,-0.029960457,0.32302177,0.04969298,0.109580696,0.13603424,0.20593272,0.8821182,0.30436283,0.8987033,0.0058512986,0.24484596,0.9057708,0.18809748
TCGA-A6-2679,0.17099747,0.17028537,0.3026237,0.10435639,-0.013431749,0.02934421,-0.012153848,0.1332913,0.60193145,0.18563351,0.03810643,0.045568097,0.34543562,0.33385193,0.10088646,0.14335251,0.044539385,-0.008911534,-0.005988046,0.16164806,0.19810346,0.15878856,-0.015658448,0.1344539,0.05629088,0.015326619,0.14412889,-0.01234424,0.089017555,0.40454462,0.20201102,0.10256922,-0.0040589347,0.004332207,-0.003507231,0.055678736,-0.0036101956,0.4687345,-0.0018336863,0.11750527,0.21054448,0.14420974,0.06757856,-0.012589045,0.20211706,0.13299833,-0.007905771,0.13723262,0.1075933,0.11623733,0.67658967,-0.019399537,0.0889664,0.03143636,0.26290196,0.037234306,0.19597179,0.6012788,0.10164873,0.6498594,0.03746739,0.14496079,0.6714423,0.048879176
TCGA-A6-2680,0.05252356,0.7332135,0.6399977,0.5297273,0.005532764,0.327625,-0.030940866,-0.018059997,1.3173116,0.38154507,0.93988585,0.284756,0.42466545,0.12198376,-0.014903719,-0.014793162,0.10545351,0.5162468,-0.005984234,0.26845568,0.19106913,-0.00464063,0.069976866,1.0859238,-0.008612241,0.28666455,0.30051932,0.4224556,0.2929025,0.31773502,0.6198359,0.3131995,0.14789158,0.30909494,-0.023345545,0.86060244,-0.029163802,1.026069,0.29871297,0.063654654,-0.008153947,0.11680479,0.8479032,-0.03329697,0.28449982,0.1726944,-0.011853329,-0.000772148,0.061506707,0.19252746,1.4050632,-0.05718824,0.5485893,0.30766445,0.4150014,0.28045112,0.24826452,1.0946115,0.25243795,0.8200359,-0.0143609345,0.26007003,1.1043277,0.65168786
