patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-3L-AA1B,0.74527943,-0.063433416,-0.06769653,0.18546201,0.63782704,0.058187153,0.32269692,0.311676,0.20407191,-0.049089026,0.37260473,0.962549,0.53056306,0.21391487,-0.10830474,-0.004439919,-0.049022835,0.21657589,0.7335832,0.5734322,-0.021725545,-0.044718724,2.322724,-0.09618715,0.42147565,-0.04623163,0.53672034,-0.009894745,-0.03134277,0.31657684,-0.0984909,1.6605939,-0.0058562607,2.4305549,-0.007273771,-0.07564286,-0.02598165,-0.089952074,0.20459431,0.3034774,-0.07904274,-0.037409257,2.340651,-0.011580727,-0.09327409,0.114382684,-0.009328936,1.2045708,1.5506135,-0.036157608,-0.10950134,-0.13169883,0.26763892,0.09724825,0.6645758,-0.12165683,-0.18120725,-0.05365933,-0.031064693,-0.11218581,0.18177268,1.4287604,-0.05977547,1.3713137
TCGA-4N-A93T,0.8583554,-0.07967938,-0.09913408,0.32889527,0.99513537,0.14605695,-0.032050613,0.67451036,0.2588182,-0.047635157,0.28712597,1.2208723,0.8414425,0.38386914,-0.13229328,-0.018836219,-0.11374531,-0.0046170386,1.3088005,1.4855715,-0.027717108,-0.09116325,3.0969603,-0.11114069,0.82565564,-0.04378259,0.7957636,0.1739366,-0.08127177,0.17642282,-0.12544088,2.2526472,-0.0022307567,3.2918024,-0.00454299,-0.08417149,-0.010099209,-0.12606639,0.0062208325,0.35966572,-0.13683806,-0.031488862,3.4227037,-0.003919616,-0.08034936,-0.0128534725,-0.0143188825,1.7390327,2.405211,-0.035574894,-0.14556551,-0.1851839,-0.012291086,0.49781337,0.43401015,-0.17028819,-0.23528154,-0.042666685,-0.041617583,-0.18045412,0.09755727,2.091113,-0.11069747,2.3538682
TCGA-4T-AA8H,0.7010706,-0.045470156,-0.06478392,0.15337224,0.600786,-0.0020106595,0.2695397,0.084735416,0.24058251,-0.038038507,0.13872142,0.85071534,0.4898587,0.2822634,-0.079109706,0.058196686,-0.040383343,0.18754403,0.5683895,0.5683161,-0.015180031,-0.047789987,2.0083508,-0.07217147,0.47704473,-0.043700367,0.39285836,-0.016039228,-0.034361105,0.5087141,-0.082559064,1.3836678,-0.0130211655,2.0019834,-0.017368898,-0.06820691,-0.015420864,-0.072817355,0.08672274,0.33912033,-0.07411978,-0.035654392,1.9713129,-0.025617449,-0.0637743,0.13054277,-0.013301148,1.0505576,1.3213799,-0.015065119,-0.09260183,-0.10945721,0.42890823,0.11056815,0.51034015,-0.09626721,-0.1516394,-0.038563296,-0.020852523,-0.08915605,0.11332748,1.1407385,-0.051990103,1.0975419
TCGA-5M-AAT4,0.35650814,-0.07104205,-0.0756714,0.33781394,0.74015415,0.24055408,0.08352128,0.22842589,0.3214174,-0.044958558,0.33608192,0.8050678,0.57206327,0.4116767,-0.10828256,-0.012710347,-0.053065676,0.34137076,0.6983231,1.1679934,-0.013109045,-0.07056768,2.4794517,-0.09800325,0.32978836,-0.03716075,0.51186955,-0.002646662,-0.029987887,0.34691966,-0.12067578,1.9200206,-0.0045212316,2.5807936,-0.023894666,-0.085374735,-0.018791895,-0.09666308,0.07748628,0.19782652,-0.081307404,-0.03765243,2.7169805,-0.021251032,-0.08924712,0.21935488,-0.009547463,1.1592,1.7437025,-0.0322583,-0.12940685,-0.13171165,0.3364616,0.26171044,0.30658358,-0.13817313,-0.1898527,-0.051112212,-0.05001962,-0.13892226,0.11884018,1.6359321,-0.057775605,1.851435
TCGA-5M-AAT6,0.33957377,-0.06627429,-0.06323002,0.313461,0.57907164,0.051565,0.53970206,0.12662105,0.044710375,-0.049380798,0.2904429,0.7501295,0.53906566,0.30730596,-0.106547825,-0.011709832,-0.06533151,0.6017641,0.7514632,0.46141192,-0.018848471,-0.05047056,2.1895201,-0.09766819,0.33552685,-0.0320733,0.058522724,0.25648856,-0.029670704,0.6324501,-0.0769778,1.5689489,-0.008004255,2.335549,-0.009583636,-0.061413735,-0.020008147,-0.06257375,-0.0012277244,0.54012465,-0.08588047,-0.03305137,2.2052107,-0.018120475,-0.09897416,0.18291914,-0.013290673,0.9684819,1.6023859,-0.017824179,-0.10469412,-0.12121736,0.3969925,0.74143356,0.103336245,-0.12902732,-0.15634711,-0.049622715,-0.05365788,-0.12566707,0.12819481,1.3734242,-0.04306029,1.7342166
TCGA-5M-AATE,0.47917908,-0.042756826,-0.063797936,0.14151944,0.49440733,0.16051704,0.29392835,0.14028354,0.21529457,-0.04425391,0.11565325,0.82388335,0.5424132,0.18442902,-0.08814425,-0.0056980113,-0.03271816,0.2452646,0.64946645,0.594913,-0.019368093,-0.046303764,2.148534,-0.07581382,0.30276805,-0.030807141,0.45127413,-0.0021560271,-0.032810044,0.22772904,-0.06573995,1.4640013,-0.024723982,2.2523463,-0.0056985863,-0.0603656,-0.031067977,-0.071678996,0.13109316,0.12864392,-0.08285316,-0.026677841,2.2172136,-0.010174473,-0.0803611,0.068957336,-0.006089657,1.09835,1.46909,-0.0154278055,-0.10150378,-0.12164869,0.30544353,0.16626102,0.47245094,-0.11644244,-0.15156926,-0.032514695,-0.034617722,-0.08756187,0.30463654,1.4163843,-0.047229238,1.4335928
TCGA-A6-2671,0.3182025,-0.055494327,-0.055631578,0.52698165,0.40317982,0.67207515,0.12388546,0.21181156,0.2794929,-0.034383215,0.27281448,0.5476803,0.49215698,0.21214962,-0.058464017,-0.010804094,-0.030875826,0.39911163,0.7002857,0.14692724,-0.022116164,-0.036729973,1.8178802,-0.06400723,-0.02104202,-0.019545948,0.39955857,0.030772112,-0.02250815,0.46632338,-0.08662623,1.017619,-0.039914884,1.9676322,-0.03042501,-0.04652921,-0.0026287716,-0.05541851,0.014693664,0.29800484,-0.09302946,-0.050756466,1.8772523,-0.003856207,-0.08822969,0.054114476,-0.0015488489,0.8033525,1.4377882,-0.02730057,-0.09607469,-0.097251885,0.3304317,0.039500825,0.26525396,-0.09688239,-0.16193667,-0.043750834,-0.027382573,-0.116157115,0.3193467,1.2885497,-0.05175348,1.1761789
TCGA-A6-2672,0.93099207,-0.049347963,-0.0796042,0.1441161,0.6953908,0.14175627,0.56438386,0.16846617,0.18217903,-0.047056,0.31420076,1.1276838,0.67686725,0.06595197,-0.09482506,-0.006651446,-0.06675109,0.35314578,0.75656813,0.8985816,-0.004782149,-0.03698247,2.340756,-0.09271776,1.0548929,-0.055543788,0.19598743,0.09199504,-0.039953925,0.699082,-0.088819705,1.7854415,0.057965748,2.3331892,-0.019045386,-0.072817706,-0.02306342,-0.061819073,0.059307113,0.42676046,-0.08746118,-0.035241008,2.3568788,0.006670084,-0.08290349,0.25458065,-0.022413844,1.1202277,1.5409632,-0.019640254,-0.093233585,-0.12430228,0.28809187,0.3255631,0.6075176,-0.10379082,-0.1758257,-0.05837064,-0.018911991,-0.12747632,0.29828593,1.2483007,-0.054597672,1.5630295
TCGA-A6-2675,0.5192373,-0.038735844,-0.049848985,0.049766663,0.38991094,0.08184062,0.5406939,0.21456213,0.16355895,-0.03135852,0.08796306,0.7282054,0.4560753,0.22457287,-0.07485268,-0.013507788,-0.043840367,0.19751842,0.530202,0.123641,-0.0054912134,-0.029225701,1.5264368,-0.06800145,0.1638748,-0.027020916,0.22451538,0.04678025,-0.013076981,0.31394374,-0.06681454,1.1274396,-0.0082569625,1.649505,-0.0119117275,-0.044242308,-0.012699598,-0.041206863,0.11286894,0.24260697,-0.06600569,-0.0282737,1.6415933,-0.0041096676,-0.079908215,0.11980459,-0.0042566247,0.8348137,1.0098622,-0.018771518,-0.065385655,-0.09163549,0.33905584,-0.000410284,0.4410128,-0.081184976,-0.12947494,-0.038567357,-0.03084675,-0.07522923,0.12986839,1.1010402,-0.04430726,0.99203193
TCGA-A6-2677,0.94642085,-0.05477221,-0.0888901,-0.0034939267,0.87987,-0.0017650638,1.2644833,0.23491259,0.39812374,-0.054688293,0.2700783,1.2748846,0.7860892,0.2398436,-0.110271074,-0.011460147,-0.058868516,0.04499255,0.78831714,1.1435202,-0.019054396,-0.06329137,2.5037408,-0.11768496,0.8863711,-0.075515285,0.19858292,0.27722496,-0.053567138,-0.0015312314,-0.11346958,1.8790107,-0.013777645,2.5023124,-0.01042814,-0.08102669,-0.008076464,-0.0696742,0.36535117,0.044211775,-0.11718758,-0.04560052,2.6564465,-0.011844143,-0.09645681,0.15302451,-0.009907711,1.3597736,1.5739615,-0.021330556,-0.104263596,-0.14013617,0.41357797,0.71153253,0.48132527,-0.12440902,-0.15118475,-0.045917757,-0.053880658,-0.107433595,0.1811285,1.5928952,-0.042492624,1.7581022
