patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-3L-AA1B,-0.05140811,0.18169604,1.7853302,0.82688975,-0.27664563,1.8762705,2.2374294,0.8064846,0.062150043,-0.058590718,0.10140739,0.5256136,0.3818088,0.76043105,-0.009940796,0.25361067,-0.045013636,2.2446892,2.6030324,0.025745688,0.71942294,0.37415797,-0.0602687,-0.14592864,1.0141873,-0.0026094206,-0.25020692,0.18776357,2.2147584,-0.028578285,0.56802166,0.4446602,0.8116618,1.4090445,-0.18616028,0.64508516,0.04827255,2.4894018,0.23953833,0.3930334,-0.02607575,0.9444096,0.73445123,1.4292098,-0.16955516,1.6125774,2.1668653,0.40657628,0.35860223,0.17272112,-0.11435708,-0.19819485,-0.0002976388,-0.070733376,2.2192094,-0.3643319,-0.02740377,-0.09140909,1.2895963,1.5386567,-0.081915565,-0.008669647,-0.027582556,-0.23631027
TCGA-4N-A93T,-0.056813907,-0.012644759,1.6913189,0.5596343,-0.26235577,1.8509127,2.1424792,1.8064059,0.76868874,-0.027613888,0.8277277,0.5058426,0.16829875,1.2201995,-0.009485447,0.7877623,-0.014899935,2.058194,1.940859,-0.010493605,0.8420195,0.384656,-0.061152328,-0.2534155,1.8037062,0.009962574,-0.23494661,0.5108185,1.8283503,-0.011460629,0.6246191,0.27271414,0.4880069,1.3313334,-0.1436015,0.5707437,-0.052002724,2.2494621,0.18628405,0.32897758,-0.046230193,0.61348605,0.8889744,0.80443317,-0.13758634,1.3245192,1.8458159,0.196714,0.023095503,0.035377704,-0.06994457,-0.12920062,0.053969115,-0.072142534,1.7562984,-0.27278534,0.046240386,-0.045402814,0.37576845,1.645416,-0.09009866,0.27932578,-0.034287855,-0.1796673
TCGA-4T-AA8H,-0.036780324,0.1937228,1.4186844,0.6295635,-0.28565043,1.7429157,2.3058443,-0.021876927,0.24033678,-0.015620309,0.0724972,0.5349268,0.0339868,0.48600307,-0.023923773,0.28188935,-0.033430394,2.0219836,2.1746585,-0.017521529,0.7896984,-0.011295176,-0.053636294,-0.11713918,1.1230445,0.18636297,-0.25242475,0.46587098,2.028548,-0.016589107,0.8169577,0.45894575,0.5532976,1.0120159,-0.10553981,0.09198214,-0.011757585,2.3069289,0.3266828,0.5733376,-0.038489982,0.88683605,0.89248693,2.0919333,-0.16670981,1.7692765,1.8315178,0.62042487,0.41090202,0.6960129,-0.097814284,-0.12085918,-0.016932677,-0.05168989,1.9905068,-0.33260086,-0.002473382,-0.06928067,0.9630455,1.3697634,-0.08451778,0.12844539,-0.0016099185,-0.21293771
TCGA-5M-AAT4,-0.064824834,0.168575,1.7476451,0.3953109,-0.3095597,2.1859472,2.1796832,1.2974694,0.5840208,-0.019048303,0.29373688,0.25141624,0.38749585,1.1172199,-0.044075746,0.42764565,-0.04314143,2.1212099,2.330595,0.09453729,0.6618246,0.56250435,-0.086237244,-0.2401998,1.7505107,0.0015428271,-0.2753034,0.32256392,1.983964,-0.04033619,0.58558726,0.18605845,0.32086104,1.301233,-0.13523245,0.30692536,-0.0523138,2.5148335,0.22803895,0.27078277,-0.022885716,0.6002593,1.1989714,1.3759812,-0.18537316,1.7194412,2.0240393,0.2989049,0.6811569,0.053189263,-0.090192206,-0.15535684,-0.003814318,-0.040954735,1.8806324,-0.32266364,-0.009868812,-0.07254859,0.0828518,1.6845877,-0.09963488,0.26135507,-0.060052104,-0.24116898
TCGA-5M-AAT6,-0.006883615,0.19842088,0.86150527,0.341281,-0.1545761,1.3434858,1.1604817,0.93987036,-0.020211793,-0.02780792,0.049396276,0.26166525,0.18705256,0.5135366,-0.023324346,-0.0039220355,0.07777621,1.2059745,1.9482179,-0.026729692,0.4327045,0.836042,-0.040992945,-0.036003795,-0.010456672,-0.016666567,-0.12864196,-0.010816048,1.9216269,-0.003013023,0.09398277,0.21848315,0.139629,1.0434508,-0.15985034,0.9283324,-0.010365491,1.7161028,0.11175067,-0.010141114,-0.024063256,0.5189557,0.51894146,0.34482288,-0.10447516,1.0986302,1.4651737,-0.0050633512,0.2249291,0.5941052,-0.07917188,-0.13998082,0.35952833,-0.04177929,1.564888,-0.23258583,-0.028720874,-0.046652786,1.6136326,0.76013774,-0.028943349,0.03795823,-0.035008427,-0.1530862
TCGA-5M-AATE,-0.018570185,0.0692077,1.122251,0.22747982,-0.17844556,1.4586574,1.5155194,1.1484582,1.0179818,-0.03058095,0.037386592,0.54906654,0.35225895,1.2127129,-0.046708062,0.7266724,-0.01703014,1.7493788,1.9155434,-0.06646272,0.6008956,0.55317086,-0.026443228,-0.19113652,1.2205626,0.44107878,-0.22003913,-0.008930105,1.6758283,-0.030149916,0.18510748,0.14703362,0.06065342,0.9025334,-0.10856791,0.8506404,-0.037426703,2.073469,0.20778559,0.46617225,-0.012527118,0.7122451,0.53850645,0.35871124,-0.16976884,1.4245949,1.4474337,-0.0022433938,0.93970126,0.5430989,-0.082405455,-0.07615551,0.13458622,-0.03637641,1.6374761,-0.22612527,-0.011671094,-0.049972016,0.25236565,1.4130365,-0.04307821,0.24944964,-0.02370933,-0.17922089
TCGA-A6-2671,-0.0597012,-0.0017739848,1.9000728,0.98210174,-0.24041131,2.2551386,2.0019677,1.732043,1.1479305,-0.045808792,-0.0069313967,0.42346007,0.3148638,1.7838122,-0.045325365,0.60412455,0.029346455,2.0867581,2.5754986,-0.037489258,0.89913493,0.017680429,-0.085088275,-0.26050967,1.4184183,0.3604535,-0.25969806,-0.013480404,1.9870045,-0.06976893,0.3527043,0.2170337,0.07062384,1.2267394,-0.2113258,0.7631671,-0.04762518,2.4806514,0.49311334,0.6366433,-0.026373241,0.42831403,0.8026003,0.5321543,-0.18810222,1.453754,1.9376252,-0.00048232675,1.3780946,0.05484245,-0.09773349,-0.11779342,-0.039577555,-0.04703441,2.291178,-0.34630805,-0.009545924,-0.033442404,0.19239545,1.6961353,-0.07595843,0.24411204,-0.051482465,-0.21421246
TCGA-A6-2672,-0.048959695,0.50404394,2.0257795,0.027009476,-0.390956,2.1484735,2.8436909,0.24070044,0.2279153,-0.05654947,0.33837724,0.7996965,0.51695305,0.78632975,-0.017248103,-0.031170864,-0.044104226,2.700155,3.0747857,0.13207884,0.99580175,0.5674533,-0.12714061,-0.1377651,0.21632856,-0.0377524,-0.3448512,0.41321594,2.4977143,-0.0061522485,0.7423607,0.6116765,0.4049309,1.6912411,-0.19950737,0.5633157,-0.012079266,2.9162066,-0.011032209,0.40074003,-0.03359438,0.8648857,0.96433324,2.4420533,-0.18761523,1.8325921,2.5949588,0.6631535,0.14901991,0.7500948,-0.13923925,-0.18930733,0.010644615,-0.112556994,2.4132686,-0.4734212,-0.027855638,-0.0864737,1.0248957,1.5270743,-0.12276399,0.013438095,-0.037071712,-0.29063466
TCGA-A6-2675,-0.022870222,0.2682008,1.0080268,0.47493702,-0.16157807,1.5069246,1.1128851,1.1689025,0.8058455,-0.04359327,0.29426357,0.3828349,0.32309514,0.8024217,-0.037021756,0.59929085,0.15876052,1.3119798,1.6567484,-0.02943323,0.5541116,0.7663337,-0.05205184,-0.13578059,0.8650529,0.0139458105,-0.1626765,-0.02871807,1.7613236,-0.03516773,0.111486584,0.12926514,-0.018339643,1.109397,-0.13498387,0.9028917,-0.0395074,1.649745,0.07905493,0.111356646,-0.012963888,0.497797,0.5341806,0.05564425,-0.109681785,1.0308133,1.4156651,0.0133528635,0.5142354,0.8454795,-0.07003354,-0.088777594,0.10481255,-0.05266853,1.5185539,-0.2030422,-0.012515557,-0.033872616,0.5448849,1.1314256,-0.0201452,0.18445736,-0.043752484,-0.14585301
TCGA-A6-2677,-0.025818521,0.2442423,2.2161582,0.7754633,-0.3018342,2.5149405,2.3276842,0.732996,1.0473998,-0.025449157,0.4506528,0.5380961,0.33933982,0.98208773,-0.057403702,0.5044602,-0.06411281,2.5665562,2.893438,-0.032754257,0.8315597,0.3215469,-0.1137625,-0.17001463,1.2395899,0.009968899,-0.33794367,0.62527025,2.6964188,-0.039989192,0.5575197,0.6909588,0.41049516,1.3679844,-0.20315571,0.79834276,-0.01829152,2.8859026,0.34387183,0.30424672,-0.07150287,1.2555403,0.9206098,1.9408728,-0.21926081,2.0552118,2.436445,0.49530768,1.3144442,0.6051979,-0.1286315,-0.13621347,0.15270826,-0.095519334,2.5307121,-0.41201386,-0.04220914,-0.07402061,1.3529071,1.8684487,-0.12142016,0.03044488,-0.043608174,-0.26800057
