patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-3L-AA1B,-0.0060978658,0.638935,-0.00096401107,0.4744683,0.28303665,0.15506329,0.11820263,0.12316051,0.12705128,-0.0054655853,0.08700961,0.18790849,0.10872709,0.35467812,0.03064577,-0.0014387019,0.39509752,0.24799865,0.5637409,0.14795691,-0.0059092934,0.18470502,0.22630328,-0.0040620747,0.085158564,0.0971976,0.16454765,0.29042825,0.29386052,-0.010653357,0.4421508,0.17699364,-0.023031004,0.17812479,-0.031114176,0.30571324,0.052004643,0.029961169,0.10486499,0.053542838,-0.013749368,0.17718408,0.051736053,0.11113194,-0.03992493,-0.018880833,-0.018729417,0.26304308,0.27055225,0.11702143,0.07091518,0.35732964,0.5222057,0.14309455,0.13687316,0.24103768,0.030204758,0.15916318,0.17384212,0.11233142,0.4098435,-0.002765171,-0.005236367,-0.03200942
TCGA-4N-A93T,-0.012224054,0.856816,-0.0014635691,0.4369112,0.4047313,0.2531147,0.18234763,0.0031648353,0.116482496,-0.002487309,0.21973759,0.21732055,0.16617641,0.19705611,0.06906225,-0.0040886956,0.36203614,0.39267132,0.73361254,0.064838834,-0.018719314,0.19315037,0.41539088,-0.002505773,0.08245414,0.10856912,0.18240865,0.27956194,0.35749295,-0.008967616,0.45396408,0.21321577,-0.037469946,0.20033112,-0.026684647,0.3943315,0.005568795,0.07037209,0.084387496,0.09920389,-0.0027075734,0.20569906,0.061118245,0.07783694,-0.039306927,-0.021842647,-0.036948077,0.51655376,0.22292385,0.15688565,0.120122604,0.48486954,0.71363103,0.07345213,0.33111024,0.3547246,0.27859503,0.25131384,0.10188991,0.23245038,0.42371336,0.0011423752,-0.0038163513,-0.022435522
TCGA-4T-AA8H,-0.008947339,0.92759216,0.07254674,0.9093691,0.39621127,-0.0030651456,0.112663954,0.26580787,0.2497376,-0.005320229,0.12870823,-0.0051668305,0.14706069,0.35597482,0.18473713,-0.0017260812,0.44500467,0.44477865,0.80517757,0.14867653,-0.029219493,0.1716851,0.5495807,0.0100339735,0.16399977,0.03777477,0.06122639,0.41081357,0.8379689,-0.0072283074,0.6365457,-0.010782171,-0.036552895,0.20772354,-0.04618496,0.35125595,-0.0103571145,-0.008692755,0.42838562,0.2046614,-0.00037053748,0.1572561,-0.0077982224,0.07145269,-0.03909585,-0.02778094,-0.02385708,0.29931223,0.27758476,0.22050917,0.19039734,0.2315886,0.9290035,0.14430463,0.34246555,0.34321365,0.25346732,0.29653287,0.14072756,0.14546925,0.44512692,-0.0073177773,-0.02472125,-0.020844882
TCGA-5M-AAT4,-0.014368548,1.0616765,-0.0035655305,0.6692083,0.5865912,0.38830775,0.08463463,0.19158217,0.20240323,-0.009507993,0.15578428,0.16387556,0.08252903,0.21685869,0.16350603,-0.005852589,0.38141656,0.33808273,0.79868615,0.14560273,-0.0069804513,0.2714493,0.59554785,0.12678817,0.1092748,0.19785404,0.45293158,0.51353943,0.28409535,-0.014269139,0.6927542,0.45680323,-0.041353915,0.25016198,-0.06988044,0.50753987,0.09336259,0.12116997,0.53425664,0.20045513,-0.018449264,0.15404065,-0.0052900477,0.14541292,-0.045017015,-0.021869175,-0.042323228,0.36931685,0.36339015,0.29830408,0.15281081,0.47621098,1.0164818,0.2520586,0.3495293,0.20051633,0.053714067,0.21477334,0.21254325,0.0012624031,0.43574628,-0.0025262162,-0.009211088,-0.0216317
TCGA-5M-AAT6,-0.012355071,2.129337,0.043910637,0.6495434,0.98051065,0.6377755,0.39494786,0.035689056,-0.006573029,-0.027960865,0.16819945,0.14217955,0.106465094,0.24660113,-0.008160551,-0.0009208694,1.2806354,0.49727738,1.4722795,0.5690193,-0.031854864,0.34311712,1.0348077,-0.016368946,0.09237806,0.31327346,0.3552217,0.49952653,-0.04976577,-0.026813304,1.0473304,0.5346571,-0.049833056,0.1820411,-0.10331043,0.83033854,0.18627578,0.17589177,0.33097598,0.053335533,-0.04872395,0.53808695,0.08922699,0.3432684,-0.120274425,-0.03672401,-0.06081756,0.74489117,0.79100513,0.6016144,0.33549258,0.9268161,1.5927389,0.32994342,0.8608935,0.31360307,-0.0028863095,0.3017032,0.45354623,0.32975036,1.2278394,0.4211494,-0.012315686,-0.049685463
TCGA-5M-AATE,-0.0071120234,1.218453,0.102871776,0.7811646,0.6018648,0.48030448,0.2481763,0.11366862,0.20213391,-0.0057727955,0.24920814,0.22368312,0.17891997,0.3608557,0.27241752,-0.0013238654,0.79390657,0.30837995,0.80888826,0.13807228,-0.016017156,0.22201797,0.4860913,-0.0062900567,0.16411549,0.12961954,0.17775506,0.4902104,0.41618648,0.05148762,0.72677,0.2874789,-0.047317084,0.15192007,-0.06159213,0.3171848,-0.006849551,0.09521808,0.36908495,0.2924655,-0.016955366,0.1882135,-0.014690854,0.14987318,-0.049953956,-0.029545764,-0.04034085,0.41846615,0.45968804,0.2895744,0.16294658,0.59160286,1.0290694,0.17916912,0.6046181,0.31229624,0.22920208,0.3446331,0.34068316,0.23168327,0.4353736,0.06028738,-0.02646691,-0.037440106
TCGA-A6-2671,-0.009658294,1.1545087,0.29630238,0.77711236,0.52288157,0.14171235,0.08741158,0.67290425,0.67858917,-0.0017695988,0.081493996,0.18998705,0.5233166,0.08854201,0.5779989,-0.0044917143,0.26234123,0.23628333,0.76702774,-0.0041875853,-0.036066856,0.22017542,0.6182602,0.35936946,0.14047286,-5.3604694e-05,0.083581865,0.34149578,-0.0011551183,0.19039148,0.6463705,0.015647076,-0.054814585,0.13377862,-0.05002883,0.21686019,-0.010059069,0.13220364,0.036139004,0.18532729,-0.020426858,0.38634858,-0.00053878204,0.19225964,-0.04605511,-0.01750322,-0.033476684,0.4013969,0.24378489,0.1105762,0.11554595,0.55101866,1.0541104,0.2989596,0.24440525,0.3535003,0.18043177,0.48480108,0.04090932,0.16279428,0.8163999,0.06117893,-0.011194637,-0.016946832
TCGA-A6-2672,-0.019708058,1.1507832,0.0072379946,0.51562387,0.84783286,0.2158501,0.15031043,-0.013557188,0.77679235,-0.01591382,0.35018197,0.45264533,0.24239555,0.12432538,0.6345719,0.054873392,0.3761928,0.22384569,1.0803014,0.3072715,-0.019589232,0.48631433,0.70664424,0.11113253,0.28464258,0.025611341,0.15863404,0.25148067,0.115269616,-0.0014212258,0.8620108,0.047606327,-0.05887335,0.37042385,-0.03545135,0.3757822,-0.008130681,0.23748854,0.43829483,-0.0019214073,0.05301918,0.24722338,-0.017220592,0.17283611,-0.07367429,-0.023048406,-0.051351607,0.80380857,0.012268107,0.07224578,0.053494163,0.7766838,1.2546523,0.1571712,0.4010577,0.59454495,0.6186601,0.27746567,0.1320821,0.20149294,0.9204628,-0.00064224453,-0.015512446,-0.032123357
TCGA-A6-2675,-0.0064080185,0.7379031,0.026236838,0.4811119,0.39321563,0.1651125,0.08641109,0.13079663,0.011142414,-0.010967577,0.045087256,0.04203091,0.11246071,0.21316716,0.046488103,-0.0007533703,0.24369505,0.19094154,0.55790514,0.15554775,-0.0061807097,0.06825702,0.39088464,0.038736273,0.03773403,0.007006906,0.105337925,0.28605556,0.30942735,-0.009570151,0.40890235,0.18713906,-0.022753054,0.1802628,-0.04274949,0.3314576,0.05984381,0.03247094,0.23120512,0.106565356,-0.012599622,0.1907432,0.10962621,0.121704,-0.033733647,-0.023218585,-0.02753525,0.2866722,0.18912502,0.18296328,0.0993659,0.14893007,0.6186317,0.1758247,0.2349054,0.1583863,-0.00491257,0.13267423,0.09434122,0.11128636,0.41199428,-0.0042597856,-0.00948894,-0.022843605
TCGA-A6-2677,-0.009942513,0.8676398,0.26854888,0.48285738,0.39273748,0.29698968,-0.007420469,0.0116571635,0.24450628,-0.019596856,0.23336488,0.27651817,0.162909,0.0838968,0.29123816,-0.003523263,0.6083869,0.116383106,0.74283814,-0.0019965712,-0.023024177,-0.008656226,0.50715,0.099389985,0.19937795,0.057044365,0.17047966,0.25290126,-0.0048741084,0.15101765,0.48275876,-0.009202599,-0.02497395,0.24948819,-0.02782431,0.28717518,-0.0028946784,0.19764388,0.22310756,0.15837288,-0.020753602,0.24632427,-0.00181055,0.1748021,-0.039732505,-0.020306772,-0.051155258,0.5865363,0.15174495,0.22857547,-0.0045288876,0.32484737,0.9189534,0.17015877,0.5745832,0.20081587,0.3038457,0.23409747,0.089143455,0.10043166,0.35638413,-0.0055729835,-0.011412146,-0.02304746
TCGA-A6-2679,-0.014061096,0.6652603,0.10802252,0.4035281,0.4043143,0.06577447,-0.005648917,0.030688876,0.09281129,-0.013795731,0.2655215,0.09110698,0.11926259,0.117909655,0.23938125,0.040357184,0.3934927,0.32571357,0.49554315,0.0583928,-0.009453593,0.06071367,0.44383752,0.070788376,0.1707345,0.16795346,0.19403759,0.3184336,0.20489345,-0.002007539,0.37224185,-0.00083259604,-0.01413508,0.21699204,-0.027938137,0.34414935,0.04192596,0.12288101,0.18731727,0.040650494,-0.013679515,0.1961196,-0.0048870216,0.10956416,-0.041414924,-0.030405734,-0.02724655,0.36208507,0.18457404,0.16568445,0.04702238,0.31502083,0.5750617,0.24876934,0.38829908,0.32310924,0.046585456,0.17776522,0.08579163,0.03124043,0.23055142,0.03680204,-0.004613915,-0.020589799
TCGA-A6-2680,-0.036934663,1.3878223,0.17013535,1.1813842,0.9095177,0.10258736,0.44854927,1.1472625,0.962982,-0.015694657,0.305432,0.20708676,0.61689997,-0.0019953274,0.63566333,0.14681795,0.0068735033,0.8356074,1.0339261,-0.023459895,-0.039139275,0.3399757,0.9455561,0.46731597,-0.016935652,0.040531687,0.06137737,0.3922561,0.22844546,0.25770357,0.8958052,0.31832552,-0.067672186,0.069478825,-0.06289383,0.22667037,-0.025775526,0.065,0.16657124,0.17139664,-0.012893629,0.2389214,0.04305071,0.17691366,-0.06420301,-0.022870792,-0.043304443,0.44497183,0.0034728902,-0.0075190025,0.16876176,0.67608243,1.5168593,0.4657288,0.37374306,0.3370335,0.29779363,0.8150435,-0.0023010902,0.18783122,1.1569072,0.05444081,-0.0038219467,-0.017775705
TCGA-A6-2681,-0.008352901,0.85318124,0.027290726,0.35790077,0.36050802,0.044952273,-0.0035432947,0.029051796,0.0073990934,-0.015536727,0.11291862,0.1268678,0.11406693,0.11311979,0.071224585,0.054657057,0.4765916,0.15743335,0.45054638,0.16901585,-0.012537061,0.10298831,0.38616627,0.115596265,0.14201039,0.09759437,0.1811418,0.3194818,-0.0072098705,-0.00853533,0.3563602,0.09241369,-0.01980295,0.20516573,-0.027895695,0.32576698,0.041072212,0.034075193,0.20953034,0.0656531,-0.01189262,0.22783276,0.03274509,0.17873974,-0.0446407,-0.022366969,-0.029828003,0.37719175,0.26950163,0.14748955,0.017813036,0.17022598,0.6535138,0.21461225,0.26024035,0.23519692,-0.0037786232,0.08949945,0.12404525,0.14969312,0.3747737,0.14679915,-0.009151972,-0.01632617
TCGA-A6-2682,-0.012251317,0.8571346,0.15842615,0.37558302,0.4042393,0.06146262,-0.00011861846,-0.00052540004,0.13214882,-0.0099551445,0.071917824,0.19326428,0.10104382,0.2724172,0.13983075,0.03625101,0.35969278,0.18114054,0.6301547,0.19504195,-0.014601161,-0.0048228162,0.40319505,0.032957014,0.16986355,0.14930433,0.09379438,0.31029385,0.05393413,-0.0036519335,0.39840803,0.06848668,-0.019903302,0.2192219,-0.023308987,0.32080203,0.029538892,0.07924456,0.16915824,0.03910128,-0.017543964,0.27849224,0.045204133,0.22807339,-0.04423772,-0.022817189,-0.03278889,0.38033953,0.21932729,0.1725903,0.0053030234,0.27169147,0.7422906,0.12590484,0.3833306,0.1698888,0.04347398,0.1425991,0.21045142,0.17128356,0.4399027,0.13312003,-0.0016825475,-0.004864753
TCGA-A6-2684,-0.011398792,1.1687813,0.14654908,0.93115425,0.57092613,0.00062455237,0.20914933,1.0845374,0.6007797,-0.0087616835,0.13485277,0.2899972,0.28936848,0.29805857,0.55138314,0.04003988,0.21585837,0.5310137,0.78090334,-0.018861521,-0.045049142,0.12826961,0.68391824,0.20950976,-0.0094838785,-0.0025154338,-0.00846367,0.34613243,0.22376205,0.31533659,0.704988,0.0604162,-0.049586665,0.15542732,-0.04102413,0.21333945,-0.020061895,-0.0013149371,-0.0026833776,-0.0022765445,-0.021107607,0.13445996,0.0128399655,0.25585318,-0.052218687,-0.03496019,-0.038711824,0.36520815,0.12800662,0.03204454,0.08063599,0.63831085,1.1334108,0.21073979,0.4443837,0.39017817,0.1182687,0.56024265,0.18745416,0.1773981,0.89651126,0.004602514,-0.008157588,-0.011159151
TCGA-A6-2685,-0.000468794,1.0048834,0.07788001,0.8202575,0.5129631,-0.00281932,0.18469465,0.9102453,0.54592675,-0.007918685,0.10016043,0.14222202,0.39767995,0.2272918,0.36721927,-0.015477145,0.17160362,0.32337686,0.755092,-0.0118253995,-0.037301637,0.098151356,0.6172593,0.16885297,0.07823653,-0.008257287,-0.0014829725,0.45400533,0.2478743,0.11795617,0.7513152,0.030888252,-0.043170046,0.11598638,-0.032587063,0.21373144,-0.027905336,0.043609113,-0.004547641,0.09989768,-0.01882754,0.2408019,0.090572394,0.2552577,-0.043112118,-0.02352475,-0.039439034,0.45496252,0.050088424,0.032907408,0.051012717,0.5866108,1.0765109,0.204584,0.37228575,0.35264748,0.11924787,0.596831,0.10916412,0.110397786,0.78346944,-0.011078874,-0.0010622888,-0.009356906
TCGA-A6-2686,-0.00029569503,0.79487324,-0.0031416535,0.5187034,0.6141947,0.28870708,-0.0090679675,0.017775556,0.12711519,-0.013034098,0.28269836,0.2504142,0.14956966,0.25086626,0.0575979,0.05843763,0.3760965,0.29589725,0.6337182,0.04568822,-0.005036875,-0.0055718212,0.46288243,0.106305055,0.19121027,0.15720353,0.36450616,0.53035885,0.22149242,-0.00029840248,0.6564027,0.14795858,-0.032389283,0.36515066,-0.036209013,0.34612858,-0.014990011,0.25398183,0.34189558,0.20199335,-0.01807029,0.29743612,-0.0037553222,0.2910281,-0.04102404,-0.03563879,-0.054980088,0.46760425,0.0030422392,0.21223688,0.25833163,0.1042608,0.87198424,0.2349828,0.30481037,0.16998807,0.1370455,0.22255531,0.1402446,0.1747251,0.47121707,-0.003276658,-0.0053276154,-0.018316781
TCGA-A6-3809,-0.022837512,1.4066619,0.3161849,0.83750093,1.0810014,0.06735496,0.19740759,0.119930476,0.2658243,-0.015643401,0.5430113,0.39496708,0.35229486,0.15558611,0.7801794,0.71215326,0.6090895,0.21836638,1.1012883,0.11933769,-0.013717028,0.041364007,1.127729,0.15070796,0.44752914,-0.005552904,0.6151239,0.37736526,0.08563584,-0.010294588,0.94970524,-0.0005115047,-0.046755526,0.14485979,-0.055760283,0.4047314,-0.010553909,0.27396795,0.8068806,0.3341212,-0.012117061,0.010445811,-0.015097074,0.18947127,-0.07780472,-0.018980345,-0.08552478,0.8792142,0.007926654,0.34342402,0.052272633,0.33549976,1.1078929,-0.0029136005,0.8467084,0.15757002,0.3892268,0.26369172,-0.0076018097,0.022240657,0.89023846,0.15245526,-0.008902937,-0.006414452
TCGA-A6-3810,-0.000995483,1.4196925,0.14034534,0.6738542,0.57901174,0.07742759,0.09698258,0.1468982,0.049769577,-0.025599629,0.36237642,0.4153389,0.2731739,0.026965957,0.29208663,0.3470651,0.8236623,0.18463658,0.63446695,0.045108605,-0.022035843,0.17188391,0.5640145,0.34839073,0.4101711,-0.0014857479,0.28323242,0.5681221,-0.020602738,-0.006292759,0.78534144,0.1090131,-0.031140288,0.16788608,-0.02515438,0.58723503,-0.0067549683,0.24050973,0.031047236,0.1125157,-0.017535547,0.23538369,0.09871856,0.21512511,-0.058423247,-0.039780047,-0.048512243,0.77925,0.240039,0.25105023,0.056005277,0.3582029,0.8383864,0.17772932,0.5813531,0.21005166,0.11563341,0.1568254,0.10179201,0.13952345,0.6670429,0.22769108,-0.014242047,-0.022736423
TCGA-A6-4105,-0.0076007396,0.9596726,-0.0016673713,0.6732062,0.5199555,0.09809609,0.04868921,0.19609824,0.17478259,-0.010667604,0.19811153,0.14309455,0.19786042,0.15677325,0.22832729,0.00050778687,0.39376575,0.12990409,0.693424,0.13937491,-0.017895145,0.025028855,0.62739587,0.16408493,0.064904906,-0.005907731,0.124837846,0.49631992,0.45277393,-0.0023980066,0.49502164,0.025390133,-0.038828086,0.1016819,-0.04565903,0.27021098,-0.013112736,0.12116725,0.5793093,0.18139723,-0.0029585257,0.16738677,0.05250742,0.1051205,-0.042259883,-0.017358916,-0.049765203,0.43187532,0.15203933,0.037431676,0.017923204,0.34295043,0.907714,0.26526606,0.1575454,0.16199382,0.15267172,0.22528918,0.11982712,0.008843857,0.5881601,-0.006980695,0.046829112,-0.017404301
TCGA-A6-4107,-0.00847965,0.8531092,0.040478252,0.5726174,0.5041048,-0.0051365243,0.015838504,0.13887382,0.15385775,-0.010267577,0.13986987,0.09539288,0.1696443,0.14790359,0.15407175,0.0003984496,0.44114164,0.361467,0.60749006,0.16779278,-0.0155233815,0.034119043,0.49504557,0.06267569,0.18028644,0.08188737,0.21261972,0.5037692,0.12716076,0.009507405,0.54078084,0.08188934,-0.02101607,0.18168275,-0.035407174,0.36977404,-0.009627374,0.018253716,0.31872374,0.15906772,-0.006344641,0.20818818,0.020684838,0.05704816,-0.039778765,-0.021783054,-0.032935333,0.5355387,0.18669225,0.2402904,0.04591175,0.2184836,0.7187185,0.2543708,0.39801973,0.20098217,0.16385536,0.15320687,0.20437795,0.08667153,0.25347126,0.00027413666,-0.009047677,-0.020374482
TCGA-A6-5656,-0.024854004,1.379822,0.14597195,1.071209,0.7215591,0.4410447,0.42050034,0.54260564,0.75480086,-0.0017324915,0.21708468,0.54038507,0.27749538,0.6647263,0.41853398,0.003910601,0.7970303,0.43853837,1.0051391,-0.00034843647,-0.021587072,0.26733506,0.5556014,-0.000107984524,-0.00010918528,0.017067961,0.27837092,0.15989071,0.41031778,0.062529095,0.93649817,0.47632846,-0.067269325,0.047186296,-0.0683896,0.4610607,0.023415394,-0.0052501084,0.021481972,0.29316282,-0.020092156,0.19209638,0.13089064,0.2579405,-0.06517764,-0.030005956,-0.046327155,0.5680445,0.13014579,0.121110335,0.06009093,0.8719625,1.1295328,0.15770721,0.45885906,0.39667198,0.49019122,0.34535158,0.26862293,0.1788707,0.93309337,-0.0015115783,-0.0111152325,-0.03470714
TCGA-A6-5657,-0.005782295,0.6473334,-0.003445937,0.48754984,0.30601344,0.09743732,0.017114162,0.13958663,0.043923203,-0.0065666283,0.021864362,0.028496522,0.17181078,0.24494064,0.06288568,-0.0073724464,0.36055183,0.1301498,0.5466557,0.16828462,-0.010024789,0.1041294,0.35218436,-0.00600876,-0.0036397756,0.03258369,0.039432626,0.2678181,0.36643544,-0.010889386,0.28240803,0.13920215,-0.022964573,0.04392561,-0.04631304,0.16525002,-0.0016122479,-0.00069442525,0.20548563,0.05665475,-0.008643298,0.24248922,0.14094418,0.19654551,-0.03118183,-0.011876073,-0.024935057,0.19485869,0.12187184,0.12322858,0.09217165,0.102840096,0.6689756,0.20392199,0.077034965,0.074109584,-0.006722137,0.17843887,0.08827412,0.072765514,0.3973255,-0.001341888,-0.0009895973,-0.021052716
TCGA-A6-5659,-0.01390329,0.75699925,-0.0065049925,0.6335989,0.39251372,0.20043755,0.07526193,0.16234563,0.2137789,-0.0017385705,0.08515665,0.1968817,0.10636942,0.37655845,0.18985288,0.025093943,0.4887382,0.22764271,0.4569538,0.0418327,0.0550296,0.09405006,0.3717803,-0.0008209535,0.0044519305,0.016447254,0.09790246,0.33683848,0.46474132,0.0016589835,0.402825,0.15087363,-0.0342658,0.04583023,-0.055426564,0.19596489,-0.0016118017,-0.0020755874,0.35285577,0.1891871,-0.0104756905,0.15420763,-0.0037069619,0.065520346,-0.027797593,-0.014159428,-0.034651954,0.029507771,0.16457424,0.20009932,0.11883872,0.20987356,0.66315186,0.23071198,0.18038881,0.23900259,0.021504916,0.19865619,0.16623649,-0.00050060276,0.42737496,-0.0061875563,-0.008178467,-0.021639893
TCGA-A6-5660,-0.0056754607,0.78243405,0.014302177,0.72614,0.39362553,0.080343805,0.052595645,0.21579243,0.118310764,-0.007826233,0.103822164,0.099093705,0.17760965,0.31881583,0.15245125,-0.0038407408,0.42620558,0.22811541,0.7054341,0.11141324,-0.016810691,0.1247793,0.5100548,0.027398694,0.12160609,0.024606735,0.11832751,0.45062742,0.6474746,-0.015003704,0.49859262,0.088295594,-0.027028425,0.13418116,-0.043253563,0.28469345,-0.009792925,0.01026264,0.25272942,0.19809765,-0.011445338,0.25991368,0.019878116,0.11886051,-0.02942974,-0.022951782,-0.02539674,0.17654547,0.16800956,0.15415244,0.13194951,0.19619903,0.7293389,0.26409313,0.15653503,0.10862586,0.003753394,0.1931197,0.1393807,0.078541905,0.4700645,-0.01434726,-0.00013627243,-0.01914641
TCGA-A6-5661,-0.020628951,1.1197406,-0.003613352,0.75948477,0.68505603,0.16902785,0.31139156,0.12173408,0.5131933,-0.013587721,0.22808748,0.26304245,0.16631904,0.43786895,0.3162344,0.07029921,0.51772124,0.34735817,1.1084489,0.25959864,-0.018926138,0.52703273,0.6196213,-0.008856085,0.20837596,0.0060872957,0.1725418,0.23233342,0.55767995,-0.011527735,0.82356936,0.39863327,-0.06487187,0.22421782,-0.059480708,0.42461693,0.07683192,0.060666442,0.5309884,-5.103089e-06,0.045404732,0.23158818,0.046076216,0.108420365,-0.07229345,-0.014550234,-0.05501722,0.50743395,0.14725617,0.092455074,0.104011066,0.5671145,1.0868081,0.095914125,0.18116614,0.28349683,0.40211338,0.31215316,0.14913304,0.23043473,0.9205787,0.021803506,-0.0059714094,-0.04272167
TCGA-A6-5662,-0.0065368186,0.5723046,0.030265028,0.46073574,0.2778191,0.08960287,0.06195186,0.20409125,0.040651325,-0.0048030056,0.09379265,0.061922844,0.13327652,0.18623222,0.04339277,-0.0025701039,0.23476246,0.17179637,0.3961219,0.1322842,-0.0056211865,0.06835049,0.30912456,0.013517492,0.051955216,-0.0065431367,0.0034330636,0.30167457,0.43595222,-0.004873538,0.2665599,0.034722835,-0.012444429,0.003368143,-0.028124204,0.1681149,-0.0015761022,0.097920865,0.058311176,0.13775457,-0.0034284552,0.19603425,0.054057166,0.09479275,-0.025895143,-0.008976947,-0.018007357,0.23189522,0.09692588,0.08899665,0.0022638887,0.12285705,0.52763116,0.18117177,0.10220358,0.037257828,0.030859113,0.14446908,0.08128602,0.072189964,0.25683498,-0.006682895,-0.0048650587,-0.013244216
TCGA-A6-5664,-0.014319836,1.4775242,0.044955626,0.94935286,0.9476085,0.11289312,0.61660445,1.2659785,1.0264009,-0.02443402,-0.005488529,0.21546657,0.4253156,0.555822,0.47539544,0.13021214,0.5669462,0.21773612,1.3865824,0.10593727,-0.06091259,0.5328386,0.59784615,0.074794784,-0.007827995,-0.008630398,0.1660915,0.065779544,0.14333896,0.23637493,0.7327885,0.49868888,-0.07105952,-0.0024513465,-0.06942113,0.40823233,-0.017620211,0.06958727,-0.024478363,-0.009161428,-0.009907568,0.005764313,0.15909572,0.3396392,-0.05235475,-0.07258587,-0.06392608,0.4838659,0.08308067,-0.008009394,0.07119901,1.4778589,1.3927097,0.5172939,0.4914628,0.51841253,0.09446855,0.17315036,0.1748609,0.2313081,1.1033977,0.1151458,-0.019120416,-0.0021714608
TCGA-A6-5665,-0.011307026,1.0733731,-0.0012492528,0.62351894,0.58424145,0.20492862,0.38789007,0.044318013,0.5150717,-0.021771504,0.29476532,0.34352234,0.2943218,0.22517806,0.39447895,0.043064296,0.34729856,0.2637448,0.96797734,0.21355027,-0.020540021,0.37074196,0.56822526,0.01825754,0.20944488,-0.0043229773,0.16782925,0.21224934,0.5576244,-0.0065803304,0.6329359,0.32586196,-0.055062827,0.12012766,-0.04506187,0.30534512,-0.000599939,0.09655014,0.31082016,-0.0021724838,0.047472388,0.33047676,0.13332358,0.086610466,-0.0691565,-0.018892447,-0.038153227,0.48061997,0.077889405,0.098946944,0.026856566,0.5737774,0.9895667,0.11506848,0.15638262,0.1959807,0.4629277,0.26434046,0.14158943,0.16020542,0.79912597,0.06764984,-0.012043369,-0.02212025
TCGA-A6-5666,-0.007916012,0.89026725,0.05454427,0.8458964,0.45910153,0.13115701,0.15359056,0.31214315,0.2652016,-0.004209222,0.12598541,-0.001258706,0.28927344,0.25228488,0.093094766,-0.0014463946,0.038352706,0.19848713,0.7495627,0.20612186,-0.005107702,0.06342659,0.7779515,0.09854813,0.08710662,0.20957634,0.18127307,0.7177984,0.9565926,-0.014435689,0.5925389,0.32583025,-0.047254514,0.1572846,-0.058806498,0.13130003,-0.01221299,0.07820341,0.7355115,0.12770036,-0.0044819782,0.2585347,0.079641506,0.02998424,-0.036737382,-0.017146943,-0.03193513,0.20911208,0.17201878,0.16230327,0.07728241,0.24575251,1.0048193,0.16332515,0.2337616,0.059365395,0.04611712,0.30446556,0.21624893,0.1400692,0.45207334,-0.02443659,-0.0063358657,-0.01075826
