patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-3L-AA1B,-0.011291187,0.26986462,2.6209173,-0.022478897,0.84266144,-0.11499076,0.39979863,-0.0045215,1.4777132,-0.023547506,-0.09226689,0.039301462,-0.023108667,0.06274312,0.52618146,-0.01279064,0.34079662,0.1414326,-0.14550382,1.3999958,-0.0069770287,0.36737758,0.53714,2.2526717,0.4967473,-0.021000769,0.21990383,0.59978837,0.85282,-0.01748995,-0.15899372,-0.21779196,-0.022305148,-0.03825835,0.30578583,0.14728189,0.73276126,0.003805187,-0.12935942,1.2395084,-0.026600858,-0.005588066,0.15342848,0.028861554,0.6811178,0.14602059,0.20733304,1.9266815,0.021473628,1.6569136,1.3543378,-0.099963315,-0.013647822,1.7282474,-0.024623044,0.06933211,0.38973156,0.30719346,0.1263735,1.7647892,0.40435237,-0.0039621643,-0.011994208,1.5147126
TCGA-4N-A93T,-0.014466345,0.22509779,3.582904,-0.036114797,1.2428459,-0.122397386,1.0531267,0.061837196,2.0457413,-0.038946096,-0.13499542,0.27017605,-0.0314905,-0.05001306,0.7778194,-0.03967288,0.8750344,0.16810782,-0.17962997,2.1340218,-0.006383847,0.41700464,1.119903,3.2601044,1.054995,-0.058086384,0.4757266,0.9412083,1.0630671,-0.031610854,-0.25227213,-0.33314073,-0.0068035214,-0.039649554,0.34231985,0.2875475,0.90870935,-0.00856243,-0.1770564,1.7332301,-0.0010898489,-0.013474787,0.43225428,0.047599174,1.0197378,0.026094427,0.2527696,2.744675,-0.015878214,2.1765978,1.7465484,-0.11644035,-0.031778947,2.1138005,-0.027628614,-0.009536536,0.529954,-4.4639408e-05,0.025298025,2.702087,-0.009709333,-0.003855484,-0.008095486,2.1467934
TCGA-4T-AA8H,-0.007543195,0.2912159,2.1637356,-0.016882338,0.5561155,-0.07842231,0.22126675,0.0133615155,1.2081163,-0.009946078,-0.09784609,0.0071127526,-0.020455964,0.1486431,0.4560749,-0.017234925,0.30827877,0.14619525,-0.113442875,1.1051738,-0.00935053,0.29540637,0.50761896,1.8393856,0.28755215,-0.025294859,0.04579065,0.29589885,0.6590091,-0.009354963,-0.15898785,-0.17434958,-0.02487391,-0.0072675175,0.30356497,0.38505012,0.49967298,0.026483562,-0.104533255,0.95134735,-0.002381375,-0.010006758,0.19870667,-2.7272477e-05,0.35570017,0.07027952,0.10546961,1.664716,-0.015019468,1.3091747,1.0801284,-0.06769549,-0.017072035,1.3993856,-0.026359348,0.06932395,0.37374818,0.18132015,0.061276406,1.3716065,0.15732981,0.019347304,-0.011283653,1.2424691
TCGA-5M-AAT4,-0.0079900725,0.287103,2.9058003,-0.036801882,0.827808,-0.108403765,0.36173302,0.24571219,1.5917366,-0.029702926,-0.14806421,0.21245714,-0.012847635,0.0723178,0.49419758,-0.028174153,0.53256655,0.23923743,-0.13467744,1.7315662,-0.013306369,0.19622408,0.42451444,2.5784624,0.5244657,-0.04987384,0.37125582,0.6183535,0.1995832,-0.022930227,-0.20810917,-0.2658584,-0.015363492,-0.03891716,0.17698544,0.6078488,0.7036478,-0.009859759,-0.14994888,1.3319525,-0.011398898,-0.0074446644,0.3430679,0.11544007,0.8191871,0.23834385,-0.007384424,2.0328045,-0.015070972,1.6607037,1.4310035,-0.101041354,-0.026354859,1.9272373,-0.027232474,0.102023795,0.55914706,0.010282667,0.09681062,1.8961351,0.037024476,-0.005144942,-0.013722675,1.7329228
TCGA-5M-AAT6,-0.02143166,0.21990123,2.3285344,-0.04326889,0.6874563,-0.08401302,0.32291394,0.38790363,1.165136,-0.01773088,-0.105077125,0.099417806,-0.020720601,0.05310712,0.34175128,-0.03241519,0.31345734,0.1254985,-0.15588887,1.5914059,-0.0045650825,0.35797134,0.10662666,2.1859744,0.4223065,-0.022896899,0.31059587,0.21093361,0.122439116,-0.013714002,-0.18516164,-0.19336566,-0.017734475,-0.040018927,0.13158186,0.60622925,0.574744,-0.03096506,-0.13790153,1.0432719,-0.023875011,-0.005039446,0.06566416,0.26108664,0.5745412,0.16882946,-0.00024732575,1.82019,-0.00933144,1.1903379,1.2399547,-0.08635575,-0.03531763,1.3452424,-0.00817019,-0.0032763747,0.34549308,-0.00461797,0.16976942,1.7382253,0.26376766,0.24422061,-0.0033219531,1.4046012
TCGA-5M-AATE,-0.010580123,0.21971072,2.2162924,-0.024482487,0.70731884,-0.10198084,0.2500055,-0.0062684477,1.3192973,-0.01434126,-0.073549375,0.03933207,-0.022963887,0.10182714,0.49246356,-0.011576948,0.3471021,0.1975985,-0.12517278,1.2434415,-0.012109595,0.15676838,0.37313262,2.0361612,0.15610214,-0.023364957,0.31583017,0.49211824,0.4150322,-0.026286436,-0.1508469,-0.1947037,-0.017086443,-0.04657576,0.2549824,0.1921052,0.5804171,-0.01559863,-0.11844211,1.1674657,-0.015863359,-0.0041720583,0.23045005,-5.2080304e-05,0.5577879,-0.001457399,0.19205174,1.8315581,-0.016806018,1.3915473,1.284173,-0.08518697,-0.017762942,1.6308951,-0.025962407,0.027054798,0.28700706,0.3284173,0.15608098,1.6340157,0.18957825,0.027173102,-0.00030370336,1.3588561
TCGA-A6-2671,-0.0064878273,-0.01206015,1.9766759,-0.023000155,0.58568287,-0.0790732,0.7351997,0.8525576,1.009951,-0.0040006465,-0.08755346,0.113937095,-0.011369805,0.32362646,0.34247267,-0.021832135,-0.0075265295,0.18713963,-0.11628977,1.2278138,-0.004583561,0.11081331,0.118461944,1.9335299,0.12730841,0.014079019,0.4817083,0.52023655,0.035642695,-0.023177927,-0.14283559,-0.13507523,-0.0066024507,-0.040425982,-0.013757785,0.1376213,0.7214751,-0.004992637,-0.11753154,0.9710437,-0.02671936,-0.019057782,0.075231664,0.4982084,0.22833663,0.08566303,-0.007051013,1.6682711,-0.013837114,1.306077,1.1841245,-0.07864316,-0.033244397,1.3535995,-0.024379322,0.009242786,0.0820633,0.10883287,0.042136148,1.4924421,0.27697676,0.11954858,-0.003999816,1.2619843
TCGA-A6-2672,-0.0013178505,0.42627004,2.7097073,-0.03625686,0.812927,-0.10013739,0.09286668,-0.0011049925,1.490526,-0.025937764,-0.12883563,0.15807867,-0.0122497035,-0.0013727673,0.44639817,-0.023066163,0.4057036,0.20618407,-0.15786105,1.3358318,-0.00891344,0.47019863,0.7746632,2.159113,0.91601896,-0.008811994,0.031306956,0.23497279,0.8181537,-0.014995366,-0.17329745,-0.21119025,-0.02861878,-0.010117515,0.20629291,0.30633163,0.5362794,0.015209977,-0.12449465,1.0777609,-0.013560637,-0.00773244,0.112643346,0.2564641,0.37246466,0.12594205,0.018172458,1.8204854,-0.010029643,1.4889342,1.3093038,-0.08265132,-0.05223886,1.6575483,-0.019644812,0.12541413,0.1186527,0.2154035,-0.0040877983,1.7237539,0.5425715,0.058796063,-0.0076427083,1.5571682
TCGA-A6-2675,-0.0100235855,0.1395759,1.7861687,-0.018454224,0.6314475,-0.07599783,0.24781972,0.2286724,0.93496186,-0.0141512295,-0.058595277,0.06051621,0.05189978,0.37122828,0.4343855,-0.0152082015,0.13822694,0.11567143,-0.11144694,1.1453632,-0.013083661,0.2958111,0.08190841,1.5664002,0.26387525,0.019294728,0.169035,0.19886075,0.34506994,-0.007888272,-0.10951745,-0.13163915,-0.019797588,-0.025337486,0.16074027,0.13227008,0.35199752,-0.0052301097,-0.09071464,0.73923814,-0.010097451,-0.01084208,0.20706324,0.082757466,0.33940077,0.17989454,0.17329502,1.4325086,-0.016404165,1.1239997,1.0572454,-0.06569546,-0.024264952,1.2699113,-0.028750151,-0.006732899,0.025779188,0.21119067,-0.001813248,1.2452747,0.3598031,0.045101028,-0.0012709694,1.0463407
TCGA-A6-2677,-0.0155496,0.34901533,2.9828827,-0.027813828,1.0575515,-0.10042181,0.0067206547,-0.032213416,1.7566876,-0.020410309,-0.0871656,0.06627377,-0.018004451,0.20548257,0.5989282,-0.04179526,1.0789217,0.12845263,-0.17743164,1.5910407,-0.01761808,0.50748706,0.23681211,2.377688,1.6204265,-0.009930792,0.096570686,0.169973,0.7642558,-0.017490033,-0.16484176,-0.24705403,-0.034409128,-0.034666568,0.32665485,0.45728233,0.48816678,0.063012786,-0.14605623,1.230137,-0.0049354117,-0.009370318,0.72461325,-0.0033936873,0.9062279,0.27926022,0.47425818,2.0784001,0.1596698,1.5088197,1.3152804,-0.10966891,-0.011493738,1.598244,-0.028665131,-0.00059422816,0.71608055,0.11566896,0.03240265,1.8509225,0.5609045,0.23909597,-0.008036087,1.6925209
