patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-3C-AAAU,-0.046733476,0.29792365,-0.05865502,0.22450711,0.26818827,-0.024759298,1.1801579,-0.0009256732,1.6087645,0.51882535,0.6880421,-0.07947034,-0.027440926,0.0029480339,1.1954937,0.3305673,-0.0015987366,0.9505324,-0.132238,-0.09226736,0.47490627,-0.049705982,-0.108064726,0.23802994,-0.0059352773,0.35900077,1.1576312,0.015879825,0.28140172,-0.06080404,-0.0401739,-0.20958713,0.35108152,0.9805564,-0.12665178,-0.30232456,-0.24542761,0.7767651,2.5013318,-0.068680234,0.38711601,-0.029771412,1.0889319,-0.0034500414,0.09197071,0.07099874,-0.029525453,-0.07195242,-0.123873316,-0.03410622,0.11554742,-0.12197345,0.86096394,0.38989708,1.7676071,2.2879713,2.33736,0.41000414,-0.1998533,-0.040723924,-0.15032002,0.10891828,-0.13005455,-0.03549073
TCGA-3C-AALI,-0.046854798,0.30314383,-0.03515865,-0.022702042,0.19963469,0.15158895,0.19345966,0.46875238,1.7916633,1.1107782,0.33030713,-0.13325602,-0.04150942,0.9367622,1.6718404,-0.0072386167,0.57948846,0.89419496,-0.33837527,-0.07836787,1.0813994,-0.08670922,-0.1580152,-0.0026334086,-0.033699337,0.49198195,1.3586766,-0.04852041,0.8571648,-0.06551367,-0.036182526,-0.27069268,0.92965084,1.6344606,-0.19235729,-0.22511251,-0.37922055,0.52742904,3.2209523,-0.068419814,0.26808053,-0.0626223,1.0187106,0.27237082,0.1927163,0.22151506,-0.019019386,-0.11918735,-0.09273891,-0.040882163,0.4611723,-0.1450032,1.5637025,0.03559465,2.4057975,2.7010822,2.4809175,0.73430365,-0.37112388,-0.09168991,-0.22072804,0.44936764,-0.19040953,-0.045886587
TCGA-3C-AALJ,-0.040003672,0.56328297,-0.03456428,-0.035182983,0.4486901,0.3672251,0.6792087,0.3421809,2.3514194,0.63211405,0.4373217,-0.14495142,-0.06019568,0.49441668,2.115098,0.16400227,0.56008345,0.8102561,-0.3380151,-0.07003424,1.1803421,-0.10529902,-0.1920049,0.31941524,-0.034631822,0.44286638,1.7688766,-0.061930384,0.62056637,-0.10558128,-0.053365108,-0.31679228,1.1577598,1.7973733,-0.21837227,-0.31909695,-0.4462729,0.7592667,3.7304935,-0.09314563,0.5004989,-0.098280795,1.3361908,0.15901268,-0.011959971,0.088651046,0.010927374,-0.114536785,-0.096096724,-0.022560613,0.46694762,-0.24992457,1.4694866,-0.0092944885,3.2177765,3.0685108,3.205841,1.3917912,-0.43483868,-0.0968835,-0.2893018,0.47598734,-0.22925507,-0.03607879
TCGA-3C-AALK,-0.044080596,0.47974133,-0.028552053,0.13974713,0.544513,0.1654333,0.5374125,0.6668759,2.5848541,0.2744429,0.303527,-0.14576127,-0.06707638,0.2534651,2.2143934,-0.0033533801,0.5846184,1.314401,-0.29021308,-0.07505708,1.1009097,-0.09428721,-0.19409683,0.39116886,-0.024849959,0.68001926,2.1279004,-0.05812586,0.7570468,-0.07664457,-0.054312367,-0.34846255,1.1501427,1.9737902,-0.205843,-0.37965745,-0.45430103,0.9859609,4.159374,-0.09064933,0.5930183,-0.10806852,1.648185,-0.008208059,0.27064154,-0.007814586,0.3010469,-0.11930627,-0.1581925,-0.030783508,0.043162934,-0.23380029,1.4084575,0.09799045,3.2021527,3.1911528,3.569917,1.0813373,-0.44490597,-0.0685248,-0.27141124,0.35444233,-0.2246943,-0.01592485
TCGA-4H-AAAK,-0.047780138,0.22972335,-0.014714122,0.129654,0.1254688,-0.00052060076,0.8355926,0.14620721,1.9374558,0.21396755,0.89985794,-0.102445774,-0.04221093,0.006854833,1.6601127,-0.0015122946,-0.004060577,1.1124663,-0.16571634,-0.07356233,0.7283273,-0.05839455,-0.11326962,0.25988305,-0.036385115,0.4338979,1.6404526,-0.021408135,0.49377963,-0.04202589,-0.024405569,-0.25766104,0.85600764,1.1643335,-0.14474767,-0.3195464,-0.3078558,0.8729908,3.0021703,-0.059837736,0.5423986,-0.07662925,1.4060559,0.16668326,0.13543141,0.09661563,0.4182537,-0.1139735,-0.15651752,-0.018946547,0.023490889,-0.13802968,0.8745266,0.24257898,2.266006,2.6227114,2.5912645,0.5227072,-0.28560147,-0.030578164,-0.16969146,0.03418216,-0.14941935,-0.058540344
TCGA-5L-AAT0,-0.040726434,0.38671184,-0.02235349,0.29236817,0.13250609,-0.011499806,0.7051913,0.2866668,1.8874671,0.2732785,0.8329849,-0.09552912,-0.020121485,0.2898562,1.5358756,0.03152885,0.003510193,1.4075626,-0.118314795,-0.089466564,0.58854276,-0.06081451,-0.11236947,0.36882773,-0.025225932,0.5347138,1.5489652,-0.016155427,0.4483886,-0.0484409,-0.039173428,-0.22888188,0.6921084,1.221508,-0.13996987,-0.3418387,-0.26692376,0.9457938,2.956283,-0.052290898,0.30292547,-0.070672385,1.2702619,0.09287055,0.19488345,-0.024006588,0.1845913,-0.101518765,-0.16349006,-0.025839303,-0.0018074403,-0.12992148,0.9911868,0.17293158,2.1084263,2.5092683,2.7864828,0.2665902,-0.24970797,-0.018846897,-0.16550808,0.25262684,-0.13693285,-0.03160304
TCGA-5L-AAT1,-0.01567946,0.37781405,-0.021102313,0.07433884,0.3492102,0.010804955,0.6447451,0.41292554,2.2257535,0.20108296,0.38286233,-0.1168085,-0.06558654,0.09032674,1.7673357,-0.011625587,0.40489587,1.1292396,-0.22192155,-0.081107415,0.8923984,-0.06694228,-0.16845465,0.22647183,-0.022834335,0.5429701,1.8978512,-0.011797925,0.6919574,-0.06865118,-0.050897457,-0.30036074,0.89353466,1.6132628,-0.16929054,-0.33561435,-0.36541244,1.1121532,3.4996448,-0.06349347,0.45540544,-0.08394221,1.6988901,-0.006143145,0.47745976,-0.006847252,-0.004190793,-0.10193671,-0.18935925,-0.014059417,0.089495406,-0.21697453,1.208817,0.3173478,2.8166356,2.921583,3.0819395,0.8433386,-0.35855168,-0.052690357,-0.24401172,0.3280852,-0.18927675,-0.031227047
TCGA-5T-A9QA,-0.06543428,0.4962418,-0.028524373,-0.02225635,0.6692368,0.33043388,0.46831512,0.28159016,3.2338555,0.41445655,0.3863759,-0.19138643,-0.08580326,0.58445686,2.8436549,-0.00066835695,0.8394232,1.3717244,-0.46741372,-0.043571487,1.8677294,-0.12285248,-0.26198992,0.52609813,-0.038800966,0.5257997,2.599702,-0.08100443,0.724575,-0.14284167,-0.05358776,-0.43980518,1.7035114,2.411625,-0.30646265,-0.3862944,-0.65084404,0.9967558,5.297556,-0.123405635,0.9757018,-0.13845883,2.124422,-0.008695652,0.27633464,0.1570639,0.56819916,-0.14990373,-0.13698637,-0.055362593,0.03329891,-0.328676,2.186278,0.052508414,4.544543,4.126254,4.589982,2.0825684,-0.6308457,-0.114237405,-0.3904603,0.26276323,-0.30397764,-0.008344422
TCGA-A1-A0SB,-0.046586003,0.17131464,-0.04253477,0.28415903,-0.015656058,0.024800655,-0.027686924,0.4991659,1.06038,-0.0017360697,0.5238843,-0.060390126,-0.01601933,-0.008942085,0.69795656,0.07339206,-0.029470012,1.2488269,-0.022323532,-0.008709901,0.44746554,-0.04212749,-0.059873957,0.18172945,-0.010946285,0.049640775,0.8172707,-0.034941103,-0.013525057,0.05906446,-0.04770273,-0.10789459,0.69627786,0.8272827,-0.10483026,-0.28077793,-0.15570375,0.5531981,1.6970439,-0.010299423,-0.000781605,-0.042459663,0.8401816,-0.008456153,-3.168732e-06,-0.0347958,1.2030301,-0.0846792,-0.110073484,-0.010382252,-0.017888252,-0.01045898,0.8637108,0.13422872,1.4567314,1.4449496,1.6851104,0.16086678,-0.18137948,-0.028933624,-0.107267156,0.121366605,-0.10363722,-0.014266281
TCGA-A1-A0SE,-0.047121756,0.32050607,-0.030649057,0.20906316,0.14402558,0.03445647,0.7284929,0.36707115,2.0175567,0.4427796,0.6891374,-0.10467344,-0.027020855,0.011191162,1.5128809,0.1797024,0.03733849,1.6173414,-0.14261563,-0.08426,0.6420775,-0.0678755,-0.12514327,0.25186777,-0.02682039,0.48412064,1.6952074,-0.008002142,0.6288681,-0.056738567,-0.024519581,-0.25389522,0.7993115,1.4156213,-0.14005911,-0.37952888,-0.28367275,1.0136008,3.2497816,-0.053435136,0.5103518,-0.07486248,1.3519303,-0.011749349,0.018519878,-0.004518476,0.22697467,-0.103027396,-0.16537267,-0.03247396,-0.016793743,-0.11552022,1.1961923,0.3634524,2.2276814,2.5700698,2.6917672,0.0925447,-0.24943905,-0.023121225,-0.16389288,0.24394023,-0.16816239,-0.015889244
