patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-3C-AAAU,-0.0055838083,-0.014576753,-0.0016428618,-0.009527023,-0.022083288,-0.0077870428,0.6839215,0.45492786,0.13157077,0.78917176,-0.001449338,0.046254557,0.045372497,0.28133845,-0.008811495,0.18177103,-0.00040143283,0.12919693,0.1220366,-0.035968546,-0.008184339,0.12819844,-0.0006095916,0.11136459,-0.013318144,0.32310075,0.15747878,0.41377255,0.21949384,0.6758381,0.10747032,0.28672552,-0.013542476,0.099448025,0.33175194,-0.006382258,0.44101933,-0.02710875,0.16697766,0.14167827,-0.02253606,0.3324756,0.34614143,0.060849883,0.73243827,0.2676282,-0.007087733,0.31421262,0.39178556,-0.008816062,0.10564738,0.21381806,0.084313534,0.06629191,0.039437026,0.66556287,0.015826287,0.061344974,0.11633335,0.625353,0.03967827,0.24725421,0.027854737,-0.0005076443
TCGA-3C-AALI,-0.007022512,-0.009513868,-0.0045322333,-0.0028838243,-0.01184404,-0.00658147,0.42341682,0.22433569,0.022128146,0.55240613,0.15641353,0.027306188,0.06511459,0.13118392,-0.0013721911,0.0057847016,0.024089899,-0.007545984,0.13777822,-0.026479373,-0.0073629147,0.13801536,-0.0020828561,0.049827572,-0.011048861,0.10708258,0.23241648,0.22206664,-0.0013492402,0.49799013,0.03143974,0.20824142,-0.011827735,0.022042714,0.21168216,0.0069659837,0.15636715,-0.006889054,0.023019252,0.081311926,-0.008231059,0.3062636,0.18764922,0.06450303,0.5096569,0.204782,-0.0010746516,0.010235269,0.21040656,-0.0045450046,0.06578635,0.057041567,0.10416612,0.06977611,-0.0010349446,0.3370936,0.1104325,0.02070617,0.11063269,0.41613325,0.08539863,0.03656368,0.056816377,-0.0053551826
TCGA-3C-AALJ,-0.0029431153,-0.010554291,-0.0036508497,-0.00021088115,-0.014759076,-0.0031794407,0.4202312,0.25478086,0.040219236,0.61847985,0.18707538,0.06551731,0.07422589,0.15648246,-0.0030904436,0.0608073,0.07826011,-0.0038292718,0.0988651,-0.03174082,-0.010920171,0.1309847,-0.0018281747,0.027503507,-0.0094385175,0.13888517,0.19250786,0.30507508,0.0020469688,0.598235,0.05720793,0.3011869,-0.009301314,0.02067543,0.2428096,0.023517165,0.1456891,-0.008553381,0.040150225,0.06641032,-0.010081424,0.32379478,0.27886924,0.09673272,0.5456626,0.1814379,-0.0052041416,-0.0031764694,0.23974733,-0.0039590797,0.0816554,0.06765352,0.106213115,0.09140054,0.000106558204,0.40149146,0.08587658,0.04465238,0.12455003,0.48220977,0.020719621,-0.0011886476,0.00065609254,-0.005172297
TCGA-3C-AALK,-0.0039460817,-0.006985443,-0.0070401453,0.04030864,-0.0117184315,-0.007534608,0.33213434,0.24746917,0.02194504,0.50794923,0.0941893,0.024306785,0.013904706,0.15301292,0.031036416,0.042807337,0.036176424,-0.0050718314,0.07760551,-0.025668755,-0.009972881,0.10050819,0.010684989,0.027256824,-0.0064876997,0.027774043,0.18000919,0.26671755,0.018424269,0.53179437,0.033561412,0.23860003,-0.0047316654,-0.0020973368,0.19902445,-0.00018762723,0.11930587,-0.0076589226,-0.0001860207,0.035399668,-0.0076154717,0.3399178,0.14243406,0.06822782,0.52615154,0.14033297,-0.0050343145,0.0017793477,0.1967191,-0.003911977,0.07504505,0.044024784,0.07718436,0.07038973,-0.010184382,0.41443023,0.062954135,0.025990494,0.051262025,0.40124542,0.0705171,0.062415443,0.083023384,-0.0023682432
TCGA-4H-AAAK,-0.0029349776,-0.0064603696,-0.0055108797,-0.000737046,-0.0062233876,-0.007248851,0.29971895,0.1801858,0.0054969303,0.42185897,0.07156628,0.06576848,0.0701406,0.13753752,0.00700506,0.014189336,0.041281078,-0.004918916,-0.0018588629,-0.024478577,-0.008535905,0.06787475,-0.003694107,0.0667029,-0.005994934,0.026161931,0.12514164,0.18732515,-0.0030597083,0.43313307,-0.0011733965,0.2123784,-0.0036713674,-0.00045286288,0.19040518,-0.00062649924,0.06387165,-0.0065831603,-0.002028219,0.002771683,-0.0026756169,0.23818712,0.10720172,0.06749588,0.4659743,0.112307094,-0.0056165885,-0.002753124,0.18700184,-0.0059208856,0.027503882,0.058859114,0.07193581,0.08699105,-0.0076167583,0.33373773,0.072984695,0.03383208,0.037824064,0.34087557,0.040960357,0.0022736508,0.06741898,-0.0021814771
TCGA-5L-AAT0,-0.0039665117,-0.0026860917,-0.0052423743,0.007159264,-0.0072009736,-0.0074981,0.31826764,0.20446232,0.0056492724,0.47101325,0.03188587,0.11987464,0.07731706,0.18760425,0.016060041,0.021419402,0.028948788,-0.00066172745,0.042111106,-0.021251086,-0.00597942,0.043487683,-0.0033891224,0.039498016,-0.0059387544,0.04147976,0.16197492,0.2040621,-0.0016221165,0.43862134,0.012105104,0.2492225,-0.00797126,-0.0015836051,0.2325188,-0.00029804913,0.096073724,-0.0039401795,-0.00084844086,0.026680566,-0.003179973,0.2747313,0.15873605,0.05330841,0.51799864,0.16146314,-0.0034407887,-0.0003948208,0.1790611,-0.003114424,0.031679664,0.050269168,0.060224548,0.073743016,-0.010380118,0.33344257,0.027792774,0.012281366,0.036317777,0.39218977,0.03630764,0.01606516,0.014352329,-0.0024038106
TCGA-5L-AAT1,-0.0021095865,-0.0061466447,-0.006331039,-0.0012455375,-0.011534237,-0.004948678,0.33894342,0.21260194,0.07756993,0.49465853,0.08389461,0.032094505,0.051372435,0.20488684,-0.002593537,0.07581718,-0.0019003602,-0.0027322397,0.11070613,-0.027933454,-0.012133616,0.13366836,-0.00097237196,0.05463679,-0.0073998733,0.028028153,0.12113473,0.21675834,0.06507546,0.50457114,0.032278527,0.25452372,-0.0052405773,-0.0040022726,0.19614196,0.004587803,0.13678253,-0.01051066,-0.00072054233,0.033496834,-1.0155886e-05,0.3482165,0.16546538,0.062034685,0.5842002,0.15052558,-0.001379804,0.023259018,0.23914057,-0.006864153,0.0643201,0.04872139,0.07339437,0.07175472,-0.010056987,0.39042455,-0.0010526268,0.011622045,0.09316985,0.43109483,0.06069539,0.064836614,0.0945351,-0.004537719
TCGA-5T-A9QA,-0.0134733515,-0.0148521885,-0.008850377,-0.002716309,-0.012981005,-0.023522979,0.44603977,0.34800702,0.04294878,0.72595465,0.019935433,0.058393676,0.060221057,0.20535481,0.020067295,0.16920488,0.034712214,-0.007328834,0.09455749,-0.03463624,-0.008262036,0.06234432,-0.00077686534,-0.0010278184,-0.014704317,0.09980901,0.34055158,0.33067137,-0.00272964,0.680447,0.06414509,0.36432788,-0.009065854,0.019945513,0.33074,0.01835969,0.25174904,-0.013582875,-0.0072777825,0.090048835,-0.011076509,0.47252807,0.31345144,0.12504348,0.72080755,0.17172468,0.009020958,0.010933425,0.26183182,0.013589993,0.109725125,0.14892167,0.047545817,0.17020325,-0.0074391663,0.4839391,0.07313585,0.07673568,0.06656872,0.5529931,0.122789994,0.1012375,0.14823353,0.03258556
TCGA-A1-A0SB,0.028035272,-0.025512954,-0.028446201,0.13183765,-0.05083372,-0.003470122,0.913325,0.29859132,0.11402002,0.9856021,0.17159949,0.24769637,0.1946668,0.30336374,-0.008856465,-0.005220746,0.037578505,0.022024108,-0.0001635368,-0.08762055,-0.007526087,-0.011018125,0.123736404,0.10473518,-0.010497202,0.22660512,0.12290338,0.40917137,0.25688887,1.0394621,0.10049394,0.5077087,-0.021081198,0.19125181,0.2395711,0.14343412,-0.0009118576,-0.032230157,0.04895331,0.045238227,-0.022641964,0.5710145,0.23356363,0.14053348,1.1615878,0.13775662,-0.008431702,0.18753327,0.45986837,0.0072063133,0.057010055,0.49018833,0.059508055,0.20340018,0.028463088,0.76148003,-0.0013439758,0.0076729357,0.4858777,1.0461514,0.02639567,0.528382,-0.011386796,0.12545292
TCGA-A1-A0SE,-0.0007970743,-0.0108417,-0.0070791594,0.051924437,-0.00805444,-0.006090092,0.3911296,0.2906855,0.094386145,0.51395947,0.030138705,0.119100526,0.10173476,0.17459437,0.049328998,0.052300084,0.039967146,0.0038144551,0.09931463,-0.02852104,-0.006280146,-0.0006991834,0.017624259,0.074963495,-0.010059189,0.06986163,0.24886179,0.34231257,0.036578696,0.5501946,0.03044821,0.25892016,-0.008473552,0.041869722,0.24961749,-0.00028906614,0.058754094,-0.017065894,0.026086314,0.09210873,-0.0107985465,0.3284676,0.16956095,0.060578093,0.5531586,0.083221845,-0.0037011232,0.049353074,0.27839333,-0.0057552964,0.06963125,0.07845332,0.011762906,0.084795214,0.033184454,0.41500124,0.04516811,0.06371393,0.11708459,0.4075012,0.06604838,0.0685484,0.054984197,0.053620346
