patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-3C-AAAU,0.88338745,-0.000838664,-0.011099444,0.2645745,0.3792531,-0.0030906561,0.23027751,0.50046897,1.3092849,-0.00093181134,-0.0014393568,-0.018681215,0.09330622,1.4548196,-0.12574519,-0.057027895,-0.037848454,-0.013184312,0.7796035,-0.03807197,-0.08640602,-0.023233278,0.044055916,0.3395849,-0.007826439,-0.065068156,-0.03521255,-0.0060347873,0.27526993,-0.018136827,0.27899912,-0.043000337,0.14173852,1.3820487,-0.053238023,1.1270639,-0.08813796,0.5346503,0.041131385,0.2507569,-0.006359704,0.9681979,0.07949785,0.34028494,0.09397884,-0.00074716285,-0.004156706,-0.03505934,1.3696599,0.21290289,0.015918836,-0.042860795,0.31816193,-0.061532527,0.77334315,-0.087967634,2.0827518,0.08699507,0.20359784,-0.022161268,0.44033334,0.35176873,-0.0028155984,0.12229641
TCGA-3C-AALI,0.9279231,-0.005723668,-0.010162603,0.2763408,0.36743763,-0.002543451,0.31362182,0.5854075,1.1706866,0.04050452,0.13321808,-0.023410995,0.09323571,1.4051408,-0.121120386,-0.07311296,-0.034804206,-0.022318536,0.86413455,-0.037225377,-0.09131293,-0.021622764,0.08994795,0.15664451,-0.0074593136,-0.034666684,-0.038986888,-0.00461217,0.18553714,-0.047438912,0.21426255,-0.0477117,0.07940653,1.5846716,-0.047118604,0.99608296,-0.09333078,0.47875363,0.017848685,0.38865188,-0.013625625,1.0042292,-0.001194168,0.41745237,0.0072912537,-0.0025063127,0.05719032,-0.026630392,1.3788989,0.08779962,-0.006153171,-0.029274134,0.41455606,-0.056555606,0.8763145,-0.09052877,2.0465066,0.07122213,0.13197027,-0.026773024,0.38675636,0.46411654,-0.0004419758,0.08630089
TCGA-3C-AALJ,0.8831163,-0.010566724,-0.013725172,0.20451938,0.378692,-0.02005316,0.28621912,0.6000719,1.1789807,0.018816859,0.10887397,-0.027046902,0.047162034,1.4283471,-0.114482045,-0.068873264,-0.04389725,-0.01647762,0.8529258,-0.044929482,-0.07811012,-0.024920445,0.023220817,0.22736992,-0.0052246316,-0.055501986,-0.049384486,-0.004335978,0.33702177,-0.03550614,0.22233273,-0.041918006,0.06135625,1.4969118,-0.044322755,0.99164444,-0.09114181,0.49622172,0.029119024,0.47495446,-0.016314285,0.9642396,0.0996026,0.38704014,0.18227541,0.064810224,-0.009518114,-0.022245733,1.2978414,0.1347324,-0.00814067,-0.034021832,0.34436458,-0.059550084,0.85584754,-0.087847166,2.0675278,0.14715892,0.037864193,-0.023775244,0.29727736,0.4625621,-0.006674662,0.08050442
TCGA-3C-AALK,0.71116316,-0.0049117403,-0.009041425,0.23341958,0.4001755,-0.015385424,0.22667663,0.43379742,0.9782762,0.02324777,0.18357794,-0.01127201,0.049897976,1.1751552,-0.09693492,-0.053417254,-0.035527572,-0.012382018,0.6927935,-0.031272415,-0.06548218,-0.017023472,-0.0033367753,0.05166844,-0.0069099325,-0.047398716,-0.02616976,0.00089621544,0.29045612,-0.027822036,0.10449394,-0.04324324,0.06384475,1.2681606,-0.03643721,0.8431303,-0.08420727,0.4465212,0.021978032,0.23197372,-0.006263414,0.8326548,-0.006868822,0.34166226,0.058611427,0.013492208,-0.0042850003,-0.021292007,1.1430792,0.108042836,-0.0025212802,-0.025499238,0.29143432,-0.04056696,0.72252625,-0.08594097,1.7311182,0.0641224,0.096684575,-0.017742587,0.3019145,0.43909147,-0.0040606256,0.035043914
TCGA-4H-AAAK,0.76374376,-0.0039004765,-0.011404657,0.2094757,0.38711685,-0.010313963,0.23079802,0.450934,1.1169395,0.04558287,0.12543544,-0.013401175,0.08785521,1.3802248,-0.10248522,-0.053674277,-0.027313123,-0.013214642,0.7666712,-0.03699317,-0.069855876,-0.023429696,0.03562533,0.20434892,-0.008749534,-0.045552988,-0.036654867,-0.0052650454,0.24400952,-0.030546352,0.16317824,-0.043957762,0.046154067,1.2771928,-0.037824355,1.0048387,-0.08382016,0.4691875,0.04548265,0.23151305,-0.009575016,0.876772,0.048904277,0.30046543,0.06367536,0.03134408,-0.0030750397,-0.022899156,1.198738,0.116945855,-0.0006862778,-0.032578256,0.34692937,-0.0474046,0.7329889,-0.07672258,1.8020201,0.12836745,0.12421945,-0.017707644,0.34775105,0.4180309,-0.011936596,0.037743255
TCGA-5L-AAT0,0.76974374,-0.0057485066,-0.005481278,0.27524978,0.3733807,-0.010265797,0.27906543,0.43676412,1.0042956,0.069286086,0.12047502,-0.007058881,0.04741107,1.2761815,-0.098112546,-0.054026593,-0.036475636,-0.013184215,0.7535118,-0.045726832,-0.06810541,-0.018444937,-0.0034809613,0.099399075,-0.010369417,-0.050355233,-0.030629745,-0.0028669462,0.27244538,-0.02431856,0.13342667,-0.041382235,0.120156385,1.271397,-0.044953316,0.9080271,-0.081158884,0.43205076,-0.0024455383,0.26162705,-0.010169209,0.9320121,0.06927521,0.30285433,0.07446279,-0.0002383344,-0.006149987,-0.01818524,1.1985213,0.15796551,0.028139059,-0.030501653,0.3380307,-0.04820733,0.7221008,-0.0838274,1.7601616,0.03576503,0.044718146,-0.016410312,0.34155947,0.37387642,0.0038857171,0.025231708
TCGA-5L-AAT1,0.7544108,-0.008458561,-0.0054780953,0.2940288,0.34478143,-0.008485819,0.21154903,0.5065801,0.9370758,0.10460204,0.18517934,-0.010881225,-0.006718728,1.3281736,-0.10799863,-0.055952143,-0.039569046,-0.013808476,0.78912324,-0.05010224,-0.06698363,-0.023064457,-0.005430117,-0.005051331,-0.011850783,-0.056158345,-0.03240233,0.006431747,0.21532068,-0.025754139,0.11033643,-0.041911658,0.14257272,1.3111132,-0.045040704,0.9633496,-0.08033877,0.5054487,-0.0037817396,0.37785086,-0.011147504,1.0203031,0.13381964,0.30727205,0.1475673,0.0031524152,-0.00060884416,-0.031397365,1.2787381,0.15232871,-0.0037873767,-0.025977721,0.3838832,-0.060135067,0.7261492,-0.08524399,1.8592739,0.02884441,-0.004448507,-0.013994341,0.3993167,0.34702107,-0.003448149,0.00838409
TCGA-5T-A9QA,0.9349164,-0.0025675995,-0.012111518,0.24253926,0.43277615,-0.012310277,0.25127867,0.5807508,1.2382388,0.032868784,0.26521945,-0.028173884,0.04060083,1.616254,-0.11614616,-0.074703716,-0.05409361,-0.020530106,0.97809565,-0.04829559,-0.09939689,-0.034463044,0.14993905,0.35981137,-0.019050559,-0.058728486,-0.04080837,-0.0084920395,0.3393494,-0.04372708,0.20110883,-0.048051294,0.13460776,1.6159141,-0.0548877,1.14081,-0.10122541,0.4594183,0.09620189,0.5055036,-0.0030707198,1.0648818,0.1799778,0.4533142,0.05969814,-0.011062376,0.048022427,-0.029683683,1.4540936,0.21461056,-0.002153689,-0.035942633,0.43310565,-0.07237414,0.91312605,-0.08723732,2.2621944,0.02769975,0.1823104,-0.020377135,0.21214038,0.55699307,-0.01542151,0.16367935
TCGA-A1-A0SB,0.71201247,-0.001708404,-0.006358668,0.107747115,0.24244156,0.02229505,0.1351729,0.27303806,1.1203194,0.06554278,0.027064474,-0.018272854,0.23786911,1.2704014,-0.12561524,-0.05441754,-0.039126214,-0.013209926,0.71480995,-0.03495814,-0.07063504,-0.030994589,0.027953438,0.25193927,-0.003999402,-0.055464853,-0.03127643,-0.0052701537,0.047898635,-0.017359188,0.20525353,-0.03164477,0.16801922,1.2977895,-0.043732952,1.0183033,-0.07210037,0.6155611,0.022080954,0.22625794,-0.01953364,0.7422334,0.17522033,0.31087822,-0.0062815757,0.062210634,-0.008233231,-0.02763241,1.1619886,0.22959179,0.017260958,-0.027986452,0.2796203,-0.043815717,0.72902054,-0.075178385,1.6232607,0.1997858,0.09464384,-0.01673015,0.49438435,0.2863152,-0.008615754,0.045004837
TCGA-A1-A0SE,0.71485245,-0.009351032,-0.008599158,0.13072103,0.209259,-0.009004438,0.10709271,0.33812702,1.0372263,0.0065920353,0.055768337,-0.017916026,0.11311809,1.2876028,-0.108280696,-0.047075693,-0.04010641,-0.013897227,0.7104013,-0.036083948,-0.067722,-0.029939732,0.119872116,0.3830053,-0.012829088,-0.049413282,-0.036036976,0.0047421716,0.06729325,-0.028422026,0.18768142,-0.032226954,0.1334589,1.2207212,-0.044490162,0.98634684,-0.06864663,0.5662537,0.08762301,0.16262658,-0.009663791,0.78625625,0.24382883,0.2760774,0.07275951,-0.009983957,-0.004428923,-0.028633982,1.106655,0.19579308,0.0341156,-0.0314111,0.2023975,-0.05491736,0.67694956,-0.0711516,1.6421202,0.06698707,0.07043946,-0.013613673,0.3855371,0.316744,-0.0069786184,-0.0008528404
