patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-3C-AAAU,-0.07270299,-0.32131934,0.46559238,0.23782313,-0.16806208,0.73137724,0.21682912,1.0656499,0.7595542,-0.14442621,-0.16166157,0.6487205,1.375856,-0.45651528,-0.03397951,-0.017632825,0.43933648,0.48786166,-0.017077228,-0.006451342,0.33497062,1.2695894,0.58977926,-0.2720857,1.2866857,0.9661879,0.735115,-0.27040523,0.40349984,-0.032951523,-0.17531453,-0.0044661886,0.14970191,0.05756437,-0.0199462,-0.02491169,0.8876296,1.0337,1.6719759,-0.0025371148,0.09926598,-0.26388073,0.2875118,-0.046036467,0.6004042,0.89551526,-0.023576848,-0.22305892,0.30567566,-0.008114755,-0.026295109,-0.0093972115,-0.120693795,-0.02450676,0.40751356,-0.18807243,0.96907973,-0.09898431,1.0668849,0.16383746,-0.00818064,-0.037124388,-0.09329293,0.4188645
TCGA-3C-AALI,-0.111697294,-0.47173563,0.28545743,0.76633537,-0.2079368,0.9670385,1.3035504,1.3482076,1.1674968,-0.116846494,-0.16119274,0.2859335,1.6372501,-0.6471313,-0.0124996,0.07653463,0.49219054,0.4504797,-0.088569455,-0.0022534057,0.20046198,1.3629231,0.61730933,-0.36520818,1.6477749,0.95954055,0.90110326,-0.30100045,0.8457488,-0.022997243,-0.30286598,-0.04303235,-0.0355584,-0.01741722,-0.023711478,0.08846303,0.48450813,0.588273,2.1978593,0.558929,0.2716301,-0.34142512,0.38752237,-0.079342745,0.45867103,0.868204,-0.029220616,-0.30092838,-0.004181163,0.23411654,-0.005566929,-0.04863035,-0.22361867,-0.025825024,0.4476539,-0.23525392,1.2162447,-0.1600542,1.3715978,1.2651932,-0.01320023,-0.034096528,-0.14912881,-0.011870527
TCGA-3C-AALJ,-0.15739892,-0.5995571,0.37811422,1.1507643,-0.23624836,0.9879106,0.7857288,1.6234107,1.4917272,-0.16675897,-0.17610067,0.38233194,2.127093,-0.8036828,-0.04092228,0.029014539,0.40761554,0.75794435,-0.09939188,-0.014082882,0.7554145,1.7972026,0.668105,-0.47630206,1.8431134,1.0549942,1.3788619,-0.4147844,0.5943916,0.064209774,-0.3964292,-0.03400021,-0.0037217035,-0.028156558,-0.020872891,-0.02900963,0.5126041,0.5864847,2.634313,0.39408642,0.31914407,-0.4327263,0.42103824,-0.074214265,0.6833652,1.0090272,-0.026267502,-0.36204273,-0.0041745715,0.24381474,-0.008623886,-0.0028134144,-0.3242476,-0.040906012,0.422679,-0.29426166,1.8694701,-0.22584827,1.5951906,1.270562,-0.005107713,-0.044241976,-0.19730198,0.20467508
TCGA-3C-AALK,-0.14662616,-0.5760774,0.43851978,1.1554081,-0.2514962,1.181695,0.16215637,1.5815521,1.6115137,-0.22525452,-0.21216361,0.6461778,2.1440766,-0.79855067,-0.013051519,-0.0016630918,0.6190199,0.66770357,-0.0944879,0.03215225,0.38176218,2.3478339,0.77568066,-0.49886012,1.989129,1.4754544,1.4480679,-0.40448457,0.15805031,-0.013187907,-0.35999158,-0.020614525,0.014626099,-0.016559033,-0.029811654,-0.00022029356,0.41116527,0.70793736,2.9606209,0.17564526,0.85489124,-0.44251314,0.23197046,-0.07867923,0.37953466,1.2453479,-0.027028993,-0.38768137,0.18590617,0.23689498,-0.04011416,-0.029787967,-0.29164827,-0.028153384,0.33671764,-0.30338272,1.7588098,-0.18258396,1.4922937,0.8810236,-0.025198836,-0.053678423,-0.18745132,0.35882157
TCGA-4H-AAAK,-0.059954662,-0.37897557,0.19387184,0.37437558,-0.17518261,0.8059747,0.50540245,1.1437007,1.4465039,-0.18274735,-0.17619242,0.9745101,1.3998133,-0.55701846,-0.017808547,0.25031018,0.44688904,0.28799573,-0.029365543,0.16713494,0.06629863,1.6043469,0.78885436,-0.35055688,1.5310446,1.443867,0.83191335,-0.31338382,-0.0018492716,-0.024680242,-0.24340263,-0.032441314,0.14046754,0.02925701,-0.045291852,0.023229681,0.60047626,0.9363227,1.9774723,-0.008423798,0.5861487,-0.31700942,0.27816504,-0.07466795,0.30827433,0.91380924,-0.0052345055,-0.26244625,0.24545015,0.24691711,-0.020994937,0.0430293,-0.15908358,-0.03179246,0.35303584,-0.21974258,1.1591148,-0.11942657,1.1307849,0.5924302,0.03704013,-0.039237686,-0.10915966,0.62587965
TCGA-5L-AAT0,-0.08209353,-0.3634377,0.2439086,0.54164374,-0.17262983,0.8892268,0.09279546,0.9984148,1.1224053,-0.18950373,-0.1807805,1.1312468,1.5100613,-0.52093804,-0.019540867,0.014418166,0.24314785,0.20899804,-0.0016236689,0.18081883,0.13350996,1.5789862,0.7324098,-0.31072173,1.4710456,1.4162065,0.7532676,-0.27561566,0.162406,-0.008140507,-0.2116969,-0.004350815,0.097990826,0.07884341,-0.01907414,-0.0052860877,0.682058,0.97754073,2.225737,0.010115908,0.46301317,-0.29645258,0.3146405,-0.053515803,0.3215658,1.0598505,-0.01401245,-0.26257455,0.3360103,0.12736784,-0.042163804,-0.02344868,-0.12620626,-0.01785385,0.29397756,-0.20817657,1.2055138,-0.1233987,1.1752183,0.21178977,0.08193122,-0.034492563,-0.11140665,0.5659285
TCGA-5L-AAT1,-0.112170674,-0.5061217,0.4810456,1.0684422,-0.2082823,0.9069072,0.091923624,1.2412366,1.3679011,-0.2092999,-0.17928004,0.8387115,1.9697447,-0.67422134,-0.017014159,-0.0005413067,0.47079718,0.53821844,-0.06986904,-0.0056107617,0.49425337,1.7476158,0.6885452,-0.4023725,1.7728033,1.4610566,1.0659432,-0.37700197,-0.015513064,-0.0003327652,-0.2930865,-0.006491735,0.12662034,-0.021771032,-0.022719992,-0.027316038,0.5139709,0.99804926,2.6194673,0.1116926,0.47990856,-0.37615556,0.30705574,-0.068554066,0.4769112,1.1245297,-0.022622153,-0.33468717,0.08833998,0.25371632,-0.049288608,-0.01819915,-0.24456456,-0.019712001,0.29874665,-0.26416883,1.4718163,-0.14825265,1.4448992,0.7767846,-0.010142306,-0.058706563,-0.1499457,0.39727345
TCGA-5T-A9QA,-0.20388673,-0.80055934,0.7127946,1.7967156,-0.31660762,1.6125419,0.396542,2.240862,2.0673838,-0.23272203,-0.21805385,0.38964,2.9840212,-1.1164345,-0.05583402,0.025623325,0.81827515,1.1793687,-0.2049257,-0.032516092,0.69846725,2.884333,0.97252727,-0.72662085,2.7458358,1.734443,1.9178009,-0.57197136,0.55754215,0.12065223,-0.58432126,-0.029141922,0.10595062,-0.052259386,-0.057961237,-0.02155525,0.111865416,0.41352883,3.7247767,0.694757,1.4653475,-0.606203,0.5067781,-0.12501729,0.5657702,1.4050823,-0.03744803,-0.52043825,-0.003435377,0.24204624,-0.041666474,-0.011823442,-0.44258434,-0.021437433,0.37265208,-0.3828098,2.4287624,-0.22836874,1.9143665,1.6832154,0.0055386126,-0.077012524,-0.293278,0.39104953
TCGA-A1-A0SB,-0.05502789,-0.22204927,0.16090055,0.3069416,-0.13134691,0.6046481,0.22707327,0.5272618,0.6188585,-0.13570206,-0.116542496,0.960227,1.3325312,-0.33637056,-0.029095832,-0.05351543,0.33462143,-0.016730785,-0.0070458935,0.10633724,-0.0202073,1.1875708,0.4084644,-0.17019579,0.49545863,0.8789019,0.9272675,-0.15555832,0.17116876,-0.015452126,-0.076661706,0.05505059,-0.005124,0.23467028,-0.022651603,0.82054746,0.1535901,0.53716767,1.7375498,-0.0038476225,1.6111381,-0.18370114,0.15132368,-0.044812612,-0.035521906,0.8166231,-0.0049810493,-0.13107105,0.32748055,0.14068297,-0.015107204,-0.0062993052,-0.045666676,-0.0078015137,-0.0011907058,-0.13850749,0.5641904,-0.064351454,0.61328673,0.24797226,0.15135871,0.19184363,-0.10171703,0.40065086
TCGA-A1-A0SE,-0.07503971,-0.38050884,0.21749815,0.5054907,-0.19480734,0.8260962,0.22692534,1.2593248,1.1156214,-0.22066501,-0.1907696,1.0750669,1.6767566,-0.52138513,-0.02901331,0.115898326,0.48553342,0.34157935,0.1741774,0.20641842,0.10022519,1.7242612,0.85044247,-0.31282762,1.4232761,1.363467,0.91529495,-0.2880003,0.34458697,-0.0028958009,-0.186144,-0.015050182,0.07491946,0.06065934,-0.0070623956,0.15224871,0.8985366,1.0880716,2.3121307,0.017715001,0.55155665,-0.30472934,0.35670403,-0.053451058,0.451648,1.2059131,-0.018080505,-0.2446604,0.49835107,0.13610618,-0.040154852,-0.018773733,-0.10481403,-0.02836752,0.30155802,-0.20532446,1.1821066,-0.13862245,1.2706816,0.0075911973,-0.013069292,-0.02843519,-0.10823109,0.6007279
