patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-3C-AAAU,0.21285075,0.37011266,0.033622846,0.78972214,-0.006325949,0.3134634,0.106386,-0.0011588555,0.020219594,0.036400177,-0.009121698,0.02466093,-0.0014733218,0.19312981,-0.0010958386,0.102057286,0.011276968,0.49437663,-0.028515035,0.55251265,0.022145823,0.119623214,0.05069153,-0.009922318,0.06269296,0.107093886,0.46571285,0.152268,-0.007364732,-0.0016335637,0.33961833,0.05507125,-0.0026280598,0.06914463,-0.018826762,0.17050466,0.07030149,0.701736,-0.010668908,0.12755656,0.07849789,0.031941082,0.06106802,0.043316524,0.089612424,0.0047406703,-0.012694137,-0.018512642,0.33943045,-0.014475579,0.88127816,0.022529563,0.3167481,-0.011626856,0.035113636,0.6169691,0.09692223,0.41855514,0.24835269,0.15746787,0.12757239,-0.008088599,0.024692036,-0.0010854373
TCGA-3C-AALI,0.10734899,0.26080698,0.09879082,0.509924,-0.004868672,0.057807878,0.014712051,-0.0126374485,0.04991006,-0.003650862,0.037348747,0.08852854,0.009068854,0.17228237,-0.009919277,0.060309388,0.050126716,0.3424496,-0.031277042,0.22066149,0.114204824,0.069492996,0.0852089,-6.438997e-05,0.044554092,0.1572224,0.19610918,0.009023112,-0.0033026729,-0.0054763495,0.05065008,0.09282255,-0.003014174,0.030329518,-0.008301876,0.11920945,0.06522289,0.5028582,0.012498841,0.026991911,-0.00010491312,0.022103596,0.060670268,0.04746901,0.07009273,-0.0019727198,-0.0044529694,-0.014784234,0.2804645,-0.009519561,0.4286639,0.025371848,0.14435281,-0.010680661,-0.0060416427,0.3786357,0.02766049,0.29554865,0.11915708,0.11446719,0.075839,-0.0014456373,0.042116895,-8.248869e-05
TCGA-3C-AALJ,0.112642676,0.21658848,0.15057209,0.6197984,-0.0040183477,0.053444467,0.04578276,-0.0050126426,0.07131968,-0.0031394118,0.045789473,0.07307207,0.027530082,0.19220576,-0.008263516,0.06954561,0.011382669,0.4293813,-0.031163258,0.26487547,0.13474233,0.08100228,0.045912575,0.020109035,0.04024931,0.23637153,0.1411023,-0.0010282493,-0.009980142,-0.0050143325,0.07478617,0.010861009,-0.0049656145,0.055682607,-0.009044513,0.09692054,0.11581215,0.572724,0.0041497126,0.03606484,0.013967361,0.05137926,0.044290207,0.01546572,0.13381793,-0.0035078884,-0.0069807316,-0.018879065,0.3333597,-0.009433143,0.5606063,-0.0024855663,0.16225815,-0.014171806,-0.0005667444,0.4388974,-0.00020141192,0.32029986,0.11409983,0.08788136,0.08013667,-0.0075070546,0.13110045,0.040775802
TCGA-3C-AALK,0.11218216,0.20979056,0.11943508,0.49892944,0.0094483495,0.08177426,0.051778905,-0.007663477,0.087792635,-0.0013195606,0.06371894,0.092689075,0.0019550063,0.090959184,-0.00832174,0.08173773,0.038931817,0.40462345,-0.031723797,0.25688308,0.10029115,0.07705298,-0.00033467612,-0.0014985858,0.09272148,0.112465695,0.019671291,-0.0015112398,-0.0030081419,-0.0050975005,0.042786624,0.0531236,-0.0018111706,0.059860967,-0.010584116,0.13306671,0.10104065,0.5484006,0.050359983,0.0629092,0.05659206,0.018921137,-0.001614501,0.023780273,0.064019255,-0.0036950351,-0.0072891177,-0.014799786,0.28137985,-0.0074007176,0.5000932,0.055389084,0.18521447,-0.0068833306,-0.00066456164,0.37823468,0.03777335,0.34438097,0.07144809,0.09235963,0.064879015,-0.003973095,0.090192355,0.051263217
TCGA-4H-AAAK,0.08305505,0.13614106,0.08393447,0.38131854,-0.0003625311,0.015984066,0.076527625,-0.0050281542,0.06582641,-0.0062165996,0.07096473,0.086854525,-0.007930595,0.032185577,-0.0031491034,0.042277172,0.0005388856,0.37332603,-0.019648299,0.159825,0.09885214,0.06957896,-0.0026265264,-0.0005581703,0.037911415,0.094388574,-0.006224857,0.0032570297,-0.0054533286,-0.0035020858,0.012497846,0.036964096,-0.004302088,0.012868889,-0.003201779,0.10645291,0.05759188,0.43383357,0.048254732,0.040342607,0.010103248,0.006722048,0.026725695,-0.000893322,0.07907202,-0.00059709104,-0.011952658,-0.008160694,0.22384167,-0.005820676,0.38903147,-0.00023885966,0.094854385,-0.0073865815,-0.0006179311,0.33701923,0.040649787,0.26915193,0.03543733,0.093240276,0.08013381,-0.0024131618,0.081054,0.054088954
TCGA-5L-AAT0,0.027112896,0.20586045,0.12237805,0.4636993,-0.000998,0.0725494,0.12048124,-0.005997647,0.07818845,-0.0042595947,0.081784785,0.08602186,-0.0060940483,0.083667144,-0.004688763,0.03533166,0.0077731423,0.415162,-0.027843053,0.19322659,0.12632042,0.1316557,0.0157179,-0.00077940937,0.08048265,0.071890935,-0.0017609772,0.012154174,-0.0032586267,-0.0048937397,0.0512061,-5.9423037e-06,-0.0015758415,0.041367464,-0.006803207,0.11469975,0.051714864,0.49464774,0.045174856,0.058155052,0.0020714253,-8.2043e-05,0.021703385,0.007790155,0.07267102,-0.0033403493,-0.008175201,-0.009943516,0.26648608,-0.00861714,0.44862288,-0.0009705752,0.08813399,-0.008101579,0.028242547,0.32112446,0.012050007,0.29407582,0.041668843,0.06332477,0.054571275,-0.002675059,0.054048263,0.071739435
TCGA-5L-AAT1,0.15538442,0.2164643,0.09758225,0.49148616,0.02102235,0.115990005,0.110127196,-0.011935151,0.08859272,-0.0036018535,0.10023738,0.10928659,-0.004085377,0.047775254,-0.009894348,0.056506626,0.106312975,0.50180084,-0.03574862,0.27067164,0.09362073,0.10406239,0.012004599,0.02357158,0.08186399,0.18291192,0.10818426,0.030676398,-0.0072408128,-0.00535999,0.03545298,0.0935145,-0.005101648,0.08109488,-0.009977716,0.17939255,0.10942209,0.59234643,0.10601878,0.019788586,0.08308186,0.014098618,-0.0014429868,0.030186603,0.06733302,-0.0055324603,0.0123736225,-0.010227537,0.27716368,-0.010589227,0.48811954,0.0701038,0.19213066,-0.008935968,0.011059895,0.33013487,0.041745648,0.32443887,0.07268947,0.016625922,0.05837998,-0.0053398884,0.11076183,0.078275114
TCGA-5T-A9QA,0.20034476,0.27938053,0.21011695,0.63963354,0.016183622,0.07829749,0.09903298,-0.0032886576,0.14722009,-0.008304435,0.09151601,0.095060535,-0.0028511663,0.13695721,-0.0030612375,0.22213423,0.024702951,0.38865146,-0.050465602,0.30283743,0.10684937,0.15928626,0.017522695,0.016022746,0.17826673,0.24885894,0.17318551,0.03688519,0.005346436,-0.013483002,0.063437015,-0.00016530491,-0.0006070193,0.06374678,-0.006194309,0.1353516,0.10389523,0.7670542,0.037833963,0.10317628,0.054250088,-0.0015871291,0.048904736,0.06531305,0.094266996,-0.0111016035,-0.009733507,-0.017181743,0.428919,-0.014168835,0.6215023,0.103599295,0.19566461,-0.012185601,-0.014071173,0.44671935,0.0429501,0.55076444,0.08085152,0.13918002,0.13153236,-0.010642234,0.11963413,0.09175783
TCGA-A1-A0SB,0.028114643,0.4393277,0.08755359,1.0041546,0.18530881,0.17457233,0.12388398,-0.009735956,0.2812807,0.11474792,0.119275145,-0.0018211358,-0.0050297505,0.16239916,-0.007330735,0.06624739,0.23004214,0.85542595,-0.061727703,0.4939767,0.42193726,0.14959666,-0.017158318,-0.0066267163,0.30849478,0.041471425,0.36167142,-0.004366612,-0.016742675,-0.007916561,-0.004602998,0.0218346,-0.021063138,0.10892152,-0.0023948157,0.059548054,0.13348404,1.0692159,0.13048673,0.20806786,0.23245685,0.24508159,0.1630511,0.05189791,0.37972376,0.014794614,-0.01872392,-0.05132782,0.5435904,-0.021141812,0.9529831,0.004675625,0.28133145,0.03527778,-0.012553401,0.8344132,0.3322699,0.9018405,0.040497772,0.015870713,0.09456068,-0.016488183,0.1913074,0.105424576
TCGA-A1-A0SE,0.0766866,0.21775368,0.17689827,0.50161046,-0.0022600677,0.09885216,0.1485191,-0.0049247365,0.07389896,-0.0006996072,0.055395275,0.1040372,-0.0023453496,0.16971847,-0.0038054173,0.06765412,0.041272268,0.5046558,-0.031100541,0.23308711,0.14682423,0.15655215,-0.0016827754,-2.6983396e-05,0.0806658,0.117422014,0.11732054,0.024330955,-0.0012806405,0.024990415,-0.0009802202,-0.0033957206,-0.0047690435,-9.2102215e-05,-0.006639038,0.035525218,0.02483758,0.6095928,0.047692414,0.006644625,-0.00025586525,0.031054202,0.05499294,0.04946978,0.114341855,-0.0018537622,-0.008748564,-0.016101528,0.31967518,-0.0150238965,0.5608288,0.020602787,0.13432007,-0.008267577,-0.0060060997,0.3831206,0.036172777,0.35981986,0.10381862,0.15024641,0.06315987,-0.0032259077,0.085712165,0.06127059
