patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-3C-AAAU,0.26060757,-0.016524885,0.12802365,-0.040359616,1.0927712,-0.004908848,0.13308208,-0.06869965,0.07921382,-0.03198158,-0.045731653,-0.039850578,0.8349635,1.109386,1.1011238,-0.036894508,0.18744676,0.42344138,0.14397053,-0.0013763017,0.09995943,-0.016317915,1.4271986,-0.0053230026,-0.0020851328,0.7429818,0.4544606,0.247153,-0.029401919,-0.009963547,1.1388752,0.26440993,0.012255905,1.2832963,-0.018183872,-0.01681714,-0.04892358,-0.0030810505,-0.00395799,-0.03929099,1.4275391,-0.036613163,1.3299882,-0.038230974,-0.06460036,0.20753123,-0.0007499253,0.3381203,0.92834526,0.08420754,-0.04695015,-0.057486143,0.27526638,0.32303703,-0.0105085755,-0.0429538,1.1134676,-0.02003917,-0.03893398,0.0376858,-0.009928542,1.3116858,0.14285928,0.06127606
TCGA-3C-AALI,0.30705637,-0.016470002,0.19708894,-0.030202014,1.0381101,-0.008148811,0.25091118,-0.057051282,0.0014341129,-0.034475185,-0.04910096,-0.04371269,0.7607161,1.1758233,1.1546568,-0.04154698,0.058362875,0.46568716,0.20050232,0.121468246,0.028729975,-0.0047370563,1.5020121,0.01935824,-0.0015724261,0.84161013,0.4668749,0.5151118,-0.03140643,-0.0147258,1.149822,0.23786518,-0.0076012476,1.2694588,-0.011061709,-0.011212535,-0.04740792,0.04304328,-0.008318911,-0.043968547,1.4039254,-0.01988122,1.3656467,-0.030902157,-0.06356291,0.23317261,-0.018234795,0.26765376,0.8945087,-0.0009078936,-0.051340975,-0.067503765,0.24908789,0.2782464,-0.0040372894,-0.03936713,1.0713184,-0.025148064,-0.03076886,0.30152357,-0.0061947885,1.3730693,0.20609462,-0.0066383765
TCGA-3C-AALJ,0.31346995,-0.006629329,0.045677155,-0.024418673,0.97097194,-0.012807858,0.23407137,-0.054767657,-0.013807748,-0.035877567,-0.044256516,-0.03980063,0.74118125,1.1616945,1.185627,-0.033428986,0.10232256,0.49348027,0.17927249,0.19975296,0.10081548,-0.0037393183,1.4338398,0.067217655,-0.0031609056,0.71160954,0.5044326,0.47886235,-0.029489586,-0.0025131763,1.127742,0.25193492,-0.0074090376,1.1933753,-0.019195335,-0.008033513,-0.041983403,0.12657084,-0.0018853592,-0.037988465,1.3587877,-0.030344803,1.3779399,-0.0313911,-0.06254444,0.14718452,-0.0027860631,0.2120654,0.8206398,-0.0026855287,-0.04726277,-0.057657447,0.110817865,0.32597625,-0.015510035,-0.03246148,0.9787338,-0.02492518,-0.030648619,0.28190714,-0.011907352,1.2949564,0.22619388,-0.004507055
TCGA-3C-AALK,0.22421,-0.015876442,0.13441879,-0.030565018,0.874708,-0.0138954995,0.093232706,-0.046352413,-0.0034429275,-0.031770937,-0.03347547,-0.028830638,0.62193495,0.98770356,1.0191002,-0.028976643,0.13099496,0.44944948,0.09135313,0.034707904,0.04568827,-0.006812919,1.1474857,0.043270737,0.0096913725,0.8162772,0.5424829,0.3767503,-0.02020668,-0.0065379664,1.0070882,0.17483062,-0.0038328131,1.0651201,-0.016334338,-0.016479008,-0.03515244,0.014305651,-0.009096898,-0.027906284,1.2599007,-0.02420049,1.07677,-0.036380153,-0.053385343,0.10654559,-0.008844829,0.20398897,0.7099942,-0.0044410843,-0.036023542,-0.045322616,0.16524374,0.29757977,-0.009086183,-0.03240958,0.8420075,-0.022446355,-0.025638653,0.13709024,-0.014987068,1.2017717,0.061615612,-0.0032278418
TCGA-4H-AAAK,0.30273193,-0.010075567,0.1157808,-0.036594976,0.9408601,-0.014957628,0.18704003,-0.062214017,-0.0046762927,-0.03211582,-0.03881901,-0.028024727,0.7102341,1.0375634,1.0847267,-0.03315642,0.14135002,0.42446524,0.06622571,0.01591824,-0.0012908952,-0.010111699,1.2503672,0.002349089,-0.0033605606,0.6965258,0.5113928,0.38167098,-0.01442713,-0.0173145,1.0358096,0.17197117,-0.006787096,1.0532758,-0.014749971,-0.015013407,-0.03852,-0.0005822189,-0.0062847696,-0.037503265,1.2230669,-0.030957747,1.1946002,-0.028978078,-0.06713656,0.09195788,-0.0073015573,0.1962955,0.73257905,-0.0024471462,-0.041926112,-0.044716366,0.23469472,0.32241768,-0.016610568,-0.041082896,0.9482616,-0.024161456,-0.033558484,0.11214479,-0.008744645,1.1051005,0.21362293,0.03898272
TCGA-5L-AAT0,0.15693754,-0.012686756,0.11791709,-0.030819854,0.8955743,-0.018239213,0.07771306,-0.048574988,-0.007781447,-0.028255302,-0.033723585,-0.0243609,0.68842983,0.9298731,1.0428292,-0.03197032,0.2235273,0.45135716,0.11069287,0.066610575,-0.0022748727,-0.010434935,1.2269973,0.024125546,-1.8868595e-06,0.7601002,0.4755476,0.36263776,-0.015385746,-0.013145975,1.0727302,0.19674626,-0.009100983,1.0974168,-0.01681075,-0.028278142,-0.027635982,0.1269658,-0.010240399,-0.032958787,1.2706872,-0.033511963,1.1288972,-0.032026373,-0.062047172,0.0918276,-0.006188728,0.23587084,0.7343162,-0.0014607244,-0.037966274,-0.039199177,0.19960628,0.2761179,-0.008219539,-0.035508536,0.9602959,-0.021054367,-0.031408023,0.102562904,-0.008257884,1.1681334,0.011326443,0.033921205
TCGA-5L-AAT1,0.1370049,-0.008157759,0.08910149,-0.034164906,0.90228206,-0.026566291,0.071135156,-0.044211738,-0.010856401,-0.03707966,-0.02781151,-0.034704883,0.69773626,1.0323317,1.1219475,-0.033721972,0.24981155,0.5369999,0.13788249,0.0929122,-0.0014980459,-0.018131787,1.3126795,0.08824926,-0.0032035639,0.92621887,0.36738017,0.47457343,-0.02025184,-0.008638395,1.1638913,0.16801795,-0.006285341,1.0987359,-0.011878897,-0.02358067,-0.03501351,0.27611735,-0.0061267116,-0.039485518,1.3081602,-0.03104758,1.2432456,-0.026846787,-0.063139625,0.16379899,-0.0056871036,0.24304536,0.799051,-0.0048751747,-0.041051026,-0.041029964,0.18690282,0.24999332,-0.009929287,-0.038243856,0.93957555,-0.031031383,-0.02891326,0.24371608,-0.0113792345,1.2892647,0.013402272,0.051335916
TCGA-5T-A9QA,0.21817096,-0.007590911,0.20492303,-0.041092027,1.0608692,-0.015474406,0.14832032,-0.06578146,-0.00024413662,-0.042996604,-0.04331907,-0.049829755,0.9213031,1.2300222,1.2129902,-0.043918617,0.106363624,0.5496343,0.17810218,0.14459002,0.023011751,-0.014146799,1.6216354,0.043097712,0.049863327,0.83338904,0.7081545,0.41135013,-0.027085973,-0.02321679,1.1398118,0.1561591,-0.0047363974,1.2352731,-0.003050293,-0.025017891,-0.043675166,0.14482489,0.0030748397,-0.047185093,1.5993824,-0.035276104,1.4726446,-0.036921103,-0.06929654,0.39793393,-0.007995618,0.3268657,0.9043022,0.00439456,-0.051532686,-0.06368296,0.19313273,0.2949606,-0.008680878,-0.052269835,1.1549041,-0.031930096,-0.030373935,0.44137618,-0.017445767,1.4457397,0.3191642,0.09235831
TCGA-A1-A0SB,0.11169265,-0.022172641,0.14094661,-0.03303733,0.8947374,-0.010576576,0.33529082,-0.062518634,0.06363033,-0.020839082,-0.037278097,-0.033068746,0.806146,0.8888248,0.8112795,-0.024907539,0.1038765,0.30023247,-0.0012657437,0.076043464,-0.0014855632,-0.015504344,1.2932115,-0.004348903,-0.0072370055,0.4069285,0.19324592,0.20118912,-0.015781747,-0.0032009964,1.0319623,0.15506673,-0.0025061301,1.0472784,-0.013905719,-0.028506836,-0.032164447,-0.0042060376,-0.008798697,-0.027086705,1.2102853,-0.042685114,1.193479,-0.031295147,-0.06414145,0.030820178,-0.0088055255,0.2805817,0.6219418,-0.009512487,-0.039080303,-0.046536803,0.15431775,0.26741242,-0.004021388,-0.02941143,0.99653506,-0.023533227,-0.030322334,-0.0034018748,-0.011893068,1.0633576,0.06639804,0.042182125
TCGA-A1-A0SE,0.1350056,-0.012550508,0.087961674,-0.034867644,0.9741979,-0.011627541,0.10265906,-0.064412095,0.027783636,-0.028582504,-0.03558717,-0.029619986,0.8425235,0.87195194,0.88144755,-0.033645257,0.121069565,0.33034486,0.108505145,0.06324875,0.06121379,-0.012777201,1.2411159,0.010441651,-0.0026000463,0.4245914,0.38391477,0.101557195,-0.023095855,-0.01296085,1.0464101,0.110268444,-0.00921108,1.0626782,-0.010773729,-0.026533274,-0.0323878,0.047403224,-0.010701123,-0.031233756,1.1916958,-0.043244738,1.1290174,-0.03322721,-0.057796348,0.1262375,-0.007409929,0.31323463,0.66682833,-0.0002984916,-0.038504656,-0.043682113,0.10609245,0.30796504,-0.008281237,-0.03815831,0.9775008,-0.02798658,-0.018722717,0.22127722,-0.0057383487,1.0712119,0.09119639,0.11982064
