patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-AB-2805,-0.03811807,-0.11543136,1.2305168,0.73130304,1.1587262,1.3274965,1.4629208,0.31524527,0.39525053,0.6878944,-0.18187559,1.112185,-0.032567687,1.3702698,-0.10803103,-0.32414538,-0.21041869,-0.016620306,2.9407215,2.1293292,-0.05732754,-0.22666012,-0.41508108,1.769392,-0.24598303,-0.055627853,0.64599884,0.05855861,0.37771252,-0.03747715,0.6554773,1.3993373,0.6590761,0.82110196,0.042266242,0.89343786,-0.060736634,2.497632,0.614777,-0.14705333,-0.008639914,2.3153603,3.4208338,-0.21323009,-0.22889765,1.5383104,1.6967494,0.94314593,2.5031085,-0.045422908,-0.12890384,0.7275325,0.5374786,0.52178407,0.5945669,-0.20901003,-0.027225235,1.0097512,1.7711964,2.8134105,-0.2674249,-0.043104086,0.7451453,0.6441306
TCGA-AB-2806,-0.04689447,-0.21794577,0.66567117,0.17397478,0.011197932,0.93427914,1.0832295,0.47880343,0.25206834,0.50005525,-0.076283544,-0.022992957,-0.011753757,0.5723143,-0.10368047,-0.14479537,-0.2684863,-0.34623414,2.6800854,-0.0067726197,0.7327068,-0.02442641,-0.55362743,1.2476146,-0.19163547,-0.027628083,-0.1653399,-0.006222471,0.08410486,-0.04760675,-0.023170926,-0.0076735415,-0.024556747,0.14548887,2.3495893,-0.008632294,0.46798414,1.0266623,-0.01663743,-0.20916839,-0.004190276,-0.069342874,0.89295304,-0.101615265,-0.06105394,0.8901579,0.06915371,1.8748343,2.1344793,-0.062389057,-0.039636597,-0.0002462349,0.1823974,0.05741079,1.9490966,-0.24357513,-0.013263069,-0.061510254,0.075810306,1.1983126,-0.1784107,-0.024020096,-0.016500335,0.2705293
TCGA-AB-2808,-0.04037043,-0.19614023,1.1739453,0.8608992,0.49953827,1.386495,1.656657,0.00941797,0.19015875,1.2232898,-0.17951153,0.36569118,-0.044480707,0.7978838,-0.11070875,-0.253496,-0.20308922,-0.26335913,2.8182018,0.6481534,0.3119875,-0.11909155,-0.5851935,1.5827446,-0.2726091,-0.006629221,-0.14018811,0.22928283,-0.0061716433,-0.02348465,-0.000643182,0.71050715,0.04495796,0.5501398,1.2374982,0.45814112,0.10546221,1.8945594,0.64039534,-0.21372664,0.67824364,-0.018367006,1.7554617,-0.13280757,-0.11483796,0.96497875,0.6994098,2.051155,2.6019928,-0.05113951,-0.04221564,0.3251262,-0.010181932,0.18173502,1.3312647,-0.31799993,-0.033745762,0.13028465,0.0263891,1.7552934,-0.2283573,-0.022052601,0.37908515,0.32761285
TCGA-AB-2810,-0.057464045,-0.23379488,1.0513772,0.7920535,0.96125734,1.6736389,2.0557437,0.66278917,-0.008470845,-0.0034784072,-0.22926557,0.9547632,-0.036277782,1.3585008,-0.14754133,-0.3437383,-0.25601077,-0.088703595,2.9409606,1.7945911,-0.022512527,-0.14769743,-0.5468408,1.3227868,-0.2794542,-0.023981217,-0.0141276745,0.32772195,1.1467999,-0.031558298,0.7640149,1.5529087,0.8069019,1.052416,-0.026192043,1.4657604,-0.033142917,2.7098048,0.89408904,-0.19427828,-0.049144637,0.8523623,3.3967636,-0.19110078,-0.23406635,1.6686494,1.556262,0.93382025,2.5409012,-0.054064848,-0.101765685,0.32860824,-0.016644834,0.7026123,0.7256947,-0.33829644,-0.03664665,0.7526631,1.4465079,2.8548949,-0.3103464,-0.043616243,0.97346115,0.12634647
TCGA-AB-2811,-0.0021629035,-0.08917386,0.56127256,0.33528692,0.46304205,0.5922505,1.1387306,-0.009682683,1.1034651,0.34513366,-0.05580715,0.5210354,-0.006965875,1.0213447,-0.058248397,-0.20233078,-0.19231424,0.41878492,1.5623049,0.5449435,-0.032124814,-0.06321631,-0.18616313,0.7652864,-0.069884054,-0.042990413,1.9175259,0.6320728,0.9721842,-0.009040944,0.6846772,1.2085047,0.5436009,0.45160976,0.21894844,0.7112716,-0.024255535,1.3119069,0.16433656,-0.051507473,-0.00711658,0.35423297,1.6631612,-0.124716796,-0.09350734,0.7871905,0.78982365,-0.0011421498,1.0982283,-0.020865344,-0.036411848,1.0921968,0.41096964,0.12139037,0.5764779,-0.07911553,-0.018820586,0.6347647,0.8312819,1.9156814,-0.1261568,-0.02420472,0.70698047,-0.0055407495
TCGA-AB-2812,-0.023204291,-0.17013657,1.0274817,0.40628842,0.39153624,1.0712,1.3916,0.26760173,1.115232,0.14210135,-0.16071849,0.552942,-0.01546299,1.0819063,-0.09562538,-0.23712681,-0.2718247,-0.117526844,2.229468,0.9029679,-0.011007351,-0.10776066,-0.37940836,1.189229,-0.17041455,-0.02124473,1.3583785,0.39709982,1.5661066,-0.028640095,0.7677824,1.3845044,0.96423817,1.0612088,0.3515626,1.1702516,-0.00816091,1.7370992,0.36884955,-0.13736945,-0.01621978,-0.014522362,2.2138588,-0.19089757,-0.12998366,1.3480837,1.1656619,0.25861064,1.2874662,-0.034980018,-0.023484757,1.1681144,0.13364244,0.5113077,0.6509605,-0.1802544,-0.019884385,0.8720654,0.57681406,2.3824577,-0.20171486,-0.06962513,0.9057666,0.09816545
TCGA-AB-2813,-0.028786952,-0.0889978,0.74652493,0.8048995,1.0829408,1.1160351,1.1430675,-0.0028518718,0.47094998,1.432183,-0.11039018,0.7619069,-0.038683888,1.0143765,-0.06066388,-0.28056455,-0.123126425,0.20700867,1.9886872,1.6085224,-0.05982215,-0.1509121,-0.28021312,1.0677519,-0.16493638,-0.041419815,0.76749295,0.4174541,0.21591254,-0.010388984,0.5634393,1.142299,0.712781,0.61394536,-0.042839557,0.8525946,-0.07439276,1.9061673,0.6555995,-0.08782735,0.082113124,1.8161381,2.660405,-0.14995877,-0.15588538,0.98983634,1.1591887,0.57520044,1.8287746,-0.019502118,-0.06726424,0.93455005,0.59539247,0.26595074,-0.003080082,-0.16591617,-0.025933592,0.8264725,1.522434,2.2495277,-0.1875423,-0.013193153,0.73192614,0.47112682
TCGA-AB-2814,-0.017368086,-0.14559768,0.67886376,0.86873144,0.79552656,1.3396137,1.6155866,0.17980672,0.5537945,1.4076214,-0.15297909,0.7299225,-0.052190866,1.5196563,-0.09417289,-0.29428262,-0.14077619,-0.061468363,2.5865915,1.5872473,-0.027394352,-0.14714709,-0.396043,1.4970073,-0.23925924,-0.02522331,0.40051723,0.11048485,0.11570923,-0.010828281,0.14419557,1.1965983,0.70991904,0.8435334,0.7285375,0.92006904,-0.030187218,2.1773674,0.9176105,-0.09799526,0.070424445,1.4897199,2.7922368,-0.13096325,-0.17772229,1.1332545,1.4506518,1.0922761,2.448227,-0.035084087,-0.08970164,0.7318506,0.5860285,0.28417498,0.2966385,-0.25484288,0.1174027,0.8416259,1.5634514,2.0836644,-0.24693386,-0.013381216,0.89192224,0.489109
TCGA-AB-2815,-0.012298695,-0.15031438,0.5285275,0.7797934,0.23756869,0.94180036,0.88329405,0.77193785,0.5240217,-0.0054807807,-0.12091048,0.34701627,-0.020240761,0.70940137,-0.08027177,-0.15555261,-0.1939383,-0.12615566,2.0256627,0.3394658,0.026354589,-0.08326977,-0.3406082,1.2851676,-0.20977373,-0.03477026,-0.11264373,1.4621632,-0.010010388,-0.013067764,-0.024218207,0.15240186,-0.0005991174,-0.002080578,1.5350821,0.033255067,-0.0012284276,1.5616832,-0.016129797,-0.18246529,-0.018171636,0.456311,1.2485751,-0.05277704,-0.10083361,1.0217171,0.2623819,1.6364411,2.298528,-0.019677436,-0.041379403,-0.0075874715,0.110916905,0.411159,1.2214814,-0.16153687,-0.023902059,0.020441918,-0.0004902229,1.3780186,-0.12906864,-0.014573231,-0.027447114,0.023766194
TCGA-AB-2817,-0.06337601,-0.09327253,0.80721927,0.6455315,1.2178514,1.2459488,1.2885004,0.09173194,0.5066017,1.1167291,-0.13586594,0.5925196,-0.037254583,0.93664074,-0.059613597,-0.25351807,-0.14319235,-0.02110767,2.1060078,1.610165,-0.04702581,-0.16162525,-0.31774068,1.3118131,-0.18898676,-0.054326802,0.3465335,0.4774407,0.12722743,-0.032719884,0.46067914,0.9197509,0.687116,0.7441542,0.12260902,0.5420492,-0.078389026,2.083701,0.4926787,-0.104348294,0.025163487,2.0548382,2.6423268,-0.15171145,-0.16365162,1.4292543,1.0625771,0.9095836,2.3437507,-0.027258823,-0.10410749,0.36132452,1.120627,0.62110984,0.19276701,-0.14023457,-0.0131850885,0.73755074,1.3860918,2.2734883,-0.20394962,-0.02130553,0.28285536,0.49209854
