patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-AB-2805,-0.020587822,0.54964966,-0.0072491565,0.92835873,0.44391,0.68808,0.36502874,0.08504148,0.1905782,0.025385788,-0.0014201076,0.0010908004,-0.010233908,0.6380447,0.5508548,-0.0040724664,0.0040478334,0.072190076,0.042670473,0.11891823,-0.009895161,0.02620136,0.78687894,0.2159536,0.2961508,-0.010240108,-0.003842661,0.39670485,0.33895087,-0.0038081151,0.12100445,0.9939502,0.16856864,0.12200703,0.55845404,-0.002210616,0.5292637,0.06405605,0.5450469,0.09145697,0.047238365,0.23632866,0.002449127,-0.0027717624,0.72361934,-0.011559885,0.1098398,0.5919539,0.17416592,-0.024091009,-0.02469864,1.03282,0.67718476,0.105498746,0.0066469796,0.011009771,-0.015303925,-0.0015166149,0.17364272,0.040165182,0.30891812,-0.0073695923,0.0042729806,-0.0018988565
TCGA-AB-2806,-0.00026822128,0.43459958,-0.015748763,0.47881454,0.16072085,0.21841237,0.23365389,0.07620542,0.22011383,0.10261037,0.16077794,-0.007349383,-0.0018913128,0.047742732,0.20956287,0.046053316,0.36287168,0.14497256,0.06752541,0.027263714,-0.012347123,-0.0003718095,0.55721694,0.04832724,0.073428094,-0.0024139143,0.120616734,0.13051254,0.4827401,-0.012851368,0.18111733,0.48214966,0.12029405,0.12022202,0.31198195,0.05767579,0.3264147,0.119535655,0.45674583,0.33529592,-0.008827909,0.10295543,-0.0038209723,0.17038283,0.64280766,-0.010309616,0.09931335,0.15855062,0.20540132,-0.017373115,0.13644291,0.5930995,0.6578152,0.34621856,0.024682123,0.17012277,-0.019890448,-0.002278482,0.13392398,0.042561427,0.28936815,-0.002959133,-0.0042066225,0.101626426
TCGA-AB-2808,0.04593588,0.44572845,-0.016419338,0.47502717,0.12984374,0.50471187,0.23315026,0.064053595,0.08379021,-0.0057054907,0.103975445,0.006760828,-0.0019942056,0.21527787,0.5577789,-0.012502544,0.31265607,0.003949754,0.16516578,0.17509359,-0.008951116,0.14334363,0.6772671,0.13372348,0.3393944,-0.0060633826,0.040281024,0.280452,0.5783324,0.08033945,0.32222757,0.5588786,0.036084518,0.16207413,0.39892256,0.11152555,0.3810857,0.26641694,0.6755486,0.3253519,-0.008194117,0.056666434,0.043430932,0.14162444,0.6758553,-0.005185829,0.27311072,0.43418843,0.4215951,-0.011730683,-0.0057065063,0.6058632,0.74876446,0.53201354,0.08968556,0.06913609,-0.012815137,-0.00875551,0.17357656,0.19443744,0.4224927,-0.016526608,0.01911453,0.040825132
TCGA-AB-2810,-0.0005049193,0.5298499,-0.0071481243,0.06538402,0.12884173,0.13568866,0.19080137,-0.0024954923,0.15358196,0.025949238,0.04804751,-0.0075134025,0.03375253,0.26381195,0.18414435,-0.0019905544,0.19603023,0.09079763,0.24373218,0.100194566,-0.00029055277,0.16526659,0.35641226,-0.0008958381,0.19643189,0.046369784,0.036070548,0.21338038,0.13295451,-0.011019843,0.14736979,0.28919664,0.2583879,0.05401251,0.20060074,0.04585595,0.17176463,0.34070998,0.53257394,0.057367347,0.0143112,0.02421879,-0.0067895213,-0.0043122303,0.42343247,-0.0036882975,-0.00811786,0.29312035,0.2525826,-0.01173479,0.006789025,0.38873082,0.44664738,0.09992199,0.0122873895,-0.008080567,-0.017850421,0.068332076,0.03726532,0.48912156,0.29592094,-0.027841134,0.024183623,0.04751481
TCGA-AB-2811,-0.018208612,0.31432325,-0.020055609,0.6466135,0.42161524,0.23614088,0.34650797,0.63091284,0.10348059,0.005602025,-0.0058533396,0.021599201,-2.6285463e-05,0.3341599,0.3791971,0.18763569,0.35431692,0.024079423,0.20858926,0.16701633,-0.0043341857,0.035794325,0.5860895,0.48258457,0.45751548,-0.014671375,0.1147749,0.40028393,0.17580435,0.07864082,0.43482628,0.762323,0.20817392,0.2908053,0.00061899424,0.08099197,-0.0003223937,0.4128757,0.67617023,0.24597815,-0.014228064,0.0944532,0.09379919,0.13774966,0.6242207,-0.012182648,0.24423787,0.8270608,0.6015516,-0.010071832,-0.0017525613,0.7084148,0.7708528,0.27907223,0.059577268,0.09241352,-0.009621068,0.45430896,0.113108724,0.35581076,0.08218749,-0.0116011165,0.0083761215,0.28190288
TCGA-AB-2812,-0.0055379267,0.56322324,-0.02295866,0.15814652,0.23522858,0.054368846,0.42906097,0.12273666,0.4294877,0.104911685,0.23593046,0.06934351,-0.007578795,0.28008747,0.089839675,-0.0019788563,0.21730632,0.07582721,0.2550951,0.21334073,-0.008601335,0.052333795,0.5653769,0.21224464,0.29556355,-9.316281e-05,-0.0018785261,0.20966779,0.15718181,-0.01247818,0.14661072,0.21995458,0.3283962,0.2163866,0.33704942,0.17621155,0.15920673,0.08393164,0.5924661,-0.0034330531,0.042012878,0.10676217,0.067324676,0.05461517,0.45115918,-0.0072042355,0.086209565,0.37039304,0.49968296,-0.02043031,-0.0041453205,0.62179804,0.74962264,0.25380716,0.11570139,0.062055446,-0.018464943,0.23071156,0.41621238,0.6215211,0.36946473,-0.017842293,0.12012973,0.17753305
TCGA-AB-2813,-0.007588698,0.43065846,-0.0059504258,0.14843133,0.29891348,0.4899881,0.54023355,0.054836936,0.3062021,0.021102106,-0.022012856,-0.0032187998,0.13640536,0.4057939,0.531292,0.14823595,-0.0034237958,-0.00066354725,0.15778023,0.23565245,-0.015528475,-0.0073660016,0.83125085,0.2765794,1.0634507,-0.027334461,0.080281064,0.14528745,0.2435984,0.05446037,0.40180573,0.9955592,0.1509686,0.15961955,0.14135684,0.11040424,0.2479478,0.29673442,0.84170574,0.65022993,0.02504764,0.025858931,-0.0004900307,0.12000491,0.831722,-0.008564183,0.033466116,1.2487146,0.01863039,-0.007031803,-0.018178163,0.6276964,0.77090865,-0.0019506272,0.5659328,0.19372274,-0.0032356323,0.55066574,0.6639553,0.059207793,0.5394776,-0.016648626,0.14234367,-0.00039375434
TCGA-AB-2814,0.015251278,0.55482185,-0.008192509,0.3834735,0.044848807,0.04989907,0.4213105,-0.0004422538,0.41721442,0.05227186,0.14435485,-0.016478142,0.081085324,0.11495842,0.2679718,0.0025520362,0.268457,0.24338433,0.03269762,0.124762475,-0.025802135,0.0128430575,0.74987906,0.12401195,0.10720408,-0.012436657,-0.0026454136,0.34638506,0.30496818,-0.0016995501,-0.0009847302,0.45652622,0.1044548,0.20119031,0.11551194,-0.0036976163,0.3258836,0.0366074,0.6934944,0.2996369,0.15681706,0.15259558,0.059867777,0.15685475,0.8716926,-0.0008712683,0.11434421,0.18740758,0.35637453,-0.017075898,0.06018483,0.5920675,0.8890133,0.21907555,0.24963328,0.2459158,-0.022876984,-0.0045877965,0.38583654,0.17599227,0.37647235,-0.023923358,0.13370161,0.14174272
TCGA-AB-2815,-0.017116683,0.5346746,-0.02429971,0.5196659,0.3318206,0.5824245,0.15598968,0.38566524,0.3583748,-0.0022797817,-0.002087871,-0.008794695,-0.012330301,0.058495283,0.4488932,0.00379269,0.13940884,0.34624672,0.37561598,0.29116228,-0.015477538,0.16670592,0.7162787,0.19351283,0.63365734,-0.005004113,0.04342629,0.33958244,0.97966075,0.10578309,0.36993605,0.8666737,0.22291756,0.19758292,0.17603813,0.041444555,0.19814676,0.4602838,0.7852969,0.28760454,-0.011257841,0.18468171,0.03540692,0.15102895,0.73152465,-0.008034884,0.18370105,0.57445836,0.04426225,-0.018106624,-0.009103098,0.851876,0.7410271,0.3357661,0.026738737,0.025444373,-0.008470112,0.20811681,0.344522,0.16003238,0.4657519,-0.0102437595,0.057126187,0.089893736
TCGA-AB-2817,-0.012606874,0.43670723,-0.0031264746,0.40443158,0.24404112,0.059594244,0.26178715,0.10229075,0.001010567,0.0106618395,0.21769476,-0.0039250865,0.067677915,0.12543523,0.24383968,0.12142648,0.29795593,0.10561478,0.26400435,0.43218943,-0.006088067,0.0002110973,1.017749,0.0417835,0.6163181,-0.0030884952,-0.009554337,0.15299135,0.1581837,0.00013692677,0.49371034,0.70976895,0.26125255,0.01568504,0.23853058,0.14643171,0.45260054,0.30490398,0.7119667,0.240255,-0.0011929956,0.1395854,-0.014918076,0.119219616,0.84218943,0.040667176,0.35474396,0.6702656,0.41518727,-0.018580083,-0.017621577,0.57077944,0.76887494,0.22252332,0.07991324,0.2698263,-0.011638119,0.05458111,0.8317884,0.02509475,0.51780605,-0.0077661993,0.13232023,-0.0022014272
