patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-AB-2805,-0.0003633015,-0.037413154,-0.0040857964,0.14002627,1.4729928,0.32450798,-0.041578483,0.24014106,0.34382224,-0.01188512,-0.12674282,0.37699324,-0.005538652,0.431828,0.5343807,-0.073628165,0.43447688,0.10978913,-0.012019398,0.19690719,-0.014037381,0.2760989,0.14827108,0.22078256,-0.107089795,-0.007850378,0.9906863,0.2883943,0.49923488,0.0726443,1.0282464,0.93272257,-0.0048863017,-0.0146294,0.6260824,0.2811518,0.6732528,0.25862333,0.14572468,0.029551951,-0.015466936,0.31286424,0.2411723,1.0951338,0.2235383,0.33548304,0.85181314,2.2810133,0.89320254,-0.015419075,0.8762515,1.8197289,0.02089045,2.5193818,-0.021697327,0.021604203,-0.014709701,-0.10416051,0.37951496,1.8767372,0.57525164,-0.0046300828,-0.00499895,1.369079
TCGA-AB-2806,-0.00024240576,-0.029645184,0.025313808,0.31335786,1.2707188,1.1892104,-0.06296218,0.0030234158,0.51053095,0.023822287,-0.11410868,0.39771917,-0.00011598226,0.18933502,0.52139163,-0.08920631,0.3713458,-0.0043070107,0.6175621,0.7202024,-0.022280065,0.019227477,0.47028494,0.31013513,-0.17061654,-0.018031081,1.1644843,0.426798,-0.009383708,-0.006817763,0.76096344,0.1525389,0.088158585,0.42159227,-0.013027563,0.4937938,0.29182047,0.0018188958,0.43758774,0.81096923,0.076453984,-0.004564907,0.49382594,0.9581391,0.22507483,0.08683199,0.14601758,2.485975,0.72974557,-0.0023495678,1.4522417,1.7501416,-0.006835452,2.31843,-0.029137641,0.19042856,0.06425261,-0.014536818,-0.015136133,2.0199168,0.37654188,-0.014051273,-0.013596298,1.685085
TCGA-AB-2808,-0.0051609017,-0.022707572,0.27372777,0.21700427,1.4672521,0.66853166,-0.042274185,0.045980286,0.5770409,-0.010447518,-0.11981299,0.42799658,-0.003551332,0.28851375,0.39816236,-0.082322925,0.31675214,-0.005466477,0.28956112,0.6743656,-0.01850321,0.065386534,0.45566425,0.22370557,-0.12659022,-0.01655711,1.0518659,0.19533813,0.2633779,-0.011544219,0.9438777,0.3246341,-0.007792218,0.19328374,0.2703613,0.3856804,0.46289238,0.24605806,0.44282866,0.46211803,-0.0066138147,0.24938649,0.32452896,0.94950455,0.1232282,0.029090106,0.31272763,2.340128,0.7902392,-0.009633795,1.0725824,1.6643608,0.2701527,2.2006164,-0.020628745,0.21160775,-0.004489258,-0.062323917,0.1573448,1.9461983,0.54068583,-0.0203493,0.17402649,1.4932988
TCGA-AB-2810,-0.009479147,-0.039889857,0.18312933,0.096569285,1.2392714,0.62135947,-0.039147627,1.214602,0.4496916,-0.011947183,-0.12595512,0.25037068,-0.001653077,0.21844025,0.3813408,-0.07165437,0.21582748,0.19656652,0.14894365,0.42878303,-0.021629887,0.1774678,0.0032376945,0.03638911,-0.11030618,-0.025062729,0.76757246,0.045454666,0.6747776,-0.0091443015,0.8272233,0.34076276,-0.00017951113,0.33626065,0.422129,0.3236622,0.37172657,0.25640023,0.088076234,0.47390446,-0.013087052,0.29453394,0.3720409,0.74140835,0.27685502,0.24718678,0.13419226,2.1440344,0.5710031,-0.012560174,0.8228406,1.6533883,-0.0008089507,2.1381502,-0.02390616,0.12499276,-0.029794086,-0.10284402,0.18675117,1.8526145,0.36770585,-0.015876696,0.14819868,1.6401321
TCGA-AB-2811,-0.022580862,-0.034007277,-0.0053395852,-0.007136409,1.0419301,-0.014187691,-0.022173828,1.0981768,0.38113523,0.0044466313,-0.11569106,0.17106918,-0.0019320993,0.22307493,0.37521335,-0.050071206,0.38524765,0.2786583,0.105643675,-0.019913053,-0.00826274,0.11651586,-0.002204187,0.2766708,-0.050683912,-0.0020835989,0.7279919,-0.00065189024,1.2659979,-0.0062934565,1.0887885,0.48684353,0.08582477,-0.007507139,0.9819149,0.12849599,-0.00024087541,-0.0007271235,-0.022555647,-0.01905707,-0.022414602,-0.0036597692,0.26163247,1.1700355,0.10081296,0.13700694,0.24394885,1.5522753,0.40326053,-0.0010650925,0.58693165,1.2697716,-0.0010744248,2.0066943,-0.031709757,-0.0005051866,-0.026115168,-0.09643066,0.24625087,1.2846484,0.111825846,-0.016101334,0.08369064,0.91328156
TCGA-AB-2812,-0.0044939728,-0.02793922,0.23058389,0.008578356,1.3467801,0.7290007,-0.0518844,0.34762114,0.418605,0.02891292,-0.11251193,0.48064756,-0.023342831,0.33700866,0.4402855,-0.09117011,0.24790357,-0.0012455222,0.0035770275,0.7119643,-0.020633085,0.21532154,0.2066442,0.16893569,-0.11830276,-0.02191197,0.90636617,0.21171287,-0.006503378,-0.00027352254,0.749159,0.34144416,-0.019503307,0.17237657,0.08962916,0.4416078,0.44017148,0.59556013,0.23447554,0.51564944,-0.0073126704,0.37155873,0.39515314,0.8516546,0.24496143,-0.004463766,0.16010794,2.2892256,0.8313547,-0.014566967,0.98438394,1.8169919,0.21659116,2.1209154,-0.02998319,0.20795079,-0.009645996,-0.07860687,0.25046325,1.818807,0.7657726,-0.014478791,0.21330522,1.6534771
TCGA-AB-2813,-0.00095879956,-0.03608052,0.21547224,0.14114574,1.3265386,0.2676647,-0.03223204,0.31391436,0.37885883,-0.004363907,-0.12596004,0.35036516,-0.0013119836,0.35176927,0.5115384,-0.06097425,0.4029822,0.33067685,-0.0072627426,0.06104923,-0.008128307,0.14047778,0.09471817,0.32768646,-0.09416252,-0.010944198,0.8399778,0.09723005,0.7716686,-0.013365472,0.98098594,0.55942076,-0.0018356759,-0.0064894105,0.62375206,0.3425416,0.42156363,0.18030427,0.08602258,0.045885317,-0.007413793,0.08932354,0.11215189,1.0327961,0.17407918,0.2017445,0.7074387,1.9496443,0.6308508,-0.012165945,0.83098364,1.4974276,0.10397966,2.1919272,-0.02052152,0.056037262,-0.0113148475,-0.08858534,0.24652192,1.7283833,0.32146612,0.04218267,0.26105398,1.2071444
TCGA-AB-2814,-0.009082443,-0.016237708,0.14047101,0.08448185,1.33447,0.45937714,-0.044746246,0.08555184,0.41322875,-0.009085916,-0.1257944,0.4897074,-0.0041021407,0.1963543,0.50225115,-0.09428394,0.49731362,-0.004127939,-0.00249409,0.43632975,-0.019822538,0.13331664,0.2387899,0.24949414,-0.116590954,-0.0059600333,0.9828968,0.12764974,0.37223807,-0.023162622,0.8890474,0.39915156,-0.011398378,0.18467215,0.5449294,0.22579944,0.42241085,0.30069414,0.22445662,0.28824264,-0.002818599,0.2983475,0.41341466,1.0814157,0.10704183,0.23596561,0.32456398,2.4621496,0.97463846,-0.019583154,1.0134246,1.802545,0.21016875,2.3749201,-0.025219906,0.26920912,-0.00076305633,-0.06881799,0.088359006,1.7378534,0.45005503,-0.015533057,0.037974533,1.5656646
TCGA-AB-2815,-0.0035476163,-0.025264759,0.032616023,0.31381074,1.2640977,0.46427128,-0.039822053,0.2198862,0.4233747,-0.000108300526,-0.11752079,0.33999065,0.01115123,0.31089938,0.47686282,-0.06140941,0.3932363,0.23115091,0.137251,0.22587892,-0.012145159,0.13505615,0.30150908,0.32022983,-0.09899368,-0.007164174,0.99749386,0.18774723,0.22276337,-5.5928158e-05,0.94110775,0.46062863,-0.006483006,0.021298513,0.35861507,0.22866482,0.49566323,0.08277654,0.11226635,0.20504378,-0.015444653,0.16686657,0.21890236,0.9907071,0.22475852,0.086794585,0.4691357,1.9620469,0.756436,-0.003470576,0.82860553,1.5987542,0.03124004,2.123065,-0.0049279043,0.124760196,-0.0064054313,-0.078566335,0.31250614,1.7732961,0.4549108,-0.008660435,0.27949566,1.1969959
TCGA-AB-2817,-0.010211996,-0.03219601,-0.0043647895,0.16644825,1.5473213,0.4642115,-0.041304797,0.23508546,0.5456694,-0.010297289,-0.13527292,0.3659427,-0.0045708194,0.40017802,0.5419806,-0.08495551,0.37940857,0.17660122,0.10538669,0.34974554,-0.005453635,0.16636878,0.14964578,0.3894294,-0.1119154,-0.021256784,0.886143,0.25516102,0.628945,-0.00032650735,0.9151175,0.6209476,-0.020640783,0.021828113,0.74820775,0.16282254,0.3479522,0.32136503,0.2150695,0.41985163,0.0070954263,0.21019772,0.26826823,1.1051779,0.110142775,0.3931022,0.723012,2.417787,0.8671445,-0.008981191,1.115068,1.9405607,0.0862855,2.4926524,-0.015711484,0.048631392,-0.008139207,-0.09076306,0.30963504,1.9899584,0.105930984,-0.014198451,0.25406095,1.6439804
