patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-AB-2805,-0.039191764,-0.37611642,1.3367479,2.597282,-0.019358335,-0.006594758,-0.1302427,1.3250521,1.4379591,1.744923,-0.00050999114,-0.5003306,3.5478559,0.7278505,0.41824552,1.3448757,1.1943705,0.7818103,0.34665278,-0.11362244,0.22532065,2.372006,1.4449015,-0.84098196,1.0928319,0.8787287,-0.33688423,-0.15236263,1.5724419,-0.016188253,0.73845416,1.3906896,0.6078722,0.33235162,0.45556763,0.6058408,-0.3317996,-0.06560033,3.9704256,-0.02794205,0.55322284,-0.14947936,1.1195428,-0.009706697,1.6159087,1.5257621,-0.014589262,-0.2850164,-0.07926257,0.4581823,0.13122782,-0.47981307,-0.7169421,-0.04836436,-0.11608087,-0.32624048,-0.22584529,-0.18514483,-0.030408144,-0.3137721,-0.034762174,-0.0069387527,-0.110725954,-0.0311126
TCGA-AB-2806,-0.016630022,-0.29273853,1.0093716,1.3790815,0.25872087,1.2742553,-0.008555416,1.3266978,1.073699,0.0061786827,0.4283193,-0.22908519,2.2087455,0.8631817,0.059090897,-0.05552298,0.42266145,2.6862514,-0.026706994,-0.21253684,-0.00061047246,2.289522,-0.0057831784,-0.14518072,1.139624,-0.06742277,-0.24696632,-0.06569918,-0.07581427,-0.017052975,-0.02443922,-0.030232942,1.2249187,-0.026549865,0.09890152,-0.013759308,-0.33168024,-0.058264595,1.9552455,0.4583654,-0.04484243,-0.041176926,0.014139704,-0.029412044,0.68355954,0.83917946,-0.025251115,-0.32878906,-0.15917067,-0.0033120003,0.7495917,-0.24873805,-0.5913958,-0.023074366,0.49345422,-0.14824192,-0.09332224,-0.12678099,2.3210835,-0.05668756,-0.021186793,0.32030532,-0.040642887,-0.017947037
TCGA-AB-2808,-0.04834951,-0.3713749,0.88799185,2.3500865,-0.026590824,0.60725564,-0.06325629,1.7851994,1.0513482,0.5554535,0.56231546,-0.31499478,2.9307826,0.8403198,0.30461308,-0.004164632,0.86572677,1.7068125,0.3139357,-0.19427718,0.20011109,2.815441,0.44195953,-0.34775874,1.3730431,-0.034717273,-0.26066265,-0.11801677,-0.017715205,0.37870458,0.016224047,0.23015094,1.189202,-0.019586612,0.55703807,0.21155399,-0.3093931,-0.085235514,2.9233057,0.05083723,0.043216657,-0.110053025,0.68001014,-0.031536076,1.187649,1.2042902,-0.04598266,-0.364924,-0.12526064,0.21165831,0.5431392,-0.3574992,-0.7353751,-0.033408977,0.05216454,-0.23946364,-0.1493743,-0.15391003,1.955236,-0.16354692,-0.046096858,1.7836809,-0.0686776,-0.023281202
TCGA-AB-2810,-0.05084699,-0.41652423,1.3595465,2.7885408,-0.013007208,0.61007315,-0.075332105,1.2051111,1.7658479,1.5085626,0.24762794,-0.5731776,3.3605475,1.1046655,0.6887041,0.9485157,0.8527422,-0.008874379,0.39964217,-0.19785224,0.16284332,2.7815466,1.4881973,-0.7741976,0.97127074,0.8951715,-0.35379133,-0.15861657,0.24970928,-0.04131053,0.30849412,1.6509018,-0.002301569,0.09298859,-0.02054266,0.7692396,-0.48808107,-0.10806483,4.247949,-0.01399405,0.8718955,-0.1381954,0.57478607,-0.015286492,2.19842,1.5204954,-0.024284404,-0.3281028,-0.15082495,0.41274238,0.46089303,-0.50126845,-0.8314419,-0.027655372,-0.13495879,-0.3149442,-0.18578306,-0.21240564,0.32301,-0.2668557,0.051663093,0.45018002,-0.1320447,-0.043357305
TCGA-AB-2811,-0.009651411,-0.17812495,0.63484603,1.3913187,-0.0069863237,-0.008742816,-0.08514273,0.59315956,0.58757156,1.0068728,0.05487689,-0.10842041,2.1922238,0.45922738,0.192034,0.7075896,-0.008841857,0.6450196,0.6808676,-0.047500078,0.5681543,1.2498854,0.8452604,-0.46268293,0.13841218,0.3448593,-0.16982287,-0.1062022,0.53091204,-0.014293902,-0.0004955711,0.9371444,-0.0009940293,0.28614086,1.1505823,0.4302945,-0.15602368,-0.04688887,2.2849507,-0.022101054,0.605525,-0.078101546,-0.0012715369,-0.0069741607,0.9126942,1.0031452,0.12617947,-0.1994573,-0.04532617,0.35525388,2.3254771,-0.23500803,-0.3942,-0.022169761,-0.06795808,-0.19168998,-0.10500319,-0.10219814,0.0026942566,-0.12731467,-0.005413615,0.007137955,-0.07051989,-0.006206558
TCGA-AB-2812,-0.011632329,-0.29389152,1.2929058,2.270657,-0.0058148713,0.12500073,-0.083688796,0.9447799,0.84258515,1.140806,-0.019058872,-0.26307657,2.6991913,0.6612145,0.1818554,0.80410916,0.20037553,0.422626,0.9663651,-0.14046471,0.50903445,1.94673,0.8750415,-0.61561364,0.5556312,0.5049142,-0.29798922,-0.11047312,-0.021205222,-0.014078301,0.015684715,0.83636993,0.27885127,0.18324354,0.46802145,0.52961284,-0.34214094,-0.1282653,3.1213617,-0.0016809896,0.89111227,-0.118562676,0.12828514,-0.005954362,1.5645158,1.2727549,-0.00942468,-0.2719512,-0.11203299,0.8330477,2.6941948,-0.3515072,-0.6224701,-0.040914744,-0.08289877,-0.22547571,-0.13663098,-0.14865682,0.62676233,-0.0952624,-0.021679651,0.38071725,-0.10436417,-0.03856417
TCGA-AB-2813,-0.040745243,-0.26903987,0.91081804,1.9923693,-0.026154721,-0.038788244,-0.102547765,0.93888086,0.8489947,1.4313153,0.1256006,-0.2984894,2.6547904,0.42140627,0.76574457,1.0300814,0.6112383,0.20747519,0.08919867,-0.059800692,0.54654175,1.5824043,1.2829854,-0.6736297,0.6609294,0.6843404,-0.2104541,-0.11630036,1.4753376,0.051629312,0.58735144,1.1103497,0.5780219,0.46894953,1.0772597,0.3924115,-0.18914707,-0.06649014,2.8131115,-0.040676244,0.43513852,-0.1142438,0.90166324,-0.024307411,1.2856966,1.052667,-0.012412205,-0.19193412,-0.021426452,0.23401964,0.53886414,-0.34982654,-0.4961197,-0.058925748,-0.10330117,-0.2507931,-0.18007159,-0.11702289,-0.034664486,-0.24525116,-0.010857286,0.38885412,-0.07122015,-0.006919024
TCGA-AB-2814,-0.049723543,-0.31945845,1.5077395,2.5721502,-0.017671606,-0.03136241,-0.1131619,1.2775077,0.951716,1.20801,0.45017442,-0.3565114,3.1724408,0.6811325,0.47285262,0.81505275,0.645232,0.5692702,0.23440877,-0.077955954,0.46282881,2.1269588,1.3652345,-0.69613916,1.0241104,0.5097836,-0.28033572,-0.15250467,1.0035764,-0.010176537,0.4282191,0.6746257,1.1381778,0.47739297,0.9196074,0.25633907,-0.2810437,-0.10968073,3.2062457,-0.032776907,0.044928584,-0.13574205,0.6418501,-0.004469109,1.4166342,1.203192,-0.031743374,-0.26734236,-0.027118063,0.18901737,0.26245365,-0.361366,-0.64847535,-0.0650135,-0.07729367,-0.28300893,-0.176832,-0.13633357,0.040406637,-0.24687357,-0.011227789,0.36022967,-0.05820493,-0.028852701
TCGA-AB-2815,0.31568643,-0.21853948,0.7289399,2.107273,0.79363865,0.8596143,-0.038845442,0.9162599,0.8393079,0.5678518,-0.0022416343,-0.20741563,2.4768784,1.1084892,0.13634326,-0.04275822,1.0606782,2.229257,0.007018421,-0.1370427,0.030612504,1.740477,0.18033455,-0.247032,0.9081351,-0.042484254,-0.17197427,-0.08893441,-0.059198987,-0.035183292,-0.024010135,0.7458625,-0.016597167,-0.0013447617,1.0077214,0.030813757,-0.21585989,-0.022886014,2.3085098,0.19052218,-0.024555134,-0.07747365,0.2222453,-0.017049862,0.2944376,0.6932352,-0.01051495,-0.26649943,-0.120776646,0.040543176,0.09699727,-0.25456265,-0.5269665,-0.040330444,-0.010956922,-0.16149567,-0.13566582,-0.1269377,1.0815127,-0.060387667,-0.023617433,0.2260546,-0.060160834,-0.038296636
TCGA-AB-2817,-0.045112368,-0.2682448,0.97838026,2.2432876,-0.01091137,-0.011356746,-0.104830995,1.0766916,0.92866296,1.3882675,0.12987286,-0.33987632,2.8300896,0.5201544,0.7621447,0.7355142,0.8927015,1.1828628,0.39119306,-0.092712626,0.51433617,1.7923933,1.1233904,-0.64056486,0.95864177,0.8408451,-0.27427652,-0.1324203,1.3722199,-0.012540395,0.9411096,0.9401826,0.55112183,0.4605812,1.1270752,0.45066857,-0.19485208,-0.05417412,3.1469078,-0.025318628,0.59643525,-0.13686694,0.80385894,-0.0033929355,1.3509599,1.1853358,-0.018879516,-0.22789541,-0.059774946,0.0058751404,-0.01517202,-0.35543123,-0.56707096,-0.06016797,-0.0978375,-0.25945008,-0.19394544,-0.1632346,-0.035472162,-0.27650267,-0.020000529,-0.0017790325,-0.047713634,-0.0072774957
