patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-AB-2805,-0.03770971,0.40166274,-0.015668593,0.47940823,0.26988095,0.12857592,-0.025284529,0.03736608,0.3005357,0.37129083,-0.0049338047,0.32236463,0.1850572,0.4840735,-0.0075674774,0.20260173,0.47213092,0.14608602,0.25118974,0.21138752,0.15359621,-0.00744312,0.008711121,0.0016222578,0.213536,0.3014642,0.3676874,0.30911213,0.8852562,-0.008319787,-0.0016253233,0.04815185,0.16814676,-0.011790429,-0.007024084,0.29846397,0.8225021,1.0732479,0.02815226,0.17766589,0.00023904443,0.18483591,0.33017766,-0.0005071112,0.064421,-0.0045908066,-0.00963018,0.05413298,0.08921116,0.10948731,0.5052103,-0.024734735,0.33549517,-0.0125532895,0.27048534,0.821815,0.19638565,0.576118,0.25859192,0.39507464,-0.026285708,0.17488596,0.10875732,0.053033035
TCGA-AB-2806,-0.0017114322,0.5334471,-0.007100414,0.24759893,-0.0128735425,0.12002526,-0.0066350563,0.12790293,-0.0019161213,-0.0024046437,0.1042794,0.08326362,-0.00065553375,0.52150583,-0.015315424,0.17642954,0.30224687,-0.0025626344,0.00011147931,0.23687084,0.064442545,0.06727182,0.009140066,0.06193375,0.18351036,0.08985725,0.18326914,0.39344782,0.579601,-0.017277433,0.10290225,0.004299933,0.12485579,-0.013466951,0.1063586,0.3027247,0.2365245,0.62143075,0.18655439,0.35686627,0.22724788,0.31802735,0.40645456,-0.008115601,0.01528028,-0.00743203,0.07885242,-0.0052743717,-0.004992322,0.06200809,0.39532468,-0.025805607,0.2676669,-0.007740089,0.17307429,0.57088745,0.019797903,0.15634319,-5.0282757e-05,0.1405606,-0.009759947,0.15632194,0.34897617,-0.004367017
TCGA-AB-2808,-0.0068395347,0.58545053,0.026394393,0.27668542,0.010623485,0.16361545,-0.0037835122,0.28597227,0.058687095,0.04051702,0.08632068,0.21913898,0.11115663,0.547222,-0.016392013,0.18124066,0.41128632,0.016392514,0.27761614,0.3172452,0.06352696,0.09821931,0.12002644,0.016894314,0.30478597,0.29482335,0.03321352,0.44320434,0.7396005,-0.0006943168,0.25604317,0.03176768,0.25324458,0.011740468,0.026781399,0.15021479,0.30215776,0.8447829,0.18149447,0.27523884,0.124764234,0.4563448,0.34132493,-0.003063116,0.1892244,0.0027079172,-0.00905618,0.0069659324,0.08624222,0.17730542,0.35267013,-0.03094989,0.26199335,-0.0013427023,0.2199901,0.5927305,0.13516897,0.534322,0.010883213,0.12851958,-0.024430638,0.056449838,0.18526511,-0.011597778
TCGA-AB-2810,-0.012004155,0.5892657,-0.0018622804,0.12781076,-0.0031617687,0.056585353,0.05408519,0.12300542,0.084034145,0.0041171443,-0.015250039,0.042243443,0.03995573,0.40128827,-0.008196997,0.08480185,0.17045088,0.066286266,0.033512104,0.093490735,0.12505418,0.18006966,-0.0038268815,0.10912805,0.23377194,0.056208484,0.048240863,0.16132519,0.5110054,-0.0052043083,-0.00079376757,-0.0057004923,0.055095926,-0.001851369,0.012142178,0.061448723,0.046622455,0.65336275,0.06925754,-0.0020003617,0.22085409,0.121822864,0.1302377,0.03643632,0.32167366,-0.00079575035,-0.0029310107,0.25535718,-0.0023079575,0.06624949,0.23457816,-0.043377377,0.13696939,-0.00029548816,0.1416449,0.29458687,0.19449458,0.29058582,-5.069701e-05,0.42080152,-0.00027844237,0.22998822,-0.009857013,-0.00815382
TCGA-AB-2811,-0.018272549,0.37221506,0.24959594,0.33254313,0.027629629,0.24019025,-0.007928851,0.111000866,0.024306122,0.115377925,0.17787452,0.44912252,0.054770906,0.36545467,-0.009769521,0.09250156,0.087973624,0.26518458,0.30330628,0.3811152,0.14929077,0.080748215,0.0016013337,0.09578612,0.24087726,0.20435883,0.18071458,0.29321513,0.6231732,-0.01053974,0.17550218,0.095529236,0.37289834,0.17035262,0.06773093,0.029093212,0.022686224,1.1026558,0.2218021,0.073317,-0.011074789,0.54210514,0.0045302548,0.042571574,0.557488,-0.013607654,-0.005130895,0.092978984,0.06861783,0.22075248,0.5198779,-0.030381847,0.2587285,-0.00054429326,-0.0050249244,0.824036,0.10650801,0.43112415,-0.0012765693,-0.0006144624,-0.013955816,0.05848211,-0.012028861,-0.0020210468
TCGA-AB-2812,-0.0018162351,0.5635364,0.17960846,0.04774081,-0.0028918795,0.19898191,-0.018983515,0.17233104,0.21329777,0.048279755,0.037112083,0.24119382,-0.0016665937,0.290817,-0.0079377955,0.19444829,0.42369103,0.0116039775,0.3929699,0.27785385,0.10370752,0.06084851,-0.002861412,0.15057862,0.29842958,-0.0050734184,0.038895443,0.1821861,0.46397027,-0.000135413,0.04039019,0.05823888,0.17927846,0.002430305,-0.0040876754,0.23529409,0.06766374,0.91846764,0.13847683,0.099620424,0.3789333,0.29879424,0.029855609,-0.0077401074,0.39068952,0.09388227,-0.0117684705,0.36219952,-0.007826153,0.14766543,0.48603478,-0.029952753,0.29500538,-0.013985733,-0.0020584508,0.5365186,0.33499104,0.5189041,0.060934156,0.23183371,-0.004245638,0.10037974,-0.003143929,-0.009301607
TCGA-AB-2813,-0.016320817,0.41191763,0.35263902,0.33611143,0.0006055534,0.003388956,-0.06845143,0.22324726,0.3383997,0.49439445,-0.0016830415,0.328042,0.11051266,0.003703393,-0.0064053945,0.05667951,0.20215578,0.32470474,0.16180316,0.4084912,0.300264,0.079240695,0.32995132,0.22666946,0.40073863,0.523044,0.39228517,0.41202217,0.7093193,-0.0069463053,0.26156354,0.1535826,0.17955884,0.44349232,0.31594595,0.25334615,0.5328797,0.9897966,-0.0025421951,-0.007346449,0.116832525,0.074606895,0.05490842,-0.03018265,0.4170633,-0.008431344,-0.010275002,0.33371127,0.18764985,0.3747471,0.49336472,-0.044184785,0.5855065,-0.0044608037,0.2848564,0.940647,0.21039933,0.92369425,0.077489875,-0.00019269549,-0.024604227,-0.012375825,-0.003088186,-0.009869175
TCGA-AB-2814,-0.022624362,0.7625181,-0.0063361987,0.39390433,-0.012632857,0.013936672,-0.018607,0.09061712,0.06281121,0.09847585,0.15888377,0.01924004,0.060211312,0.45866123,-0.010930397,0.2645055,0.4197829,0.09649583,0.18045042,0.26578858,0.10851799,0.032830175,0.23031388,0.40451285,0.0411717,0.07582669,0.15727839,0.5909391,0.84385526,-0.0067923935,0.05092824,0.10798381,0.032976072,-0.015048041,0.075939134,0.44517127,0.51717705,0.88194495,0.47533703,0.28575614,0.28398168,0.09118347,0.38957128,-0.005337894,0.15385298,0.13903704,-0.009458619,0.21176705,-0.007948014,0.092362225,0.389691,-0.044716652,0.32488453,0.00347469,0.017092805,0.75228417,0.18498972,0.5332701,-0.0025014621,0.4737517,-0.008984791,0.3618502,0.2590542,-0.011409648
TCGA-AB-2815,-0.006791742,0.34030202,0.17011695,0.46249363,0.18942983,0.25665465,-0.025437022,0.60094637,0.34074432,0.25862563,0.06262769,0.2134924,-0.00020562559,0.631794,-0.031438034,0.2643747,0.14268956,0.19393815,0.11348064,0.6387733,0.12864381,0.15709516,0.07874309,0.13761124,0.42116365,0.28497988,0.41450164,0.5669774,0.721041,-0.019902416,0.24821672,-0.01510708,0.37919757,0.23556003,0.1745963,0.2531264,0.19286153,1.0311896,0.21347348,0.108211234,0.07148548,0.53874,0.085384145,-0.021901293,0.18900912,0.009686224,0.00559064,0.24994369,-5.968723e-05,0.074923284,0.52707845,-0.056269217,0.5697026,-0.01751729,0.18531045,0.74099815,0.1183156,0.37608856,0.18798192,0.2055498,-0.015958866,-0.0034982753,0.056666117,-0.0037712443
TCGA-AB-2817,-0.003463002,0.20346573,0.3112915,0.353142,0.018535778,0.07190999,-0.016523942,0.31494594,0.19672908,0.2983145,0.16614327,0.27467594,0.03562523,0.28224817,-0.008583905,0.07490584,0.31485587,0.00192466,0.19569764,0.4546755,0.32857084,0.0055156127,0.37113723,0.37268665,0.30984566,0.41663015,0.17821616,0.31906784,0.6047275,0.020875875,0.17696452,0.27414393,0.28720212,0.16144033,0.23612042,0.11671698,0.37718165,1.0105602,0.14337713,0.2826621,0.31292754,0.18139704,0.25945574,-0.005390651,0.018525474,0.19137657,-0.024859741,0.11702151,0.055573512,0.04026811,0.47631228,-0.039691668,0.542831,-0.000687325,0.15136768,0.67783916,0.27259815,0.69609,-0.0009314098,0.04872458,-0.022433763,-0.023602454,0.03084885,-0.019856406
