patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-AB-2805,-0.013640267,-0.012196407,-0.09971479,0.06550783,0.42735314,-0.005573831,0.639712,0.49571902,0.06450792,-0.0073882476,0.2368526,-0.079054035,0.32522932,1.2885382,0.05295304,-0.0025285014,-0.058963012,0.1385423,0.9502865,0.18828991,-0.011650936,0.51643646,2.0973067,-0.083111644,0.5390666,0.4525318,-0.021843648,0.11083464,-0.052981075,-0.0017806456,0.095908344,0.7643365,-0.01837747,1.8696067,0.34530964,0.07398602,-0.085252546,-0.044603575,0.2246549,-0.015547998,0.091426805,0.5534127,2.284648,-0.0058855973,-0.0636691,0.34467638,-0.0068361363,1.0518159,1.0006701,-0.020825649,-0.08647186,-0.15504879,-0.15954198,0.3759406,-0.0035919459,-0.054436505,-0.0014803064,-0.05011722,0.81772155,1.0857776,-0.016765026,1.6211001,1.4903108,-0.019243537
TCGA-AB-2806,-0.0137459105,-0.013195497,-0.12407245,0.8903759,0.23871914,-0.02388887,-0.0029842483,0.0683286,0.22296758,-0.027315347,0.13999529,-0.15173464,0.43347535,0.3588633,0.34070858,-0.020933952,-0.065798916,0.14563265,0.8422612,0.35886955,-0.0035838042,0.118622914,2.4395354,-0.0955954,0.3501705,-0.021220801,0.45945615,-0.022817595,-0.08980532,-0.03668351,0.11986941,0.35492522,-0.05550581,2.336391,0.6412322,0.33287504,-0.09994301,-0.07334548,0.6527935,-0.02487827,0.5284367,0.51057136,2.6111913,-0.0038030974,-0.025491728,0.642535,-0.021259392,1.1624405,1.0092378,-0.050333537,-0.075636774,-0.18503399,-0.18928947,0.28514954,0.11675428,-0.075048976,0.8586853,-0.03987785,0.3062625,1.1314497,-0.017732833,0.9518033,1.2284832,-0.013258273
TCGA-AB-2808,-0.00021904222,-0.025864584,-0.115405045,0.48620802,0.24988632,-0.016570097,0.08293662,0.11273973,0.087565996,-0.04049034,-0.0016871266,-0.11310853,0.3626096,0.78597486,0.13960485,-0.023125881,-0.052391507,0.2368289,0.6650977,0.50244755,-0.0007928798,0.14704639,2.1388435,-0.0913445,0.24418105,0.15944211,0.43433887,-0.0069978125,-0.07709835,-0.015713617,0.3392063,0.42620045,-0.034409977,2.0348196,0.27130252,0.28129414,-0.08461272,-0.061545204,0.20313951,-0.023640355,0.35477322,0.80569386,2.4848795,-0.014189728,-0.03637702,0.35629365,-0.011931127,0.98483664,1.0949465,-0.0421115,-0.07167425,-0.1773173,-0.17327164,0.31746012,-0.011871888,-0.074639514,0.50736445,-0.036567956,0.6125759,1.036029,-0.011000427,1.2689697,1.3893216,-0.0075611845
TCGA-AB-2810,-0.012966953,-0.037422094,-0.109090365,-0.00021031723,0.23217545,0.0017793868,-0.008195075,0.02654941,0.0017490992,-0.03961091,-0.0022446937,-0.10095973,0.44983163,0.91957027,0.015215356,-0.031255804,-0.047221743,0.096278265,0.814709,-0.0016722737,0.028916014,0.07479324,1.858472,-0.0866163,0.26889926,0.60181123,0.23113504,0.052229006,-0.03565907,-0.003612176,0.2949705,0.40502587,-0.027417913,1.8202198,-0.0143385595,0.086501464,-0.07067581,-0.06351219,-0.009353545,0.4965814,0.27063122,0.34396616,2.1828964,-0.011135227,-0.03144899,0.3339174,-0.008278205,0.7543344,1.1558985,-0.04465134,-0.05749489,-0.15596029,-0.14644936,0.4694547,0.19948043,-0.052878298,0.36933953,-0.013933075,-0.011517374,0.9663765,0.07996499,1.3275166,1.1177008,-0.026130218
TCGA-AB-2811,-0.0017482963,-0.025161931,-0.09233258,0.15027183,0.27759695,-0.011979013,-0.005307009,0.07821048,-0.03076368,-0.025166487,-0.0018103973,-0.039799403,0.5102633,1.442399,-0.017817395,0.00045342557,-0.014860662,-0.0021283801,1.0328305,-0.018733006,0.08831221,0.07917963,1.2878221,-0.043704595,0.45916587,1.3162746,-0.015550554,0.025655052,-0.026623392,0.3292619,0.7667199,0.59474736,-0.021918483,1.51155,-0.016314227,-0.005513593,-0.07454536,-0.045900427,-0.028757304,0.46242628,-0.010981641,-0.003109079,1.7288845,-0.010900728,-0.06306594,-0.024575925,0.0069775954,0.62243617,0.7317058,-0.027273048,-0.024638606,-0.10340132,-0.090078466,0.56786895,-0.01111976,-0.022981921,-0.038749315,-0.019168785,0.03960949,0.8241957,-0.018234683,1.303119,0.99153394,-0.014807082
TCGA-AB-2812,-0.007879679,-0.030860966,-0.102840126,0.27405855,0.19542144,-0.0061776936,0.09405944,0.15558408,0.24221762,-0.034278885,-0.0015286912,-0.11580246,0.20624638,0.7056378,0.29725182,-0.024894685,-0.03996859,0.18478474,0.6349936,0.4368648,0.07861771,0.26265323,2.013006,-0.08765205,-0.010476373,0.049165837,0.35860717,0.0985221,-0.05529762,-0.021795198,0.08184603,0.47090426,-0.025977312,1.7879992,0.012127658,0.3499097,-0.07418578,-0.060585123,0.052678093,-0.007008038,0.3447886,0.78946817,2.3242228,-0.02353581,-0.04960391,0.5091233,-0.0090903975,0.9403804,1.0505288,-0.036543068,-0.07748646,-0.15979132,-0.16926132,0.2077105,0.045829836,-0.06591683,0.45062387,-0.025259757,0.29595056,1.129548,-0.00038103983,1.4140365,1.3395174,-0.009683924
TCGA-AB-2813,-0.003088655,-0.014480106,-0.08503848,0.07995407,0.2804654,-0.003948285,0.39749444,0.37585875,0.2924576,0.031949747,0.04281874,-0.049181964,0.3042537,1.2427642,0.04816663,-0.010978124,-0.026116705,0.14537323,0.96625584,0.01817928,-0.002402206,0.19654807,1.6898369,-0.06589675,0.64581364,0.5344133,-0.0011338519,0.084652066,-0.027664466,0.24949467,0.21028544,0.59474874,-0.029171107,1.7390798,0.2977237,-0.003928407,-0.08465847,-0.04671238,0.07780991,-0.008680033,-0.004525514,0.40853634,1.986433,-0.0046200976,-0.06465309,0.12635478,-0.0030127051,0.8792545,0.987394,-0.029934967,-0.05151638,-0.13640237,-0.12541366,0.32283148,-0.0054870215,-0.04411308,-0.020685183,-0.03314085,0.315878,0.9685856,0.035237595,1.4646988,1.2941134,-0.013129908
TCGA-AB-2814,-0.018252324,-0.006635342,-0.09314296,0.1636822,0.30188423,-0.007613539,0.1930378,0.33985597,0.016594382,-0.026008938,-0.0076155174,-0.09244224,0.23121879,0.76045966,0.053786803,-0.018158915,-0.059069276,0.23637757,0.8359083,0.5517054,-0.0010138148,0.095772885,2.146867,-0.08683502,0.30977035,0.10453237,0.072228976,-0.00267813,-0.0524782,-0.016666953,0.024068158,0.6553788,-0.028758517,1.955399,0.20755742,0.22472034,-0.09123703,-0.049117167,0.085435554,-0.020740349,0.027917791,0.27034104,2.3654475,-0.009263794,-0.058250546,0.40890208,-0.01733462,0.9213754,0.9199159,-0.0500484,-0.08681099,-0.17832452,-0.15561567,0.29612496,-6.8387766e-05,-0.056913793,0.30831155,-0.049732115,0.6163262,1.1584433,0.046657205,1.3602176,1.3923608,-0.01765765
TCGA-AB-2815,-0.010331011,-0.0117528355,-0.093261525,0.17496644,0.3810268,-0.0053780125,0.41591477,0.17618854,0.06944154,-0.012799414,0.17068364,-0.087861605,0.40068787,1.0026534,-0.00438076,-0.021352,-0.038616963,0.09220836,0.93088955,0.038905434,-0.0077203303,0.100332454,1.8856634,-0.07696618,0.3682289,0.36912122,-0.0055990624,-0.0032274988,-0.05739643,-0.0045950897,0.2376083,0.3940539,-0.02665103,1.8244685,0.45168826,0.14825076,-0.08458522,-0.056348898,0.10032195,-0.016800199,0.3612594,0.67336154,2.2013419,-0.002214045,-0.047776368,0.2611233,-0.008774332,1.0481708,1.0287977,-0.028794406,-0.06653439,-0.13206151,-0.14405005,0.24086058,0.08031532,-0.048955537,0.21490435,-0.024670709,0.5296993,1.0285128,-0.018679852,1.267582,1.1401184,-0.0072868243
TCGA-AB-2817,-0.025291001,-0.017648317,-0.12940057,0.30152893,0.3267445,0.0046221856,0.28574708,0.40897718,0.01757932,-0.013769284,-0.010883984,-0.067732565,0.40880236,1.1790991,0.12430929,-0.015098649,-0.073062584,0.13539907,0.98007,0.038787648,-0.004798981,0.17735478,2.1120126,-0.08120839,0.42106086,0.3159747,0.16882199,-0.004068677,-0.047682103,-0.0094529865,0.22213371,0.6145336,-0.026142234,2.161502,0.39917985,0.24237435,-0.09869526,-0.057886004,0.20006652,-0.0057217996,0.080347344,0.05991658,2.6069887,0.010252582,-0.061219152,0.49956936,-0.01218825,1.0840182,1.0622108,-0.04240788,-0.08296435,-0.1580233,-0.17681076,0.5583734,0.046220098,-0.058563422,0.12387855,-0.042073686,0.27292687,0.99557406,-0.018256484,1.6078159,1.4510468,-0.014351633
