patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-CS-4938,0.2241481,0.19803609,-0.017088084,-1.0987962,0.5856068,2.252536,3.355234,0.26251256,1.475738,-0.00086574204,-0.19626229,-0.023064135,-0.3784684,-0.41441178,1.9297832,-0.07273889,0.680849,-0.006707226,-0.9035741,-0.63600254,1.749448,-0.032737616,-0.020361518,-0.183312,-0.027154833,1.5746032,1.2263752,-0.1820372,2.0515285,-0.20580101,-0.16497448,1.5248187,-0.0077372054,0.7678339,-0.27382794,-0.7102153,-0.27053252,0.14396855,3.4532897,-0.2701381,-0.05300128,-0.15466526,1.530155,0.39364964,-0.14029261,-0.029386235,-0.031351637,-0.15811202,0.5028583,-0.4797028,0.2110687,-0.93455887,1.0284077,-0.4298509,3.2913077,2.5048428,2.9887018,-0.04292694,-0.5848939,-0.025003618,-0.30425876,0.54809135,-0.14554463,-0.021088488
TCGA-CS-4941,0.15910557,0.068492085,-0.010154601,-0.20573142,0.2535615,0.49428654,0.71182704,-0.009955893,0.24066138,-0.004273001,-0.057396222,0.102369204,-0.0712456,-0.114078425,0.21279511,0.1622478,0.046386324,-0.007233721,-0.18753605,-0.12188264,0.2679161,-0.0038196917,-0.019341685,-0.01849967,-0.0113038225,0.3270005,0.24443403,-0.025562266,0.2497299,-0.039191373,-0.058471024,0.19465804,0.035807982,-0.0008301477,-0.0337526,-0.16260763,-0.06330428,-0.022637555,0.7188683,-0.070250034,-0.0068381666,-0.025487844,0.31752115,0.83155286,-0.043599825,-0.023059856,-0.010449235,-0.038437005,-0.015867626,-0.10189728,0.5004656,-0.2181735,-0.0018855099,-0.050417345,0.58619386,0.37798956,0.7641472,-0.004940221,-0.123410285,-0.0036148906,-0.05571521,-0.003488189,-0.03073076,-0.0042924723
TCGA-CS-4942,0.31467792,0.12616593,-0.018767074,-0.998827,0.32097226,2.049745,3.1132886,0.16143903,1.5312765,0.08825407,-0.16736369,-0.0043017105,-0.3422084,-0.3903225,1.7613788,-0.07955051,0.5566201,-0.018118287,-0.82369566,-0.5837564,1.7168474,-0.0073940246,-0.027908225,-0.16939403,-0.02877059,1.5127617,1.0617325,-0.1722245,1.819639,-0.17667246,-0.15853305,1.4584068,-0.0155307595,0.62928957,-0.25807032,-0.6516464,-0.2605617,0.13035506,3.0280209,-0.24917367,-0.034168724,-0.13926318,1.41261,0.48536998,-0.1240672,-0.029335981,-0.04286455,-0.14385283,0.40872508,-0.4441917,0.13025735,-0.8366928,0.93466496,-0.38740256,2.989777,2.4597094,2.6118803,-0.03130005,-0.5335135,-0.01086631,-0.25994202,0.50997216,-0.12849592,-0.021247512
TCGA-CS-4943,0.40223777,0.1683254,-0.011735214,-1.1029265,0.4694605,2.3841798,3.3959503,0.3117146,1.525701,0.2771215,-0.19324747,-0.014926642,-0.38280064,-0.39425775,1.9218184,-0.06720256,0.73477644,-0.0029491165,-0.8897026,-0.60924923,1.689895,-0.018779917,-0.014578526,-0.17616099,-0.03576253,1.6893046,1.1648203,-0.17952582,2.004676,-0.22423275,-0.1468892,1.7190218,-0.019389668,0.68921226,-0.27753034,-0.6902557,-0.27597776,0.11197428,3.4759073,-0.26760304,-0.039089184,-0.1657372,1.6625905,0.014166873,-0.14838547,-0.022167835,-0.03642466,-0.16475607,0.52201843,-0.47248468,0.16911443,-0.91218245,1.1388973,-0.43989488,3.5020733,2.4400644,2.7995157,-0.038699046,-0.56265604,-0.021989206,-0.29142407,0.5223215,-0.14416508,-0.024302306
TCGA-CS-4944,0.21334681,0.13564038,-0.017791003,-0.998394,0.6377446,2.1746838,3.0913346,0.11004876,1.3872188,-0.0037883215,-0.17851125,-0.021075325,-0.33621806,-0.3872067,1.7794652,-0.0713034,0.5253627,-0.0057635703,-0.81289625,-0.58710736,1.6937624,-0.021847017,-0.022449048,-0.16350558,-0.01831542,1.4288846,1.0555563,-0.171563,1.7666658,-0.17941143,-0.14999998,1.4070966,-0.013144538,0.642334,-0.246698,-0.65053415,-0.27349004,-0.005797222,3.1391628,-0.2439026,-0.03486865,-0.13167213,1.3770957,0.6465748,-0.114524834,-0.018586101,-0.02671257,-0.13583553,0.62386215,-0.42861873,0.18831171,-0.8332657,0.82820606,-0.38075644,2.9203086,2.4321914,2.7140388,-0.04321507,-0.54769677,-0.017905507,-0.2581949,0.5820858,-0.13300465,-0.015207969
TCGA-CS-5393,0.62685937,0.03628219,-0.0044506746,-0.90634805,0.5488165,1.9462193,2.88536,0.30525398,1.2255845,0.27290046,-0.15136465,-0.017042886,-0.31907737,-0.35096815,1.5788664,-0.07083821,0.5760053,-0.006037801,-0.72419876,-0.5293867,1.4487046,-0.0016985219,-0.021040125,-0.14741008,-0.021049922,1.4573315,0.96244663,-0.14756243,1.6789936,-0.1626108,-0.14074615,1.355915,-0.015592075,0.43146795,-0.23554905,-0.6011822,-0.22826138,0.096360065,2.7724152,-0.22088268,-0.022076888,-0.13692889,1.1781365,0.31427532,-0.11029681,-0.027406884,-0.013920202,-0.13881356,0.24637127,-0.39962992,0.12547205,-0.75530374,0.87164474,-0.3428585,2.7958307,1.9450169,2.4241257,-0.03042814,-0.46475863,-0.009216538,-0.2241003,0.5494593,-0.10237496,-0.029860158
TCGA-CS-5395,0.2222817,0.035921153,-0.0051173107,-0.13214605,0.028731657,0.35486966,0.5353013,-0.009817676,0.12485556,-0.008418779,-0.04142828,0.18135948,-0.059263576,-0.0666451,0.19464077,0.16292396,0.0061327713,-0.0067752795,-0.11999923,-0.090936005,0.17663324,-0.008511123,-0.01164532,0.07561639,-0.011163276,0.116778105,0.17738543,-0.016882889,0.3378915,-0.029937012,-0.04145943,0.068137646,0.15945262,-0.0018368341,-0.018296218,-0.108255364,-0.04296376,-0.012052163,0.48295814,-0.032566644,-0.006606391,-0.018553382,0.1266951,0.4994617,-0.016545689,-0.0109707955,-0.011160079,-0.022168512,-0.007150219,-0.057950802,0.39630467,-0.14571694,-0.001697543,-0.0354167,0.35696045,0.18533275,0.4421358,0.054236755,-0.08223169,-0.0011292341,-0.036056504,0.031084653,-0.02518485,-0.0015221395
TCGA-CS-5396,0.37123987,0.052478965,-0.008847441,-0.95625037,0.50326854,1.926022,2.8993175,0.17961505,1.450232,0.1476601,-0.16835278,-0.024323191,-0.31976563,-0.3782732,1.471964,-0.064966515,0.21806385,-0.02754975,-0.7799187,-0.55111593,1.6971947,-0.035203632,-0.02564351,-0.16310161,-0.017221475,1.3203176,1.0075052,-0.16123377,1.660138,-0.16171768,-0.14085746,1.4512558,0.119799264,0.54888475,-0.2663484,-0.650644,-0.2538352,0.114491604,3.003152,-0.22988968,-0.0326292,-0.11782652,1.4015543,0.29346466,-0.13846515,-0.04808106,-0.030962208,-0.12725376,0.27278784,-0.41817912,-0.00011398643,-0.80406445,0.9129393,-0.37481213,2.8832915,2.1265588,2.4425528,-0.033974703,-0.49389496,-0.022182604,-0.26700807,0.4409271,-0.13896039,-0.019463642
TCGA-CS-5397,0.26436353,-0.0020211937,-0.0021484287,-0.22582066,0.13702929,0.4731871,0.8044627,-0.014854821,0.15019342,0.0019441769,-0.05281167,0.043454006,-0.08194375,-0.11481606,0.2912725,0.22991598,0.07263479,-0.014914093,-0.19288674,-0.14412922,0.28971648,-0.006816792,-0.022933489,-0.0071358043,-0.0066750958,0.3334903,0.20189118,-0.032725494,0.45193297,-0.034624804,-0.0448371,0.059581704,0.21198359,0.06180962,-0.056681223,-0.17349435,-0.06275433,-0.017359614,0.799844,-0.06792257,-0.008695493,-0.025543723,0.2562738,0.8292411,-0.031341486,-0.018696992,-0.018865759,-0.03112523,-0.030713487,-0.10105423,0.44800967,-0.21068704,-0.0033690592,-0.038702924,0.57343704,0.35563052,0.756502,0.16931789,-0.12595621,-0.008305564,-0.04253776,0.07078908,-0.027150273,-0.020429071
TCGA-CS-6186,0.1714027,-0.0050204205,-0.00283809,-0.25243434,0.31554726,0.5595805,1.0328959,-0.017257635,0.12081429,-0.001146658,-0.059097152,0.15694386,-0.09296036,-0.12673807,0.42964166,0.48357373,-0.0026140187,-0.019771418,-0.24125107,-0.15657277,0.32253838,-0.010442917,-0.030132541,0.062165182,-0.0037630524,0.19264987,0.3223225,-0.04628813,0.49514642,-0.062016554,-0.05438095,-0.006031275,0.10668351,-0.032522887,-0.011646862,-0.18557563,-0.077002674,-0.024386821,0.7836088,-0.05923543,-0.0039911643,-0.03932461,0.31842992,1.0066154,-0.030108914,-0.012148328,-0.026961977,-0.03371133,0.038783178,-0.117443,0.77519935,-0.25869155,0.013556294,-0.0757243,0.58674186,0.39944696,0.8589339,0.16436373,-0.15236841,-0.003763234,-0.059052397,0.1552116,-0.021394037,-0.0045309877
