patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-CS-4938,-0.007096179,-0.00046068188,0.021889457,-0.0005057018,0.17740679,0.0088337185,0.6105098,0.069968,0.06450024,0.03267563,-0.0025902006,-0.005252182,0.57205725,0.7504859,-0.029564107,0.0052590705,0.30087167,0.12660033,0.39301115,0.25413847,0.20690338,-0.009488269,-0.004493192,0.12310104,-0.009468689,-0.00035055875,0.4600183,0.71383506,0.08857576,0.11715223,0.1983585,0.19830567,-0.012198247,0.03797672,-0.00040436015,0.17487769,0.17675081,0.06338372,-0.003573949,-0.0087971315,-0.0067722797,0.51398593,0.15891409,0.5433682,0.22282782,-0.0035955564,-0.01627215,-0.017992703,0.6133896,-0.003991281,0.016715746,0.6283964,0.11654705,0.24862948,-0.01031687,0.19333541,0.050206006,-0.01739478,0.068757415,0.12513255,-0.007328126,0.19750792,0.15869719,0.16081621
TCGA-CS-4941,-0.026383162,0.09220355,-0.011501095,-0.0030739408,-0.00584947,-0.005214942,0.54321164,0.12798691,0.12417562,-0.010790564,0.1712799,-0.009288673,0.33591887,0.8185708,-0.024953004,0.05189889,0.18046452,0.22910547,0.28584012,0.09527356,0.14573361,0.12845413,-0.01703684,0.16664678,-0.009406556,0.036683813,0.0028772764,0.80802464,0.10236212,0.095307745,0.26332083,0.19754949,-0.0010883335,0.16222508,-0.009103889,0.26881862,0.0861191,-0.0052738166,0.08777803,0.080867894,-0.011829832,0.5134907,0.010788027,0.5233065,0.13274151,-0.019338872,-0.010339639,-0.018900687,0.52798265,-0.009412589,0.21724226,0.6393433,0.09763508,0.29860792,-0.004477475,0.034242045,0.1414988,-0.0014527485,0.1594865,0.09918257,0.20901117,0.38626826,0.008413855,0.27170548
TCGA-CS-4942,-0.00760241,-0.0033511692,0.017229704,-0.007960024,-0.0045997417,0.13533996,0.40119976,0.08555256,0.023858812,-0.0060409764,-0.0010410877,-0.0032614202,0.10482623,0.44048238,-0.02888593,-0.005117563,-0.0045093554,0.03585144,0.22816646,0.007000027,0.12321313,0.12885647,-0.013312734,0.010595087,-0.0034939535,-0.009978699,-0.0023253371,0.48571318,0.093586706,0.057267953,0.06822468,-0.0035389715,-0.0012820155,0.035805836,-0.015168977,0.1442628,0.13587204,0.065834016,-6.209277e-05,-0.0038827106,-0.007190214,0.28107595,0.0026511904,0.3051055,-0.00082458707,-0.005946508,-0.0071947523,-0.017377755,0.29817045,-0.0049597207,0.12976867,0.30955854,0.076301776,0.18648972,-0.002332639,0.13283399,0.117098115,-0.010909276,-0.0013390647,0.14956804,0.14182359,0.009806254,0.017988015,0.061869703
TCGA-CS-4943,-0.010421105,-0.005290328,0.0058893133,-0.0055973697,-0.0043094656,0.098837614,0.45955926,0.14261003,0.06573345,-0.0049578175,0.06907354,-0.007875228,0.13926937,0.4806762,-0.031402048,-0.0074993647,-0.0011614576,0.01666535,0.24177635,0.00016080402,0.1573648,0.12243716,-0.015587983,-0.0015386768,-0.0062100883,-0.0064435676,-0.0010317784,0.5872526,0.13972849,0.13646594,0.04773179,-0.00055646076,-0.0031705939,-0.00024619102,-0.016723769,0.13935132,0.07768554,0.0252455,-0.0014301632,-0.0057247337,-0.008415988,0.29773247,-0.00020871498,0.34698135,-0.000789579,-0.0075533427,-0.0069116293,-0.018242989,0.32986817,-0.0050099557,0.18275738,0.36319295,0.022596195,0.20308203,-0.006183942,0.18678223,0.057760373,-0.010568249,0.01643211,0.15437815,0.15920937,0.004681009,0.066752285,0.11156715
TCGA-CS-4944,-0.011169843,-0.0021626153,0.043545023,-0.0030855425,-0.00043269806,0.10023934,0.45272022,0.1447497,-0.00032924302,-0.005226442,0.01842657,-0.003453514,0.20497884,0.49982193,-0.02807276,-0.004485487,0.027643483,0.07323558,0.29344755,0.08631609,0.13596961,0.09551181,-0.01614194,0.09318419,-0.0048898477,-0.0014401138,0.03627881,0.60076,0.11063432,0.065369256,0.120991975,0.048198782,-0.0036940284,0.056469705,-0.006402941,0.23906358,0.1911825,-0.001102644,-0.004609176,-0.002910761,-0.0074134045,0.39208275,0.050688423,0.36659098,0.078809924,-0.0073505677,-0.006306565,-0.01480177,0.3379319,-0.0032165914,0.15836006,0.42810404,0.045943506,0.19164392,-7.530265e-05,0.07186094,0.13543847,-0.009309508,-0.0009255055,0.117875926,0.09404662,0.06477003,0.082803816,0.11498256
TCGA-CS-5393,-0.011210722,-0.0042410004,-0.0025623443,-0.0069361576,0.007508045,0.0843995,0.6388258,0.12898394,0.10303828,-0.0011862218,0.17399213,-0.009194182,0.3239864,0.59685236,-0.039007507,-0.00879852,0.029732939,0.054410942,0.30064213,0.09144318,0.19394685,0.08681436,-0.01018609,0.026608467,-0.006062358,0.020059012,0.10033144,0.73088014,0.1763874,0.18444353,0.09135349,-0.0021786701,-0.002832771,0.035971485,-0.016315252,0.15340419,0.1264165,0.0030199569,-0.0047221086,-0.0036348456,-0.0073745633,0.405035,0.056435473,0.4622694,0.032979548,-0.00958513,-0.010232578,-0.025139416,0.443617,-0.002123881,0.19631189,0.47005522,0.03862294,0.24622016,-0.007816351,0.1638178,0.08976832,-0.010802977,0.020373587,0.13124987,0.2485131,0.13055383,0.09561569,0.16563356
TCGA-CS-5395,-0.015808985,-0.0014897067,-0.0006106563,-0.0033103754,0.02947769,0.03131872,0.5806086,0.031751323,0.013962667,-0.0065932237,0.029554201,0.033836894,0.35106722,0.6158324,-0.025315477,-0.010056506,0.30235422,0.008479912,0.39133316,0.10424354,0.21723609,0.0046202196,-0.016721962,0.09286618,-0.009140807,0.018062964,0.014701597,0.7238407,0.11513188,0.12947264,0.09304668,0.095795594,-0.0033668072,0.09565061,-0.003732678,0.35722697,0.1476605,0.05672153,-0.0042478824,0.10850402,-0.0077638687,0.4327229,-0.0016340495,0.4333664,0.15936261,-0.006910181,-0.009486153,-0.016057966,0.48248905,-0.009336821,0.17461972,0.47922337,0.04710211,0.18427075,-0.013679943,-0.00019809604,0.07364532,-0.015388413,0.050311983,0.10463449,0.17386185,0.06591458,0.18197599,0.20814836
TCGA-CS-5396,-0.008648757,-0.0020979475,0.051343314,-0.0062665613,0.008738812,0.07171675,0.41463107,0.13070731,-0.0014115084,-0.006991779,0.078353845,-0.0053319465,0.18330443,0.482677,-0.034383927,-0.004451677,0.04793674,0.06250487,0.23921907,0.039387383,0.13472377,0.14723992,-0.015263492,0.061201777,-0.0016614639,-0.0021247533,-0.0028785104,0.64763296,0.14621997,0.07484631,0.07384156,-0.0025746652,-0.00650424,0.07088441,-0.0112514915,0.11905508,0.04378108,0.085442044,-0.005456965,-0.0015885629,-0.00575563,0.3340821,0.07284061,0.3352449,-0.0041714585,-0.0060815364,-0.010832955,-0.017463846,0.35761377,-0.002987548,0.07503912,0.34900287,0.04371079,0.17724104,0.023288406,0.15417835,0.120950684,-0.011706476,-0.0014928916,0.10608618,0.16260524,0.029300254,0.051608823,0.105788045
TCGA-CS-5397,-0.02536579,-0.0051769647,-0.009128275,0.047042128,0.26395273,-0.006445666,1.001126,0.033147223,0.19805521,0.22130764,0.2415948,0.05707628,0.8052434,0.8865244,-0.025707772,0.057432346,0.79435,-0.0072505362,0.5144181,0.31121075,0.17194651,-0.00597023,-0.013050983,0.31779158,-0.015466824,0.3523028,0.65561825,0.945233,-0.002983228,0.0664416,0.22909123,0.35896456,-0.0156233,0.07402538,0.10623774,0.1720553,0.07687356,0.121927865,-0.01657061,0.08823169,-0.011358858,0.79967284,0.06394417,0.81991047,0.44680324,-0.0011915829,-0.0071111717,-0.030140627,0.8376419,-0.017384602,0.12542923,0.9727533,0.058565367,0.2535934,0.0323871,0.2300064,0.100066066,-0.014142807,0.16375545,0.20448145,0.1276389,0.60393685,0.25399297,0.3942327
TCGA-CS-6186,-0.010736334,-0.004612222,0.055515047,0.038820807,0.030054523,-0.0002474296,0.6184462,0.050921287,0.050140757,-0.0039705536,0.023365105,-0.010517455,0.6049073,0.7348712,-0.027971724,-0.00043916033,0.0996815,0.0610715,0.29481995,0.047181062,0.21815181,-0.006819849,-0.012812314,0.27082223,-0.008480195,0.08136088,0.39226297,0.78377616,0.014762957,0.08902903,0.14045075,0.2189835,0.014033325,-0.004440125,-0.0042792615,0.014638133,0.06187871,0.1707991,0.014864292,0.22868451,-0.013434865,0.5234622,0.19562367,0.4844773,0.23847687,-0.0021547282,-0.013844244,-0.013977599,0.51721746,-0.000567244,0.06740629,0.7536238,0.0533093,0.27941874,-0.0032510746,0.17773491,0.14362286,-0.015067326,0.12827745,0.0017504469,0.1528721,0.30587,0.20715916,0.2753657
