patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-CS-4938,0.29578298,-0.0070982166,-0.0051805936,0.45699665,0.11985472,0.26756287,0.36035874,0.7373455,0.8658998,-0.0017774191,0.9768949,-0.0062388596,-0.047733855,1.6517267,-0.102585636,-0.0267716,-0.1006665,-0.069426924,0.64195096,-0.18023461,-0.0068874434,0.009502708,-0.008195844,1.3053011,-0.00874984,0.3647495,0.24560793,0.00049915165,-0.0678012,-0.08194638,0.021653127,-0.04514997,-0.0013846519,0.79536355,-0.0443162,0.43764973,-0.12618963,0.021663435,0.033228636,0.2558548,-0.0070056664,0.094232455,-2.089087e-05,-0.00031848886,-0.00029947647,-0.008427008,-0.007920291,-0.042796195,0.19472189,0.4653874,-0.03649329,-0.08700627,1.0734682,0.14335078,0.621965,0.34140578,0.10544045,0.2664294,0.19945681,-0.005990973,0.041145522,-0.038223725,-0.009304156,-0.0010738878
TCGA-CS-4941,0.8198004,-0.0075228163,-0.024916623,0.7285176,0.206249,0.42967162,0.7433808,1.5893155,1.6538515,0.5829318,1.6906635,0.055979677,-0.073464565,3.1556845,-0.19492398,-0.011875548,-0.1373345,-0.16263048,1.1458323,-0.39206842,-0.030176377,-0.007047956,-0.009107715,2.7150059,0.03151066,1.0864406,-0.012212235,0.019995555,-0.17733975,-0.21468525,0.18528402,-0.11038047,-0.0065106787,1.5318471,-0.073904045,1.1571795,-0.2849828,0.9051358,-0.012132195,0.3639319,-0.013658806,0.27672422,0.08382857,-0.019530399,0.006525751,-0.010562109,-0.005947946,-0.08348894,-0.008846186,0.90960705,-0.08938644,-0.19411251,1.9556048,-0.004964122,1.385456,0.70473135,0.43510234,1.3510505,1.1364028,-0.014531328,0.25639963,0.1736004,-0.030531315,-0.007687113
TCGA-CS-4942,0.3950213,-0.008602094,-0.012105661,0.5569181,0.1741221,0.24252492,0.3968984,0.86978257,1.0367489,0.050314527,1.2057459,-0.002413277,-0.053496372,1.938734,-0.12525114,-0.018587453,-0.11927108,-0.082622364,0.76806676,-0.22875498,-0.020134604,0.08492985,-0.009043063,1.5544925,-0.007188396,0.33576417,0.2506785,0.1012103,-0.09465096,-0.11858614,0.012414465,-0.06243598,-0.00090786704,1.0463101,-0.053424913,0.580899,-0.16174564,0.19783911,-0.0037240472,0.2062736,-0.005194578,0.20293869,-0.0031628192,-0.00030585082,-0.0018106673,-0.009910542,-0.003980107,-0.057594743,0.14814079,0.5279975,-0.042897742,-0.097910665,1.2063732,0.061169162,0.7778419,0.214414,0.14197882,0.44170278,0.46459416,-0.008749219,0.14183499,-0.03623529,-0.015783597,0.089007586
TCGA-CS-4943,0.40331084,-0.0048451424,-0.011078219,0.55298537,0.56973684,0.20564198,0.028111046,0.98074937,1.0128726,0.39725536,1.3887612,0.19355673,-0.06641283,1.9420675,-0.1486697,-0.05266822,-0.08770075,-0.069660336,0.8587416,-0.2681456,-0.069502085,0.70889753,-0.014290461,1.7250797,-0.021792684,-0.03966449,0.37985986,0.060402997,-0.1620796,-0.30809957,0.17283785,-0.07865806,-0.022143792,1.1829126,-0.08885888,0.82110065,-0.14989719,0.53230804,-0.034297906,0.26847464,-0.021736614,0.17104669,-0.023719072,0.61681324,0.037363697,-0.006856794,-0.005275464,-0.080201045,0.018445551,0.5300611,-0.031527203,-0.15485117,1.4613419,0.39403284,1.3617821,0.016103983,0.6178575,0.28959614,0.32700187,-0.0081425505,0.7697109,-0.015679741,0.006474502,-0.017870057
TCGA-CS-4944,0.25554436,-0.003836251,-0.0068253838,0.425011,0.062696144,0.106322624,0.20925203,0.61388993,0.8193079,0.01096138,0.8278836,-0.010511303,-0.042310543,1.3548764,-0.08063618,-0.013503487,-0.08604647,-0.0631181,0.5302977,-0.14850639,-0.014962777,-0.0042120195,-0.0128651485,1.0076545,-0.009653109,0.4564711,0.18907756,0.011773329,-0.05032436,-0.05572505,0.038717143,-0.043316472,-0.0011550399,0.6232405,-0.031743966,0.35099676,-0.11339456,0.015715912,0.051294357,0.13396253,-0.0059452965,0.015464243,-0.00066886115,0.061007988,0.0007840283,-0.017711423,-0.007063735,-0.034362797,0.22734109,0.4095998,-0.022568943,-0.07388192,0.8093548,0.06270276,0.48808968,0.41742018,0.07522828,0.12255586,0.1334635,-0.008938126,-0.0006488608,-0.025029002,-0.0034633323,0.0030219741
TCGA-CS-5393,0.33444586,-0.004971678,-0.0008491172,0.4380707,0.21059331,0.21130073,0.302241,0.7113939,0.90675926,0.018635854,1.0548401,0.0006975755,-0.044207957,1.6782715,-0.10471574,-0.026369229,-0.10053041,-0.06786158,0.718614,-0.18409052,-0.01879897,0.048502404,-0.010875689,1.3872541,-0.011689077,0.23915675,0.25870454,0.023193665,-0.08105246,-0.095434755,0.059561457,-0.048971683,-0.0012701119,0.79151523,-0.05533461,0.4626113,-0.1315777,0.08657369,0.00413936,0.21553932,-0.0065785833,0.16761348,0.0064432193,0.012028992,0.011533115,-0.006897976,-0.007322573,-0.04224784,0.26072356,0.45068213,-0.031443756,-0.08594719,1.0998122,0.087234795,0.67853034,0.16482657,0.11430274,0.35149848,0.28659743,-0.0071339565,0.08083674,-0.0334599,-0.00096218736,0.06590842
TCGA-CS-5395,0.45119625,-0.006499756,-0.010877511,0.44665855,0.43863642,0.500116,0.62396973,1.2771558,1.2615638,0.71005535,1.3247335,0.21707821,-0.05570225,2.4580588,-0.18131179,-0.028743124,-0.0985485,-0.11326771,1.0074093,-0.31794465,-0.017476432,0.13638218,-0.02293931,2.075934,-0.008742187,0.6799172,0.04659598,0.10105867,-0.15014641,-0.2082181,-0.009028759,-0.08494326,-0.003646876,1.1582749,-0.0583839,0.9454676,-0.21000314,0.6444953,-0.018336056,0.1548676,-0.017606143,0.05802122,0.018413706,-0.0030850393,-0.0060881204,-0.012728686,-0.007749015,-0.082637146,0.095055334,0.6709928,-0.06113396,-0.16657463,1.7340502,0.14491883,1.3879644,0.7201776,0.6355019,1.222353,0.6325025,-0.01084132,0.26376918,0.027805582,-0.008846808,0.03483595
TCGA-CS-5396,0.28327644,0.052748024,-0.007436018,0.4734363,0.39190787,0.21778744,0.34469578,0.7145801,0.8848345,0.15303907,1.0991428,-0.0001932703,-0.05403818,1.6051033,-0.10787958,-0.02912934,-0.10950079,-0.06848878,0.6660869,-0.18814255,-0.016957812,0.020145707,-0.012226284,1.1094258,0.015052475,0.24209322,0.37926573,0.023047652,-0.0844293,-0.11459746,-0.0021329615,-0.062006235,0.008925306,0.8533503,-0.037039146,0.4204739,-0.13680539,0.2586223,0.029756093,-0.0032526464,-0.006072268,0.038572107,0.04560647,0.08494118,-0.0042081815,-0.015888598,-0.0042365724,-0.046474922,0.30925405,0.4961347,-0.034961443,-0.082460545,1.0957451,0.1500366,0.7983751,0.2770558,0.25819206,0.2695877,0.17924605,-0.013870524,0.1081789,-0.035154454,0.096093245,-0.006889095
TCGA-CS-5397,0.6695027,-0.0030769424,-0.012677192,0.63901585,0.4517457,0.39382955,0.6697545,1.3399587,1.534685,0.5868409,1.6378067,0.03379029,-0.06604494,2.885187,-0.18529777,-0.010627415,-0.12219168,-0.14045577,1.1476929,-0.3666457,-0.033709507,-0.0034316224,-0.010934017,2.5065653,-0.0071938946,1.0528163,0.05339149,0.0603488,-0.18984485,-0.22191592,0.0975454,-0.09915297,-0.0012167067,1.2885294,-0.07748777,0.97348243,-0.25094402,0.7531171,-0.004583687,0.09536429,-0.01818793,0.33149973,0.14513953,-0.0070391865,0.17813295,-0.0052665654,-0.015316606,-0.077375166,0.05645761,0.7877964,-0.071501754,-0.18377976,1.8820856,0.0076977015,1.4710623,0.70397574,0.7150842,1.1910962,0.83061606,-0.009902078,0.15448171,0.045408346,-0.014793599,-0.005834394
TCGA-CS-6186,0.56594473,-0.006911777,-0.013521254,0.5608523,0.30003262,0.3034783,0.69148785,1.2388629,1.3307806,0.5226328,1.4564496,0.1184546,-0.054737266,2.5643451,-0.17546642,-0.015385752,-0.11673703,-0.11740004,1.0530509,-0.30736434,-0.013547202,-0.0015951034,-0.03260708,2.106554,-0.005019842,0.87283593,0.008212481,0.08407303,-0.14105526,-0.16514607,0.1162013,-0.07431614,-0.018277844,1.1432561,-0.06417207,0.8955006,-0.22143717,0.68394965,-0.009993443,0.23590897,-0.01399939,0.05884036,0.03285566,-0.009713058,-0.019323988,0.016873017,-0.0059832684,-0.07976082,0.040348783,0.65450233,-0.08417801,-0.1685554,1.739767,0.078917705,1.2055194,1.1432955,0.36216974,1.052942,0.6658933,0.018577632,0.11101301,0.21219283,-0.010763026,0.035282537
