patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-CS-4938,0.5557179,-0.119722724,-0.3143885,-0.09273996,-0.57227415,0.8784133,2.3985622,2.1015446,-0.0255804,0.46529981,0.45683336,-0.18079391,-0.075573124,2.6666005,-0.13790737,1.1118648,2.5496762,1.7400982,0.59082735,2.686715,0.5867324,-0.033012405,1.9564588,0.28112763,-0.04272845,1.3140197,-0.025779057,-0.14422515,-0.55364996,-0.10818197,2.5067422,0.46330076,2.7571828,-0.66452575,-0.32868475,-0.26131046,2.131228,-0.20447095,1.4604266,-0.17312911,0.16154578,-1.2968274,-0.21576798,-0.062432993,-0.109650396,-0.0022253373,-0.020598715,-0.35319895,0.15896662,2.7656968,-0.045818873,-0.28599086,-0.042831983,2.143077,-0.017487835,0.9503207,-0.31544325,-0.5955898,-0.175419,-0.027191153,-0.009673148,-0.056960385,-0.6573376,1.0515615
TCGA-CS-4941,-0.009720892,-0.053423297,-0.06820748,-0.0210533,-0.0792176,0.260915,0.35383326,0.3012485,-0.013845563,-0.005780363,0.05324184,-0.0589181,-0.02583685,0.65156364,-0.03223558,0.28759527,0.52193755,0.089754336,-0.01966927,0.5813221,-0.016466685,-0.01062364,0.29392096,0.031678565,-0.002278177,0.14106043,-0.01031025,-0.021859866,-0.13878085,-0.047354415,0.3357061,-0.007640963,0.59779173,-0.14466082,-0.04128694,-0.057360858,0.5443974,-0.08320812,0.11485613,-0.026289204,0.031595048,-0.29565763,-0.046957277,-0.006715989,-0.033822328,-0.004243523,-0.009027629,-0.07209373,0.07731886,0.46878585,-0.015740087,-0.0372896,0.11496656,0.33674645,0.21020244,-0.0065693627,-0.05759741,-0.1254928,-0.03412801,-0.0010147843,-0.005408171,0.10471275,-0.14152193,0.07501957
TCGA-CS-4942,0.42168635,-0.11682037,-0.287928,-0.094024785,-0.5053961,0.8887821,2.2287657,1.9134732,-0.01714777,0.59239584,0.19884208,-0.17840655,-0.067458026,2.4532173,-0.1179988,1.0364153,2.2995667,1.5046535,0.48061192,2.466309,0.38826504,-0.041986722,1.8095522,0.22481741,-0.02824354,1.2250448,-0.0389493,-0.119783245,-0.5249278,-0.0939061,2.2980695,0.44646657,2.5856671,-0.595188,-0.30479667,-0.23722807,1.9913074,-0.19024573,1.3514177,-0.15707009,0.0667043,-1.1990284,-0.20009819,-0.045738604,-0.10164716,-0.017369805,-0.029806068,-0.31479865,0.02540131,2.4893932,-0.045624357,-0.2603612,-0.031650584,1.8936172,-0.019292714,0.86945045,-0.2859908,-0.54191345,-0.15926081,-0.018123992,-0.0041881967,-0.05518468,-0.5895892,0.8455405
TCGA-CS-4943,0.5357542,-0.12151202,-0.30316964,-0.11432373,-0.5766144,0.8356456,2.4682662,2.113614,-0.01794292,0.6619844,0.29130012,-0.17709263,-0.07713642,2.657458,-0.14257945,1.221534,2.5917697,1.6912276,0.76751834,2.753039,0.5953447,-0.03519531,1.9622383,0.30317342,-0.029206831,1.1675347,-0.034646682,-0.16059348,-0.5586502,-0.097683586,2.5259938,0.3770488,2.6857939,-0.6526188,-0.31912705,-0.23790903,2.1810334,-0.19331713,1.403323,-0.1792206,-0.007511136,-1.2810843,-0.20836864,-0.05459089,-0.11370672,-0.025803147,-0.037958503,-0.3515711,0.18716346,2.7310135,-0.049891576,-0.31763217,-0.05606578,2.210532,-0.03139024,0.9529901,-0.30642208,-0.57672,-0.1616352,-0.02584087,0.4518012,-0.06779254,-0.6378883,0.8666364
TCGA-CS-4944,0.42311847,-0.10919731,-0.29082903,-0.078492165,-0.50170517,0.7263071,2.1713624,1.8417561,-0.0130965365,0.38838547,0.3160863,-0.17141382,-0.06266448,2.460812,-0.11113875,1.1141751,2.2400684,1.6648096,0.6327078,2.5367117,0.49180666,-0.03538125,1.8052378,0.25649333,-0.030179454,1.0277591,-0.015828585,-0.12807955,-0.5098093,-0.11500472,2.2454517,0.46249187,2.443055,-0.59956616,-0.30577224,-0.23959582,2.0247154,-0.184386,1.3217219,-0.15960942,0.03963096,-1.1858898,-0.20920353,-0.039763927,-0.11412924,-0.016998034,-0.04670102,-0.31975496,0.16366692,2.5336833,-0.035130557,-0.2519314,-0.039210636,2.0175881,-0.021130748,0.8390062,-0.27742454,-0.5336775,-0.1396651,-0.024260132,0.081025645,-0.04679042,-0.59714633,0.84888434
TCGA-CS-5393,0.2748367,-0.090212874,-0.24512587,-0.080083154,-0.45679718,0.8000254,2.1663852,1.7992092,-0.03289209,0.5323271,0.29909343,-0.1523931,-0.04995906,2.0644648,-0.12211659,0.9743675,1.9619002,1.3194821,0.6275747,2.3962073,0.4412931,-0.03892116,1.605973,0.21067236,-0.021669304,0.9263825,-0.019441705,-0.112418234,-0.47204095,-0.09532376,2.0692732,0.1931091,2.3185909,-0.55089957,-0.27022687,-0.1874208,1.7989316,-0.18709491,1.112535,-0.16546208,-0.0014878873,-1.0651902,-0.17255072,-0.011805405,-0.09367003,-0.03656019,-0.042611446,-0.27103877,0.15871347,2.2644994,-0.043341648,-0.25524685,-0.035512783,1.7280971,-0.0020424945,0.78221905,-0.25285646,-0.48643765,-0.13532157,-0.021385595,0.43551022,-0.0547004,-0.5215408,0.52731097
TCGA-CS-5395,-0.008483079,-0.03227627,-0.047635432,-0.014491287,-0.050142437,0.1863076,0.14693992,0.11424114,-0.013500837,-0.006552639,-0.0021931566,-0.04541233,-0.009351412,0.38294703,-0.009856715,0.11038679,0.36554876,0.017042937,-0.005884997,0.31268355,-0.0034520414,-7.855003e-05,0.11407847,0.034324817,-0.013017247,0.12065357,-0.005113459,-0.016295534,-0.08764469,-0.040007725,0.2351221,-0.01465667,0.43442202,-0.09553577,-0.028723205,-0.030031148,0.2735406,-0.044926323,0.027274167,-0.0164128,0.05707654,-0.19491588,-0.042136487,-0.0061570797,-0.027332593,-0.008235493,-0.0036156178,-0.05040248,0.056940533,0.23417039,-0.0068155634,-0.01461447,0.1579289,0.17652243,0.20419785,-0.011332791,-0.040831413,-0.08133334,-0.02644558,-0.012497809,-0.004344157,0.015235022,-0.08743188,-0.0034672264
TCGA-CS-5396,0.29376626,-0.08764338,-0.2562891,-0.06967865,-0.48477098,0.5574862,2.2395122,1.7990268,-0.014925008,0.40650353,0.3736743,-0.18115029,-0.056263532,2.344954,-0.11895019,1.0129043,2.2738824,1.465247,0.6014066,2.4518256,0.44231686,-0.035363954,1.8183198,0.23699062,-0.05651771,0.93688077,-0.01693227,-0.11489951,-0.49680766,-0.10703824,2.2897587,0.2668805,2.4959824,-0.57357925,-0.292317,-0.20932983,2.095637,-0.18864633,1.1985971,-0.1475025,-0.0023667451,-1.143711,-0.19707243,-0.030287106,-0.10688696,0.071075164,-0.034492984,-0.30739075,-0.006155472,2.4099665,-0.042420227,-0.26083794,-0.023664588,2.0208337,-0.017144013,0.6682954,-0.29242596,-0.51057285,-0.1360293,-0.019724406,0.11406696,-0.04720482,-0.5598039,0.7626699
TCGA-CS-5397,-0.020371025,-0.043258395,-0.05302118,-0.030516515,-0.076308794,0.11063811,0.28506762,0.30972266,-0.009221638,-0.009871877,0.053429008,-0.0531346,-0.012645532,0.6284742,-0.02179963,0.21978892,0.5173465,-0.009831145,-0.004370872,0.5011945,-0.018773383,0.02462656,0.40608135,0.14561768,-0.014811853,0.25742286,-0.004969528,-0.022289542,-0.1458339,-0.051932793,0.47209555,-0.012421274,0.7280746,-0.14587274,-0.055479325,-0.033128094,0.59998775,-0.065625556,0.14820719,-0.025402784,0.052730467,-0.31363595,-0.051433127,0.06452042,-0.034472782,0.088673525,-0.00882503,-0.0857973,-0.0003173217,0.42140058,-0.0061098994,-0.042590395,-0.0010129347,0.495605,0.18223277,-0.015889367,-0.058515448,-0.13923472,-0.027118072,-0.010293604,-0.013093121,0.021595316,-0.13585971,-0.006760457
TCGA-CS-6186,-0.017136281,-0.037655756,-0.075407535,-0.035520703,-0.08480406,0.24865986,0.25647202,0.32826862,-0.043089513,-0.012534887,0.15537909,-0.073487416,-0.010285188,0.5583306,-0.01578271,0.3210619,0.7349403,-0.012924339,-0.025037581,0.71902907,-0.0072948844,-0.009590269,0.17875338,0.23859577,-0.023419542,0.16204225,-0.0009295132,-0.014576486,-0.18471023,-0.06048431,0.5690088,-0.032392245,1.0522794,-0.16639103,-0.07175747,-0.055811185,0.49687392,-0.0880987,-0.0019080678,-0.021170992,0.34817633,-0.35208485,-0.06757377,-0.0053293575,-0.03169486,0.3952987,-0.009682377,-0.09989989,0.09208776,0.45466056,-0.026827201,-0.048411828,0.23297973,0.57382196,0.34673607,-0.018066064,-0.07566872,-0.16119935,-0.034501765,-0.01698203,-0.028764023,-0.023056628,-0.1697268,0.13790765
TCGA-CS-6188,-0.016894372,-0.048236363,-0.06485622,-0.023705935,-0.061356407,0.13353,0.36362588,0.22955586,-0.021638962,-0.0031368607,0.046516337,-0.04591941,-0.01656594,0.5105806,-0.023574792,0.1588852,0.44483957,0.04544139,-0.01220643,0.41224444,-0.020979296,-0.014961838,0.1798664,0.07267964,-0.0009750486,0.1124385,-0.014708543,-0.01850071,-0.1287785,-0.044173744,0.26995352,-0.018439796,0.57738775,-0.12455437,-0.040063795,-0.03697436,0.4280839,-0.060267337,0.08926254,-0.036744528,0.09798457,-0.25833663,-0.04136829,-0.0071436674,-0.03297353,0.084420346,-0.0068229795,-0.061109077,0.07491574,0.38153335,-0.02063571,-0.03221965,0.20175698,0.25740904,0.29552612,-0.0016633243,-0.04504237,-0.10808893,-0.034992117,-0.0075688483,-0.013043498,-0.0014141964,-0.12018993,0.02129659
TCGA-CS-6290,0.3461122,-0.10636067,-0.2587882,-0.07976123,-0.44123346,0.59388936,1.9714249,1.5832635,-0.013959134,0.4172586,0.2989816,-0.14981268,-0.047239672,2.2343233,-0.10537215,0.8829151,2.0465539,1.3747205,0.47446096,2.2593915,0.2977835,-0.016770877,1.6208777,0.256922,-0.011008734,0.8928168,-0.037232794,-0.11766461,-0.45697713,-0.10293763,1.9198605,0.32016063,2.2420728,-0.5243091,-0.27133974,-0.20600462,1.7754513,-0.1852818,1.0354624,-0.13526817,0.07707624,-1.0696472,-0.18135872,-0.04836404,-0.10237052,-0.0040797866,-0.025609894,-0.29543024,0.29737037,2.3018868,-0.03618112,-0.22639345,-0.024143565,1.7129618,-0.012409945,0.6860198,-0.23505178,-0.497135,-0.13769507,-0.01278451,-0.007839932,-0.036230136,-0.5370212,0.7488775
TCGA-CS-6665,-0.003081544,-0.06367023,-0.17830478,-0.074778944,-0.24513271,0.59254974,1.5457935,1.0895854,-0.018179333,0.47110572,0.18574613,-0.09885396,-0.01522049,1.409908,-0.07095597,0.57598317,1.2921906,0.61478156,0.15436932,1.437261,0.13700126,-0.009669673,1.0575967,-0.0019901267,-0.01667028,0.6289642,-0.025299976,-0.09496798,-0.31649297,-0.08271454,1.3900137,0.026714649,1.6052568,-0.37597358,-0.18726161,-0.11718886,1.1957875,-0.115431026,0.8116528,-0.090587154,-0.028577039,-0.70884603,-0.10927428,0.04160769,-0.076671906,-0.039243106,-0.048928153,-0.21335176,0.13449858,1.5210164,-0.015771171,-0.15225975,-0.015603525,1.1222156,-0.0043354435,0.23786682,-0.12096562,-0.2979848,-0.10121305,-0.024315273,0.93540496,-0.020424755,-0.34072474,0.24502268
TCGA-CS-6666,0.42887813,-0.09816321,-0.2964018,-0.099627815,-0.526276,0.7672774,2.4116209,1.9042474,-0.034206666,0.6312999,0.3337455,-0.16514836,-0.06444399,2.3850133,-0.14051692,1.0167555,2.1583047,1.437581,0.537245,2.3983908,0.44865483,-0.038831133,1.9359586,0.21473482,-0.04184931,0.80851305,-0.033106152,-0.14753476,-0.5018793,-0.12012955,2.3495011,0.35065848,2.5588028,-0.59294033,-0.29789218,-0.2197483,2.076409,-0.1833062,1.1116706,-0.172573,-0.0077096643,-1.1687949,-0.1763937,-0.042221505,-0.099135324,-0.018124944,-0.01897895,-0.3043188,0.27918357,2.6123183,-0.042546708,-0.2819996,-0.036205586,1.8779103,-0.019152565,0.91799545,-0.28868017,-0.5178289,-0.14791419,-0.0048669497,0.43772873,-0.04563368,-0.56897646,0.86486936
TCGA-CS-6667,0.5833006,-0.13263236,-0.3166189,-0.09701011,-0.5738029,0.8809545,2.4153535,2.103903,-0.02170992,0.5996267,0.4279312,-0.18210316,-0.0754017,2.7038066,-0.14094926,1.0648129,2.6051695,1.8614454,0.7618754,2.745994,0.50896233,-0.035491165,1.996392,0.29583955,-0.029392669,1.1892503,-0.032767855,-0.15600973,-0.5636221,-0.12244069,2.6104045,0.5188325,2.8456433,-0.67450887,-0.3378186,-0.2574329,2.2797976,-0.20515934,1.396486,-0.18789665,0.121999934,-1.3283542,-0.2314199,-0.062217068,-0.10914309,-0.016735028,-0.029968947,-0.3568481,0.14111759,2.8146474,-0.054756593,-0.2980992,-0.03254208,2.1412716,-0.009055971,1.0321176,-0.30938298,-0.6004433,-0.1739818,-0.012183384,-0.006946586,-0.062141057,-0.6580519,0.9371114
