patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-CS-4938,0.15829271,0.5095709,-0.0057800463,0.8113213,0.062583596,0.6066409,0.13146228,0.19794701,0.14518756,0.36505324,0.34643024,-0.0033082315,0.3671003,0.14454554,-0.0063183247,0.08854791,0.116051145,0.118929744,0.32084084,0.30049506,-0.007669372,0.32496214,0.090107486,0.1850482,-0.009940165,0.11747938,-0.012784514,0.26014417,0.09529746,0.17868324,0.05340289,0.079761244,0.090625525,0.25189102,-0.009585521,-0.013474533,0.086980395,-0.0009683326,0.5705975,0.14447805,0.08477889,-0.0029558286,0.28477085,0.051729612,-1.4772639e-05,-0.0049342825,-0.00829317,0.14711376,-0.01756315,0.15618709,-0.004418661,0.30374518,-0.01777113,0.021916188,0.37968057,0.2020823,0.21669689,0.049163926,0.28057176,-0.0076620663,0.4848228,0.2381527,0.20271005,0.25816393
TCGA-CS-4941,0.28482106,0.5539905,-0.0027060031,0.85814613,0.30151635,0.7012819,-0.0065950565,0.17326847,0.0067781284,0.12516268,0.42358005,0.36930186,0.33046317,0.1373259,0.023783643,-0.0020372772,0.07361885,0.039395835,0.32054424,0.07815343,-0.0029855724,0.1950431,0.16989525,0.1167014,-0.007940128,0.12721628,-0.0008854039,0.25566512,0.46993935,-0.002167315,0.20299372,0.07652567,0.16710202,0.3002054,0.0073131397,-0.00445788,0.11973942,-0.00793736,0.5767227,0.10139136,-0.0020087452,0.08451301,0.091626294,0.02942124,-0.00469079,-0.0037888784,-0.0018192228,0.1145165,-0.007676569,0.05947355,-0.0056773615,0.3877609,-0.0048769987,0.20597428,0.3417698,0.28843206,0.12265651,0.03403284,0.21882576,-0.004610946,0.5209261,0.18421385,0.27733186,0.23966007
TCGA-CS-4942,0.14125675,0.30412525,-0.0048973546,0.46219286,0.111881256,0.42824268,0.056868598,0.04121454,-0.005284318,-0.0031733327,0.1991446,0.21913221,0.33243924,0.14836733,-0.0032753367,-0.003705281,0.01802678,-0.004089126,0.13206026,0.16586451,0.002699662,0.1871699,0.121514514,0.14013258,-0.007201608,0.105806656,0.015784215,0.15514338,0.49925807,-0.009021828,-0.0010955178,0.050431646,-0.00021820217,0.18918432,-0.0074542235,-0.00061968196,0.021756005,0.017510258,0.3451313,0.114572,-0.0041391226,-0.0022283883,-0.0020351748,0.13048713,0.088866256,-0.002801247,-0.00872078,0.14548418,-0.0014389973,0.0013285056,-0.008994512,0.12959175,-0.010572404,0.01766964,0.36468294,-0.0048717484,0.108176276,-0.0033191105,0.052901976,-0.0029882432,0.12668432,0.18053661,0.3171856,0.06679338
TCGA-CS-4943,0.13253583,0.3730158,-0.0055676554,0.5365989,0.09440957,0.46951014,0.04991045,0.079780325,-0.0020401932,0.0192773,0.21319625,0.2073097,0.37041837,0.12628044,-0.000106901396,-0.0042669103,-0.00038553897,-0.0059971754,0.15394932,0.19192907,-0.00036216827,0.22443944,0.23119716,0.15582347,-0.007766628,0.08626699,0.011373814,0.12519611,0.59737515,-0.006047267,0.04406208,0.014520161,0.026472315,0.2233293,-0.0041364874,-0.0024467357,0.025913872,0.044548683,0.3858663,0.14274223,-0.0012505989,-0.002806736,-0.002516585,0.10362379,0.07384518,-0.0052757054,-0.006689574,0.13615459,-0.0016862344,0.009598345,-0.0076267975,0.19892743,-0.008762482,0.10958389,0.37997267,-0.004081176,0.1783945,-0.0034648522,0.07303366,-0.0059516816,0.16046388,0.18779399,0.31172353,0.0057916716
TCGA-CS-4944,0.10845831,0.37746888,-0.0018053275,0.5187415,0.14917395,0.48555505,0.06774779,0.0979548,0.005442925,0.12575826,0.24977714,0.17454371,0.3599251,0.15327796,-0.003973042,-0.0023464363,-0.00016431222,0.0054811537,0.17439254,0.17661625,0.008184329,0.221373,0.12395899,0.028086215,-0.009641939,0.09915397,-0.003710687,0.25954583,0.43202153,-0.0024223945,0.027113233,0.07718091,0.008857012,0.19984233,-0.0033806867,-0.0025595971,0.063707754,0.091082714,0.39460978,0.07301261,-0.0029030535,-0.0012117189,-0.00022979398,0.086884335,0.010420606,-0.004047531,-0.01042417,0.16619019,-0.003049373,0.019397825,-0.008260152,0.22272205,-0.011754719,0.044332463,0.31372422,0.014066286,0.17975827,-0.004813681,0.12159683,-0.001742028,0.20746319,0.2148736,0.38236442,0.1597226
TCGA-CS-5393,0.12578738,0.42723253,0.01970243,0.71813285,0.11467925,0.621189,0.061595134,0.21214671,-0.004127447,0.09206593,0.27092636,0.19173841,0.4023829,0.15368448,0.004015631,0.018674567,0.034586035,0.059363987,0.2372376,0.23473191,-0.0028660826,0.2424571,0.41941214,0.14938946,-0.0034849846,0.1443389,-0.0031018946,0.17265902,0.6600701,-0.006084026,0.051503267,-0.0020258992,0.120972216,0.29112038,-0.0012180604,-0.00691512,0.06685777,0.04969398,0.4814628,0.083081,0.020247001,0.0026389044,0.09274896,0.12759706,0.10033008,-0.0053657237,-0.01015407,0.097280055,-0.0033298803,0.009944364,-0.008969671,0.20049313,-0.0040756543,0.117489144,0.35184002,0.15665606,0.1600859,-0.006587058,0.10383531,-0.0053673023,0.29098305,0.29400888,0.2916893,0.11688736
TCGA-CS-5395,0.21941665,0.43571174,-2.8786808e-05,0.6171715,0.25596648,0.6646714,0.090226226,0.12700363,-0.0052981516,0.114436686,0.2960575,0.26409107,0.396357,0.016765371,0.009554035,0.1060692,0.0980932,0.04573298,0.27335277,0.345039,-0.002247157,0.22392656,0.23989443,0.10590049,-0.008755939,0.044113252,-0.0063505084,0.18695876,0.33156893,0.055706978,0.08227059,0.07440663,0.19387603,0.26422662,-0.0015244618,-0.0046632634,0.08723757,0.018412836,0.49461034,0.1645355,0.101246715,-0.0010883383,-0.0027428162,0.046523757,0.07835896,-0.0052338853,-0.007271187,0.25503197,0.041601654,0.09799554,-0.00916252,0.27469835,-0.00973397,0.020689424,0.35813403,0.060522817,0.1511844,-0.0036262006,0.08342825,-0.002638898,0.35213488,0.23989454,0.29262507,0.15839918
TCGA-CS-5396,0.07039514,0.3227749,-0.0010210801,0.55531687,0.1286214,0.5160492,0.04968719,0.070654266,-0.0019007139,0.058036033,0.21789902,0.24424478,0.36211324,0.1285219,-0.002256299,-0.0032425374,-0.0022135568,-0.0013143384,0.18307737,0.08720842,-0.0023603358,0.20014158,0.2875358,0.11748868,-0.00747426,0.10646565,-0.0021672633,0.17487936,0.4746578,-0.002648385,0.15703283,0.09881322,0.024695843,0.20277828,0.00075796247,-0.00076249766,0.078516774,0.0410998,0.4554676,0.11450504,0.00458258,-0.0003965851,-0.0047412068,0.09107509,0.030302878,-0.0041559595,-0.004625143,0.14105403,-0.007623035,0.037170842,-0.009369671,0.23685187,-0.006307368,0.14767991,0.370788,-0.0032815912,0.13892645,-0.0018857442,0.08330037,-0.0047050426,0.26433533,0.15038335,0.18839973,0.06251946
TCGA-CS-5397,0.14431635,0.59624016,0.08909392,1.152536,0.23738725,0.98216116,0.124824144,0.21208821,0.11302268,0.5247836,0.41371524,0.15557605,0.3444813,-0.007579215,-0.013785036,0.12731242,0.3351119,0.07355541,0.52617955,0.23458168,-0.010658977,0.36860913,0.32592422,0.09300836,-0.01468342,0.13195468,-0.0011946139,0.14495493,-0.0071331523,0.46467972,0.1004619,0.13740143,0.41175318,0.09812224,0.120913036,-0.015190742,0.1734088,0.025076441,0.67660344,0.10465817,0.2754507,0.09813145,0.46118012,-0.006707462,0.021718778,-0.024686841,-0.008952001,0.12768354,-0.009496194,0.13125756,-0.01472343,0.54192734,-0.004566902,0.11650006,0.111073285,0.5907535,0.016681673,0.2328748,0.29636678,-0.0019964108,0.83490634,0.23277357,0.16806203,0.39041704
TCGA-CS-6186,0.18255605,0.48860544,0.12749222,0.6648191,0.25409427,0.8647547,0.059766725,0.26141775,0.010905869,0.03693113,0.29654428,0.11489796,0.39589524,0.033849403,0.027520742,0.015637845,0.1776771,0.14259231,0.36972824,0.24093693,-0.0026414876,0.24134953,0.19108434,0.07162161,-0.021227619,0.054524247,-0.0098828105,0.19566475,0.18089008,0.2955497,0.15779845,0.14517212,0.06689674,0.11305663,0.0029198304,-0.001401221,0.07231937,-0.019973045,0.57304156,0.27735913,0.018997055,0.17549188,0.30112854,-0.011846143,0.0243687,-0.012892357,-0.009541372,0.11729543,-0.02183198,0.04375691,-0.0153438775,0.25469634,-0.0053932685,-0.010637498,0.3654555,0.3798108,-0.00043614788,-0.0014172923,0.19978556,-0.01647749,0.50523686,0.30899704,0.26522714,0.12623031
