patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-CS-4938,0.25129628,0.082298264,1.403675,-0.0056147585,0.07017752,-0.05298354,-0.040731512,-0.0047454042,0.048411056,-0.1164727,0.39066288,-0.07767375,0.11112677,-0.047245685,-0.00878783,-0.065392524,-0.06787628,0.8506478,1.1788175,-0.061549354,-0.011991768,-0.014334512,0.13735303,-0.07041951,-0.0021979853,0.2997109,-0.009426546,0.95631135,0.5509395,-0.018951254,0.2697275,-0.106264584,0.66411257,-0.046554897,0.09774326,0.0015433673,1.3082833,-0.000521779,0.053323805,-0.020759707,-0.00052636943,-0.07940536,0.19026513,0.27154097,0.41752863,-0.008131324,-0.009148215,0.89908195,-0.0074265823,0.33220404,-0.012373348,0.25865212,0.02894016,-0.07905988,-0.04508871,0.095367506,0.10368784,-0.028391976,-0.0036134112,0.28974676,-0.017267754,0.094312474,1.1359301,0.15109533
TCGA-CS-4941,0.7220014,0.26817247,3.0088193,0.093868904,-0.002791669,-0.11243977,-0.11226194,-0.029407162,0.06874663,-0.39832485,-1.5117042e-05,-0.34570917,0.5310896,-0.0875626,-0.044907328,-0.13301943,-0.21899505,1.5193014,1.8849573,-0.16207117,-0.007226611,-0.025176639,-0.020868858,-0.17359467,-0.019822082,-0.01105761,-0.02347104,1.6550103,1.2438082,-0.070397966,0.4342343,-0.19433612,1.2884241,-0.06834483,0.32814968,-0.04381944,2.4133623,0.7550729,0.6068289,-0.086226076,-0.01753694,-0.23697667,0.21070977,0.5986001,0.46144068,-0.030746076,-0.01663476,1.4847302,-0.031676915,0.7957886,-0.025777003,0.49985656,-0.0033053507,-0.22956987,-0.06849821,-0.021836836,0.16225949,-0.08680434,-0.009140548,0.75713724,-0.04277253,0.31075534,2.1374447,0.54467005
TCGA-CS-4942,0.3369861,0.01990483,1.7440958,-0.0020387562,-0.002798517,-0.06571935,-0.05223563,-0.01516365,0.06804767,-0.16347128,0.33670613,-0.14325313,0.14189517,-0.06413265,-0.011324442,-0.09032239,-0.10137073,1.015284,1.3801174,-0.07593375,-0.008267405,-0.01218076,0.118825294,-0.08352802,-0.013613987,0.35706076,-0.007955062,1.0972507,0.66642886,-0.029874822,0.35414776,-0.122534476,0.95523113,-0.060869157,0.11333148,0.035320595,1.6357908,0.13105446,0.15504162,-0.036189616,0.0012684013,-0.10676105,0.15468925,0.2828342,0.50681484,-0.006371149,-0.009883727,1.0867534,-0.0070699784,0.45985854,-0.008296098,0.2090882,-0.013324179,-0.102460064,-0.049908426,0.026826277,0.22389895,-0.038226027,-0.007430555,0.37287614,-0.022126436,0.28431123,1.4476469,0.24431816
TCGA-CS-4943,0.80151564,0.10692738,2.1787193,0.55692226,0.16412668,-0.08253655,-0.056347113,-0.056609362,-0.021385526,-0.16327026,0.58587676,-0.21982352,0.31350723,-0.090238445,-0.030514572,-0.13199377,-0.13059275,1.3557248,1.8271832,-0.088147596,-0.0046165865,-0.033892136,0.13061576,-0.09848417,-0.010775947,1.164461,-0.01821857,1.5088823,0.71680814,-0.059530344,0.49162456,-0.15337235,1.6108749,-0.08833908,0.06797399,0.06805957,1.988179,0.091758944,0.9882785,-0.015216892,0.010553002,-0.15994844,0.21773615,0.5064021,0.8279975,0.6248363,-0.012820217,1.5990349,-0.017937517,0.06259693,-0.011350184,0.2249696,-0.017917728,-0.1394864,-0.07676066,-0.0008491978,0.47653723,-0.06293261,0.10259251,0.60946506,-0.017718157,0.89603955,1.7126706,-0.002812888
TCGA-CS-4944,0.1290851,0.07440083,1.0961977,0.003736034,0.24585117,-0.03612516,-0.032079857,0.004228336,0.10096161,-0.105220795,0.39326057,-0.065698504,0.045217276,-0.03664881,-0.00345086,-0.052914944,-0.06231987,0.68759847,0.9435423,-0.051166177,-0.0060248906,-0.0142292,0.030194152,-0.05648321,-0.013883623,0.19359332,-0.01653086,0.7624068,0.3621448,-0.020106474,0.07713972,-0.0714718,0.5624796,-0.040017974,0.055867046,0.022138277,1.0967312,0.04846018,-0.0016494467,-0.01456787,0.057730537,-0.06747406,0.21546574,0.2032817,0.33503968,-0.008130495,-0.0069029494,0.66719306,-0.008388988,0.28253925,-0.00790258,0.15634623,-0.0019858219,-0.06801294,-0.03424693,0.09435719,0.1293437,-0.017663999,0.025864521,0.22732243,-0.008728166,0.0055025425,0.8930588,0.12865742
TCGA-CS-5393,0.21927324,-0.0027259216,1.4891545,-0.0011371587,0.023030432,-0.04630829,-0.04089327,-0.008367198,0.050536916,-0.12830956,0.36178014,-0.103191316,0.1999884,-0.048438232,-0.008595745,-0.06884921,-0.07915642,0.89374,1.1635009,-0.06854181,-0.011602815,-0.006797652,0.13810399,-0.06895774,-0.010567549,0.35341635,-0.009232785,0.96823907,0.5525099,-0.024610257,0.23524694,-0.10503943,0.82212466,-0.058601227,0.07218747,0.011810439,1.3412282,0.034241866,0.13612558,-0.029529897,-0.008042926,-0.07877634,0.07166359,0.25134277,0.33259293,-0.009549064,-0.00962069,0.9543264,-0.007421897,0.36792386,-0.010237879,0.22184683,-0.00441421,-0.08266198,-0.037817508,0.06481008,0.16095549,-0.038642317,0.023546685,0.27742103,-0.026567334,0.20524752,1.1438177,0.20324299
TCGA-CS-5395,0.54762393,0.2819513,2.505739,0.294321,-0.00936592,-0.10585152,-0.10261599,-0.02521638,-0.009248878,-0.27777547,-0.003928385,-0.28533015,0.5167284,-0.069627844,-0.013166203,-0.12525587,-0.17194812,1.3040296,1.8622258,-0.1289098,-0.0018236004,-0.02311472,-0.00022049445,-0.12725106,-0.019799976,0.08457594,-0.016920274,1.470119,0.9909491,-0.05264495,0.48398122,-0.16861123,1.1400197,-0.05922958,0.15242593,-0.02746858,2.021739,0.49125805,0.7471125,-0.07490205,-0.016470302,-0.19842362,0.30707625,0.56247586,0.5339668,0.085428335,-0.027150286,1.2193071,-0.034955803,0.51296866,-0.017251967,0.7005342,-0.008248626,-0.1787319,-0.08758087,-0.00993218,0.034482338,-0.07450159,-0.009770572,0.6021551,-0.05001495,0.304461,1.8844057,0.32251117
TCGA-CS-5396,0.23474479,0.03553115,1.3270684,0.10264816,-0.0041806647,-0.049668726,-0.048627596,-0.010224679,0.15146215,-0.11368535,0.45709214,-0.11312931,0.13409632,-0.042264316,-0.002046999,-0.06942637,-0.08822368,0.81308824,1.216144,-0.061650645,-0.0132711055,-0.0023438823,0.20691925,-0.069013976,-0.019325105,0.24851853,-0.013866104,1.0117,0.56155723,-0.032172598,0.23578408,-0.103029005,0.88264763,-0.0558027,0.056899384,0.24298675,1.4239588,-0.0010683405,0.17513658,-0.02331266,0.21021903,-0.085890904,0.10434975,0.2116118,0.56132585,0.035428826,-0.0073587573,0.8457153,-0.0072367634,0.29916424,-0.0025002952,0.2234789,-0.015556129,-0.08059005,-0.03824377,0.17576163,0.0944051,-0.037399303,-0.016735239,0.29344773,-0.028873224,0.29065478,1.1779525,0.056166492
TCGA-CS-5397,0.71534353,0.08991256,2.7591274,0.322729,0.01091885,-0.10744411,-0.09106693,-0.017253926,0.098012656,-0.33647728,0.020609492,-0.33469453,0.60738295,-0.0958282,-0.024275621,-0.12940922,-0.19517563,1.3952153,1.9187373,-0.15670447,-0.006945482,-0.026448065,-0.010426401,-0.1517285,-0.020205041,-0.0033580386,-0.020617884,1.6398009,1.1535077,-0.05574732,0.4325611,-0.19119027,1.3078426,-0.05902941,0.1462992,-0.024033822,2.2700667,0.54099464,0.49441507,-0.08212315,-0.0061743516,-0.20959024,0.1646695,0.60427463,0.4555131,-0.01660936,-0.019292008,1.380378,-0.03165006,0.80596286,-0.016156174,0.6886252,-0.012793871,-0.19586806,-0.07195749,0.001240205,0.089194626,-0.08155435,-0.0083607435,0.69965476,-0.042919133,0.33054385,2.0154045,0.40028065
TCGA-CS-6186,0.39172536,0.30578846,2.542744,0.07886418,0.17376366,-0.09384558,-0.08316051,-0.017023403,0.02326359,-0.2933226,0.22995497,-0.2641817,0.5144,-0.071619764,-0.032039665,-0.12469003,-0.16335459,1.2961217,1.5412866,-0.13209361,-0.0013217982,-0.013444661,-0.0063991584,-0.13998987,-0.012300956,-0.015141914,-0.04053157,1.4180465,1.1356295,-0.055899687,0.39667946,-0.16027813,1.0796348,-0.04431675,0.24780865,-0.025541395,2.0739841,0.75655496,0.5803563,-0.08042481,-0.013852199,-0.21096285,0.3494869,0.56908697,0.41784757,-0.014059183,-0.015398768,1.2348665,-0.04043616,0.6130607,-0.011210891,0.5855222,-0.0071799383,-0.19071649,-0.06452281,-0.0017426845,-0.010057301,-0.06714909,-0.020952815,0.45177624,-0.030301103,0.13694133,1.8416688,0.4685964
