patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-2Y-A9GS,-0.009110509,-0.0056312443,-0.035468567,-0.035045154,-0.11228901,-0.012763627,-0.0028749953,0.74728024,1.8010607,-0.17235719,0.70366,0.73257315,-0.008139396,-0.202641,-0.36505133,-0.115149215,0.68330973,-0.11916877,-0.20991838,0.7532805,0.3595978,0.18241124,-0.21724594,0.5686609,1.57889,0.7414273,-0.13391204,0.62971526,0.8391997,-0.034529552,0.8693833,0.6407345,0.4129973,-0.016639069,-0.10565408,-0.06348582,1.769748,0.5539377,0.7192531,-0.0014662723,1.0791941,-0.15858524,0.89099336,-0.07864728,-0.06404515,-0.016491493,-0.08735462,2.452213,1.1215198,0.6380063,-0.007237322,0.0868971,0.86761135,-0.14645272,-0.10345786,-0.0034419782,-0.022795504,-0.2591128,-0.0049089203,-0.10657584,0.67790896,0.4108619,1.4723685,0.5201598
TCGA-2Y-A9GT,-0.011972423,-0.017879736,-0.06114142,-0.049200583,-0.18564303,-0.038299054,0.04969929,0.95490205,2.569827,-0.21513604,0.6125167,0.99307644,-0.03584449,-0.2796302,-0.502455,-0.12655048,1.0410279,-0.16327852,-0.25576305,1.0555843,0.115486026,0.25721374,-0.26390824,0.997849,2.2687285,1.1441469,-0.21023153,0.8072082,1.2489661,-0.04298571,1.3124241,0.12846842,0.7023317,-0.027001603,-0.15126632,-0.06853338,2.3795698,0.56259614,0.744673,0.31680197,1.7603341,-0.17978692,1.3570962,-0.17005269,-0.068892375,-0.013347759,-0.123703085,3.1494744,1.2849287,0.40770552,0.21519688,0.21900469,1.0186298,-0.22861123,-0.13265,-0.0055409423,0.05667949,-0.35925955,-0.00017755629,-0.159286,0.61847615,0.45577073,2.0565777,0.59447277
TCGA-2Y-A9GU,0.04662645,-0.0043106363,-0.061793644,-0.032670297,-0.1609264,-0.017574687,0.55957544,1.3731607,3.3670578,-0.2705333,1.2394571,0.40524858,-0.011381588,-0.31835338,-0.5648088,-0.11715616,1.3556684,-0.19737047,-0.25918877,1.0001285,0.13683712,0.6640446,-0.29081267,0.6973826,2.6514218,1.4160858,-0.2024653,1.1938529,1.8639469,-0.025905227,1.3775512,0.26052678,0.72273856,-0.034775306,-0.22868274,-0.16085361,2.459091,0.38696447,0.1865158,0.9939449,2.080666,-0.18676195,1.3241677,-0.18302384,-0.12779973,-0.0053166407,-0.16329801,3.3789973,0.7144289,-0.012048497,-0.0010983052,1.3421712,0.6281781,-0.29763037,-0.17051269,0.4575032,-0.031753786,-0.36943218,1.2378429,-0.15217535,0.726341,0.48782933,2.4563122,0.6280889
TCGA-2Y-A9GV,-0.0013595328,-0.03265519,-0.08376874,-0.059004188,-0.17157795,-0.03850635,0.062052317,1.0050014,2.6864364,-0.18931872,1.081049,0.85222673,-0.02738077,-0.2943041,-0.48330122,-0.11592555,1.207662,-0.120625935,-0.23494653,0.9604188,0.32194757,0.5532056,-0.26775107,0.77588904,2.2733128,1.2634609,-0.19888966,1.0259081,1.2179935,-0.036184855,1.3411844,-0.015434908,0.5433058,-0.012588537,-0.18566866,-0.09418009,2.226442,0.5456242,0.4825195,0.46526575,1.6770988,-0.18406002,1.4186716,-0.17193949,-0.058880825,-0.03417242,-0.15007505,3.303721,0.977005,0.53699416,0.12239111,0.49488524,1.0874071,-0.24003871,-0.14922939,0.19617559,0.027757492,-0.36301625,0.25533342,-0.1535059,0.4679392,0.20597269,2.2907345,0.30340943
TCGA-2Y-A9GW,0.0087271035,-0.028023211,-0.04018252,-0.043479186,-0.12386602,-0.0038074576,0.22911409,0.821996,2.417047,-0.21603043,1.2503102,0.52909786,-0.029756887,-0.2459781,-0.4198396,-0.1359265,1.1569059,-0.1382306,-0.25456947,1.0417745,0.24201308,0.28239304,-0.2544446,0.7552883,2.103645,1.0244666,-0.17453244,1.1947314,1.2557528,-0.034488942,1.081678,0.8798711,0.4139571,-0.0022701826,-0.15622038,-0.12787543,2.1571505,0.14574768,0.54166627,0.23734145,1.6390728,-0.16618979,1.3212286,-0.13159472,-0.043156866,-0.027090598,-0.151677,2.905027,1.1898443,-0.0044100904,-0.0042199204,-0.034251466,0.7762455,-0.20831464,-0.11301775,0.06671374,-0.033896193,-0.30587566,0.15170318,-0.12396152,0.36888275,0.05149495,1.7858847,0.34731042
TCGA-2Y-A9GX,-0.0010255434,-0.01146288,-0.032787677,-0.034989145,-0.12755099,-0.018401343,0.14808579,0.8488747,2.4037724,-0.2053515,1.4978282,0.5920117,-0.021254582,-0.25395498,-0.41831112,-0.093971096,1.127371,-0.13428877,-0.21322007,0.8646977,0.16775467,0.23495053,-0.21796463,0.62569076,2.0320914,1.0558007,-0.1688451,1.0043064,1.1009083,-0.03967689,1.2943479,0.39475986,0.7199407,-0.0071600336,-0.15864967,-0.13254176,2.1028047,0.42441502,0.3532724,0.64826083,1.5372319,-0.1567614,1.4151539,-0.13105635,-0.039045263,-0.027675375,-0.13802905,3.0154963,1.0136272,0.10708675,0.0843772,-0.007835963,0.9618767,-0.18707608,-0.11816286,-0.0020648723,-0.04591276,-0.29007643,0.16706085,-0.13951722,0.41913775,-0.0083087655,1.9431024,0.44045073
TCGA-2Y-A9GY,-0.017065227,-0.0033172618,0.033525646,-0.016680408,-0.05687354,-0.020686025,0.14373869,0.57130235,1.3992391,-0.1510167,1.3159906,-0.009122604,-0.0065189446,-0.13329826,-0.23201378,-0.04361221,0.47954026,-0.106896594,-0.12851171,0.38767755,-0.0031078928,-0.004211231,-0.12292755,0.0004610055,1.1388586,0.25801334,-0.06328588,0.74860775,0.6624158,-0.027489075,0.70582575,0.9024762,0.43195543,-0.020489668,-0.09719768,-0.13061476,1.2165565,0.30535755,-0.00068242586,0.9886979,0.7164149,-0.10973562,0.7977038,-0.0716195,-0.044411384,-0.005806876,-0.07574286,1.4129515,0.6823261,0.39901444,-0.0018582204,0.3848805,0.11457981,-0.050693404,-0.0697986,0.0025961641,-0.013668984,-0.108708456,0.4272699,-0.051463928,0.37774646,-0.0011844166,0.717912,0.537386
TCGA-2Y-A9GZ,0.0022173747,-0.0011287726,-0.074095,-0.025479546,-0.14243437,-0.026362156,-0.02529114,1.0908306,2.2394352,-0.1328309,-0.047259584,0.6821554,-0.014535883,-0.22017772,-0.40072384,-0.09517217,0.84807247,-0.16077046,-0.19861759,0.79640794,0.27402395,0.5138661,-0.19756973,0.25122344,1.5768331,1.1090163,-0.11867946,0.22670302,0.9489773,-0.012327271,0.8451516,0.0829933,0.44099846,-0.023491425,-0.14419968,-0.04294638,1.6201534,0.5199892,0.21891779,0.481355,1.6862245,-0.17991182,0.40822375,-0.14227097,-0.04092414,-0.0037061782,-0.11686726,2.3015563,0.67646956,1.3141282,-0.004024761,1.0147153,0.4979728,-0.20975001,-0.12445223,0.17040819,0.39843023,-0.3017439,0.031176142,-0.074170165,1.2687157,0.33823782,1.6280923,0.68755114
TCGA-2Y-A9H0,-0.010431803,-0.007532698,-0.044296477,-0.026626622,-0.12281362,-0.0046315514,0.023214474,0.8345894,2.036653,-0.13845839,0.76946545,0.4088818,-0.001173124,-0.18344624,-0.37107548,-0.08631622,0.6261359,-0.11858173,-0.17048346,0.67703915,-0.008497159,-0.011750578,-0.19779623,0.11965884,1.3537024,0.5599366,-0.08725098,0.6683529,0.8687632,-0.050894618,0.9444169,0.78095484,0.43962044,-0.0020559789,-0.12486211,-0.13945156,1.5466515,0.9710585,0.243168,0.2290853,1.0524356,-0.14109711,0.8569433,-0.10630254,-0.06101631,-0.0113966465,-0.11465561,2.1463938,0.9473744,1.0666178,0.2724263,0.80820745,0.27154985,-0.12782818,-0.13106266,0.38846737,0.31381914,-0.20422037,0.048405997,-0.064758025,0.7856072,0.25133395,1.1687272,0.5589177
TCGA-2Y-A9H1,-0.0019358367,-0.000493358,-0.049306184,-0.047963146,-0.11184132,-0.024463344,0.28070372,0.6885756,2.5778296,-0.23071067,0.8136446,0.6923485,-0.030761002,-0.2881428,-0.4913961,-0.15405126,1.1988974,-0.14739475,-0.2693909,1.0858371,0.33148533,0.264523,-0.26529333,0.8686904,2.44649,1.0298653,-0.2016783,1.1315286,1.2779468,-0.048085418,1.0758696,0.8715615,0.5866129,0.059170175,-0.15068342,-0.14211954,2.3726225,0.0298925,0.69557494,-0.015528562,1.6506779,-0.16687532,1.2516503,-0.16395107,-0.036913943,-0.023447016,-0.12866983,3.2773032,1.2387987,0.11183775,-0.009596813,-0.0042931302,1.0788686,-0.22727947,-0.14195381,0.16997325,-4.8806145e-05,-0.34063542,0.1877748,-0.13009019,0.7846312,0.34893173,2.0018978,0.5153359
