patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-2Y-A9GS,0.3678304,-0.0027498675,0.32874975,-0.025763676,0.9554631,-0.0024586332,0.3498285,0.58334386,0.1663265,-0.0012008398,0.9661192,0.9053565,0.11031159,0.15082544,-0.00094824564,0.19627121,0.18713619,0.096160285,0.31596658,0.11865367,0.21376793,0.14371485,-0.005584167,0.36007237,-0.039707553,0.20633838,0.074952036,0.44785184,0.12759101,-0.008179292,0.35228306,0.060458425,-0.018035028,0.038962867,-0.00020467416,0.38412747,0.17114589,-0.011324018,0.32755673,0.14334741,-0.037209533,-0.051338166,0.040353276,0.25824797,0.21522185,-0.0073665804,0.71139336,1.0565512,0.29504025,1.1214414,0.57783395,0.08944447,0.19985698,0.5870206,0.809582,0.06822772,0.106735826,0.29668725,1.2658871,0.34413424,0.2417238,0.022979977,1.1069564,0.16042498
TCGA-2Y-A9GT,0.38178065,-0.0075751618,0.067690745,-0.014474707,0.66683483,-0.015500024,0.20533596,0.5923238,0.06436433,-0.032832254,0.77721983,0.6651639,-0.0008073609,-0.0009425178,0.21537791,0.11669228,0.16358405,0.1731413,0.20368344,0.27257967,0.18154345,-0.004639082,-0.009863855,0.18493608,-0.026936783,0.1855747,0.049312856,0.053250913,0.106667295,-0.010259727,0.04109656,0.14038913,-0.017804747,0.011383634,0.29221642,0.19194692,0.002807565,-0.00026761592,0.1881607,0.14995222,-0.02059642,-0.03547736,-0.0012363367,0.2346331,0.19156605,-0.003005167,0.48075593,0.81052625,0.060068972,0.772449,0.49444598,0.16539691,0.04656706,0.5364589,0.6058306,0.08795397,0.005444495,0.124469556,0.8089924,0.015514817,-0.0049384134,0.07399429,0.7954246,0.10772486
TCGA-2Y-A9GU,0.21414644,-0.007158482,-0.002013436,-0.0077411397,0.44259062,-0.008468267,0.12891151,0.25542063,0.080762796,-0.008326932,0.49068117,0.45576096,-0.00623599,0.031482212,0.06722749,0.102588095,0.10905505,0.06886753,0.24060613,0.0071299784,-1.5946478e-05,-0.0058255824,0.013292475,0.21688205,-0.009539196,0.14447396,0.10402134,0.015026391,0.210089,-0.0082286475,0.16775177,0.014515851,-0.0036807784,0.041921724,0.23569489,0.11234328,0.12581989,-0.006586419,0.027915632,0.005339277,-0.0047578425,-0.021126488,0.07052541,0.11421752,0.10443352,-0.0028226536,0.306375,0.5320564,0.05565677,0.39696273,0.39177355,0.09480411,0.031228868,0.33537436,0.30363312,0.026872769,-0.0050873156,-0.0010575958,0.5651468,0.10694924,-0.0022901974,-0.0031416013,0.5184489,0.029630762
TCGA-2Y-A9GV,0.264592,-0.004665313,0.13586257,-0.008580143,0.8270108,-0.017884506,0.42121384,0.5416642,-0.0020597212,-0.008469536,0.8666008,0.75089777,0.008039862,0.115866475,0.044293955,0.07063379,0.07158934,0.16366959,0.2703115,0.22422048,0.08678353,0.2874662,0.038682017,0.15062079,-0.032601263,0.20854862,-0.008427419,0.20703042,0.098900124,-0.018391384,0.14850788,0.17770924,-0.008453265,0.12222478,0.06554112,0.41587663,0.20526573,-0.025829239,0.2469305,0.04434921,-0.027497802,-0.042658415,-0.0059547047,0.2957605,0.3007688,0.034473114,0.5065037,1.0730895,0.09223878,1.1608297,0.57311153,0.022387292,0.143734,0.58745414,0.76139873,0.1180789,-0.014716119,0.1791203,1.0825852,0.06819141,0.18829389,0.20690437,1.1113753,0.19187027
TCGA-2Y-A9GW,0.26672974,-0.006734612,0.09084712,-0.018285377,0.7062017,-0.0018611186,0.23678088,0.3406992,0.098648235,-0.011029057,0.65773296,0.6992638,0.07309731,-0.0026071835,0.013831673,0.09732457,0.09027021,-0.0014523203,-0.0012573329,0.030743342,0.1370331,0.062586375,0.06666869,0.29421395,-0.033802465,0.13694875,0.08750561,0.40245658,0.14018854,-0.0006094467,0.26875523,0.0055069365,-0.006157121,0.04163106,0.098615624,0.29006472,0.06346782,-0.007960171,0.16300166,0.14455791,-0.023323169,-0.013879475,0.010914724,0.19499831,0.013339393,-0.006605474,0.6088592,0.7817758,0.19455513,0.72909206,0.4872014,0.1259852,0.1301117,0.2613243,0.5610356,0.04871148,-0.004840798,0.10815943,0.8323045,0.29540035,0.14124657,-0.000246804,0.74152577,0.0563134
TCGA-2Y-A9GX,0.3282039,-0.007310208,0.111586496,-0.024158351,0.74683446,-0.0047354875,0.23417953,0.3667295,0.003952794,-0.008495585,0.5565974,0.67133194,0.032330446,0.08624766,0.18439688,0.02976581,0.1618807,0.04155484,0.07527273,0.005494565,0.12491423,-0.0024698935,0.07247247,0.15763614,-0.022049595,0.16974711,0.14252871,0.27765527,0.15293325,-0.0014128697,0.14545879,0.029942673,-0.005695673,0.09684789,0.0044856295,0.1498864,0.001854755,-0.010505333,0.17277546,0.16881913,-0.019694457,-0.01923399,0.10117288,0.24512465,0.2112309,-0.006112225,0.5258115,0.67585266,0.19942608,0.60164374,0.4869362,0.13282205,0.13781442,0.30180627,0.4916288,0.07229702,-0.0075294315,0.05497218,0.7691021,0.25530744,0.09528302,-0.011992314,0.8109733,0.0444039
TCGA-2Y-A9GY,0.55741906,-0.004356986,0.64610493,-0.014625763,0.9701459,-0.009736985,0.39379168,0.73183745,0.47628233,0.46635884,1.1670375,1.2893858,-0.00085232,0.5555525,-0.01175541,0.30059108,-0.0005289769,0.4717452,0.8027322,0.31019387,0.4261475,0.44167426,0.77697045,0.3712494,-0.020965403,0.24051341,-0.00993592,-0.0044571576,0.018100556,-0.029414749,0.95975995,0.25411323,-0.05404337,0.07434809,0.030414432,0.77504826,0.2882311,-0.03923739,0.6688307,0.14553344,-0.037064455,-0.075873226,0.06472183,0.1458643,0.5584095,-0.01983501,0.23119186,1.4990221,0.22306791,1.3690279,0.98515224,0.18250272,0.27772555,0.7959592,1.0982946,0.62467486,0.15497631,0.36405796,1.7116569,0.7766203,0.840535,0.27256864,1.2377683,0.32650897
TCGA-2Y-A9GZ,0.1297524,-0.013351428,0.22778028,-0.022745294,0.74528956,-0.002567472,0.1329845,0.37388772,0.13457653,0.030067092,0.8403726,0.6151148,-0.0070219724,-0.0023486856,0.07322779,0.17109725,0.26634884,0.015090218,0.4281953,0.074036255,0.01363888,0.2333467,0.044890273,0.19836777,-0.018178359,0.21156116,0.07767379,0.033440027,0.15645769,-0.020258142,0.02966832,0.10246055,-0.01120619,0.13016322,0.32719302,0.21417499,0.25114524,-0.011596558,0.16269071,0.079529785,-0.0064870315,-0.029978512,0.050751746,0.41782773,0.4142742,-0.011692748,0.27604434,0.7902335,0.02695167,0.62728417,0.5542975,0.14871295,0.08518401,0.57013065,0.5426187,0.06468648,-0.0024155264,0.13505206,0.85423386,0.040576573,-0.010410663,0.21096744,0.72624695,0.2387457
TCGA-2Y-A9H0,0.34772274,-0.010845973,0.25287697,-0.020299358,0.9011997,-0.00648631,0.2728937,0.6320992,0.18334131,0.0700043,0.74548876,0.7447244,0.014335886,0.20024267,0.041017234,0.1211515,0.040250614,0.13876723,0.48081687,0.035222154,0.21350391,0.20654064,-0.00030080936,0.43091738,-0.03199313,0.29422456,-0.0047645387,0.36122102,0.10970628,-0.020466005,0.40068555,0.054232914,-0.02059125,0.043733653,0.26075053,0.4644539,0.21236393,-0.014467778,0.25343013,0.18529777,-0.03312549,-0.06659989,0.11134046,0.17481668,0.28646663,-0.0054238173,0.53786576,1.1284064,0.16270468,0.99843085,0.7202477,-0.0034953963,0.16296197,0.53203493,0.8467345,0.20735882,0.011675814,0.11528126,1.2761164,0.041722886,0.10789881,-0.0040432382,0.90558356,0.3247996
TCGA-2Y-A9H1,0.1864934,-0.004381062,0.053685643,-0.008243023,0.36250776,-0.0076119783,0.06091612,0.21308292,0.09084934,-0.0060586254,0.4075773,0.40225387,-0.0057105017,-0.00061848125,0.07816413,0.00023006834,0.04070086,0.04815051,0.1471066,0.11092357,-0.001496033,0.016286585,-0.0030343428,0.082995206,-0.007436277,0.124169685,0.09049565,0.06962252,0.205957,-0.005880902,0.11068384,-0.0033302016,-0.0030050166,-0.0034960832,0.09813659,0.11295423,0.038825653,-0.0088693965,0.0647724,0.09531736,-0.015790058,-0.019782806,0.04824503,0.1295174,0.122541204,-0.0056792567,0.29165453,0.44155836,0.087298416,0.4559418,0.32816917,0.12610175,0.07534935,0.1641406,0.26653144,0.07346527,-0.0030787408,0.046327114,0.5004009,0.15675421,0.04200603,0.0035321426,0.5325604,0.04812285
