patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-2Y-A9GS,0.60088795,-0.00711431,-0.0787424,-0.014478246,2.0738428,-0.016196469,1.7123357,-0.20232461,0.65349054,-0.007170807,-0.08695599,1.6751266,-0.0085073905,-0.16940391,-0.08483855,0.80981463,-0.012006882,0.19686292,-0.045946963,0.23807152,1.3765678,-0.099304415,-0.087626666,-0.11096368,1.5044698,0.1117283,1.9241409,-0.08663191,1.1730789,-0.0053171464,0.11095862,1.438028,0.12943311,-0.027121251,-0.07689972,0.2614662,0.39145577,0.53200114,-0.062368006,0.5030768,0.37484732,-0.0698182,-0.3496911,-0.040762603,0.65051633,-0.016876673,-0.09411345,-0.06884282,-0.22024527,0.6055521,0.24908353,-0.018415853,-0.030771647,0.5423732,-0.19429177,1.1696209,0.05801593,0.19344456,0.93551123,0.062268578,-0.063294835,-0.00015268319,0.7180875,2.2886822
TCGA-2Y-A9GT,0.14099693,-0.004636501,-0.012403448,-0.0024393417,0.7471465,-0.0031461865,0.46812704,-0.054936748,0.27085915,-0.015506106,-0.023963897,0.53512996,-0.0075190696,-0.045046378,-0.02590674,0.24899626,-0.0038172782,0.008000607,-0.021784458,0.06443766,0.47663108,-0.02714982,-0.027519098,-0.027057698,0.56891483,0.057175636,0.5325653,-0.031031681,0.4239199,-0.0063088634,0.016474318,0.50904703,0.005061186,-0.0017781009,-0.018485874,0.1308944,-0.000486796,0.19434959,-0.030506566,0.110791326,0.0010163039,-0.024788102,-0.09255733,-0.012258952,0.03234375,-0.0026037528,-0.035080366,-0.026643632,-0.06334838,0.21575889,-0.00021529272,-0.0032558904,-0.011623451,0.041363213,-0.06524896,0.50676507,-0.012104876,0.070195995,0.21915773,0.019198798,-0.022125585,-0.0024175276,0.34362024,0.77443326
TCGA-2Y-A9GU,0.19034906,-0.008316117,-0.019720735,-0.010680611,0.91085577,-0.010571643,0.6205838,-0.0692072,0.2682504,-0.007924291,-0.029596267,0.67543995,-0.0021025338,-0.054496404,-0.030104136,0.3056475,0.036345415,0.053485848,-0.025811458,0.024386916,0.564709,-0.038653344,-0.030461866,-0.036743276,0.6776648,0.0037146797,0.6738118,-0.026746113,0.4463379,-0.0065614297,-0.0027984201,0.47864392,-0.0058706016,-0.012579945,-0.022085601,-0.0014992746,0.04809889,0.24009965,-0.031899743,0.15722735,0.03718546,-0.03186303,-0.110195674,-0.0054172445,0.13113023,-0.0014693922,-0.037982017,-0.033228945,-0.07989424,0.27833873,-0.0058238604,-0.004927225,-0.014264166,0.043019958,-0.07115271,0.54534256,-0.0052663856,0.115078345,0.30757597,-0.0048583853,-0.02370373,0.01628163,0.32987255,0.8322977
TCGA-2Y-A9GV,0.24723318,-0.006528987,-0.019426238,-0.0034537376,0.9776622,-0.0045255357,0.59207517,-0.0715603,0.31216604,-0.013033144,-0.036480937,0.7083659,-0.009144566,-0.058431387,-0.03969712,0.32602647,-0.0031319864,-0.0051347837,-0.022401232,0.057149973,0.6627432,-0.044507556,-0.02973631,-0.045012455,0.7796772,0.026330288,0.74230224,-0.0320697,0.4914824,-0.010464036,-0.0008073831,0.6158403,0.014534361,-0.007236676,-0.024059946,0.081864215,0.08771059,0.25381225,-0.029117594,0.2087385,0.022935722,-0.028166754,-0.12414449,-0.020208932,0.059619825,-0.005878036,-0.041996196,-0.027882714,-0.08605566,0.18993595,0.031567935,-0.010265971,-0.015448282,0.047337566,-0.085172795,0.60586333,-0.0107957525,0.07811795,0.28930148,-0.004358315,-0.02887543,0.0031817167,0.3868434,0.94389385
TCGA-2Y-A9GW,0.21143833,-0.0055215876,-0.027883232,-0.013720018,1.0436012,-0.005848949,0.7508304,-0.09033319,0.37986517,0.0042189304,-0.028869718,0.7342083,-0.010260718,-0.081485294,-0.03511317,0.3862794,0.0021228548,0.0014636163,-0.015752755,0.029399967,0.7433062,-0.041851345,-0.032249555,-0.04113693,0.8279514,0.10218814,0.8653445,-0.037896864,0.5143591,-0.004534883,0.12990195,0.67821556,0.1631734,-0.009128158,-0.03861361,0.11728699,0.22914189,0.13441582,-0.02373365,0.17347041,0.13494402,-0.025027076,-0.14281675,-0.018134948,0.19278455,-0.0083686365,-0.03981199,-0.028964942,-0.10837841,0.16669622,-0.004223661,-0.000686455,-0.01690822,0.11165136,-0.09472209,0.57758725,-0.005079537,0.110733524,0.45614436,-0.0034126162,-0.02979981,-0.004867053,0.39989367,1.0287277
TCGA-2Y-A9GX,0.276091,-0.014703001,-0.029545223,-0.008560814,1.1077373,-0.00723221,0.80264586,-0.10767036,0.37440366,-0.0062861554,-0.038647372,0.92036647,-0.009583712,-0.076439805,-0.036882512,0.4531622,-0.004973303,-0.007386451,-0.022131993,0.035059802,0.70259464,-0.058702588,-0.04208681,-0.052611917,0.91599745,0.06086779,0.9058999,-0.040165428,0.58111906,-0.009216141,0.12276939,0.7691162,0.0064049056,-0.008483504,-0.03567195,0.008784831,0.24638048,0.2600299,-0.035006598,0.27036303,0.15642181,-0.04586477,-0.17565708,-0.023689581,0.21123901,-0.0038053335,-0.049839564,-0.037335332,-0.11954687,0.28595877,-0.00033828616,-0.008517257,-0.018839894,0.10426051,-0.114332356,0.77243125,-0.007212131,0.09002991,0.43535733,-0.003918381,-0.027398163,-0.000834079,0.39743897,1.2265689
TCGA-2Y-A9GY,0.7804562,0.0961324,-0.11039084,-0.0028707595,2.574846,-0.028963719,2.2378104,-0.26851106,0.8816827,0.12193113,-0.11082592,2.188768,-0.008593762,-0.21174112,-0.11890339,1.1150703,-0.011033306,0.72558844,-0.06491799,0.29332754,1.729439,-0.12353493,-0.08868912,-0.1325232,2.016286,0.110176325,2.472904,-0.12405797,1.4721088,-0.014592773,0.16431218,1.8576272,0.46324152,-0.040407833,-0.114589386,0.4290818,0.64647645,0.7396204,-0.07157942,0.5589248,0.7415558,-0.09238533,-0.4351357,-0.04159616,0.8356497,-0.036516264,-0.10027541,-0.09953018,-0.28435475,0.35483062,0.33260947,-0.041437995,-0.042059507,0.5080294,-0.23808348,1.6435167,-0.008181754,0.32958147,1.2824472,0.2727319,-0.099634945,-0.008836108,0.89113677,2.8013487
TCGA-2Y-A9GZ,0.19935459,-0.014590956,-0.037295498,0.009100368,1.0585645,-0.011337352,0.7265696,-0.072531596,0.33102444,-0.01948588,-0.037332084,0.8470842,-0.0024211723,-0.072028056,-0.046253484,0.4164003,-0.014204549,-0.0015024837,-0.029364247,0.014312076,0.7331073,-0.035260674,-0.03840134,-0.048350494,0.8427602,-0.006474995,0.91625416,-0.04186734,0.6187487,-0.0053674513,0.0703368,0.6897484,0.01263973,-0.019112375,-0.039027873,0.260198,0.00013932958,0.3608118,-0.035326917,0.20460092,0.026058197,-0.02929064,-0.1339187,-0.021425119,0.1259241,-0.0030475974,-0.055251982,-0.03283828,-0.092469305,0.3038372,0.076796845,-0.011357916,-0.0035379415,0.080083765,-0.096925996,0.7986598,-0.0062630805,0.08996661,0.3688963,0.004357239,-0.033856515,-0.002761915,0.4943502,1.0624477
TCGA-2Y-A9H0,0.4992379,-0.011718117,-0.07058979,-0.0065284013,1.727576,-0.0042603533,1.4169217,-0.19974224,0.6753175,0.04285152,-0.06975751,1.4582707,-0.0075501204,-0.13542214,-0.07608486,0.50047445,-0.0008331882,0.5946103,-0.041591365,0.08866923,1.147896,-0.08703689,-0.06123779,-0.10118165,1.1726694,0.20189016,1.6860971,-0.08955527,0.91069156,-0.016622478,0.2189229,1.2046579,0.17172249,-0.029635776,-0.0834086,0.31852648,0.2993615,0.46837875,-0.04896657,0.22846714,0.7712698,-0.075645946,-0.2985803,-0.01725302,0.48009112,-0.011513873,-0.072749935,-0.06572863,-0.18919955,0.65878767,0.27960417,-0.030248681,-0.03543135,0.35619804,-0.1626346,1.0210513,-0.014720929,0.1913453,0.7490166,0.12466614,-0.04641537,0.17923386,0.5504153,1.7223724
TCGA-2Y-A9H1,0.16804928,-0.003132344,-0.030450255,-0.0075306217,0.84811723,-0.006711505,0.56869155,-0.045137674,0.28416082,-0.0041173645,-0.020052942,0.5659906,-0.005543465,-0.07464429,-0.031430673,0.21206594,0.017819688,0.009895144,-0.01813638,0.04184043,0.7186739,-0.018958583,-0.024687601,-0.032703027,0.64195305,0.029428504,0.65862733,-0.0346528,0.2992546,-0.004653456,0.18377055,0.51735735,0.2960413,-0.015700163,-0.025868887,0.45433903,-0.010839092,0.0796628,-0.017377207,0.17402175,0.078270815,-0.021260837,-0.07652513,-0.005353126,0.22925584,-0.0073236637,-0.031241715,-0.024287544,-0.08032323,-0.006488306,0.01804496,-0.0015122964,-0.015740171,0.12414562,-0.06937846,0.46964487,-0.008379533,0.06844468,0.40527067,-0.0016774003,-0.02278606,-0.0128305545,0.49624565,0.8686489
