patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-2Y-A9GS,-0.05387584,0.34024763,0.7376972,1.9956932,-0.4484775,1.6756822,-0.07787823,-0.636481,0.8536595,1.5229282,0.10673432,0.5422447,-0.024067245,-0.026293242,0.6530237,-0.2931638,1.0051504,0.6137701,-0.47547704,-0.030450312,1.3266418,0.49522525,0.1734939,-0.10986214,0.42740554,-0.06324945,-0.02009399,0.21639109,0.1551135,-0.07434973,0.17936166,0.9118131,0.038030684,-0.024693092,0.8535627,-0.06764596,2.0402508,0.19885907,0.11801465,-0.15806647,0.34246126,-0.14681761,0.3238839,-0.15047665,0.5897117,0.024963738,-0.47098246,1.3366892,-0.066511475,-0.011697393,-0.30061778,1.2807919,-0.16016936,0.05727118,-0.12173791,0.3352962,-0.08077878,1.0274856,-0.061370462,-0.19999902,-0.12466543,-0.0013073998,0.8385553,0.038899936
TCGA-2Y-A9GT,-0.067683846,0.45125788,0.4129387,2.845704,-0.59792286,2.2181206,-0.13199009,-0.9054676,1.2867347,2.3176398,-0.015870683,0.59126186,-0.02416995,-0.020102484,0.45799735,-0.41066113,1.3566694,0.8420844,-0.61879283,-0.051942468,1.953606,0.93696284,0.23528466,-0.14019589,1.0838276,-0.064929724,-0.007594292,0.49525872,0.26995704,-0.100568704,0.76789635,1.4315661,0.12522231,-0.046677284,0.990551,-0.08811673,3.0208073,-0.04465674,0.2661749,-0.20592104,0.6361453,-0.22354956,0.61543584,-0.19608866,1.0501711,-0.02991336,-0.6609643,1.6828961,-0.113784075,-0.026891721,-0.38435128,1.774959,-0.22782616,0.23307033,-0.18855108,0.3117314,-0.13721924,1.3822536,-0.058682006,-0.319045,-0.19354299,0.34791726,0.9823638,0.33993748
TCGA-2Y-A9GU,-0.12526649,0.40551704,0.38203186,3.1019664,-0.6573946,2.1497033,-0.03786971,-0.9634323,1.2132251,1.8173518,0.011673149,0.32254186,-0.0035913454,-0.044719733,-0.01669249,-0.46141168,2.0127997,0.9590504,-0.6336585,-0.03355101,1.857864,1.1879383,0.9653285,-0.17162353,0.7488244,-0.021853425,-0.033541713,-0.001380809,0.90783364,-0.14816253,0.09817147,0.50735724,0.06194989,-0.004823898,1.3683714,-0.15105136,2.9069037,-0.023225835,0.24344352,-0.20051162,0.75163704,-0.23531382,0.30606627,-0.23883037,1.4509388,-0.032650467,-0.7288763,1.7697673,-0.14549336,-0.02534358,-0.39592555,1.8809732,-0.22719334,0.32374707,-0.23284613,0.94246805,-0.16379857,1.3933414,-0.07850099,-0.31847966,-0.24026752,0.031506076,0.02649012,0.37514108
TCGA-2Y-A9GV,-0.10101738,0.45740542,0.32417202,2.8589492,-0.58356035,2.248866,-0.12923187,-0.8593853,1.0574123,2.029614,0.04142816,0.60331774,-0.031277128,-0.028749818,0.6402909,-0.4088914,1.290278,0.67427725,-0.5613629,-0.043161917,1.966761,0.8600072,0.18114802,-0.12857834,0.89607006,-0.06261386,-0.028846486,0.40513283,0.46935803,-0.14537112,0.82620794,1.169606,0.20546931,-0.021345451,0.8090811,-0.099088006,2.734338,0.0018835217,0.0962262,-0.21405077,0.71947706,-0.19189987,0.6104277,-0.20772032,1.1691425,-0.022282755,-0.6435362,1.6406515,-0.100417756,-0.008935973,-0.39158663,1.906285,-0.2012902,0.15993725,-0.18712537,0.4386856,-0.1427389,1.4151719,-0.06071818,-0.2758456,-0.20996486,0.38072005,0.070471495,0.5042781
TCGA-2Y-A9GW,-0.08032825,0.42489123,0.12919375,2.4034486,-0.55433244,1.8020402,-0.11209241,-0.75189203,1.2457958,1.7749742,0.24427639,0.6528774,-0.027282193,-0.01490957,-0.0039691282,-0.40618882,1.4165978,0.8630705,-0.52464354,-0.03086394,1.9117662,0.7019304,-0.002885822,-0.13576043,0.72015905,-0.06784066,-0.013662566,0.20626287,0.4390151,-0.092655115,0.91194135,0.60258734,0.11776413,-0.014099553,0.9546719,-0.11259153,2.4443636,-0.012309809,0.12981762,-0.19587354,0.4724742,-0.17543632,0.53830826,-0.16525777,1.1133726,-0.036741626,-0.55871654,1.6001309,-0.09759495,-0.02231653,-0.3523292,1.699056,-0.18791507,-0.0047481526,-0.15454166,0.45657492,-0.13774757,1.0452545,-0.04543342,-0.2756466,-0.19658904,0.093301624,1.2810984,0.33153284
TCGA-2Y-A9GX,-0.07586769,0.38528407,-0.0068516815,2.6270633,-0.5357694,1.7408992,-0.12624274,-0.75539,1.0966598,1.7667572,0.24415468,0.73456174,-0.03410577,-0.0115324315,-0.004670068,-0.3760472,1.2365414,0.7848551,-0.51427394,-0.044985242,1.7481352,0.7420736,0.028440261,-0.11940686,0.6281902,-0.048658054,-0.023978561,0.44754446,0.7167056,-0.093654834,1.163433,1.0380211,-2.2007387e-06,0.058422297,0.9439788,-0.07193693,2.479837,0.06480138,-0.0056356476,-0.1754536,0.33147916,-0.1643822,0.5524413,-0.18117405,1.0760189,-0.027635226,-0.5868734,1.6662526,-0.076076,-0.014907646,-0.33697832,1.9699774,-0.18657108,-0.0021631762,-0.17408192,0.6364909,-0.13774572,1.1071413,-0.05792421,-0.25990242,-0.18899311,0.07494914,0.66241187,0.32826456
TCGA-2Y-A9GY,-0.060221236,0.24181332,0.19185078,1.4968262,-0.2697477,0.82212603,-0.081583746,-0.40132174,0.5310776,0.6611383,0.39886323,0.7327759,-0.0132335415,-0.016938519,-0.041983347,-0.16875485,0.6609532,0.018609144,-0.29006392,-0.012256074,0.77498174,0.041451834,0.7574892,-0.059064914,0.059090298,-0.030929703,-0.0100934105,-0.008646076,0.82110935,-0.05220566,0.6118956,0.5973449,-0.0039075348,0.1989581,0.9481012,-0.05864461,1.2730079,0.052456442,-0.0034075056,-0.06479454,-0.0054746815,-0.07546457,-0.005991361,-0.11569045,0.40048236,-0.024732383,-0.30502483,0.631461,-0.06566246,-0.020356888,-0.16290177,1.1126558,-0.10171397,-0.00606196,-0.090317845,0.57347625,-0.09950354,0.48058707,-0.041074194,-0.13452977,-0.11458241,-0.013674787,0.34234205,0.0135085005
TCGA-2Y-A9GZ,-0.07450992,0.5345509,1.5999957,2.0024493,-0.3835971,1.5278214,-0.07171466,-0.7616881,0.71160316,1.6886383,-0.034041803,0.7352015,-0.004413849,-0.019180693,1.1421393,-0.25909638,0.7690861,0.47261816,-0.5452536,-0.048003532,1.0860677,0.6331726,0.840143,-0.1386178,0.827316,-0.040540773,-0.020784784,0.22338417,0.0067560375,-0.1400758,-0.029636467,1.2202458,-0.013569522,-0.01283143,0.6604313,-0.109583154,1.8839304,-0.044152822,0.29139942,-0.16356559,0.82598907,-0.1717113,0.4100613,-0.15445909,0.37112343,-0.010051724,-0.4986601,1.1048849,-0.14460522,-0.009134109,-0.28210476,1.3414146,-0.17682916,0.2547938,-0.12479378,-0.013179255,-0.097510934,1.2220074,-0.07079186,-0.18502115,-0.12499096,0.4589863,-0.036387343,0.58596337
TCGA-2Y-A9H0,-0.06724063,0.1327913,1.416636,1.6559225,-0.37662748,1.164484,-0.08502074,-0.62045854,0.78977644,1.1772869,0.09935558,0.32123616,-0.046213336,-0.0138020655,0.40370414,-0.24489556,0.8792893,-0.0080633825,-0.43795618,-0.014902743,1.0577558,0.314363,0.78749484,-0.07971296,0.18364912,-0.036353048,-0.022465946,-0.017699046,-0.0010250558,-0.10126376,0.14572822,0.4733314,-0.0037879755,0.12360345,1.1216215,-0.10137053,1.9954318,-0.032542866,0.110534534,-0.13114223,0.25607842,-0.13064095,0.1388651,-0.14911611,0.6942715,-0.017454436,-0.4234298,1.0834388,-0.07542493,-0.04588158,-0.2507294,1.2905711,-0.17478472,0.016785298,-0.15589456,0.32010317,-0.10954267,0.70518833,-0.049991738,-0.18242052,-0.1530825,-0.00237816,0.14995788,0.270159
TCGA-2Y-A9H1,-0.07388612,0.3844639,0.5134383,2.8225396,-0.6005822,2.0807319,-0.12280404,-0.8265668,1.3541007,1.887189,0.047009885,0.6603,-0.017451266,-0.02170175,-0.0058953944,-0.39211804,1.408877,1.0425301,-0.5854163,-0.039813068,1.9188361,0.6242619,-0.0007386854,-0.15593821,0.91782457,-0.069227636,-0.025932897,0.41710186,0.14859506,-0.10486396,0.5416135,0.5277706,0.03142715,-0.027169798,1.1585512,-0.07664328,2.489162,-0.008280085,0.117618635,-0.22374828,0.3644509,-0.19991335,0.5811115,-0.19602047,1.1158506,-0.031531163,-0.6489231,1.5254709,-0.12912832,-0.018759424,-0.369767,1.8336121,-0.21399522,0.09654927,-0.18052426,0.3664559,-0.14866863,1.2482404,-0.0709853,-0.2983085,-0.2202617,0.16995968,1.6142731,0.32550362
