patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-2Y-A9GS,0.0832783,-0.0025954612,0.041702203,0.21750656,-0.049231943,1.09379,0.25843266,0.09227392,0.51316017,-0.004786383,0.20251071,0.26836687,-0.0077964785,-0.018000884,0.33149546,0.13475078,0.098047756,0.8283121,0.3589983,0.43779704,0.9393681,0.724865,0.064598896,0.32123718,0.07575304,0.2044935,-0.014936971,0.9739392,-0.09688926,0.26159713,-0.0068899407,0.32938653,0.11624622,-0.0074751633,0.21590187,0.80714846,0.053622283,0.43341786,0.31388974,0.5047675,0.6129029,1.4038144,0.10534173,0.2320266,0.24080409,-0.016962698,-0.03547146,0.54296523,0.24599159,-0.0011413287,0.27230152,0.11239961,0.05234187,-0.011356189,0.4097248,0.18363535,0.42984298,0.0970743,0.74543965,0.42818612,1.5963202,0.1619651,-0.0007924937,0.16913515
TCGA-2Y-A9GT,-0.0022493906,-0.007839977,0.119590424,0.08437369,-0.030714989,0.7378492,0.09518243,0.13438736,0.45266616,0.2403,0.31065866,-0.0076011866,-0.010569354,-0.014939434,0.09433745,0.17644437,0.18526623,0.34646392,0.052844416,0.4592664,0.6781743,0.65842515,0.106335066,0.18930054,0.06526694,0.07319178,-0.006766492,0.7224872,-0.07130676,0.4046603,-0.0052828137,-0.007901272,0.102993846,-0.0062512644,0.14117399,0.697926,-0.009207979,0.435215,0.30562586,-0.00047941582,0.5289489,0.90001565,0.12360042,0.061892286,0.22018497,-0.015440111,-0.034077015,0.27282286,0.093517564,-0.010834261,0.23232234,0.03935508,0.07694075,-0.00047208482,-0.0007963635,0.039121546,0.21838655,0.071187645,0.6079774,0.31981325,0.93053365,0.40680298,0.08565081,0.118934266
TCGA-2Y-A9GU,0.01568004,-0.0145195825,0.017325077,0.0754913,-0.017838547,0.52438897,0.018112216,0.122889504,0.103569455,0.104400784,0.2724092,-0.002811479,-0.0019624715,-0.006864052,0.0499527,0.082484365,0.1496051,0.15109165,0.031576466,0.2095483,0.3815693,0.37451133,-0.00047731327,0.021753084,0.1011171,0.056676604,-0.0042466954,0.37841877,-0.04044334,0.060773633,0.030578543,0.017351251,0.100660324,-0.004064731,0.14167666,0.32813573,-0.00038067586,0.18792903,0.11308035,0.09832115,0.29949105,0.5297774,-0.0057241283,-0.002107986,0.043058325,-0.005204723,-0.008546359,0.21777757,0.13633528,-0.008646841,0.036562063,0.12856731,0.10125787,-0.0014699682,0.08774698,-0.0055664047,0.15189444,-0.000751654,0.40835956,0.2775151,0.65670735,0.3051668,0.020433154,0.0060461396
TCGA-2Y-A9GV,0.09197178,0.030499168,-0.014559633,0.22195846,-0.040512655,0.99938005,-0.0048973574,0.20492235,0.58991826,0.06551702,0.12676173,0.16358419,-0.00212085,-0.03406434,0.24331154,0.19220614,0.19485882,0.5201889,0.2030155,0.5297599,0.8539275,0.7380434,-0.0028236732,0.2247408,0.03248118,-0.002517609,-0.005042899,0.87897366,-0.08401695,0.4102751,-0.009973301,0.101210415,0.3270282,-0.0015279159,0.2866976,0.8347419,0.119096115,0.33955693,0.294233,0.25884372,0.5892591,1.2297161,0.13447918,0.2383492,0.124332905,-0.018910347,-0.032851752,0.5256304,0.21386144,-0.004964456,0.33515006,0.16502814,0.09585498,-0.0024477963,0.15154701,0.020239457,0.51042086,-0.009036189,0.73252714,0.2848844,1.2246691,0.3607256,-0.011140186,0.13360286
TCGA-2Y-A9GW,-0.00055914273,-0.010905501,-0.00047592967,0.02505906,-0.024493087,0.7544763,-0.0008694332,0.100863785,0.27943143,0.15869045,0.16206951,0.16519617,-0.012318807,-0.017009303,0.30509502,0.069622755,0.07978255,0.6142076,0.3431352,0.40733045,0.71487147,0.40082684,0.051540986,0.13060358,0.12751633,0.21664883,-0.008025746,0.6756177,-0.06595,0.09331951,-0.0061269426,0.30673146,0.048936907,-0.0010589669,0.07076639,0.5146805,0.039323963,0.3423382,0.2929284,0.14845121,0.58884454,0.9790069,0.08955467,0.19633853,0.08595805,-0.0109567875,-0.018513681,0.38082367,0.053709477,-0.010042581,0.14122689,-0.0034825352,0.024644356,-0.007330531,0.18198958,-0.00086759403,0.3437076,-0.003999667,0.5763284,0.21986893,0.9786997,0.26381555,0.0028989948,0.109056115
TCGA-2Y-A9GX,-0.004959309,-0.013876234,-0.0007408073,0.089257814,-0.028763935,0.6392752,0.07606302,0.09524859,0.21288566,0.060623884,0.1808365,0.06328838,-0.006686413,-0.0076670046,0.25068074,0.118144915,0.16628397,0.5379184,0.14252524,0.42285928,0.65248215,0.43932775,0.07685318,0.049549654,-0.003518341,0.20732538,-0.009193592,0.60427916,-0.05632618,0.1490908,-0.0007697334,0.30131757,0.08953881,-0.0061574844,0.00944078,0.54888177,0.08546102,0.20027156,0.32867303,0.012945324,0.46218872,0.8650703,0.0636415,0.13543102,0.04562029,-0.0026402797,-0.020131957,0.30255544,-0.00064154866,-0.004333544,0.09629794,-0.008325203,0.01937421,0.028184894,0.048779793,0.04612685,0.20582466,0.1544495,0.52987385,0.2681172,0.8610358,0.32931498,0.009806775,0.121922955
TCGA-2Y-A9GY,0.60797447,0.04087902,0.11580961,-0.0077847973,-0.07075568,1.4648825,0.54528093,0.2733014,0.3688032,-0.009340082,0.25065455,-0.005967042,0.37283313,-0.04422739,0.09747183,0.14428258,0.2824201,0.8983413,0.13045278,-0.0038852915,1.616982,1.020194,0.14401615,0.047982223,0.27059397,0.01553363,-0.018416887,0.98224556,-0.15404133,0.41698372,-0.026848478,0.62313306,0.5686343,-0.0047182203,0.15839112,0.9742169,0.17361817,0.079244696,0.6201846,1.1223516,0.7131555,1.7783806,0.34404132,0.37309733,0.23235159,-0.031137863,-0.062450845,0.6608189,0.2707929,0.05767861,0.18664336,0.8288977,0.07431267,0.049596447,1.1397593,0.053228416,0.6008486,0.075346805,1.0258998,0.49095094,2.0777752,0.19225529,-0.022312416,0.14024356
TCGA-2Y-A9GZ,0.14472702,-0.0079806,-0.0009973847,0.1233549,-0.022302395,0.8968403,0.3060194,0.1338213,0.2758022,0.004900666,0.17914946,0.0066486746,-0.0153197665,-0.000578402,0.004990965,0.22580734,0.1586308,0.21853955,-0.0018825096,0.46561682,0.61430025,0.74975467,0.0121961795,0.31630594,-0.0023621463,-0.0071972325,-0.012941949,0.5731389,-0.04880051,0.23122048,-0.009811479,0.039354842,0.09669906,-0.0022804996,0.19942477,0.5327984,0.037986293,0.33080316,-0.0022396517,0.24685636,0.39560264,0.83087474,0.056344453,0.07237204,0.100129455,-0.016353808,-0.025815347,0.26114917,0.32453212,-8.9271365e-05,0.09348405,0.13865165,-0.008325976,-0.013241157,0.14814067,0.09777153,0.23371156,0.1130672,0.6549189,0.25216722,1.0207582,0.29091945,-0.00038422944,0.020509426
TCGA-2Y-A9H0,0.15293315,-0.0093346955,0.025450755,0.3283011,-0.031198913,1.056829,0.4112393,0.06840423,0.515743,-0.0015770606,0.34382236,0.10690524,0.19457756,-0.0073425733,0.09249355,0.16747501,0.14781927,0.7983902,0.27769524,0.39909378,0.8996775,0.671243,0.071295954,0.20561323,0.30057326,0.19963336,-0.009631062,0.7920837,-0.08623036,0.34941715,-0.018084232,0.12520029,0.15636925,0.039289642,-0.00046966597,0.6263543,-0.004136503,0.316414,0.022184316,0.5165158,0.68055165,1.0868284,0.120446384,0.10577214,0.24210824,-0.020179091,-0.025751475,0.664204,0.23652351,-0.0047039036,0.09012062,0.088060565,0.046464052,-0.004334326,0.40177488,0.18097997,0.4192127,-0.005187182,1.0285586,0.10545447,1.3578459,0.29769075,0.14673129,0.12782215
TCGA-2Y-A9H1,0.041673947,-0.0077226344,0.021681644,0.046349667,-0.016126081,0.48199716,0.010830313,0.083249584,0.20646991,0.047476083,0.13800183,0.038420744,-0.0022728741,-0.0011520982,0.009221621,0.10234253,0.08362234,0.31179366,0.04533336,0.26804763,0.36063617,0.37353313,-0.0008342162,0.10809171,0.037201323,0.13428639,-0.0015412236,0.40464342,-0.029199475,-0.0006417785,-0.008337576,-0.00050955603,0.056671675,-0.0010988812,0.038302224,0.35876343,0.005052477,0.16998321,0.11682476,0.010337494,0.28424573,0.52299356,0.047647063,0.06888908,0.0754192,-0.0058419458,-0.0099011585,0.16490427,0.1273737,-0.0100198975,-0.00042705314,0.10064669,0.03744949,-0.000808993,0.055533715,0.0633284,0.17002486,0.049262464,0.33590916,0.14302005,0.5310397,0.21440244,-0.0024764382,0.06837912
