patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-2Y-A9GS,-0.14047585,-0.017825201,1.3999782,-0.1774826,-0.40958962,0.34665498,1.1427349,0.38844016,-0.12452688,-0.2690998,0.009906854,0.16416222,0.037924316,-0.014445404,0.17998603,0.279724,-0.054423016,1.1861652,-0.2484833,-0.07060952,1.6314887,0.033015713,0.048259914,-0.06581881,-0.11379111,0.9025107,-0.014365216,-0.15346308,2.45462,-0.11972761,0.15488306,0.7201964,0.6367509,0.036514297,0.03106417,-0.0303877,1.054959,-0.0017415024,0.16804314,-0.08163914,2.207272,1.4569079,-0.04026499,0.14416656,-0.07155274,-0.0122297155,0.14954987,-0.21334706,-0.075098746,-0.009237778,0.40640908,-0.09360385,-0.10685966,0.010486166,-0.09752446,0.46915203,-0.20433655,-0.05669854,0.42130223,0.2582965,-0.056160875,0.35211992,1.3920546,0.24245127
TCGA-2Y-A9GT,-0.053879064,-0.00039263396,0.46772838,-0.04847215,-0.13761912,0.2561283,0.3465024,0.1506609,-0.031029705,-0.07187089,-0.0015253891,0.11021071,-0.006098064,-0.0028370142,0.055610478,0.009433847,-0.031704266,0.43714708,-0.08221505,-0.015901163,0.59389323,0.01742512,0.025288373,-0.022023074,-0.037836637,0.44696757,-0.0076566,-0.04939136,0.7939722,-0.038267758,0.09164154,0.046479553,0.15232374,-0.008646677,-0.0075376104,-0.0055014538,0.28086746,0.021843255,0.25435135,-0.025349665,0.7056258,0.59523237,-0.013945739,0.06621258,-0.019473482,-0.0058512394,-0.00043778142,-0.072942115,-0.025406701,0.0132722035,0.1028497,-0.021013336,-0.027306044,0.049820475,-0.025049914,-0.00057791325,-0.06174762,-0.014468836,0.36877325,0.09044397,-0.018105172,0.124035776,0.59153235,0.05198121
TCGA-2Y-A9GU,-0.05338913,-0.0044699106,0.55227137,-0.060038723,-0.16195408,0.18190373,0.3972621,0.09643371,-0.0369622,-0.09936403,0.032636307,0.06601023,-0.0035307587,-0.00016765948,0.013103407,0.09789353,-0.02633361,0.49619055,-0.07974127,-0.016779542,0.6619226,0.10431724,0.020234112,-0.023157628,-0.039254222,0.37352112,-0.003849402,-0.0529763,0.96258426,-0.046650667,0.027361698,0.13525127,0.23967701,-0.0017436364,0.04111483,-0.005458487,0.48522407,0.07437685,0.27624306,-0.025864601,0.85239923,0.6378435,-0.017420052,0.099296175,-0.031118093,-0.008384007,-0.002838059,-0.09865659,-0.038418658,-0.0026311183,0.19889462,-0.028485907,-0.037297267,0.12440006,-0.03261014,0.009364061,-0.07791954,-0.020516677,0.27225193,0.056761988,-0.019677937,0.04316139,0.6491564,-0.0070815026
TCGA-2Y-A9GV,-0.064797506,-0.0058197486,0.6162465,-0.060713988,-0.1689127,0.2602276,0.42113495,0.18799146,-0.048321716,-0.094536275,0.02127736,0.10648232,-0.008084243,-0.007982798,0.15126519,0.07453079,-0.034634676,0.4788742,-0.11000075,-0.02822422,0.8212837,-0.0010258593,0.013042558,-0.025531238,-0.045754813,0.5100035,-0.009156383,-0.053797282,1.0541734,-0.053118657,0.054067783,0.14285016,0.26420856,-0.0039932416,-0.0008928265,-0.011213851,0.36190143,0.06005098,0.259544,-0.029660797,0.96813774,0.78430337,-0.012448432,0.07559417,-0.029110847,-0.007583727,0.0061911885,-0.093843125,-0.03311156,-0.0052716457,0.18300502,-0.0294821,-0.045415577,0.019975152,-0.038598966,-0.0012327958,-0.08051824,-0.02091781,0.36805436,0.11622496,-0.022181896,0.037184976,0.726193,0.053415217
TCGA-2Y-A9GW,-0.06741702,-0.010981006,0.60938156,-0.06559726,-0.19169052,0.049009793,0.4976425,0.25864187,-0.04691611,-0.11456503,0.06322174,-0.0040591583,-0.0027928834,-0.010897792,0.25110143,0.09551506,-0.029018154,0.53479004,-0.115107216,-0.024040958,0.7860054,-0.0019742027,-0.0043893214,-0.021898698,-0.05455978,0.43127236,-0.009643397,-0.061271526,1.1788541,-0.05940283,0.01126606,0.24103066,0.28488666,-0.00037263279,-0.012952312,-0.014539604,0.39049253,-0.0037202693,0.06874545,-0.039852377,1.0554688,0.79371566,-0.021491144,0.05895247,-0.03290209,-0.0064568343,0.07420369,-0.09419113,-0.034176297,-0.008740943,0.16949004,-0.03858076,-0.04321075,0.052948978,-0.040807504,0.100628585,-0.09189441,-0.019642102,0.32395002,0.05205083,-0.027331932,0.16372347,0.6394281,0.070323154
TCGA-2Y-A9GX,-0.079967976,-0.008943652,0.7937075,-0.07436111,-0.21718375,0.14709592,0.56807333,0.24613631,-0.05723824,-0.12698989,0.080814436,0.0061131306,-0.0017411144,-0.014789126,0.08527969,0.107500315,-0.036318243,0.63313997,-0.13360359,-0.030980537,0.91273904,0.02340645,-0.0010843411,-0.02947375,-0.058910497,0.58168006,-0.007408322,-0.07209189,1.2871511,-0.060674913,0.030068547,0.26334864,0.35968438,-0.0022396366,-0.0052006035,-0.019786542,0.57899284,-0.0022674748,0.14370285,-0.04321538,1.2338415,0.9413767,-0.014210467,0.06212378,-0.038386397,-0.0070285234,0.053772874,-0.10801201,-0.041418057,-0.0063003064,0.21838814,-0.04136291,-0.05678649,0.018334761,-0.047685366,-0.008872491,-0.10202437,-0.025746925,0.3742611,0.13882057,-0.027237564,0.1669047,0.76160234,0.13416143
TCGA-2Y-A9GY,-0.17323284,-0.030267334,1.9133961,-0.22435287,-0.5192851,0.40545368,1.4127406,0.51482135,-0.1674765,-0.34841868,0.115773275,0.1495581,-0.010983892,-0.02007962,0.7143272,0.35480374,-0.0733239,1.2964138,-0.3291901,-0.10577842,2.0870855,0.073156364,0.21389943,-0.07133625,-0.14813714,1.0552076,-0.0008658734,-0.21507195,3.1969395,-0.15679972,0.15108445,1.1172884,0.5384951,-0.015037562,0.2718685,-0.0075381845,1.3031132,-0.011849473,-0.008834266,-0.108681396,2.739035,1.7959329,-0.048441205,0.3306478,-0.09246543,-0.015265795,0.28406662,-0.2656134,-0.08985629,-0.027055064,0.7751384,-0.11862006,-0.13358319,-0.018814286,-0.12738825,0.8459345,-0.24146962,-0.07957173,0.46252087,0.38541055,-0.081864916,0.26986778,1.5747113,0.46933538
TCGA-2Y-A9GZ,-0.06745408,-0.0056705503,0.6626777,-0.07282397,-0.19234563,0.39633334,0.52653396,0.20956907,-0.05293864,-0.11680936,0.056500904,0.12730303,-0.005497867,-0.008009851,0.17481379,0.05025723,-0.03354792,0.62996316,-0.12302784,-0.026375143,0.8866984,0.03139352,0.056770235,-0.033848036,-0.058297455,0.5732082,-0.0110228015,-0.078078575,1.1425685,-0.05704853,0.12458106,0.1549407,0.30929524,-0.009630396,0.068982825,-0.008847131,0.541564,0.04589022,0.2389723,-0.037829723,1.1351773,0.8112337,-0.019488487,0.026557963,-0.024294281,-0.0054272455,-0.013145058,-0.11530049,-0.043666925,-0.011515425,0.31437647,-0.0333345,-0.056221586,0.08738324,-0.045725968,0.025090598,-0.08021401,-0.019692568,0.44893396,0.11093852,-0.034293916,0.07086591,0.77320766,0.041272137
TCGA-2Y-A9H0,-0.109318964,-0.01426909,1.2449926,-0.14490864,-0.34724435,0.14432654,0.9921365,-0.013814293,-0.12542078,-0.23657286,0.060858496,0.36716378,-0.016269596,-0.015821481,0.11671656,0.36295915,-0.04438184,0.7789149,-0.20955805,-0.05623129,1.1837854,0.1826624,0.17323536,-0.040313035,-0.09932969,0.6602832,-0.005008499,-0.14777373,2.086462,-0.09625125,-0.0001382405,0.63520586,0.44921476,-0.0034081773,0.084178984,-0.02287333,0.75591004,0.044085436,-0.004111617,-0.06304022,1.8257312,1.0360491,-0.03913006,0.1827186,-0.06620617,-0.0008777243,0.099720374,-0.17299792,-0.07848602,-0.0044873576,0.5288241,-0.07415396,-0.072254464,-0.004566744,-0.078706846,0.54908675,-0.16252494,-0.06339705,0.27537093,0.1674074,-0.04619265,0.2676565,1.2259616,-0.009994095
TCGA-2Y-A9H1,-0.04375149,-0.0034446754,0.44368547,-0.05440246,-0.15381311,0.18457052,0.37514514,0.30423692,-0.0349527,-0.08351354,0.0473814,0.037148528,-6.793882e-05,-0.0010595436,0.7200797,-0.002375,-0.0325066,0.43072096,-0.094830655,-0.015073955,0.62792003,-0.0017673481,-0.01197721,-0.028936772,-0.042982344,0.41126698,-0.0034709347,-0.054660525,0.9557136,-0.042364255,0.04681307,0.22931123,0.1271235,-0.002341503,0.116099134,0.05900844,0.24305321,-0.0060029025,0.12284841,-0.035249602,0.7624345,0.5638524,-0.012681812,0.11913468,-0.011825237,-0.014211922,-0.0067927265,-0.07410335,-0.028851733,-0.007878259,0.124912195,-0.033684313,-0.038092542,-0.0039682616,-0.037961017,0.21223049,-0.053912938,-0.016481549,0.23495914,0.17251924,-0.014660904,-0.0022698927,0.5279025,0.120707594
