patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-05-4384,-0.07130813,-0.42701688,0.32144982,1.1073154,1.2424276,-0.024560276,-0.012313129,2.0475101,0.8733716,-0.14031449,-0.1497951,-0.07164029,1.801149,0.3778826,-0.27516872,0.10700026,0.44964004,1.6368927,0.6866843,-0.048645247,-0.004349944,0.5314792,0.49218,-0.26741612,0.8698263,-0.0078421775,0.42558515,-0.011204914,-0.06293487,-0.10345037,-0.18999235,0.96461755,0.2868269,0.18238941,0.39480537,-0.17478524,0.55920255,1.6658348,0.42548248,0.68938017,-0.13014255,-0.05520403,-0.26914436,0.10771361,-0.21473329,0.44673526,-0.021905264,1.1709453,-0.101123154,0.2492045,0.027833955,-0.11917112,0.30936468,-0.00517265,0.4808394,-0.16644385,0.60822946,0.027960092,-0.2666817,0.62170404,0.0052714758,-0.0028617373,-0.18237959,-0.019803671
TCGA-05-4390,-0.1431676,-0.6972891,0.20394978,1.8987525,-0.0045136316,-0.024481399,-0.038458165,3.1529498,0.9820934,-0.23198235,-0.21415369,-0.14775138,2.6988945,0.24650465,-0.33925375,0.5581006,0.71796423,1.6546401,0.46082327,-0.061571714,-0.016846905,1.5274482,0.74772394,-0.4966229,0.95585847,0.6177818,0.6333618,0.30531818,-0.1790059,-0.38157114,-0.25083968,1.0340732,0.3934477,0.50091934,0.8656409,-0.22586565,0.2977825,-0.026662668,1.7522641,1.2051996,-0.21184526,-0.15126972,-0.4216373,0.39806294,-0.40518942,0.43822184,0.014684855,2.1898432,-0.23180945,0.0055081584,1.3927275,-0.27302927,-0.07217353,0.06860031,0.39519197,-0.2140154,0.14215462,0.8291916,-0.48310253,1.7990823,-0.11192983,0.21634999,-0.21975277,-0.025986249
TCGA-05-4396,-0.16669817,-0.5917,-0.00064820115,1.6557419,0.4267994,-0.002224647,0.059305143,2.1273131,0.97630244,-0.2438771,-0.19412692,-0.0110899275,2.2677755,-0.02136962,-0.40568826,0.14202645,0.43812782,1.9990479,1.4648618,-0.037921645,-0.07011547,1.1116794,1.2768396,-0.36777386,0.7707938,0.2076904,0.53452694,0.47706452,-0.09772516,-0.24520734,-0.25993705,1.7712091,-0.027502818,-0.029010033,-0.032052483,-0.21656184,0.59835845,0.19042462,1.364157,1.0234892,-0.23990813,-0.017354233,-0.33112344,0.22067548,-0.32607007,0.5558068,-0.023421714,1.375491,-0.15139513,-0.012567371,0.06252222,-0.23025692,0.015385024,0.23166755,0.2636811,-0.2588896,0.2164392,-0.00477182,-0.3328419,-0.0023428323,0.007468356,-0.022470921,-0.26332822,-0.046437755
TCGA-05-4405,-0.12384299,-0.8418135,0.78860116,2.5888588,1.0139929,-0.030128403,-0.017643722,3.4803693,1.4145772,-0.3268982,-0.25800845,-0.17674588,3.2612035,0.67822814,-0.45941645,0.43830162,0.9985583,2.3802512,0.71866345,-0.09523165,-0.024547003,1.6288086,0.9566796,-0.7009194,1.7334689,0.40489277,0.84725666,0.07912791,-0.17137574,-0.37279958,-0.3520818,0.21997792,0.1517567,0.55117303,1.065978,-0.29025027,0.5078425,0.32126567,2.2151046,1.2095649,-0.290323,-0.15986389,-0.5737241,0.17199408,-0.46984157,0.39925694,-0.002236542,2.3089876,-0.2628619,0.17889173,0.7789388,-0.26752272,-0.044144418,-0.022300927,0.20402303,-0.31951258,0.18087016,0.5441688,-0.575406,1.3479755,-0.07851094,-0.023850158,-0.31264687,-0.02228096
TCGA-05-4415,-0.11717285,-0.47539654,0.08402748,1.3667116,1.3095392,-0.050561298,-0.012761033,2.5437193,1.3415239,-0.19972174,-0.16966033,-0.100400604,2.41445,0.16962518,-0.30397043,0.4558982,-0.0014802009,2.2410471,0.84662455,-0.027772233,-0.0361585,0.42944705,0.34759766,-0.22283958,0.5281148,0.030938532,0.76163024,0.012204936,-0.11664029,-0.14526,-0.21325874,1.7725663,-0.0138539225,-0.007607897,0.75063324,-0.172273,0.20821904,2.1188762,0.18953663,1.2921975,-0.14287437,-0.03524533,-0.2947038,-0.0053034117,-0.23407297,0.5744106,-0.024655124,1.4969343,-0.14106539,0.0057203732,0.5177978,-0.15247615,0.37389103,0.12410086,0.49834117,-0.1726509,0.41722086,-0.016562542,-0.3379311,0.522165,-0.0074606254,-0.0028584634,-0.1648007,-0.01959321
TCGA-05-4417,-0.13772288,-0.6961452,0.60858834,2.352328,0.61343056,-0.042478453,-0.008250939,3.1756225,1.2942848,-0.26554915,-0.21683125,-0.16570711,2.808503,0.3582083,-0.37042078,0.4996747,0.81114525,2.2912567,0.5055161,-0.07085282,0.024050707,1.1372268,0.5578353,-0.52481574,1.2423316,0.50757915,0.7572285,0.17767254,-0.15703528,-0.34682912,-0.27367052,0.57953936,0.14216125,0.60807514,1.2527672,-0.25523746,0.39087316,0.7080414,1.3670805,1.5061312,-0.22017293,-0.16106515,-0.47771665,0.0436909,-0.3757213,0.5585867,-0.022291986,2.2235773,-0.23996274,0.028990794,0.9225061,-0.24893156,-0.039537888,-0.018853346,0.51035607,-0.25377446,0.27345467,0.6511078,-0.4675601,1.6152911,-0.06690695,-0.021383796,-0.2230938,-0.027112368
TCGA-05-4424,-0.046678916,-0.41357812,0.013828211,1.1146027,1.2216045,-0.036151435,-0.016513972,2.0736852,1.1253276,-0.13570984,-0.14992945,-0.107707836,1.9590504,0.11530613,-0.24598634,0.37254506,0.38592893,1.6618226,0.7272454,-0.021573214,-0.024574596,0.52443016,0.24671549,-0.21960874,0.740024,0.07414928,0.51875514,0.027316501,-0.082410686,-0.09786792,-0.12499819,1.4490646,-0.0005977959,0.1710229,0.821087,-0.13095672,0.37153822,2.1593966,0.34590104,1.0345168,-0.106539845,-0.061794396,-0.25860453,-0.0007986542,-0.18207462,0.44762656,-0.010736365,1.0643529,-0.102277435,0.32526162,0.21817493,-0.11407401,0.21326676,0.023542546,0.5763991,-0.12741622,0.5605453,0.15600269,-0.2932701,0.96632904,0.14431341,-0.00846228,-0.115485765,-0.033574257
TCGA-05-4425,-0.1396424,-0.775586,0.6942432,2.2442741,1.1633438,-0.01779802,-0.026634766,3.194908,1.5512326,-0.3060886,-0.27336133,-0.19489005,3.0475743,0.66519165,-0.44617638,0.28426546,1.152225,2.3979704,0.9412724,-0.09514083,-0.040637083,1.3850212,0.9290189,-0.68134016,1.4955183,0.062229928,0.7389891,0.020485869,-0.13534565,-0.34945378,-0.35648942,0.010589294,0.04955277,0.4073779,1.0435184,-0.294084,0.29016283,0.5453411,1.6241902,0.9946368,-0.27401152,-0.12466431,-0.5447721,0.28194156,-0.43455896,0.30742475,-0.0076272613,2.3540542,-0.25166544,0.40866008,0.6248068,-0.26689234,-0.056341585,-0.020460472,0.42636725,-0.31003976,0.4294978,0.53199476,-0.49488258,1.241889,-0.0466638,-0.024919061,-0.30027828,-0.02322728
TCGA-05-4427,-0.12590797,-0.63001406,0.43226737,2.051195,-0.035701565,-0.01559853,-0.030760584,2.2855904,0.69237727,-0.24163209,-0.23084211,-0.060341515,2.5399168,-0.0064111687,-0.37580192,0.2371173,0.22469173,1.8117044,0.7174253,-0.05633791,-0.06387418,1.1803973,0.7668679,-0.47802106,0.78853,0.29039624,0.6185452,0.15536089,-0.14357759,-0.35806018,-0.26654372,1.4642982,0.008782163,0.1256935,0.37461156,-0.21914826,0.22561933,-0.079261295,2.143012,1.0782092,-0.24479313,-0.095084034,-0.40205452,-0.0064932453,-0.38888294,0.7542658,-0.012101276,1.6146088,-0.18039568,-0.028610522,-0.0003204299,-0.24047604,-0.055547435,-0.0205396,0.10275518,-0.28689876,-0.03950599,0.5327235,-0.42186427,0.9531358,-0.043643486,0.16580284,-0.29062745,-0.005167803
TCGA-05-4433,-0.102709115,-0.55496645,0.2327531,1.3464595,1.6012461,-0.03786277,-0.0144170765,2.6750603,1.5970278,-0.19755681,-0.18730566,-0.12107649,2.314247,0.42022893,-0.35166028,0.34271744,0.80119133,2.2404015,1.3773534,-0.072099164,0.0704452,0.8487881,0.5294378,-0.4064273,1.1261504,0.16889608,0.24403232,-0.03395855,-0.11931461,-0.15361863,-0.24855231,0.5897419,0.21584877,0.17761649,0.4700809,-0.22892725,0.111060776,1.8474126,0.69325167,0.98862207,-0.18497518,-0.017415475,-0.37082878,0.24927112,-0.2824425,0.18781361,-0.029004563,1.4239478,-0.15684699,0.5210674,0.6299701,-0.17410687,0.012445793,-0.0038358027,0.4233196,-0.23104654,0.56362456,0.040339112,-0.36974928,0.62066406,-0.03367474,-0.037711445,-0.1893753,-0.03322246
