patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-05-4384,0.0046373233,0.127286,0.3806743,-0.0021740021,-0.014400566,-0.008527558,0.0068490375,0.032274324,0.5003611,0.017948762,0.073162645,0.10351612,-0.0066243107,0.0024644334,0.003630641,-0.0014527634,0.13045345,0.60235095,-0.000318452,0.23856144,0.019680507,-0.005908008,-0.0031566669,0.10521606,0.01977535,-0.055989433,0.012619466,0.17011966,0.46903768,0.07965858,-0.0025591091,0.067414775,0.04586547,0.025317572,-0.0014925118,0.40346128,0.05648368,0.51120716,0.104794845,-0.010543662,0.11528729,-0.0044264435,0.08175066,-0.011641718,0.09942569,0.23111781,-0.011938352,-0.006995988,0.0033679968,6.1302446e-05,0.40249434,-0.005987473,0.2133542,-0.0065639056,0.23148222,0.51950973,0.41583586,0.43446708,0.025811754,0.22284597,0.109353215,-0.0009745218,0.22410902,-0.013471223
TCGA-05-4390,0.06587656,0.051377583,0.39883035,0.16981228,-0.017932137,-0.0012606959,-0.0026910983,-0.011632773,0.14330317,0.0037383363,0.0133352615,0.10639158,0.21882819,0.19500384,-0.000847276,-0.008275975,0.12070246,0.4912796,0.06669584,0.3016234,0.10875383,0.043033246,0.041966587,0.16140072,0.0894005,-0.042010754,0.07219616,0.1449805,0.5990991,0.14732589,0.1325505,0.030347433,0.13177218,-0.003092124,-0.0075331777,0.2746933,-0.0005583898,0.38298917,-0.0030700862,0.010786314,0.0075421818,0.081820205,0.17883259,-0.0075503252,0.15427242,0.053167757,0.03829793,-0.011976558,0.012517503,0.21465084,0.3187442,-0.0019614995,0.2695683,-0.0073656053,0.0853623,0.58674675,0.007822981,0.22268161,0.26307696,0.11232792,0.11970061,-0.009025333,0.20514233,-0.0031030222
TCGA-05-4396,-0.0046533584,0.16594382,0.4401061,0.015921103,-0.013891113,-0.012834512,-0.008853215,0.088321805,0.5009724,-0.0055863373,0.12352641,0.07404577,0.04326251,0.06079957,-0.004015559,-0.005059282,0.18073978,0.68972296,0.0936919,0.3194701,0.1363441,-0.00097168575,0.05737836,0.29260933,-0.0031050432,-0.050583124,0.021257654,0.1787794,0.66509706,0.1231685,0.027983446,0.059388153,-3.9717557e-05,0.052098796,-0.0031352807,0.46166754,0.08848679,0.669261,0.087729484,-0.013164068,0.044755258,0.11023207,0.12219498,-0.016975831,0.10352462,0.30150044,-0.017045107,-0.009289763,-0.007602592,0.13816965,0.6368643,-0.011859705,0.40282574,-0.012437579,0.06723107,0.7319513,0.39378315,0.34158105,0.21915375,0.29757547,0.16957965,-0.0064737075,0.26371062,-0.011907539
TCGA-05-4405,0.05944266,0.098691106,0.43676987,0.12624343,-0.006277627,-0.008112162,-0.013364668,-0.0008590799,0.4031814,0.047441583,0.11977354,0.17361869,0.15112321,0.10446489,-0.0042701536,-0.005585129,0.1736864,0.6275015,0.13556619,0.2603639,0.11041865,0.0049209595,-0.0015823344,0.1684009,-0.00016890225,-0.04569298,0.09460756,0.22027771,0.59731925,0.11001174,0.19782908,0.032719985,0.0224574,0.13640046,-0.00606636,0.42490423,-0.0012471419,0.53190666,0.08943166,-0.0064880433,0.034427665,0.14373478,0.15065381,-0.013597927,0.11791964,0.21220946,-0.0049873027,0.01283551,0.012724702,0.14072716,0.4294913,-0.0056551322,0.3176033,-0.010684654,0.08572089,0.76395965,0.10999352,0.2603466,0.16287956,0.20134552,0.074715726,-0.013901817,0.2494304,-0.006292667
TCGA-05-4415,-0.01278245,0.19583139,0.8552396,1.2729596,-0.03528471,-0.00696689,-0.007164163,0.03623874,0.44474727,-0.03466535,0.63859576,-0.0097860275,0.4647851,0.82903856,-0.006714523,-0.020072043,1.0577605,1.6421267,0.28349608,0.80480474,0.15055051,-0.02875106,0.58765066,0.82439804,0.1543035,-0.1321548,0.7280102,0.52292246,1.5515016,0.33541715,0.5192844,0.06035576,0.0035957992,0.17428553,-0.0015187875,0.7871767,0.12381755,1.4090962,-0.00030959846,0.14644669,-0.007920076,0.9143454,0.5613599,-0.01645446,0.7181673,0.46567005,-0.018913923,-0.037423894,0.060730238,0.28491643,1.2328405,-0.0010436316,1.2099447,-0.010888339,-0.03298002,2.1902623,0.16796827,0.35995746,1.3928169,0.53136533,0.66448003,0.028954707,0.71001416,0.17618585
TCGA-05-4417,0.06687583,0.02560952,0.5000237,0.13853998,-0.009417564,-0.015175002,-0.013117537,0.032877486,0.36467865,0.033340387,-0.004415232,0.18690005,0.15727608,0.09291729,-0.0041448995,-0.00018735602,0.19965509,0.6994217,0.106820956,0.31357217,0.0875314,-0.005342829,0.028724218,0.10390159,0.0742201,-0.040752646,0.05618898,0.24367197,0.6829651,0.09038575,0.29171667,-0.0027179462,0.15040448,0.091089435,-0.012261963,0.39613038,0.00038805418,0.55589414,0.04179095,-0.0013784271,0.09433809,0.16172941,0.19474614,-0.0062905694,0.11092402,0.22997972,0.017123528,-0.017228445,0.035681564,0.13444334,0.39976767,0.091370404,0.29460433,-0.014405677,0.0076784827,0.7264341,0.11661127,0.27363667,0.13404314,0.09979257,-0.004727829,-0.01720273,0.1714843,-0.0056856177
TCGA-05-4424,0.13942759,0.047546316,0.57739383,0.075632446,-0.030402223,-0.0111333765,-0.018905116,-0.0036233254,0.3036409,0.06771146,0.09627245,0.19387929,0.2891206,0.21819867,0.020721816,-0.01785448,0.20455645,0.8749828,0.20420302,0.48966557,0.21913898,-0.0014714588,0.18806998,0.28833753,0.040380307,-0.07360002,0.3169409,0.17532046,0.79109913,0.23881924,0.11058958,0.0693828,0.11690092,0.085781194,-0.010095902,0.45190412,0.1190387,0.7066461,-0.0011278093,-0.014389748,0.117557794,0.13970168,0.24897653,-0.010472506,0.22720207,0.2962031,-0.008144609,-0.0138059575,0.08835205,0.3283114,0.7083961,0.13055685,0.6616739,0.0018429272,0.2126026,1.0466872,0.25560018,0.3280061,0.46342027,0.2872722,0.12807372,-0.0032713586,0.3006078,-0.006954039
TCGA-05-4425,-0.0011701267,0.09988514,0.51751083,0.13431887,-0.011438465,-0.010302751,-0.005594632,0.0318284,0.5633818,0.013818841,0.05805659,0.14813456,0.038069956,0.11405903,-0.0022162416,0.055939574,0.13756563,0.67820245,0.010138862,0.30582052,0.09418705,-0.010231817,-0.0032201228,0.1584035,0.13118114,-0.053520348,0.08345336,0.19209379,0.6784865,0.16303484,0.11414638,0.01264359,0.12459928,0.037042893,-0.0043586786,0.46131068,-3.443826e-05,0.58162314,0.15480994,-0.007575549,0.09334777,0.099251226,0.14371255,-0.016143175,0.19823892,0.16793548,-0.0047059627,-0.010938517,-0.00447615,0.07204603,0.380912,0.033401184,0.2617388,-0.008847432,0.12277262,0.7875161,0.30650076,0.37850106,0.12978879,0.21016982,0.10931869,-0.0053460603,0.25152948,-0.009723692
TCGA-05-4427,0.013888661,0.06080329,0.3524104,0.16816504,-0.0018697791,-0.014687245,-0.0015695461,0.10947505,0.3596295,0.053646464,0.0048116483,0.0763691,0.18502061,0.033312313,-0.0020803742,0.12552798,0.18649492,0.42957148,-0.006620674,0.127231,0.058580264,0.0323623,0.0029846034,0.041551165,0.09965995,-0.038069095,0.0737092,0.06871635,0.49360862,0.14288045,0.11507532,-0.007578857,0.1306369,0.0007461794,-0.010475279,0.22873446,0.1443051,0.4707436,0.02039918,-0.000673284,0.11875591,0.04990369,0.15683436,-0.010095881,0.25760046,0.071810886,-0.0021510234,-0.014056112,0.029593393,0.03545527,0.3395554,0.10801512,0.25692183,9.498373e-05,0.14667076,0.50550354,0.09784712,0.19816256,0.18694855,0.12598588,0.03535068,-0.00016452112,0.0098029105,-0.009098558
TCGA-05-4433,0.35960117,0.089274324,0.6972285,0.10517184,-0.027387558,-0.010640968,-0.007024169,0.13615115,0.35782942,-0.0054716016,0.10497844,0.24012731,0.084920555,0.14933282,-0.0011448921,-0.010716564,0.18847325,0.8223146,0.068436444,0.42190593,0.2126689,-0.010466263,0.121180974,0.12807825,0.031806365,-0.05527996,0.13725317,0.24906723,0.8432872,0.21633881,0.045952473,-0.011439467,0.22773553,0.012740664,-0.0012254327,0.54659927,0.036988445,0.7293294,0.058003847,-0.02319796,0.15761253,0.23003177,0.10599165,-0.014630548,0.09735072,0.37594047,-0.009575645,-0.009868565,0.072417155,0.21785283,0.74646705,-0.0108193485,0.509318,-0.012588024,0.13244368,1.0267608,0.2626484,0.28117335,0.533726,0.41909453,0.056191027,-0.012009109,0.46850953,0.0049290275
