patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-05-4384,-0.07407011,0.057376847,-0.04302841,-0.14240116,0.6496619,-0.004819183,-0.0075880685,0.027909411,0.12436781,-0.05778882,-0.05670295,0.008690415,1.5294518,1.1178933,-0.059954144,-0.03401607,1.0648504,0.20596126,1.2964178,0.35981837,0.124193355,0.09609866,1.3184481,-0.06151083,0.05297758,0.12035777,-0.0018902561,-0.0029669611,-0.01506517,0.014840625,0.6118704,0.08091842,-0.0008525319,1.582489,0.21732458,-0.0061430167,0.13330069,-0.0765402,0.20396742,0.2677002,1.3692837,-0.019705707,1.5432683,-0.025417736,-0.09624463,0.24697118,-0.0057509406,1.6846591,0.9718577,-0.051864427,-0.020112595,0.25288454,0.054915424,0.4103948,-0.08137738,-0.042298023,-0.10788232,-0.12541467,0.34673873,-0.042143904,0.050715867,-0.028134635,0.2414743,-0.012954618
TCGA-05-4390,-0.05846333,0.40501428,-0.043145366,-0.13013238,0.17431231,-0.008543571,-0.013140606,0.12597096,-0.017503416,-0.042676583,-0.026710495,0.13032635,1.0195842,0.31279564,-0.036065765,-0.036647305,0.92674315,0.40631247,0.9810923,0.13015844,0.01885222,0.07836658,1.1797589,-0.056977123,-0.0030048792,0.11533682,-5.834233e-05,-0.012180891,-0.041915055,0.17974254,0.18416303,-0.00056208525,0.1326598,1.3747544,-0.00087505206,-0.012598663,0.068802916,-0.06835844,0.31264955,0.078553945,1.0517974,-0.025006345,1.3864604,-0.036987197,-0.07709064,0.04402663,-0.014920731,1.3374716,0.983632,-0.05609393,-0.025340512,0.025702477,0.12128456,0.41338402,-0.11142393,-0.04225347,-0.07957454,-0.09177848,0.5355046,-0.022575261,0.042696845,-0.013674322,0.25420508,-0.0077360193
TCGA-05-4396,-0.062188536,0.20282963,-0.050353445,-0.13978153,0.34563938,-0.018325103,-0.018952107,0.0120505,-0.0051920475,-0.044376466,-0.03674912,0.15759191,1.2289091,0.71570766,-0.0469657,-0.029064829,0.9924034,0.34442964,1.0696114,0.2462102,0.24968201,0.16289617,1.2419115,-0.055482168,-0.0110869305,0.021921206,-0.0032232017,-0.008917696,-0.034161497,-0.0015219211,0.40130627,0.10838753,0.019619592,1.4467607,0.20460653,-0.018764583,0.035104584,-0.06998132,0.27334392,0.18589175,1.1844769,-0.02816222,1.534473,-0.027540779,-0.06828802,0.30680218,-0.008877547,1.3940778,1.0211848,-0.052145343,-0.009484128,0.38594767,0.112312675,0.40232822,-0.092957176,-0.044290956,-0.09454546,-0.119802706,0.46041355,-0.038133785,0.17920701,-0.004584003,0.16846707,-0.0011361325
TCGA-05-4405,-0.07105052,0.25677437,-0.044627696,-0.17696343,0.7684754,-0.0161478,-0.011215415,0.120450094,-0.0057042562,-0.06554095,-0.039423566,0.07485514,1.5364945,1.0172906,-0.06428704,-0.039515246,1.2064174,0.27352712,1.3492138,0.28108245,0.1567225,0.2249965,1.4696684,-0.059306532,0.040098798,0.028931703,0.01699814,-0.0022506637,-0.029493729,0.032176837,0.6516011,-0.002025023,0.17884591,1.694879,0.2070669,-0.015882198,0.10091473,-0.07608326,0.122136116,0.1719876,1.4929755,-0.03015407,1.676237,-0.025005639,-0.098524325,0.14915806,-0.017335711,1.7290474,1.0673679,-0.07074963,-0.017106816,0.19279209,-0.003903554,0.40738606,-0.083988994,-0.043587223,-0.111014284,-0.11865667,0.30752245,-0.040408503,0.1591974,-0.030733695,0.2593084,-0.018922279
TCGA-05-4415,-0.10607876,0.23911734,-0.05257694,-0.18870415,-0.043819908,-0.010819424,-0.020520503,0.24796532,-0.023006253,-0.0832448,0.17899913,0.48373488,1.4215348,-0.018839661,-0.053434163,-0.051185187,1.3380793,0.25211868,1.5132115,0.43086788,-0.0083396435,0.21991158,1.8831846,-0.103573136,-0.00073549635,0.16664462,0.25936222,-0.051341545,-0.09363174,0.670543,-0.023310354,0.100036174,0.18566349,1.9809221,0.10617541,-0.056466054,0.15877861,-0.1127362,1.0048084,-0.007470419,1.5623894,-0.056676168,2.0741467,-0.056302484,-0.100026324,0.727017,-0.035575885,1.9558269,1.7718755,-0.1031934,-0.04160493,0.5053192,0.019936632,0.52758414,-0.18782549,-0.07828876,-0.09234631,-0.14331679,1.6062524,-0.04866105,0.45372087,-0.011069608,0.07196396,-0.0221603
TCGA-05-4417,-0.06178251,0.08372887,-0.03935596,-0.11879195,0.30351692,-0.003552089,-0.016936246,0.209274,0.009022618,-0.039820872,-0.027341783,0.098170154,1.120702,0.5550821,-0.04125853,-0.037397522,0.90146154,0.12605819,0.95102066,0.02275017,0.060233094,0.216577,1.1428813,-0.051209796,-0.00033127368,0.03090407,0.009471631,-0.008745646,-0.027701477,0.09182132,0.4068948,0.07091949,0.15682778,1.3041224,0.19415535,-0.0252749,0.087127864,-0.05698001,0.20883836,0.0993563,1.0919981,-0.030085072,1.3261563,-0.030462224,-0.07746651,0.13284184,-0.010459921,1.279405,0.87999564,-0.05176962,-0.012237897,0.058611482,0.09806277,0.3343292,-0.08568587,-0.039511457,-0.08592876,-0.10004722,0.37488848,-0.03225564,0.11514266,-0.015515852,0.31174543,-0.010839558
TCGA-05-4424,-0.08094073,0.3051181,-0.048824307,-0.15280758,0.32173,-0.005817292,-0.021936111,0.20419052,-0.01943646,-0.050704688,-0.0439015,0.065539464,1.4582255,0.608976,-0.041982464,-0.040259644,1.089328,0.17488523,1.220624,0.13770331,0.23651235,0.41625896,1.4369268,-0.063679956,0.073661014,0.017608907,-0.013110566,0.09636014,-0.033634614,0.20151398,0.40147388,0.025900692,0.14749452,1.5544294,0.3566849,-0.014667558,0.1031956,-0.06723332,0.18478942,0.20012668,1.325429,-0.02883628,1.486545,-0.0394844,-0.09587552,0.28832015,-0.00269041,1.7048447,1.0281825,-0.07286349,-0.019526798,0.14146623,0.123570964,0.39959386,-0.12230708,-0.048572455,-0.10502862,-0.12077206,0.32126057,-0.04019474,0.016805138,-0.018320251,0.32278523,-0.01456128
TCGA-05-4425,-0.0601165,0.091834135,-0.040237717,-0.1427953,0.4475776,-0.010086081,-0.004583703,0.073166646,-0.014796393,-0.055775102,-0.029204955,0.10013172,1.1830378,0.6014575,-0.049202766,-0.044368695,1.0105408,0.22839843,1.0130368,0.162521,0.02760824,0.34170255,1.2731742,-0.06471937,-0.0035664157,0.085886344,0.005948933,-0.0043127346,-0.026965052,0.10082614,0.4125237,0.10184006,0.259599,1.364151,0.16761288,-0.016120909,0.13632303,-0.073513135,0.17936686,0.019865524,1.38061,-0.027704401,1.3310649,-0.021814406,-0.08794188,0.07914385,-0.0047259703,1.4662943,1.0093037,-0.063086964,-0.017260887,0.022858206,0.009871878,0.31519958,-0.08726584,-0.050436217,-0.09458882,-0.10734186,0.40871286,-0.045591135,0.116319746,-0.02509437,0.16109252,-0.012153586
TCGA-05-4427,-0.08441844,0.42143667,-0.04674485,-0.18707262,0.46134245,-0.0153278755,-0.010803739,0.14636774,-0.010479376,-0.06929404,-0.042651176,0.15528034,1.4370718,0.53765607,-0.056179743,-0.047463913,1.3534842,0.5231244,1.3453218,0.118857145,0.29288226,0.43891338,1.5060232,-0.06375478,0.13646722,0.051377278,-0.002704582,-0.0077050948,-0.04226694,0.1408577,0.36293945,0.22199982,0.15359938,1.696243,0.19092171,-0.022351032,0.16047333,-0.08012437,0.18094723,0.2001344,1.5795901,-0.043415625,1.6919526,-0.042508986,-0.097929634,0.25580987,-0.008554433,1.9264499,1.1421587,-0.076167576,-0.020039884,0.19509083,0.1493273,0.3790949,-0.13429739,-0.052172977,-0.12530062,-0.12248313,0.4868012,-0.04459553,0.2594681,-0.014274085,0.3340064,-0.025234628
TCGA-05-4433,-0.07371059,0.09900008,-0.042008452,-0.13905682,0.4606573,-0.00709241,-0.01020562,0.083724715,0.10847285,-0.05205379,-0.035205036,0.09357881,1.2235103,0.5650281,-0.04279185,-0.03414357,1.0969036,0.098105885,1.1762286,0.26984313,0.0013630469,0.49000174,1.2382199,-0.06408524,-0.011595602,0.18495774,-0.0042560273,-0.003839102,-0.029319126,0.108168475,0.4802476,0.053231917,0.08167309,1.476789,0.37513041,-0.019774174,0.16635194,-0.064497754,0.20746371,-0.00047460716,1.4020286,-0.02920695,1.4727097,-0.027959764,-0.07834421,0.17454752,-0.0033446976,1.4977101,0.93800265,-0.06435488,-0.015810767,0.21831563,0.09115307,0.2939705,-0.08977439,-0.05014819,-0.09014416,-0.10647567,0.5177266,-0.031144349,0.07129948,-0.011673686,0.14591908,-0.011936229
