patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-05-4384,-0.053077407,1.4770126,-0.37972224,-0.045423377,-0.118516244,0.08334127,-0.21453047,0.7123194,0.3121009,0.09109061,0.8968775,-0.049978603,-0.21641795,-0.032192953,-0.02772582,-0.0016521126,0.7104981,1.3204508,1.5118979,0.3228048,-0.02163497,1.893309,1.4779128,-0.15669696,0.018399058,-0.1733917,-0.100223266,0.6815888,0.44418234,-0.0038139243,-0.13927709,-0.12815796,0.046858344,1.0489595,0.6363469,-0.17926334,0.4592118,0.35085022,-0.027918492,0.54946685,-0.03329401,1.3284988,1.6993477,0.09405699,-0.20136347,-0.018363042,0.9881903,0.24037908,1.8490382,0.44740635,0.46615195,-0.07363649,-0.056822564,1.3586179,0.25600147,0.5079954,-0.071311645,-0.021128459,1.1893109,0.21021748,1.3213378,-0.18446021,-0.00086971745,-0.083793215
TCGA-05-4390,-0.105166964,2.5154228,-0.57713073,-0.10772242,-0.09538281,0.29751796,-0.30856428,1.2733092,0.38795134,-0.0105752535,1.2207545,-0.006543101,-0.27112758,-0.032882325,-0.050368823,0.011232842,1.6962792,0.1321257,2.5699499,0.75086725,-0.017982174,2.6998317,2.4416292,-0.24932885,1.4872538,-0.32227653,-0.138644,1.4831886,1.5468127,-0.03474539,-0.15712844,0.50824785,-0.11250728,1.1227796,1.0206871,-0.31107202,0.1705065,0.6129526,-0.030259222,-0.053554367,-0.04442999,1.6681986,1.8890134,-0.017756565,-0.23477946,0.013394512,0.5297209,-0.12810239,2.757906,1.2863474,2.1244085,-0.10403295,-0.16667981,2.425304,0.40355125,0.23480287,-0.11083259,0.1493955,0.0777408,-0.06441673,1.642207,-0.22133343,1.1774727,-0.27628872
TCGA-05-4396,-0.051475335,2.2649329,-0.53810924,-0.07744451,-0.14447999,0.19439793,-0.33226547,1.0437238,0.25974962,-0.025746917,0.9524599,-0.017626999,-0.33804238,-0.014221663,-0.021332135,0.6813541,0.66116834,1.0790125,1.9186696,0.829744,-0.0037920245,2.7443068,1.6597854,-0.27302432,0.85640144,-0.26203668,-0.093198456,2.9283843,-0.026075883,-0.041105192,-0.21385403,-0.05950504,0.67127776,0.6436826,0.6308908,-0.33368233,1.0723965,0.105380684,-0.03134109,0.67468536,-0.02002666,0.9658679,1.7785774,-0.0042551137,-0.3374717,0.16066357,0.30584544,-0.005077614,2.5336869,1.1167755,0.8017447,-0.09125012,0.0020591952,1.8548297,0.01268078,0.6594216,-0.1252701,-0.049074523,1.0780886,-0.09247949,1.7272484,-0.16913669,0.6114568,-0.27992588
TCGA-05-4405,-0.108676925,3.2725334,-0.7083356,-0.14734718,-0.120111965,0.5006941,-0.40149093,1.6962119,0.94604594,-0.007739059,1.5452429,-0.021853918,-0.3492465,-0.037920833,-0.026516503,0.40140247,1.6952862,0.28832635,2.9141352,0.60190564,-0.012933442,3.2301576,3.1024365,-0.36122757,1.5431007,-0.3579396,-0.12750694,1.7432575,1.6404595,-0.01688976,-0.22655551,-0.034054868,-0.12961064,1.5189717,1.0877208,-0.41274554,0.10015592,0.6385269,-0.03457804,-0.009819849,-0.03525823,2.0063155,2.629226,-0.04346217,-0.28272688,-0.031704288,-0.0042738714,-0.02950545,3.6782346,0.5137924,1.2695111,-0.14874794,-0.2885236,2.8399782,0.463898,0.5957645,-0.11915135,0.053785473,0.77896476,0.040026393,2.4466057,-0.26861805,1.1461467,-0.340689
TCGA-05-4415,-0.06741997,1.9163698,-0.4726614,-0.04910631,-0.1914882,0.21386643,-0.2193741,0.78030163,0.19879395,0.23474705,1.0479485,-0.021806845,-0.2655684,-0.041837163,-0.03257,-0.0071542175,0.45145297,1.5003648,1.8402854,0.5869006,-0.02547185,2.30374,1.2581466,-0.14062767,0.054107167,-0.18724887,-0.1265175,1.4737344,0.15708674,-0.02555888,-0.18827298,-0.11513052,0.6559708,0.9433086,0.8891421,-0.21161032,0.24714582,0.34677505,-0.04312553,0.34361887,-0.032925386,1.3983061,2.033343,-0.016962416,-0.27221653,0.19760829,2.2240696,-0.022200417,1.6401726,0.07244491,0.75383174,-0.1129843,0.13279575,1.9328926,0.5064768,0.59239584,-0.05480505,-0.017658995,1.4428954,0.04097877,1.8040702,-0.17847492,0.2601132,-0.09698323
TCGA-05-4417,-0.10504925,2.9446745,-0.6018146,-0.10120451,-0.101369455,0.37051526,-0.3217921,1.3384262,0.86625487,0.21326458,1.3813424,-0.017398186,-0.27480912,-0.029776588,-0.04992299,0.2741229,1.4763901,0.36802682,2.645138,0.7229133,-0.03666295,2.7416584,2.4694772,-0.27369025,1.1175114,-0.311058,-0.14714675,1.226968,1.5684769,-0.038533796,-0.1895449,-0.02726009,-0.10617135,1.509933,0.8639273,-0.3201311,0.23047832,0.60038745,-0.028076325,-0.0036760375,-0.013494107,1.7839705,2.2835753,-0.04709689,-0.2518395,0.21609294,0.6138808,-0.09894432,2.776575,0.7663557,1.455121,-0.13062304,-0.20702045,2.5754468,0.43843725,0.33389384,-0.08392767,0.158907,0.41162527,-0.007641469,2.0015795,-0.24989407,1.191996,-0.24504423
TCGA-05-4424,-0.058899075,1.2908405,-0.3649326,-0.041709732,-0.130531,0.045563694,-0.19531362,0.56556594,0.12645066,0.16517812,1.0830016,-0.030370802,-0.21863952,-0.010843603,-0.031318095,-0.01987557,0.45270434,1.4439818,1.5864569,0.17014429,-0.019674707,1.7433425,1.2506393,-0.09723373,-0.025157785,-0.14038457,-0.0918548,0.6743657,0.81784225,-0.010292634,-0.13292484,-0.11048152,-0.0027766253,0.849303,0.3568475,-0.16254275,0.094766766,0.2201279,-0.010379451,0.26535422,-0.04284722,1.397576,1.6551276,0.17431861,-0.17639558,0.15205124,1.6399869,0.54488796,1.4194869,0.2502621,0.73299915,-0.078630306,-0.0125501575,1.1951836,0.3885087,0.4736305,-0.046728693,0.13679726,0.94450146,0.26631987,1.4367092,-0.17093371,0.09496349,-0.059983052
TCGA-05-4425,-0.13529268,3.0306616,-0.6932665,-0.135043,-0.13220261,0.3407284,-0.37174544,1.439761,1.2012764,-0.0015895747,1.6636333,-0.013905898,-0.36512324,-0.033138204,-0.025676144,0.3874814,1.5008672,0.3151537,2.8707285,0.32562026,-0.024030795,3.0430586,2.7260742,-0.3270358,1.2047664,-0.3036507,-0.08703659,1.7592828,1.212336,-0.017889166,-0.2240841,-0.07487186,-0.097487606,1.5350764,1.0813893,-0.38801023,0.057245582,0.46063083,-0.056391265,0.18619761,-0.03211054,1.900276,2.7582777,-0.09729146,-0.31657386,-0.027696742,-0.014189541,-0.00597839,3.5039196,0.6090247,0.8624827,-0.14449297,-0.27363786,2.683409,0.61001855,0.6002559,-0.10281714,0.1527995,0.8244742,0.4484582,2.442341,-0.24041124,0.96427923,-0.31917813
TCGA-05-4427,-0.0931878,2.5563543,-0.5306987,-0.13405892,-0.083308995,0.20912966,-0.36567828,1.3694866,0.61868465,-0.017217671,0.5445067,0.043931805,-0.24931581,-0.041665748,-0.044703014,0.1389424,1.131185,-0.02685505,2.183118,0.9918728,-0.007030874,2.5490398,1.9452296,-0.29651424,1.9340545,-0.29372224,-0.1221445,3.1622558,1.0480831,-0.041219007,-0.15176104,0.8091238,-0.0688253,0.7354251,0.80775553,-0.34317952,0.6195812,0.18151222,-0.025044326,-0.009318921,-0.027697075,1.2822977,1.7823867,0.18451615,-0.3066322,-0.017926598,0.5568724,-0.05017927,3.0441515,0.46275735,1.3517406,-0.124720015,-0.1681467,2.3104594,0.11707321,0.41450855,-0.14812355,0.31110847,0.5527031,-0.024132326,1.9074955,-0.20866601,1.2667515,-0.3476126
TCGA-05-4433,-0.0663015,2.2567668,-0.4868814,-0.06565135,-0.15921646,-0.0044183885,-0.25740486,1.1650728,0.7088949,0.055099346,1.3278807,-0.018847898,-0.31443107,-0.038794845,-0.024812711,0.48856258,0.9398721,1.3940845,2.2967691,-0.005517632,-0.027097961,2.553381,1.8549935,-0.17938703,0.2616971,-0.19900797,-0.06372912,0.9288675,0.54140586,-0.021940714,-0.17337534,-0.16061209,0.35783398,1.1259736,0.5947709,-0.29665932,0.111518264,0.5179741,-0.038823824,0.6431478,-0.008304959,1.3259579,2.2651942,-0.0514305,-0.23241423,0.12554318,0.8761428,0.20696639,2.2192638,1.0430961,0.30235162,-0.09141762,-0.05716995,1.9297419,0.37626985,0.6371493,-0.06863173,-0.013054206,1.0159117,0.38341868,1.9066105,-0.19408032,0.44479552,-0.1528234
