patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-05-4384,0.014471155,0.23284231,0.13326938,0.16815166,0.03867124,0.0027840254,0.39753088,0.12565778,0.03871633,0.19049183,-0.0045867814,-0.016871,0.07659131,-0.0027781061,-0.0045725997,0.011609793,0.18058568,0.09436123,-0.0011311587,0.1833177,-0.0053785914,0.044863164,0.27980876,0.14190567,0.19082165,0.12549624,0.07455283,0.31213105,0.01448426,-0.008510512,0.5945496,0.4721021,-0.005630252,-0.0041719293,-0.004509103,0.420163,0.3811857,0.101296306,-0.013393036,0.025481489,-0.008224757,0.039999977,-0.0069239973,0.1175541,0.5500992,0.19388267,0.14623228,0.57878834,0.0091416575,0.24622159,0.0939768,0.48718938,-0.0004752636,0.4265232,0.01437409,0.004081607,0.21433231,0.009518903,-0.0026587825,0.29156983,-0.002219264,0.22217856,0.044446275,-0.0031319538
TCGA-05-4390,0.093961895,0.08721703,0.19112664,0.05263341,0.024147682,0.09930384,0.2933771,0.1069714,0.3059135,0.0432527,0.08764859,-0.0050472184,0.09360854,-0.011369943,-0.0133103235,0.16383979,0.20778126,0.09895658,0.12830383,0.081761286,-0.0026295257,0.2201433,0.11105038,0.295593,-0.0036995744,-0.0038313114,0.15817559,0.13676278,0.18862565,-0.006204042,0.52208817,0.44810182,-0.0069015264,0.043857675,-0.0040622605,0.40959105,0.3473396,0.14625022,-0.008420976,0.08834807,-0.01173157,-0.0016952098,0.0065776594,0.1156666,0.5454446,0.15976986,0.15007919,0.39932212,0.059846126,0.1064447,0.099640466,0.36142018,0.036990814,0.23645373,0.031955667,0.034272254,0.11269695,0.21726502,0.09131915,0.13820383,0.006924376,0.0768486,0.1607391,0.21970242
TCGA-05-4396,0.17390673,0.2633684,0.23600276,0.06935884,0.07652896,-0.0014050936,0.4145624,0.08680481,0.20287943,0.325368,-0.00094692735,-0.011940823,0.10032022,-0.009797606,-0.012282343,0.06719342,0.28987932,0.047767214,0.004748244,0.1619709,-0.012773796,0.06577528,0.2506702,0.34464905,-0.0033605497,0.07757133,0.18477987,0.25964865,0.037854787,-0.017229302,0.71668744,0.6947768,-0.010386723,0.022968706,-0.013743715,0.5466981,0.36100063,0.08856384,-0.012850693,0.13094595,-0.004195212,-0.0018410505,-0.0022278836,0.11453719,0.6162247,0.18611792,0.14836633,0.7288522,-0.0032484203,0.31070802,0.06915131,0.57800686,-0.0034436074,0.443302,0.022634396,0.08196518,0.13124332,0.12709452,0.157517,0.30007148,0.08705568,0.17593402,0.07921945,0.07842256
TCGA-05-4405,0.13501516,0.24943642,0.24257778,0.12875476,0.15412734,0.015805107,0.27482814,0.07323568,0.3375139,0.1701748,0.117219135,-0.012144751,0.14808862,-0.0042603994,-0.005529206,0.23697142,0.3228762,0.062133417,0.13726795,0.14029805,-0.0012124971,0.08843117,0.15014884,0.5887989,0.062340364,0.05678722,0.1413473,0.14449883,0.059184607,-0.014521638,0.52344954,0.59703475,-0.011201214,0.0549759,-0.010242161,0.4581334,0.3944887,0.13513258,-0.0051140576,0.1031746,-0.00659226,0.016351938,0.06013651,0.17051584,0.65739745,0.11231225,0.107078984,0.63353145,0.08202525,0.23788142,0.028534375,0.46107277,0.097216964,0.31356663,0.05704192,0.037308976,0.1601266,0.16157934,0.16078058,0.23480648,-0.0016896405,0.10428779,0.061589032,0.16642335
TCGA-05-4415,0.5499399,0.82904524,0.66233844,-0.030490179,0.26279634,-0.020634234,0.6643608,0.38728818,1.6799443,0.44793373,0.12999326,0.14108127,0.31311926,-0.029009,-0.028269365,0.13595125,0.6174022,0.27198288,0.059021465,0.12770326,0.07829416,1.0242229,0.83696,1.3185877,0.14072451,0.14547718,0.7662916,0.008441173,0.5719045,-0.010089368,1.450778,1.6600564,-0.022695083,0.7608456,-0.013157529,1.417348,1.0173504,0.13408957,-0.017516995,1.07593,-0.03237321,0.16984443,0.13813806,0.2599868,1.3481642,0.29886636,0.111240886,1.831528,0.4887925,-0.009177978,0.22851235,1.2471144,0.15740423,0.49337095,0.3010042,0.16395265,0.25879118,0.91962135,0.15291275,0.48885247,-0.00819088,0.30429003,0.2683095,0.6804789
TCGA-05-4417,0.07395086,0.14395644,0.17650847,0.15392554,0.06808446,0.11458626,0.33113265,0.13274884,0.25958818,0.13927135,0.17260265,-0.00849148,0.2381408,-0.008073972,0.04731018,0.23646416,0.33489886,0.05716204,0.08135457,0.09553854,-0.009195459,0.07811218,0.274657,0.6115736,0.07785863,0.005034048,0.13995409,0.1851025,0.14584912,-0.008576377,0.5704669,0.52606374,-0.007280311,0.05787776,-0.01014767,0.5734033,0.5053675,0.12504356,-8.6279215e-05,0.10654487,-0.00839303,0.07699077,-0.0011479795,0.14865728,0.6578602,0.21438971,0.12398442,0.6340911,0.16330291,0.21635105,0.01124087,0.5604229,0.08609346,0.3216244,0.14901103,-0.00047469587,0.16998574,0.17673686,0.22975129,0.23409227,-0.0024109993,0.09154794,0.032287,0.25617602
TCGA-05-4424,0.164907,0.30598226,0.30761212,0.014686912,0.12721138,0.041748982,0.42933732,0.28431544,0.47110826,0.14242639,0.20427953,-0.011557047,0.06333511,-0.020514712,-0.0037563748,0.20790215,0.2437104,0.23491791,0.08226807,0.05411269,-0.0135105355,0.31587288,0.285762,0.58232075,0.1544988,0.04512609,0.082715176,0.19278651,0.1596685,-0.011034823,1.0198758,0.75666153,-0.00040307967,0.13987505,-0.014693776,0.6663318,0.55931175,0.09255608,-0.0039240047,0.31662023,-0.009897114,0.054366887,0.10514243,0.15702043,0.79335994,0.3127325,0.13324186,0.91550076,0.042050194,0.28371117,0.088691406,0.6456641,-0.0018719297,0.42523462,0.096275076,-0.0002954118,0.26787218,0.34767675,0.1841536,0.37971124,0.010612596,0.036617085,0.2403855,0.3049566
TCGA-05-4425,0.0869867,0.17258723,0.18172495,0.20391929,0.043942824,-0.0057592224,0.45450628,0.14565858,0.27360925,0.14653262,0.04084283,-0.016790785,0.08175549,-0.010123575,-0.00858489,0.07345866,0.17143998,0.15880217,-0.00021631234,0.21404779,-0.010539011,0.047995687,0.2195674,0.31739527,0.09948017,0.09416412,0.084604576,0.3270528,0.052257057,-0.0040886006,0.58176225,0.49716285,-0.011270877,0.06081457,-0.0016370047,0.5654009,0.46413893,0.12186161,-0.011540087,0.122277185,-0.00597963,0.0114938915,0.068623886,0.20292401,0.6637167,0.2184174,0.18941504,0.6074005,0.036058407,0.17873989,0.09105527,0.55989444,0.08355953,0.446834,0.1278996,0.07117091,0.118332304,0.12602763,0.061715577,0.1946672,-0.0026394154,0.26249152,0.05889827,0.1757707
TCGA-05-4427,0.12632449,0.22254792,0.050287336,0.23725839,0.04822118,0.026456974,0.16060285,0.13608891,0.26555806,0.06490646,0.21809544,-0.0135853505,0.27274564,-0.0070853806,-0.0056616548,0.040887702,0.33900967,0.08096658,0.12846836,0.0905858,-0.011635477,0.0329599,0.14247403,0.32114553,0.17063203,0.029758837,0.053683653,0.10021879,0.11014414,-0.0038953573,0.4710258,0.36308008,-0.012783962,0.054452125,-0.013363886,0.41287234,0.4049705,0.16779712,-0.0031856687,0.09998183,-0.0073127635,-0.0018585064,0.0062954016,0.055762462,0.47323957,0.048762165,0.04435298,0.44337726,0.16790004,0.13248943,0.05411347,0.40269908,0.15447669,0.32431647,0.12636559,-0.0037166406,0.048957758,0.17374402,0.06138516,0.10428916,-0.000933617,0.09051148,0.09166163,0.21948355
TCGA-05-4433,0.32489085,0.20378824,0.30669564,-0.0034952909,0.14019522,0.10483849,0.49949872,0.2195287,0.3771445,0.28703225,0.04187154,-0.013256821,0.083987296,-0.023314623,-0.0017516128,0.16099378,0.36583522,0.11744606,0.06378412,0.17484543,-0.02403113,0.15180914,0.37151185,0.46137753,0.15775679,0.1119055,0.17998803,0.16613472,0.042761292,-0.011005915,0.9807818,0.68305725,-0.0075772326,0.12304646,-0.0019022304,0.69226027,0.5359059,0.10682336,-0.0085850125,0.117887616,-0.008150632,0.056968376,0.11902726,0.20241247,0.8607012,0.32190427,0.12872176,0.8372374,0.05566622,0.46129215,0.085285805,0.7839064,0.06774381,0.38088062,0.17398126,0.08390395,0.119541876,0.32254583,0.40899983,0.3601921,0.14459872,0.06981491,0.28775942,0.3467248
