patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-05-4384,1.4820501,0.24660535,0.35187632,0.06993158,0.26593122,-0.0036497747,1.0192398,0.12323241,-0.088088535,0.33816597,0.45184982,-0.015379387,0.23632589,-0.015701754,-0.013857136,0.0017070938,-0.0009249311,0.12290236,-0.034137048,1.2249538,-0.010854985,0.37623528,0.2182355,0.526634,0.05945595,-0.12919593,0.73148304,-0.026795447,0.24999355,-0.019730462,0.03039229,-0.04479431,0.220444,0.25294885,-0.006298399,0.06618058,0.12951696,0.4731033,-0.021011084,0.22329503,-0.0006814234,1.1226438,-0.02652697,-0.004014867,0.9151314,0.0016455036,0.10893829,0.22331126,0.15716553,0.03105804,0.4180254,-0.1025007,2.0576622,0.057904094,0.21521083,0.16478679,0.18857801,0.24948514,1.514441,0.9289228,0.28917465,-0.008104481,1.577012,0.97747254
TCGA-05-4390,1.2975533,0.059820447,0.55426925,0.15607554,0.40921023,0.23488416,0.46041268,-0.002957819,-0.069217704,-0.0022908312,0.41985327,-0.011077226,0.50760055,-0.010260915,-0.019118901,0.14482795,-0.0037250996,0.10921143,0.10355742,1.1131853,-0.005314778,-0.0116210375,0.15421815,0.29746288,0.11113031,-0.103335515,0.7396984,-0.03669254,0.004287787,-0.009237848,0.2525354,-0.033607032,0.0618781,0.27994332,-0.0013575604,0.21175115,0.037268385,0.2951689,-0.0033846262,0.26440695,-0.012961693,1.002739,-0.02041349,0.07478102,0.47020826,0.08788656,-0.012247229,0.06592949,0.3248215,0.17036876,0.11537371,-0.12220275,1.7427592,0.1447508,0.3883785,0.1823795,0.0928559,0.08440025,1.2919015,0.8970105,0.11767528,0.13254207,1.1397882,0.7478355
TCGA-05-4396,1.373417,-0.0010345536,0.3582018,0.24850234,0.2954216,0.14875999,0.6939909,0.054816995,-0.08659009,0.35677102,0.4848555,-0.014487899,0.39557546,-0.008092287,0.017055154,0.04293885,-0.005249159,0.06076579,-0.0065828324,1.1166801,-0.0054736477,0.32135332,0.2663302,0.32058257,0.14629968,-0.11623062,0.67334455,-0.022142079,0.30169642,-0.0010374308,0.045576513,-0.04691009,0.07668668,0.29654568,-0.008684535,0.143852,0.10806311,0.2865352,-0.0014178284,0.3271647,-0.010409461,1.0384823,-0.01653292,0.07109064,0.6326416,0.07623319,0.032325998,0.2730542,0.38082412,0.061905302,0.26743156,-0.102237575,1.7571632,0.06924771,0.32941815,0.1757435,0.09138143,0.16311625,1.3690933,0.7055207,0.13386406,0.040916476,1.2882733,0.8781667
TCGA-05-4405,1.4602131,0.29136747,0.5169541,0.11674944,0.40194574,0.16443463,0.9161686,0.25827387,-0.07911881,0.16861968,0.5099992,-0.019556174,0.33214727,-0.01672765,-0.004949066,-0.010908633,0.044094894,0.15854979,-0.023681937,1.272861,-0.008813609,0.2405154,0.19070527,0.3139228,0.19584854,-0.13554233,0.762545,-0.023214484,0.4198883,-0.0074550705,0.08361805,-0.045891404,0.19283557,0.23829667,-0.0075694197,0.11135373,0.120707795,0.3227134,-0.008095975,0.019308127,-0.0074483254,1.1880667,-0.018128948,-0.0030861371,0.8629027,-0.0042859255,0.0073098633,0.36009237,-0.0003586983,0.15337941,0.21225874,-0.11351607,1.9640816,0.051090665,0.35308766,0.1644897,0.20115384,0.38630366,1.6115466,1.1140329,0.2197804,0.12758973,1.6013446,1.0414693
TCGA-05-4415,2.2455971,0.5927709,0.7994606,0.45768932,0.93624735,-0.0019874491,0.122983135,-0.03867965,-0.09194761,0.769239,0.52216816,-0.0074833045,0.95868456,-0.005052718,-0.0007258784,0.91099524,0.121848926,0.28396595,0.12984462,1.9496614,-0.01994935,-0.025287706,-0.013845368,0.18015823,0.17187026,-0.14377533,1.108676,-0.052438535,0.080106765,-0.012450079,0.76215935,-0.07033761,-0.019646809,0.47230023,-0.019183064,0.8221505,0.1242272,0.39667547,-0.004612868,0.9103634,-0.021641554,1.6700695,-0.037559133,0.05966854,0.4983302,0.16640851,-0.002277611,0.22820234,1.0347077,0.25589335,0.24658552,-0.23505495,2.611359,0.6532042,0.7765752,0.3307313,-0.0027274608,0.32424054,1.8717654,1.144521,-0.02954459,0.35090098,1.3859018,1.2339534
TCGA-05-4417,1.1917156,0.24963942,0.27090713,0.07369108,0.28174564,0.04795161,0.71950984,0.0333193,-0.07110159,0.27866784,0.4320584,-0.0089990385,0.4625864,-0.0024127443,-0.000658685,0.080565594,-0.004263647,0.05405664,0.022884842,0.9635815,-0.0047251387,0.16062367,0.12111244,0.30179644,0.017073113,-0.09929805,0.62627083,-0.024262944,-0.0054217023,-0.0037369728,0.15032326,-0.038742352,0.0562114,0.2967167,-0.0055884747,0.09706132,-0.0013856625,0.21020396,-0.0061902846,0.16747822,-0.0140255885,0.933378,-0.013314496,-0.0027814077,0.65512335,0.12632868,0.05556734,0.18666844,0.1307298,0.06405785,-0.0016173845,-0.101497866,1.6091698,0.13020332,0.4260409,0.0717181,0.103400856,0.25994915,1.2452244,0.84802234,0.16679332,0.085587256,1.2173592,0.8367482
TCGA-05-4424,1.3256898,0.27078402,0.38773233,0.050146557,0.33012524,0.06774163,0.72735083,0.124665186,-0.092276216,0.27602544,0.4773349,-0.013849998,0.45222142,-0.009697369,-0.015362831,0.03640744,0.056502838,0.14116856,-0.0012270219,1.232168,-0.006699045,0.05920676,0.122297354,0.40493825,0.18842958,-0.12276899,0.7547878,-0.029972175,0.14727424,-0.0009279389,0.22604315,-0.043051906,0.097370684,0.3254025,0.0037831913,0.27871424,0.06407286,0.29075906,-0.020067545,0.36360213,-0.0087619135,1.1837118,-0.032213286,0.112196445,0.672526,0.23275533,0.076705895,0.23171891,-0.00057667604,0.102808245,0.058194205,-0.12478512,1.9721702,0.0037430655,0.46465513,0.15329783,0.017571019,0.27838877,1.5294384,0.9828496,0.11232732,0.09759409,1.4627463,0.9414147
TCGA-05-4425,1.3669518,0.34061974,0.2926765,0.08258387,0.46142328,0.26728147,0.69875544,0.13584302,-0.05935046,0.2504908,0.3364785,-0.011733002,0.4036459,-0.012043218,-0.0014869067,0.12364203,0.085215956,0.18586862,-0.0030587304,1.1730479,-0.0058436897,0.1428279,0.051594764,0.23174766,0.026556756,-0.11459421,0.7794903,-0.035454877,0.16646452,-0.016351651,0.12535095,-0.0377726,0.10344411,0.2804743,-0.0037871727,0.19661255,0.0804324,0.33671254,-0.012590433,0.10719535,-0.0031896152,0.9747716,-0.017447708,0.016708586,0.68490547,0.12547249,-0.0014610941,0.2614975,0.06529642,0.03744503,-0.0032586814,-0.11629082,1.7584704,0.23859237,0.40804386,0.021732826,0.19885439,0.22721297,1.327968,0.9101321,0.13065848,0.13723586,1.3145224,0.92291546
TCGA-05-4427,1.5749457,0.15114436,0.45378536,0.24356344,0.50947464,0.3533349,0.83638304,0.2508058,-0.09093917,0.040547658,0.59358704,-0.022440229,0.5401371,-0.001598659,-0.009128458,0.2303707,0.08505583,0.2988591,-0.025961835,1.4464486,-0.006351149,0.14681086,0.14940429,0.30609465,0.2864975,-0.13842879,0.92021465,-0.012815095,0.40305635,-0.008600068,0.27102768,-0.05273667,0.12897557,0.28780833,-0.0053303866,0.1672787,0.02540864,0.32319996,-0.002066447,0.26973647,-0.0065894425,1.2881631,-0.025011009,0.0606659,0.73363435,0.13352536,0.0022306982,0.15789923,0.20742631,0.03298893,0.060889706,-0.14168411,2.2760322,0.1849779,0.36001316,0.24457465,0.05757981,0.20502698,1.7221926,1.0002675,0.033417642,0.13673294,1.5012861,1.0857067
TCGA-05-4433,1.3387123,0.29510462,0.20058656,0.27415603,0.33790419,0.009607036,0.731627,0.026849482,-0.065909706,0.37309164,0.4369089,-0.014355639,0.453596,-0.007792762,-0.0003943174,0.15741439,0.03093956,0.16083363,0.023163855,1.2277846,-0.012427594,0.3239215,-0.003039057,0.27848047,0.010715742,-0.111882806,0.6767086,-0.021242717,0.21956493,-0.0121349385,0.06261255,-0.032917585,0.15266453,0.33982116,-0.0032134082,0.1719973,0.023117509,0.41498002,-0.018154802,0.2999329,-0.006715289,1.1316631,-0.012654287,-0.001985874,0.66011614,0.1795045,0.08792855,0.2055691,0.20674399,0.1685639,0.009702584,-0.11717929,1.7549192,0.22508344,0.29817048,0.11709924,0.076260276,0.20311204,1.3813763,0.93461293,0.21369442,-0.0007779806,1.2579356,0.87648976
TCGA-05-5420,1.4646579,0.5559087,0.2844444,-0.011673196,0.8214608,0.33200246,0.70385754,-0.0004457649,-0.07243524,0.3028901,0.38026568,-0.0031833611,0.46304423,-0.00028324593,0.12942877,0.44762594,0.027404714,0.052365314,0.73785275,1.2514484,-0.004831178,0.09341768,-0.0024098665,0.30404407,0.004697211,-0.10506927,0.831334,-0.039003868,-0.018751884,-0.011296895,0.12870316,-0.044769246,0.031865396,0.4067704,-0.0026882894,0.35479668,0.107012086,0.2573111,-0.0057750824,0.017574225,-0.012858199,1.2222106,-0.016564025,0.004740186,0.65040535,0.20536405,0.1004661,0.11821285,0.41129744,0.057635225,0.12810029,-0.12698205,2.0233934,0.289855,0.56162536,0.27093133,0.14327452,0.21770173,1.3085779,1.0284133,0.14924505,0.15048681,1.4181427,1.0286834
TCGA-05-5423,1.1630949,0.44388592,0.2239857,-0.008362602,0.457316,0.23125027,0.76278967,0.26649,-0.05468318,0.040292006,0.4825743,-0.0017045535,0.27977717,-0.007863141,-0.006911494,0.036998063,-0.0019716935,-0.0005110055,0.27088755,1.0407944,-0.004981972,-0.0005512835,0.13156061,0.28697062,0.06233787,-0.10991035,0.72560394,-0.04041277,0.088765204,-0.011588551,-0.0027489164,-0.04152341,0.08892819,0.26498806,-0.008839482,0.11702195,0.039917447,0.36529794,-0.009752746,0.081440695,-0.0067655235,1.0550858,-0.018317027,0.0064351726,0.65448445,0.043456733,0.12155323,0.3147706,0.19637154,-0.0011896383,0.10258351,-0.08197287,1.6365471,0.2005587,0.34921333,0.15838142,0.30962,0.1992267,1.182132,0.91189265,0.13711034,0.12612422,1.2570273,0.7925795
