patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-3M-AB46,-0.019710032,-0.03657681,-0.34171167,-0.004288964,-0.15284187,0.266032,-0.08257151,1.0819514,1.1367728,0.22668372,-0.1463209,0.076078475,-0.04021424,-0.039341543,-0.08349797,-0.0077965665,0.01626636,-0.0017271553,0.8449061,-0.061735976,-0.030224724,1.1927071,0.08819997,-0.1452797,0.85345393,-0.07519432,0.45591268,-0.022115564,-0.019061893,-0.012899454,1.7222983,0.61526626,-0.019063478,-0.01707241,-0.0032916684,0.15772912,-0.00865484,0.4901112,-0.026737213,-0.0062938198,-0.038349234,-0.08753937,-0.03276045,-0.004739556,0.2474959,0.25913787,0.31581923,-0.021259554,1.3263403,-0.23023215,-0.020385666,-0.053051203,0.48775128,0.56650364,-0.07292873,-0.026390001,-0.07822706,-0.0019243697,-0.1284932,0.87783253,1.6478264,0.18059117,0.39071637,0.04298982
TCGA-B7-5816,-0.055569988,-0.09289703,-0.67152214,0.65691143,-0.24432595,0.5280709,-0.19158204,1.7934574,2.0680864,0.2015092,-0.30541652,-0.011495322,-0.036174428,-0.07661168,-0.20154265,0.060737744,0.25455096,-0.004960552,1.4931238,-0.057225037,-0.030164873,2.4708614,0.57463235,-0.2698972,1.7501531,-0.136856,-0.0012152706,0.60006446,-0.08823803,-0.030352121,0.11245461,0.95159763,-0.0134289265,0.09925507,-0.03505793,0.23950708,-0.022961302,1.2308284,-0.016062552,-0.035209633,-0.12724046,-0.18655127,-0.015025548,-0.012898924,0.47706586,-0.016163772,0.14595899,-0.110449865,2.3989863,-0.4314765,-0.09179836,-0.11433116,1.0579314,0.17105056,-0.23623899,0.5893904,-0.19946077,-0.006600222,-0.20442162,0.038871605,2.332333,0.6104222,1.0430586,0.17300144
TCGA-B7-5818,-0.07888057,-0.1452872,-0.96669513,0.33153743,-0.341337,0.7766318,-0.2712561,2.453836,2.8937309,0.40146822,-0.4280975,-0.009085766,-0.045043785,-0.11828842,-0.28064537,0.09698118,0.46815568,0.012179725,2.066293,-0.07568663,-0.040039245,3.5419726,0.9506544,-0.36488268,2.4605634,-0.19335516,-0.015807448,0.9560453,-0.13280164,-0.050775893,0.086535975,1.446015,-0.009565996,0.19093868,-0.03295796,0.40926117,-0.04656449,1.7175822,-0.017588465,-0.03839667,-0.1699831,-0.2508018,-0.009530793,-0.015644915,0.48064026,-0.020754738,0.17330314,-0.1763865,3.4071178,-0.61620563,-0.12665981,-0.17960958,1.4508626,0.4025065,-0.34478697,0.795758,-0.29934815,-0.011220261,-0.31618497,0.45722952,3.242975,0.66713643,1.4926424,-0.016811058
TCGA-B7-A5TI,-0.03329386,-0.04567659,-0.33538255,0.3220444,-0.14737116,0.35252115,-0.08197221,0.81467557,1.1785111,0.05671653,-0.14645803,-0.014690729,-0.025733596,-0.05694226,-0.10408682,-0.002434947,0.098988794,0.07242633,0.70311713,-0.05970284,-0.013372287,1.1697406,-0.0070818546,-0.10634214,1.0840359,-0.06544006,0.32693514,-0.0077708215,-0.021804146,-0.020333033,1.327386,0.4216155,-0.011722908,-0.02705521,0.4391554,0.21195242,-0.01034059,0.41939637,-0.020419672,-0.0149698695,-0.075932875,-0.0866938,-0.021825658,0.0595085,0.4257012,0.3859438,0.21989512,-0.033437055,1.2443773,-0.21691456,-0.03137832,-0.058696695,0.6032294,0.49962202,-0.08261823,-0.016791454,-0.08054708,0.07165046,-0.115949176,1.0775006,1.5663787,0.34187752,0.592576,0.10020291
TCGA-B7-A5TJ,-0.057305317,-0.15261276,-1.0084888,0.039980564,-0.36444485,0.81044954,-0.29406983,2.472889,2.8639352,0.5871335,-0.47304288,-0.024342459,-0.03754235,-0.12692319,-0.29549846,0.090259686,0.48852265,0.10296955,2.271331,-0.0811786,-0.046089496,3.7161405,0.76165193,-0.38061982,2.5709913,-0.19650461,0.05200327,0.9814531,-0.1341607,-0.044315983,0.13407125,1.5123175,-0.016805386,0.12769268,-0.059423514,0.4558985,-0.051733356,1.8017802,-0.011654488,-0.035953,-0.18781862,-0.25879183,-0.017152958,-0.025994588,0.3412095,-0.037871104,0.3971646,-0.18793376,3.4881315,-0.6433929,-0.11891194,-0.1819261,1.4532837,0.38881645,-0.38605496,0.9147467,-0.29227045,-0.017898016,-0.3290135,0.43166098,3.3229508,0.86648834,1.6976935,0.049552806
TCGA-B7-A5TK,-0.048203703,-0.08579878,-0.579209,0.5303037,-0.20417581,0.36515865,-0.16605504,1.5571893,1.7396835,0.2580116,-0.26543072,-0.015704198,-0.02251204,-0.06425695,-0.15966554,0.019994505,0.26544726,0.05382011,1.2289917,-0.04916488,-0.0242373,2.175115,0.46731248,-0.22728705,1.4713933,-0.11255904,-0.018281968,0.41757214,-0.08351918,-0.01131928,-0.00016933345,0.7593298,-0.0051005627,0.12136215,-0.034478843,0.103689045,-0.011068701,1.0973554,-0.02117852,-0.024769286,-0.10113837,-0.1476229,-0.017713008,-0.0026943425,0.5757634,-0.0065856287,0.12098819,-0.10409148,2.0171454,-0.34898597,-0.07656937,-0.10157559,0.8686462,0.22180933,-0.2105904,0.4734954,-0.16235057,-0.0020109573,-0.16115023,-0.0034296561,2.0606954,0.41345552,0.90523577,0.13754103
TCGA-B7-A5TN,-0.02928468,-0.05316415,-0.35242388,-0.0012270395,-0.15880468,0.27168772,-0.09926261,0.9256463,1.1537573,0.30915222,-0.16030338,0.14633489,-0.013822782,-0.05121357,-0.10141939,0.11826825,0.32444212,0.13650835,0.79662865,-0.03170397,-0.027675608,1.4386555,-0.0052242125,-0.16540073,1.1509112,-0.037616875,0.5164356,0.010354832,-0.023052946,-0.04803378,1.4313039,0.52111286,-0.023520997,-0.036097914,-0.0017685976,0.12868318,-0.00024398956,0.518419,-0.02257751,-0.00322395,-0.04653533,-0.10566052,-0.029372036,-0.004702275,0.21941355,0.41252106,-0.003361672,-0.035344284,1.3315321,-0.23102815,-0.045900773,-0.046588082,0.6595321,0.74473226,-0.094377995,0.051287465,-0.06789748,0.06564074,-0.13408172,0.8126379,1.2998632,0.22806132,0.58074856,0.02921193
TCGA-BR-6452,-0.06353366,-0.1352003,-0.8794603,0.4434512,-0.3159251,0.7569876,-0.25128993,2.2465308,2.6864562,0.46850893,-0.3971078,-0.015416699,-0.039154015,-0.10141461,-0.25381646,0.13521321,0.27263546,-0.002707334,1.873626,-0.079205655,-0.034496155,3.2095132,0.6890094,-0.34119445,2.2606506,-0.15909462,0.023205947,0.81099254,-0.11977296,-0.036743958,0.23189168,1.3171045,-0.024396436,0.10167785,-0.03348189,0.4143441,-0.0385171,1.6558925,-0.013911945,-0.026987066,-0.16203555,-0.21342495,-0.027422993,-0.010929308,0.33717594,-0.029213732,0.1218805,-0.1563695,3.04889,-0.55868405,-0.100451194,-0.1418967,1.2955204,0.5354303,-0.31733423,0.7749753,-0.26773876,-0.014607409,-0.28149033,0.41439483,3.0274758,0.6858184,1.4329058,0.12622595
TCGA-BR-6453,-0.030190846,-0.08296645,-0.51066417,0.14313632,-0.19162354,0.42042848,-0.13697146,1.2673321,1.4474719,0.18919156,-0.22074413,-0.0017803147,-0.015130675,-0.05529393,-0.15570986,-0.005572911,0.25466356,-0.0010168918,1.2122443,-0.049030423,-0.022383086,1.7713989,0.33736682,-0.19631845,1.2334136,-0.10189368,0.11129473,0.33826596,-0.050488096,-0.017291255,-0.000210483,0.6944909,-0.009515953,0.09649791,-0.027201666,0.058919184,-0.01804009,0.92884195,-0.015372115,-0.019400252,-0.08286673,-0.12547328,-0.02507392,-0.007201217,0.48217684,-0.018650852,0.15320487,-0.09898531,1.7228236,-0.31987098,-0.062044807,-0.07994288,0.7669214,-0.0216578,-0.18895498,0.4128462,-0.13364398,-0.004093088,-0.15517783,0.12066808,1.6376554,0.37875167,0.71388626,-0.0050790715
TCGA-BR-6455,-0.05825674,-0.14785428,-0.86011857,0.23779847,-0.3100417,0.8732525,-0.2569668,2.2015557,2.5206988,0.38065293,-0.38815424,-0.00932712,-0.04173517,-0.11487503,-0.25826177,0.14828788,0.4513323,0.32900646,1.9498111,-0.071680546,-0.03499105,3.2097836,0.8159654,-0.330279,2.2835817,-0.17107889,0.18449634,0.836445,-0.1095245,-0.04882781,-0.01359822,1.1548908,-0.017813032,0.21147673,-0.044681054,0.39502856,-0.04188782,1.6748712,-0.015644133,-0.022695422,-0.16456218,-0.23255704,-0.024811132,-0.0020150756,0.6619067,-0.023923088,0.29201993,-0.1548724,2.9405544,-0.5572869,-0.12818846,-0.16219625,1.1049457,0.2126011,-0.3144492,0.762937,-0.25128445,-0.006455549,-0.27776375,0.25889304,2.7611527,0.7656847,1.5111529,-0.003065291
