patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-3M-AB46,0.145771,0.33179164,0.74669504,0.7202183,-0.011386723,-0.00024029064,0.17474747,0.35107678,0.25416878,0.18186422,0.23495083,-7.949025e-06,0.09948784,-0.0006765139,-0.0008634133,0.08037183,0.14303894,0.22362833,0.34326202,0.110440195,-0.003653766,0.23526552,0.033949792,0.64322436,0.13741398,0.09068176,0.3319989,0.38438308,0.19512355,-0.008722082,0.95959055,0.36752623,0.022323348,0.1972349,-0.0050533195,0.1907828,0.86521125,0.20169707,-0.004815191,-0.024082508,0.12325364,0.06701937,-0.01126502,0.07607438,0.11346783,0.12913984,-9.7758326e-05,0.742911,0.098239005,0.08115019,0.32032543,0.69473857,0.023753244,0.18804611,0.11344148,0.041600317,0.24585697,0.2759139,0.19590151,0.13923624,-0.0004431384,1.0325679,0.026585685,0.30535877
TCGA-B7-5816,0.18333761,0.4490982,0.73638344,0.9324098,-0.019011663,-0.013963263,0.2822106,0.28206605,0.054666672,0.050153382,0.21480453,-0.017076246,0.038761884,-0.0065596336,0.20165536,-0.018238915,0.14065391,0.3447273,0.8843378,0.35497713,-0.018052563,0.20127133,-0.008904833,0.78502613,0.18343379,0.1986716,0.8993513,0.072402015,0.021290883,-0.007020735,1.3637124,0.28659213,-0.01620755,0.23081842,-0.012885543,0.31003913,1.3853155,0.0576185,-0.008500749,-0.0117103895,0.32433212,0.076848,0.04940561,0.07402328,-0.022015855,0.27303258,-0.009401057,0.8741961,0.0057824366,0.25847623,0.18742153,0.7415312,0.13220613,0.23620707,0.15381308,0.09484691,0.324514,0.39432853,0.20814449,0.09638373,-0.01314415,1.2819929,0.1466339,0.4587993
TCGA-B7-5818,0.21566415,0.31130627,0.82305956,0.8174383,-0.0031263921,-0.0057722954,0.23709853,0.22226556,0.21841647,0.17157358,0.1483898,-0.017834643,0.05317217,-0.005429543,0.21861546,-0.008267837,0.11755351,0.15722708,0.4190824,0.2310888,-0.015923882,0.41965374,0.011037821,0.6302389,0.0008734409,0.11054362,0.5128822,0.28056103,0.040054925,-0.0007852527,1.1334957,0.28770772,-0.00041348633,0.11637689,-0.0047202664,0.27756903,1.1801938,0.3099999,-0.023999972,-0.022084845,0.2460238,0.057963688,0.06756629,0.06675038,0.055740885,0.32731435,0.017791528,0.6473311,0.0453283,0.023025213,0.031606287,0.7568761,0.1449489,0.21548548,-7.33979e-05,0.012796558,0.098666385,0.26897687,0.35004285,0.094864406,-0.0066839787,1.3031495,-0.011281662,0.6607499
TCGA-B7-A5TI,0.08780089,0.19493058,0.5991115,0.6306819,-0.01663871,-0.0053786305,0.118941605,0.124708876,0.15294985,0.107565746,0.18903126,-0.014382027,0.024169179,-0.005586188,0.07337982,-0.010924901,-0.005170788,0.028424291,0.37205166,0.18774544,-4.3042005e-06,0.047836684,0.08979091,0.5816558,-0.00013256763,0.01115353,0.4030727,0.18557703,0.050760515,-0.008619297,0.8109664,0.22931212,-0.009480206,0.04497279,-0.005813928,0.19650446,0.8454033,0.08290791,-0.007517755,-0.013127542,0.1532971,0.009035286,-0.005501864,0.00928481,0.16173884,0.24398243,-0.0011646607,0.53634673,0.09382327,0.13737613,0.049709015,0.4608165,0.09115353,0.1507169,0.17145549,0.0035539418,-0.0066768094,0.26707214,0.14748123,-0.0052980366,0.060602523,0.8068046,0.074111275,0.29570362
TCGA-B7-A5TJ,0.08757454,0.14762075,0.44036075,0.5480627,-0.00095691945,0.016760401,0.057191793,0.15810339,0.19536713,0.08859391,0.1965363,-0.010285417,0.13616993,-0.0042980937,0.035181664,0.04665713,-0.0007111788,-0.0053716004,0.40315646,0.12301062,-0.002862663,0.08689051,0.16810675,0.5580014,0.03388364,0.05172744,0.25571167,0.2736235,0.09659572,-0.010602481,0.7858684,0.19312984,-0.006653487,0.071824536,-0.012328349,0.07920906,0.76207054,0.14365749,-0.001299511,-0.009739013,0.19887939,0.04376599,-0.0072876937,0.012680315,0.17210639,0.23120615,0.017408859,0.5055854,0.04170974,0.13890642,-0.0032952891,0.49051747,0.11172043,0.12445997,0.13680914,0.023576535,0.0868264,0.17414138,0.11200697,-0.0034132206,0.019117402,0.7852302,-0.0024396244,0.29482138
TCGA-B7-A5TK,0.05995803,0.14802085,0.33301103,0.38489532,-0.011905295,-0.005095951,0.12054235,0.11846552,0.10345173,0.05953662,0.06201669,-0.007737361,0.0595674,0.018101554,0.047739953,-0.0010566552,0.08483751,0.04818686,0.22422872,0.09886957,-0.010063714,0.006633794,-0.00023664701,0.31444812,0.004562784,0.026199345,0.2070925,0.19552281,0.07289444,-0.004181107,0.53575736,0.16471474,-0.009099378,0.033395518,-0.004486653,0.15882617,0.47596288,0.086692944,-0.0077371323,-0.0055163484,0.07549549,-0.0048377435,-0.006989987,0.018800654,0.0811424,0.10554742,0.019602507,0.29125893,0.03789413,0.12576473,0.06975643,0.32253227,0.04928463,0.1102729,-0.00031898878,-0.0033968352,0.011238709,0.13925359,0.068394914,0.0034466311,0.0012926739,0.5333877,0.06580147,0.11816427
TCGA-B7-A5TN,0.095332116,0.16888379,0.46875072,0.52508646,-0.009776875,-0.0034736467,0.0025720075,0.19924064,0.1302773,0.08580249,0.14604403,-0.010214174,0.13512646,-0.0034405012,0.08033764,-0.0052382117,-4.2211264e-05,0.109144844,0.55712134,0.15491906,-0.0049355254,0.010879224,0.078459635,0.5262166,0.014681708,0.06928776,0.36784908,0.13347894,0.008536175,-0.011882654,0.82092947,0.16867092,-0.012058458,-0.0008068271,-0.002198963,0.19634856,0.7552936,0.113873795,-0.0044972985,-0.010958212,0.16946602,0.05623107,-0.001513533,0.06744371,0.1078565,0.17973238,-0.0023488924,0.5442277,0.022616088,0.16445045,-0.00074801076,0.45951375,0.14808172,0.15351969,0.08134892,0.0046538636,0.124602705,0.27340847,0.13334742,0.031850763,-0.0027800938,0.66951305,0.05903015,0.24755564
TCGA-BR-6452,0.18483737,0.3289842,0.7805666,0.781614,-0.008200699,-0.007064249,0.069414526,0.21064906,0.13345501,0.13453668,0.07997864,-0.019845469,0.0612711,-0.0011119243,0.12563813,0.04246601,0.20732671,0.100991495,0.35105842,0.26234162,-0.009214177,0.24924079,0.025991337,0.6431047,0.1415519,0.19028981,0.28951138,0.21020515,-0.00095865055,-0.006336251,0.95666665,0.29013595,-0.015344063,0.13368955,-0.017799644,0.18285592,1.0995953,0.0727664,-0.0075458954,-0.007528438,0.28558046,0.17745163,0.053449992,0.057748877,0.00651158,0.21369633,-0.0036217005,0.6421993,0.04371857,0.07523911,0.019114546,0.6699152,0.12967096,0.11496711,0.16528167,0.047803007,0.14962603,0.25791937,0.18484688,-0.0021108014,0.02074496,1.0394411,0.04284502,0.59207016
TCGA-BR-6453,-0.006688436,0.38234645,0.7100365,0.6139878,-0.0146854315,-0.0076705404,0.12189199,0.22878557,-7.648841e-05,-0.0076031075,0.29811215,-0.0088559585,0.078182906,-0.010282421,0.03129638,-0.014518233,0.11533878,0.07831228,0.6403949,0.20380168,-0.013441778,0.16346802,0.120969296,0.68135023,0.14230555,0.16114222,0.5444508,0.23229954,0.10620187,-0.0072275396,1.050785,0.31790197,-0.009369781,-0.0005788129,-0.014985095,0.28236258,0.95268977,0.008385655,0.028077815,-0.010328657,0.13149326,0.04148655,-0.0035793704,-0.010554052,0.103001565,0.16832489,-0.010036539,0.6748639,0.118258044,0.2598361,0.16629925,0.47438648,0.11331393,0.19090346,0.22271205,0.06475473,0.12192316,0.26557222,0.14437369,0.050810896,-0.000570895,0.94727904,0.26451224,0.2332839
TCGA-BR-6455,0.11988211,0.26405233,0.67285305,0.638241,-0.011146496,-0.006622483,0.053767253,0.33574647,0.12843812,0.03780096,0.15514328,-0.009423477,0.017734786,-0.0026783568,0.14923152,-0.00063513295,0.22106338,0.06172274,0.35434878,0.19991437,-0.0191566,0.32556877,0.035117663,0.5943983,0.04209891,0.19812457,0.4161797,0.31563437,0.2068063,0.04972798,0.9126386,0.34976256,-0.0072513293,0.02804764,-0.0099668475,0.11974616,0.86933535,0.111330464,-0.012417257,-0.008011964,0.21639979,0.022560898,-0.0028121967,0.0021460997,0.15312311,0.18455547,-0.0035367347,0.5736249,0.14083117,0.13405272,0.15267798,0.53821135,0.010463327,0.19337364,0.12068872,0.018487401,0.15754053,0.23608558,0.010369312,0.026961617,-0.0006714491,0.91779953,0.13218422,0.317393
TCGA-BR-6456,0.04814716,0.12674472,0.319768,0.39557543,-0.012271619,-0.0061839973,0.011298403,0.1410847,0.04989374,-0.0010116976,0.10398778,-0.0050298865,0.019347647,-0.005363488,0.058593467,-0.008788391,0.101927556,0.042702682,0.3486917,0.15986165,-0.011758514,0.03115253,-0.0008850565,0.37866828,0.045524515,0.043561544,0.31227967,0.15272817,-0.000472378,-0.0018345874,0.61545926,0.14013235,-0.009153603,-0.00014903434,-0.0025001168,0.18655577,0.5321307,0.0667555,-0.005078949,-0.0059003406,0.13299298,-0.0015215554,-0.0019162133,-0.0019462839,0.03230406,0.09236335,0.0050489977,0.31133515,0.07073574,0.14347294,0.10208717,0.3154888,0.07053824,0.16233887,0.0100099,-0.0018681564,0.049368985,0.17469496,0.040361382,-0.001735273,-0.0014429262,0.56388175,0.09968411,0.06987502
TCGA-BR-6457,0.0055594705,0.2485931,0.43503737,0.49415827,-0.0072841346,-0.008492982,0.099123806,0.1784428,0.023288384,-0.00043161513,0.09275728,-0.007692182,0.04989355,-0.0068517188,0.09808777,-0.009003918,0.117936954,0.11533781,0.47900766,0.24764489,-0.011464587,0.15014459,0.069686666,0.46895787,-0.002843002,0.14063476,0.35122883,0.17952207,0.037439726,-0.0016438805,0.7230422,0.19669488,-0.011687427,-6.269887e-05,-0.0057930765,0.2141576,0.6824434,0.115275934,-0.0037624426,-0.0068317684,0.122866526,0.067728445,-0.0047747907,-0.006627455,0.04421153,0.08218423,-0.0034362264,0.41584697,0.10485922,0.22158337,0.052192897,0.3549861,0.12733589,0.18039145,0.09409435,-0.0026305204,0.039205343,0.20892312,0.015223278,0.043181263,-0.0009898348,0.68254787,0.17713243,0.21749118
TCGA-BR-6458,0.08260389,0.36717647,0.6679537,0.6185233,-0.009363921,-0.011951803,0.24715517,0.26197058,0.09341359,-0.005436927,0.1130723,-0.011236878,-0.0034565793,-0.0045280973,0.17249115,-0.0118883,0.19004388,0.1062439,0.48980534,0.17793483,-0.016717909,0.2376019,0.06210421,0.7702763,-0.004822556,0.20093726,0.43829057,0.30709344,0.089278564,-0.0007679838,0.9234089,0.29842108,-0.01383909,0.06265023,-0.015953816,0.26087162,0.998503,0.0052348636,-0.009909301,-0.005182925,0.12932545,0.11881663,-0.0007123206,0.01700835,0.14876905,0.15939382,0.025085896,0.70494676,0.20983204,0.23759739,0.019957975,0.5889359,0.13374168,0.23142543,0.1017112,0.0027090162,0.1746905,0.21516618,0.01867913,-0.002794326,0.0149388295,0.92953146,0.15401943,0.22204617
TCGA-BR-6563,-0.004988641,0.06122205,0.2543667,0.36288387,-0.012176399,-0.0014656793,0.020738501,0.10815244,0.10751262,0.049232148,0.09053833,-0.015052487,-0.0032404475,-0.006042996,-0.00041863305,-0.0016714294,0.06019772,0.030615004,0.3268488,0.27184683,-0.0041526686,-0.0020325887,-0.0032711476,0.30238363,0.043290667,0.07613763,0.31027865,0.12235066,-0.0012785819,-0.0058730314,0.5708333,0.20705305,-0.0035573062,-0.0071175057,-0.007724549,0.10630903,0.4267263,0.066862196,-0.006056235,-0.0034397661,0.08603139,-0.008760603,-0.0006215524,-0.004944449,-0.0017153368,0.10143534,0.024558004,0.27637008,-0.0018387046,0.15409167,0.11886819,0.19371827,0.087315544,0.23042409,0.13251634,0.0113891065,0.026409343,0.083417505,0.03899126,-0.004742875,-0.0050537004,0.43027514,0.066428386,0.008994963
TCGA-BR-6564,-0.0037323625,0.19230938,0.32301635,0.42266175,-0.011067792,-0.008399591,0.111038044,0.1389006,-9.104163e-05,0.010980101,0.13743249,-0.006291484,-0.000115758,-0.005717339,0.071699634,-0.008031651,0.0982881,0.047817916,0.36108416,0.24602656,-0.010959053,0.089675896,0.06657265,0.38483256,0.047467962,0.09163894,0.35279042,0.15135878,0.0006651394,-0.005412055,0.6024169,0.2498464,-0.009450599,-0.0027027938,-0.0047393073,0.18457729,0.5506306,0.08472388,-0.004478617,-0.005004825,0.10459779,-0.0007823188,-0.005954334,-0.0074628643,0.036522288,0.07901302,-0.00021668225,0.3057162,0.072561994,0.17608058,0.07062879,0.2984974,0.06999014,0.20241989,0.04141526,0.00055898726,0.053036965,0.15303738,0.019524653,-0.0018969439,-0.004651417,0.55937177,0.149188,0.09564605
TCGA-BR-6565,0.08468045,0.2135941,0.4830982,0.5394148,-0.009380352,-0.0064974497,0.0889951,0.23412375,0.10018204,0.03164222,0.13257085,-0.011751184,0.11601484,-0.004658353,0.08788144,-0.0022997966,0.10095541,0.039332047,0.42187166,0.1490759,-0.017087033,0.11842092,0.0487912,0.48450246,0.013057543,0.15824763,0.37324348,0.21372983,0.03312017,-0.0021728396,0.75012404,0.20851076,-0.009964104,0.04853751,-0.0045328545,0.16029027,0.7541724,0.088122845,-0.009267938,-0.006717503,0.16871372,0.08941217,-0.0052041435,0.017861027,0.03984809,0.10493628,-0.00029558092,0.44710985,0.06569277,0.15561038,0.13746694,0.45310125,0.08711141,0.17019877,0.09236171,-0.0025067052,0.09385921,0.19082423,0.04983283,-0.0008021392,-0.0018582983,0.7919371,0.11440325,0.20513694
