patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-3M-AB46,0.12450808,0.102272764,0.041413177,0.15336794,0.75416994,-0.001106047,0.203013,-0.013272896,-0.08184915,-0.07709014,-0.00086156785,-0.016279258,0.011807401,0.29546627,0.11109725,0.035156574,-0.0033542484,0.17944598,-0.044849005,1.4995935,-0.016553411,-0.02072996,0.037592053,0.15310527,-0.025953049,0.5351318,0.043651287,0.40122083,-0.0030730974,-0.001415818,0.02187073,0.9014669,0.12851593,0.32780567,-0.019189628,0.1466032,0.27317584,-0.0027820503,-0.016308434,-0.019102858,0.021277409,-0.0023761166,-0.0078858975,0.19841602,0.6694793,0.13168152,0.30632377,-0.0013370246,-0.05966987,-0.075962365,0.070300594,-0.09898983,1.4374062,-0.031291906,0.2634215,-0.01702785,-0.018594155,-0.041106127,1.1878791,1.4262948,-0.008826259,0.052205205,0.80585563,1.2607782
TCGA-B7-5816,0.1648866,0.0356837,0.1616484,0.055069875,1.0537734,-0.008039235,0.20930107,-0.005872965,-0.09002545,-0.1251755,0.1208602,-0.011329494,-0.004898349,0.18135692,0.31453073,0.24247424,0.17396466,0.0052363276,-0.04754817,2.1062117,-0.0053867386,-0.047941443,-0.009205694,0.11795069,-0.04186974,0.2535262,0.3285082,0.11314268,-0.021069879,-0.018980183,0.41946718,1.5376723,0.3832434,0.4322285,-0.011268429,-0.008366949,0.04239531,0.23075797,0.025283698,-0.013174734,0.017820269,0.19530374,-0.013589007,-0.0092786765,0.9360859,0.26823565,0.40751472,0.2155926,-0.08818421,-0.09319177,0.05542727,-0.10958067,1.9164276,0.021005062,0.5111051,-0.0060085733,-0.03477557,-0.05040461,1.7486048,1.8863212,-0.038569972,-0.02244313,1.1222634,1.7625698
TCGA-B7-5818,-0.00309946,0.06308324,0.042044967,0.06102581,0.44805428,-0.008093244,0.0070135407,-0.016193269,-0.06754707,-0.08850737,0.07222879,-0.007944876,0.005368028,0.04165036,0.26003575,0.14001046,-0.009391676,0.19879009,-0.030152751,1.3167624,-0.016434135,-0.030242115,-0.0033824865,0.1190542,-0.021921404,0.39407766,0.01604279,0.34483454,-0.011950611,-0.004128287,0.071858615,0.7637508,0.19318959,0.24189198,-0.012394125,-0.003720145,0.1111415,0.014886131,-0.0028188755,-0.010910383,0.09844985,-0.008635591,-0.0058809943,-0.0036855394,0.52775526,0.21830072,0.21175238,0.026643666,-0.049923282,-0.0658064,0.034849457,-0.09574113,1.158475,-0.019405475,0.17463669,-0.0045400355,-0.02497423,-0.034752775,0.97699165,1.2281122,-0.020049749,-0.0068470286,0.68531454,1.1815586
TCGA-B7-A5TI,0.11242158,0.14584982,-0.0023803876,0.11900659,1.0132059,-0.012719715,0.23951256,-0.011099974,-0.10883615,-0.11585941,0.081167035,-0.004169985,0.03444945,0.013765958,0.33819562,0.13167897,0.15337165,0.03083969,-0.05368637,1.9220873,-0.013630583,-0.033994567,0.03825536,0.14384067,-0.036866535,0.26876375,0.21678393,0.097559854,-0.02251119,-0.0047407798,0.33408555,1.4608856,0.36441624,0.42010456,-0.018179351,-0.003809164,0.04355736,0.0749153,-0.009077137,-0.015904723,-0.005122284,0.12218664,-0.006348226,0.015796743,0.9249728,0.16032727,0.5607255,0.14968988,-0.08460633,-0.08692915,0.025294704,-0.10986866,1.8850228,0.0071946625,0.51135874,0.005171247,-0.02708076,-0.06199198,1.5798551,1.8898109,-0.019870464,-0.012580051,1.1063318,1.6133875
TCGA-B7-A5TJ,0.043556456,0.099378526,-0.0018483981,0.11404501,0.6841595,-0.013537958,0.10548292,-0.00464417,-0.07661403,-0.07792005,-0.0004688494,-0.0009107526,0.05310198,0.2706962,0.2110439,0.06939997,-0.00021042154,0.060549855,-0.03349552,1.3340101,-0.012793648,-0.03710442,0.025376266,0.16284966,-0.032229215,0.29786077,0.09727447,0.32560572,-0.009998737,-0.010583336,0.19874701,0.92118764,0.17142075,0.2881913,-0.011094569,0.05805019,0.1568707,-0.0003735167,-0.013449474,-0.01617316,0.047816493,-0.0027776198,-0.0067642764,0.029925302,0.57885194,0.09714624,0.23155463,0.04511096,-0.0514691,-0.0707246,-0.0071852463,-0.08607938,1.3474365,-0.007553398,0.21602851,-0.012711385,-0.016535029,-0.04049477,1.1510645,1.3221564,-0.01793334,-0.0055083423,0.77555186,1.189176
TCGA-B7-A5TK,0.16101573,0.08649611,0.12733483,0.19958945,0.99908745,-0.015148676,0.17420287,0.11120133,-0.08873289,-0.09956687,0.13025507,-0.014053585,0.08767212,0.132199,0.16269231,-0.0022714522,0.03138667,0.07537083,-0.059563708,2.0268576,-0.0015399458,-0.039795306,-0.0023909418,0.2597839,-0.036127504,0.4260878,0.28342503,0.2984561,-0.008497513,-0.013573909,0.21384512,1.3921815,0.38215175,0.46728912,-0.0106957285,0.3018752,0.16766217,0.24458493,-0.008062422,-0.010568485,0.077143595,-0.002026178,-0.015288408,0.12114733,0.8751991,0.12916368,0.55453354,0.08431724,-0.06868859,-0.088747405,0.2706288,-0.10944281,1.8585141,-0.008691374,0.4884706,-0.004415284,-0.028026968,-0.06480825,1.7241226,1.8968452,-0.023977866,0.04482198,1.0002993,1.6728196
TCGA-B7-A5TN,0.17072535,0.057263203,0.12129638,0.12221725,1.2385496,-0.007151195,0.1368693,-0.00837064,-0.10952263,-0.10825094,-0.0019755948,-0.010408622,0.07568015,0.2325493,0.098265186,0.013345245,0.14036869,0.023345962,-0.056088336,2.0825603,-0.010835337,-0.043554906,-0.007094742,0.10927859,-0.043620467,0.31071162,0.4034511,0.166095,-0.0064924224,-0.004196878,0.4710419,1.6041454,0.36311737,0.3825187,-0.013638832,0.121869504,0.20619039,0.18725052,-0.01202842,-0.015411834,-0.0014276318,0.07907938,-0.015840128,0.100794286,0.9856605,0.19067629,0.5736726,0.16650559,-0.0793318,-0.088528976,0.041609537,-0.099369325,2.0116568,-0.0015248012,0.5205272,0.056048628,-0.0368908,-0.06250093,1.7580953,1.9962164,-0.030340904,-0.010699927,1.0008745,1.8058288
TCGA-BR-6452,0.1184815,0.20119949,-0.0022888642,0.007715594,0.74506533,-0.014358898,0.22522026,-0.0006206419,-0.091753796,-0.12218418,0.039258115,-0.010952002,0.07339804,0.036297556,0.3343028,0.17313772,-0.007532579,0.24227142,-0.0549149,1.7712679,-0.0062320842,-0.046962574,0.051748935,0.23851891,-0.041088484,0.58560634,0.18853332,0.43014053,-0.017877886,-0.013089648,0.26763025,1.2318223,0.1696437,0.38726008,-0.015181375,-0.015814444,0.22044566,0.03155254,0.057992112,-0.013262336,-0.0040864847,-0.00871957,-0.0117092235,-0.002328065,0.7700774,0.24972269,0.40069318,0.05495393,-0.062454816,-0.099970534,-0.001497072,-0.121868506,1.758012,-0.0138870105,0.3373878,-0.02145207,-0.03686781,-0.05103032,1.5042355,1.7722604,-0.021436768,-0.0067717987,0.9812775,1.6518209
TCGA-BR-6453,0.12350577,-0.004002791,-0.010472326,0.28749865,1.0718936,-0.018628705,0.15611513,0.09326117,-0.109469734,-0.11073828,0.18464556,-0.0017270927,0.16054611,0.15941954,0.48103645,0.090489805,-0.0044912174,-0.0010192164,-0.048221532,2.0546024,-0.028061507,-0.047215093,-0.006104069,0.088195994,-0.060083468,0.13875058,0.16036403,-0.0025889564,-0.028147941,-0.019955873,0.10608495,1.4409118,0.3147421,0.46120134,-0.0152772935,0.21964976,-0.0036342547,0.19496992,0.017243527,-0.01591574,-0.011108432,0.26077187,-0.0070773484,0.12105675,0.83734715,0.2614308,0.52137315,0.14816263,-0.093264066,-0.08634517,0.04024769,-0.10704994,1.8790764,0.13132659,0.40498567,0.051395603,-0.022845713,-0.058767337,1.6632435,1.7956724,-0.02651578,-0.019910332,1.1065928,1.719585
TCGA-BR-6455,0.22705856,0.15747352,-0.0004448704,0.107225984,0.9044195,-0.015451384,0.19631952,-0.0012115419,-0.09890183,-0.11529132,0.07875351,-0.019331718,0.050029647,0.003302482,0.39753267,0.06148461,-0.011106523,0.27702966,-0.050622594,1.9045917,-0.019302925,-0.048506703,0.1515339,0.16557445,-0.03100716,0.48098695,0.26209795,0.38828897,-0.020941643,-0.005153268,0.1155337,1.4367764,0.23462573,0.3944398,-0.01624354,0.06318907,0.25759676,0.17823386,-0.0018859949,-0.0035861921,0.00657814,0.0033521727,-0.0067378404,-0.005867464,0.7683637,0.15975319,0.3962477,0.06696542,-0.08080134,-0.102613606,0.28840095,-0.12966986,1.7361584,-0.0225761,0.26439312,-0.0030598459,-0.031974927,-0.05919064,1.406395,1.8548181,-0.038353957,-0.008899981,1.025887,1.6498629
