patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-3M-AB46,-0.029904544,0.29294035,0.552244,-0.35845438,0.09228223,0.7793331,0.58144385,-0.09024528,0.94590497,0.17283794,-0.013002611,-0.026524542,-0.14742225,-0.099857144,1.2889318,0.13971223,0.22040595,1.6179041,-0.1961183,-0.09116671,0.38658753,-0.013752985,-0.019452957,0.18993156,0.1623405,0.9450257,-0.08314692,-0.035141006,0.80175436,-0.054481525,-0.0065209465,-0.111568294,0.0031457432,0.06318071,-0.22198911,-0.1610361,-0.10289182,-0.056116827,1.0975145,-0.12660673,-0.01703251,-0.05240438,1.0038497,-0.0016775628,-0.06900331,0.41821426,0.4358219,-0.049422324,0.6283472,0.028339844,-0.004871188,-0.1543046,0.13673022,-0.011495293,1.1249343,0.7113495,1.0977818,0.060081366,-0.14754142,-0.012686198,0.10793278,-0.0076751127,-0.08330273,-0.008332151
TCGA-B7-5816,-0.08356311,-0.0022898787,0.13130474,-0.7366212,0.47701597,1.478132,1.0799373,-0.13870727,1.3340001,0.37912354,-0.01187324,-0.124223106,-0.2602221,-0.19255888,2.153018,0.34837797,0.37382057,-0.0021519219,-0.48596224,-0.27428356,0.6022375,0.05348987,-0.021066252,0.32672492,-0.003968956,1.1437956,-0.21085158,0.032916933,1.6830626,-0.10640999,-0.04182722,-0.2860285,0.076945685,0.3878243,-0.46181542,-0.3033732,-0.19573803,-0.13542174,2.4517097,-0.25152627,-0.023502214,-0.097380586,1.6572449,-0.025905991,-0.05003453,0.112168536,-0.037358224,-0.09063058,1.1474316,0.18087538,-0.015709985,-0.35690442,0.75821126,-0.017840464,2.4974253,1.514959,1.8295745,-0.01190314,-0.27541676,-0.09585859,0.6199648,-0.021166552,-0.1516726,-0.031497184
TCGA-B7-5818,-0.10586486,0.0852018,0.08430761,-1.0424592,0.5267409,1.9314849,1.6698096,-0.2176172,1.8409308,0.63029635,-0.029552227,-0.17374687,-0.3955318,-0.27009743,2.9836051,0.36408326,0.55090827,-0.0065320483,-0.70407474,-0.3919022,1.2795179,0.10990013,-0.013629004,0.24289955,-0.016474398,1.5863051,-0.2705401,-0.008653524,2.130138,-0.16498888,-0.054814275,-0.40349236,0.06799292,0.3861849,-0.6370681,-0.48141655,-0.28739902,-0.16268024,3.5097983,-0.3374444,-0.026852623,-0.14855626,2.3554852,-0.050199207,-0.058448106,0.19489782,-0.031995054,-0.11465321,1.5119117,0.024627525,-0.032083,-0.51708543,1.2081734,-0.032296844,3.5289805,2.134657,2.812633,-0.019560857,-0.37965012,-0.15225862,0.23573667,-0.02573706,-0.23297666,-0.027315332
TCGA-B7-A5TI,-0.02835211,0.4424638,0.64873505,-0.3434555,-0.02567713,0.7543545,0.56249803,-0.051963806,0.7203519,0.28948787,-0.018737646,-0.04057462,-0.1626456,-0.08688866,1.4759656,0.16957523,0.16047774,1.1134441,-0.21243787,-0.084389225,0.39670634,-0.043234386,-0.026770461,0.07575426,0.15509081,0.8055541,-0.090664126,-0.0013927907,0.65295476,-0.08716736,-0.028150365,-0.124788895,-0.023679897,0.061299957,-0.21972123,-0.14878118,-0.11255189,-0.049623966,1.3200155,-0.1347757,-0.010108322,-0.040418915,0.97248083,-0.019983483,-0.05831181,0.41550678,0.17901435,-0.04077184,0.4006065,-0.011417599,0.07324831,-0.16646332,0.09932508,0.06016305,1.0531374,0.55314213,1.2511758,-0.022112828,-0.1275138,-0.019922933,-0.007878147,-0.04011818,-0.06648477,-0.014558989
TCGA-B7-A5TJ,-0.116495304,0.19849509,-0.007878549,-1.114135,0.5744838,2.0075774,1.7001321,-0.20750645,2.039935,0.6066827,-0.04449857,-0.171059,-0.4102225,-0.2957103,3.0404184,0.40711132,0.62979865,0.096568696,-0.75615335,-0.4199747,1.3275588,-0.0076637627,-0.0054766196,0.18570422,-0.0022479955,1.9282712,-0.3047822,-0.015566299,2.1346798,-0.18410593,-0.058805674,-0.41274294,-0.0059664072,0.22514684,-0.6640751,-0.5093044,-0.32651016,-0.1838192,3.5747962,-0.36286065,-0.015848568,-0.15238504,2.484947,-0.03542313,-0.082414374,0.1838641,-0.03751631,-0.107670344,1.646379,0.30278626,0.079619825,-0.5517543,1.2353917,-0.0370688,3.5131795,2.3767421,2.8507638,-0.024243884,-0.38380238,-0.16488637,-0.0019274027,-0.020357523,-0.23476525,-0.016485697
TCGA-B7-A5TK,-0.06144301,-0.002619021,0.24784032,-0.6253033,0.34785634,1.3646299,0.9838301,-0.12971292,1.2085015,0.5248559,-0.008015302,-0.11164105,-0.23389803,-0.16776328,1.8344823,0.25432292,0.38448396,-0.009496341,-0.41356474,-0.22858344,0.5655483,0.11252068,-0.009641,0.2163237,-0.012210567,0.83850044,-0.17138402,0.022833884,1.4086492,-0.0926727,-0.021588663,-0.24973312,0.073128596,0.44670653,-0.38910848,-0.2538935,-0.17768207,-0.10583426,2.0748184,-0.2124372,-0.011007211,-0.061603725,1.3055555,-0.03817297,-0.050977256,0.045721434,-0.019846361,-0.08147364,0.90729886,0.15819961,-0.011391555,-0.30762357,0.732545,-0.029305816,2.0912337,1.3009092,1.6010227,-0.023048745,-0.22273846,-0.0982201,0.5293478,-0.012059818,-0.13527219,-0.01632276
TCGA-B7-A5TN,-0.02289517,0.35766664,0.7953229,-0.38260266,0.008252798,0.78930557,0.9027584,-0.06463468,0.72691035,0.2126702,-0.03192011,-0.019899609,-0.1478881,-0.095576935,1.5561355,-0.0067659724,0.13944192,1.3240017,-0.2220674,-0.10223664,0.30450368,-0.019616123,0.13549812,0.16231586,-0.015795546,0.82756,-0.07813152,-0.011118213,0.88895607,-0.08132401,-0.04831352,-0.12025937,-0.03365478,0.009960242,-0.23646016,-0.15895908,-0.106032036,-0.057312217,1.4944322,-0.12220263,0.061010655,-0.04205261,1.0914406,-0.007743151,-0.054489907,0.617308,0.094276026,-0.043537714,0.77333957,-0.01139425,-0.0025598137,-0.16629584,0.43925437,-0.00579922,1.2019316,0.66676307,1.3483349,-0.0020902292,-0.14992921,-0.03644945,0.0031233802,-0.009342117,-0.09326474,0.070560604
TCGA-BR-6452,-0.09752516,0.17153783,0.15478642,-0.94997275,0.45641965,1.9009824,1.5300161,-0.18390362,1.7815149,0.46518108,-0.01794178,-0.14288805,-0.333866,-0.24279605,2.7844825,0.3369476,0.53363806,0.05015223,-0.62136734,-0.3404096,0.98395526,-0.00014470964,-0.021704102,0.3333117,-0.0030149613,1.5266819,-0.27030322,0.0315364,1.879249,-0.15985048,-0.0520005,-0.37076756,0.039116293,0.27902853,-0.59819025,-0.4167792,-0.27388236,-0.15842755,3.105712,-0.3271148,-0.029608889,-0.12778454,2.124507,-0.04134531,-0.06801755,0.12654246,-0.028975371,-0.12217369,1.4233892,0.19341412,-0.019828742,-0.47583547,0.9602946,-0.02486003,3.1391501,1.9056119,2.5480592,-0.010444014,-0.33409297,-0.13315782,0.44580233,-0.02957946,-0.21204774,-0.03536717
TCGA-BR-6453,-0.05858623,-0.002571646,0.074210085,-0.5528992,0.30627376,1.0520012,0.87093276,-0.103185736,0.98805827,0.55211645,-0.0050333254,-0.09175932,-0.18722779,-0.13169143,1.660892,0.21473646,0.32765558,-0.0065194666,-0.36406723,-0.21159485,0.4874207,0.052304976,-0.011207537,0.102723174,0.0085457675,0.98332417,-0.15321295,0.065199904,1.2877856,-0.07544086,-0.018980032,-0.22806011,0.13315907,0.21410476,-0.333378,-0.23977967,-0.16111238,-0.10703363,1.7406954,-0.18025368,-0.012202251,-0.06677721,1.2760168,-0.027548475,-0.046752498,-0.0075491816,-0.025360314,-0.058534916,0.67491317,0.29680824,-0.0014423227,-0.27470466,0.5473833,-0.017894082,1.7921228,1.1439987,1.3964938,-0.01628749,-0.18594383,-0.09205397,-0.0012083407,-0.008062951,-0.11389496,-0.022208197
TCGA-BR-6455,-0.09461472,0.062014967,0.10652165,-0.941346,0.39254576,1.9177024,1.6679574,-0.16451631,1.6983187,0.6261165,-0.02178363,-0.14673565,-0.3556685,-0.24896021,2.8251452,0.3075448,0.43893763,-0.00084528973,-0.6445727,-0.350652,1.0658009,0.104629785,-0.011578488,0.06248886,-0.009238887,1.5003511,-0.24398184,-0.0057124957,1.9730706,-0.1415941,-0.06660835,-0.3545172,0.0040883124,0.47309175,-0.55788827,-0.42902985,-0.28254607,-0.14821331,3.2395496,-0.29793978,-0.02723592,-0.11972617,2.0173206,-0.043081388,-0.05029471,-0.0034750812,-0.04206995,-0.090975724,1.3088545,0.27924347,-0.023583604,-0.46175838,1.083783,-0.01910269,2.968109,1.9422326,2.4412072,-0.027229076,-0.34312126,-0.14847247,0.13417627,-0.0330123,-0.21036203,-0.014225692
TCGA-BR-6456,-0.03174312,-0.0023003852,0.37731865,-0.27527836,0.112314634,0.78921044,0.58772194,-0.04465485,0.49725336,0.10695494,-0.001312673,-0.049239423,-0.10837545,-0.086199656,1.1607641,0.11184507,0.30444613,0.18514356,-0.16720118,-0.10035058,0.078075565,-0.00045396984,-0.0312707,0.26259357,-0.012242009,0.28517786,-0.09223096,-0.0003118213,0.66723746,-0.052338034,-0.019176694,-0.104593515,0.07784434,0.45109922,-0.18461592,-0.07744407,-0.09003758,-0.049148437,1.0822344,-0.11367605,-0.010809722,-0.02573722,0.6052784,-0.010139129,-0.021951465,0.033109434,-0.008172198,-0.054602016,0.26668438,0.051712304,0.050743297,-0.1249182,0.22960609,0.12420914,1.0254118,0.44009632,0.9041695,-0.014534985,-0.11512282,-0.0148697635,1.1189802,-0.018951824,-0.04351274,-0.013128522
