patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-3M-AB46,-0.009126973,0.012027692,0.10171092,0.19019504,-0.0061350665,0.16801539,0.7456427,0.71208704,0.3203948,0.013929304,-0.004364997,0.52896446,0.32930037,0.30623588,-0.011916586,-0.012875962,0.09639708,-0.014738108,0.33993998,0.13102853,0.26818374,0.17419466,-0.00811278,0.05262799,0.075604185,0.248528,0.1842202,0.17535245,0.027075686,0.7256686,0.11773574,0.35397565,0.013316721,0.20379049,0.21874446,0.20556745,0.14611617,0.18410873,0.064164594,0.057502415,-0.0013550315,0.29527327,0.30705917,-0.01774092,0.81775224,0.13438368,-0.010081177,0.14994034,0.67692274,-0.005981689,-0.01496151,0.71498317,0.15523459,0.23996419,-0.0014221352,0.678038,0.1283923,-0.013498716,0.28320378,0.17697357,0.7082096,0.7028804,-0.007111014,-0.014800176
TCGA-B7-5816,0.08045682,0.0026257634,-0.0018150595,0.0687913,-0.0042882725,-0.003922082,0.92824715,1.1536396,0.13191253,0.093258366,-0.013125761,0.22069395,0.4600102,0.43030164,-0.0023869057,0.041146122,0.33314446,-0.01727731,0.5503184,0.27040267,0.33063892,0.049905688,-0.012159093,0.15012303,0.10588673,0.26798448,0.3659399,0.22084513,0.095128275,0.9780243,0.04369462,0.16804741,-0.0006499767,0.26022065,0.23276313,0.21721858,0.4176632,-0.00044644027,0.026041832,0.3302367,-0.005016604,0.354697,0.50176156,-0.022750705,1.0773857,0.14795023,-0.02784588,0.5402,1.0041233,0.022757202,-0.00836388,0.8630081,0.06067889,0.37758693,0.16468295,0.79757,0.43155462,0.029071838,0.12090121,0.08491423,0.21886161,0.7196428,-0.015376058,-0.008604588
TCGA-B7-5818,0.046371367,0.0065873414,-0.015669936,0.37225443,-0.0007337901,0.22035003,0.80612916,0.9841908,0.43240792,0.099625126,-0.015270834,0.8183377,0.39477184,0.44825256,-0.026627356,0.0897279,0.20146754,-0.0062288153,0.38927492,0.20618416,0.21266837,0.14255601,-0.014074273,0.067821,-0.01591599,0.12410228,0.10482962,0.1973924,0.3445387,1.0224992,0.09996092,0.33222032,0.0041993596,0.011615723,0.02810096,0.3026136,0.03991224,0.082602516,0.1585253,0.04236706,-0.01754065,0.28074592,0.46059293,-0.014747514,1.0817075,0.10779998,-0.007024674,0.20044477,0.79209083,0.16103277,-0.010027867,0.7893948,0.25541532,0.35119927,-0.009288273,0.8923473,0.12937416,-0.006225431,0.16342448,0.05633074,0.28233555,0.601609,-0.013398304,-0.008733647
TCGA-B7-A5TI,-0.004626827,0.07335563,0.016929206,0.24619575,-0.008876349,0.13609001,0.62218606,0.669208,0.13539223,0.0482764,-0.009160287,0.24997775,0.28242216,0.23585592,-0.017138755,-0.010089665,0.072156936,-0.014253731,0.27766323,0.116088815,0.005330832,-0.007968765,-0.015012658,0.018557306,-0.007555512,0.017328609,0.17494494,0.17265177,0.07337389,0.6006921,0.216144,0.29337987,0.024630085,0.08086239,0.1355766,0.119795285,0.21093145,0.10511166,0.11807713,0.064165145,-0.0069723832,0.27839753,0.185918,-0.0050765476,0.77100635,0.1800811,-0.0027554464,0.121115595,0.60412663,-0.00096582546,-0.009405206,0.6102771,0.020900074,0.18998626,-0.0010174587,0.6718149,0.1836768,-0.014046541,0.12317925,0.22185573,0.28812274,0.5462599,-0.0072897687,-0.008284237
TCGA-B7-A5TJ,-0.0037740709,0.09561926,0.05141903,0.32863903,-0.005903819,0.11868732,0.5280398,0.54398686,0.12541679,-0.00017026962,-0.008707122,0.47649115,0.2664588,0.30974534,-0.015149007,-0.0028724351,-0.0028190191,-0.0062454822,0.3014087,0.18197343,0.11403038,-0.0009991938,-0.0031886564,0.14326474,-0.001432075,0.040703822,0.10009887,0.10984591,0.060854755,0.5330286,0.18928452,0.313893,-0.0028027652,0.043439467,0.09927642,0.0029085875,0.13891146,0.17851646,0.2194323,0.092104405,-0.0028412645,0.21591184,0.25315514,-0.007931274,0.75059307,0.15290488,-0.008467953,0.13249974,0.5722419,0.072159365,-0.0048808986,0.5337407,0.141224,0.16592208,-0.0026308694,0.6437887,0.11722052,-0.018885493,0.20542085,0.206741,0.2884654,0.4986392,-0.0023476793,-0.011531855
TCGA-B7-A5TK,-0.010076443,0.050794635,0.038995102,0.055823267,-0.0020949224,0.083916314,0.41725504,0.4043737,0.013771791,0.0555366,-0.003360986,0.20823742,0.13262954,0.20126395,-0.0060530216,-0.0030090387,0.06196694,-0.0035015263,0.12880792,0.11479551,0.0130470805,0.014990591,-0.008575897,0.05468341,-0.0012275771,-0.0012947675,0.04617969,0.08775865,0.004097283,0.3736412,-0.0007531546,0.19731869,-0.0004988421,0.07198679,0.12016089,0.08314622,0.16916326,0.0871184,0.032686327,0.05850021,-0.005530397,0.23892274,0.12598103,-0.0022802707,0.454532,0.09345096,-0.004722222,0.0837321,0.36904874,-0.0020737909,-0.009718027,0.36975572,0.0799491,0.08762841,-0.00030314998,0.4166324,0.06824636,-0.005541582,0.1313039,0.07781298,0.1657995,0.29962987,-0.007463495,-0.0070205093
TCGA-B7-A5TN,-0.0060875188,0.11080322,0.068319224,0.22031419,-0.0039307023,0.06572032,0.55618715,0.6001772,0.09029131,0.08645645,-0.012763341,0.24335968,0.23597184,0.26164192,-0.009951624,0.035600238,0.09232102,-0.010144995,0.39823568,0.21340069,0.13518491,-0.0047694924,-0.010968372,0.10012866,-0.0045184153,0.046571035,0.08447413,0.14464909,0.0032031275,0.5237602,0.09886177,0.15284257,-8.697547e-05,0.028614178,0.17786653,0.053310037,0.2620215,0.052935425,0.07456936,0.06877093,-0.008377601,0.22245297,0.2849601,-0.0056271483,0.6950246,0.16669747,-0.009245649,0.22398445,0.59169084,0.050038166,-0.0051922514,0.54493093,0.0011802055,0.16631877,0.054353718,0.5698383,0.22546165,-0.004716122,0.010689652,0.10802397,0.20503157,0.52872896,0.00915728,-0.0073967637
TCGA-BR-6452,-0.0031422097,0.059433922,-0.019527411,0.28597695,-0.013850083,0.019428525,0.6345408,0.9671247,0.20517454,0.16094998,-0.0068412083,0.58410263,0.38263702,0.3266199,-0.004006357,-0.005882109,0.3185635,-0.01364329,0.31840143,0.22752345,0.20510095,0.07303552,-0.018644197,0.16562423,-0.005369637,0.1359233,0.1608387,0.21470779,0.14708823,0.9208756,0.07384388,0.30789533,-0.002762337,0.07171912,0.14994109,0.20765978,0.24651453,0.16159731,0.13584723,0.23326784,-0.0071271667,0.262603,0.3177088,-0.002395503,0.9381759,0.16439414,-0.021164138,0.23086542,0.73559207,0.12352061,-0.006354261,0.7768945,0.020335142,0.3555683,-0.000334638,0.8172015,0.13244158,-0.0231035,0.18569796,0.2575942,0.3972171,0.61050785,-0.0061700204,-0.0066098385
TCGA-BR-6453,-0.0017188381,0.08250809,0.16997153,0.20312728,-0.008750402,0.023056492,0.62534946,0.81833905,0.01148634,-0.0035101061,-0.015761467,0.18263131,0.3090748,0.29209876,-0.007744895,-0.0036862672,0.13731824,-0.0071076686,0.37443224,0.21379969,0.15178329,0.023925774,-0.010628893,0.00999786,0.050330818,0.15150148,0.18793505,0.11711425,0.039403826,0.63439494,0.24640918,0.34666348,-0.0026319863,0.18981862,0.3048197,0.108748816,0.26920867,0.0965327,0.17382616,0.36508688,-0.012079944,0.41514304,0.24748117,-0.0094096605,0.88392377,0.2602102,-0.009461621,0.2924049,0.8274159,0.1609556,-0.011021417,0.62507504,0.14493881,0.08949422,0.038298953,0.72528774,0.1995898,-0.008209348,0.2739986,0.2105481,0.13203964,0.6464186,-0.00897288,-0.005015675
TCGA-BR-6455,-0.0033456923,0.017099159,-0.00020141034,0.1752249,-0.012799913,-0.0017236939,0.60426086,0.7243534,0.17967142,0.020166155,-0.0052779587,0.42444324,0.3491935,0.33049667,-0.009116222,-0.0072043217,0.1536891,-0.007482633,0.28069013,0.109469526,0.26444793,0.18557684,-0.011408624,0.10738058,-0.0056993845,0.0174529,0.009978022,0.19357722,0.16502288,0.60813206,0.13103396,0.27451286,-0.0010661837,0.11048693,0.16342098,0.15674627,0.17541361,0.20853956,0.07495895,0.357333,-0.01824869,0.37457713,0.32704574,-0.0033001949,0.8211801,0.22224927,-0.0014455352,0.120351374,0.6985915,0.06101036,-0.010953093,0.55824286,0.19912599,0.16715774,-0.00013629906,0.7594743,0.07053553,-0.009259715,0.244532,0.13458532,0.36374334,0.60243964,-0.009679216,-0.005414827
