patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-3M-AB46,1.0717857,-0.06011645,0.13328825,-0.016536852,0.08896326,0.25284588,0.017789066,0.88658124,0.8063408,-0.0002531074,0.11710929,-0.008301523,0.12231954,1.329319,-0.04566392,-0.007166712,-0.005428509,0.41696435,0.35032243,-0.07912358,0.13685049,0.063380644,-0.01876664,0.9337573,-0.009005251,-0.04598544,-0.046981275,-0.004177474,0.1367319,-0.052587982,0.43557072,-0.035592627,-0.005817528,1.0312952,-0.0861931,0.09527472,-0.0715586,-0.015932782,-0.008044769,0.04360643,-0.011580339,0.26947892,-0.10978182,-0.011246093,0.051559232,-0.005240624,-0.0010505144,0.41195956,0.98439795,0.9745991,-0.0059354245,-0.029760787,-0.02456127,0.128046,0.4930585,0.049215257,0.034426197,-0.004622694,1.582275,0.11682992,-0.01697373,0.47683325,0.04914236,-0.007539335
TCGA-B7-5816,1.2805108,-0.09710204,0.036094382,-0.009531399,0.39198324,0.44206494,0.24695458,1.0731523,1.3338269,-0.001530914,-0.013087737,-0.017637005,0.3033503,1.5692307,-0.08371614,0.3350606,-0.0069743493,0.2447456,0.47590423,-0.11568924,0.5467637,-0.00079902227,-0.026702164,1.2752199,0.14906403,-0.06890449,-0.07496867,0.15012786,0.16052142,-0.06971181,0.4103623,-0.053545214,0.035273355,1.2726496,-0.09739473,0.3931512,-0.13088018,0.19419025,0.019652996,0.44523236,-0.00937045,0.46724004,-0.15797603,-0.009642611,0.013503661,-0.029846717,-0.013666706,-0.017299008,1.2719275,1.421282,-0.017291192,-0.07089212,-0.0051578255,0.21193549,0.7858884,0.2677635,0.2801747,-0.0022334685,2.1762943,-0.000369058,0.023883484,0.90302634,-0.0017627993,-0.008861917
TCGA-B7-5818,0.7043269,-0.05642966,0.043087773,-0.008496388,-0.0047200467,0.31829977,0.28629515,0.8318288,0.72244555,-0.0020026248,-0.0031813816,-0.0046191486,0.0014246032,1.2116922,-0.047970295,0.064847454,-0.0143255545,0.38136125,0.25663427,-0.081812195,0.30566046,-0.004575393,-0.008994368,0.86275905,-0.004553324,-0.027288318,-0.05213917,-0.006939005,0.15551525,-0.034239706,0.34396303,-0.02593924,-0.004051688,0.80321574,-0.07726446,0.073430955,-0.049812276,-7.2885494e-05,-0.00614977,0.00080403686,-0.006337141,0.13937013,-0.06295142,-0.0045312326,-0.0010422826,-0.017820697,-0.0052869283,0.05693651,0.90277046,0.9205737,-0.0014383522,-0.02791935,-0.030062867,0.07627071,0.4655072,0.112262726,0.10324007,-0.024591297,1.4801631,0.11619036,-0.023419924,0.47283757,0.034860045,-0.0036535978
TCGA-B7-A5TI,1.2207571,-0.08305684,0.02373192,-0.01245406,0.17507558,0.21132427,0.38540035,1.1634804,1.25977,-0.0035525418,0.061263137,-0.030253528,0.3101496,1.677092,-0.07582161,0.14868611,-0.00050148054,0.14615181,0.5804327,-0.123190716,0.4181707,0.10247745,-0.0014160263,1.2341758,0.082446665,-0.065558404,-0.0809995,0.0052960142,0.19618914,-0.0708624,0.44864106,-0.053534806,0.03779162,1.1885777,-0.106583826,0.3148841,-0.1089584,0.015370527,-0.013741093,0.20488226,-0.009020568,0.5980014,-0.1582403,-0.013949509,0.02118477,-0.02931713,-0.00052302907,-0.0012224099,1.2713053,1.6025473,-0.009801475,-0.06401272,-0.006318169,0.23997957,0.72558504,0.2704056,0.36221835,-0.0052417465,2.2206733,0.14704704,-0.0107659595,0.8614723,-0.004579048,-0.0039599887
TCGA-B7-A5TJ,0.91418606,-0.06414844,0.031857926,-0.006208088,0.09766784,0.07416667,0.12678623,0.86452484,0.80332464,-0.004281901,0.056883268,-0.014172864,0.12620369,1.2536161,-0.038433976,0.028917393,-0.009857859,0.2736846,0.34103966,-0.0835529,0.26751456,-0.0026193173,-0.0055443924,0.8610462,-0.007981572,-0.034876704,-0.049821965,-0.009656905,0.011117335,-0.045500387,0.37033844,-0.024152538,-0.00464635,0.9156886,-0.07983788,0.1349437,-0.06789764,-0.0056606913,-0.005538493,0.008355886,-0.012219217,0.2960061,-0.09743025,-0.009493822,0.06761361,-0.015508412,-4.9366525e-05,0.16371986,0.9900561,0.9679841,-0.0038211949,-0.043490242,-0.01669976,0.1345784,0.46326244,-0.010243397,0.17294249,-0.011005132,1.5681064,0.022118567,-0.015914029,0.57125014,0.012862844,-0.0075327368
TCGA-B7-A5TK,1.3191193,-0.09199293,0.0017714277,0.057394274,0.25007343,0.2771508,0.054417837,1.0454425,1.3284825,-0.0025466816,-0.0003485931,-0.013884601,0.2499353,1.5647962,-0.08090914,0.050228592,-0.008267286,0.21228512,0.5511026,-0.11878709,0.2058537,0.056728963,-0.017758233,1.2043959,-0.009175561,-0.0687495,-0.06088168,-0.0027454142,0.1397087,-0.05592626,0.47583872,-0.050378885,-0.00020660342,1.297877,-0.09321093,0.20593944,-0.10768401,0.06318892,-0.013607246,0.37445349,-0.009992089,0.5450596,-0.14679702,-0.010047686,0.03131961,-0.025040418,-0.00059970526,0.08759305,1.3032465,1.2927502,-0.0127454195,-0.06427339,-0.00951454,0.35176226,0.7762477,0.04157386,0.23091018,0.0002745241,2.0395856,0.15118814,0.40798128,0.8539758,0.18056343,-0.011642739
TCGA-B7-A5TN,1.4233536,-0.0936359,0.08396023,-0.017179249,0.34186503,0.22913684,0.00027861306,1.0887319,1.4104018,-0.0025035627,-0.004876225,-0.0274377,0.35145384,1.6350954,-0.07399782,0.12120954,0.040181234,-0.0049265195,0.6358872,-0.12400609,0.39384246,0.046257757,-0.016375327,1.1944534,-0.010294653,-0.06784584,-0.0767565,0.119363084,0.07885931,-0.06272164,0.463598,-0.05933869,0.07275223,1.3652755,-0.103679016,0.3194785,-0.13356718,0.0848272,-0.0065715048,0.43005127,-0.0097313775,0.63078004,-0.17648959,-0.009412219,0.17386039,-0.038876023,-0.005680166,0.075871676,1.2316939,1.528298,-0.017525062,-0.07855477,-0.0007686857,0.3585375,0.90168935,0.14330862,0.42407596,-0.0049779764,2.2234538,0.10789105,0.22503994,0.9980921,0.09092798,-0.010237402
TCGA-BR-6452,1.0613769,-0.076445654,0.05172007,0.029361434,0.05538756,0.21258213,0.26510692,1.2162331,1.091451,0.054683656,-0.009108103,-0.015247071,-0.0031392265,1.7497126,-0.08155618,0.13447809,-0.022820067,0.5214536,0.3560675,-0.11688191,0.41949832,-0.0073819733,-0.016878543,1.3064146,-0.012499291,-0.047342226,-0.07292459,-0.008800468,0.27885482,-0.04642854,0.5004806,-0.044152353,0.0061124433,1.2587091,-0.10228427,0.203872,-0.08930982,-0.0035452067,-0.009619934,-0.0011578052,-0.014173186,0.26923084,-0.12157165,-0.0043880027,0.07733943,-0.014683316,-0.01181482,0.07689182,1.320575,1.3069859,0.06530269,-0.050395977,-0.027060354,0.056909755,0.6050292,0.120304674,0.12704712,-0.015829189,2.143994,-0.0026023863,-0.022051461,0.67642814,-0.0022140192,-0.006417858
TCGA-BR-6453,1.3630847,-0.09793368,0.009536773,0.06589978,0.38379642,0.30878755,0.52303535,0.8766841,1.08588,0.027480267,0.033012547,-0.009263408,0.4281092,1.538047,-0.06650602,0.13932915,-0.010408093,0.094450325,0.68313277,-0.117671214,0.25197878,0.09178556,-0.012839141,0.9714805,0.11187335,-0.075309925,-0.076779485,-0.001015443,0.24386305,-0.09180272,0.37355906,-0.05032593,-0.0014965263,1.194033,-0.098973006,0.21736056,-0.11935997,0.019162914,0.019611638,0.25296983,-0.0041128052,0.55310357,-0.1776238,-0.011898899,0.089871496,-0.018582659,-0.0065052444,0.08298483,1.2532834,1.3859421,-0.006443545,-0.05015542,-0.00065752305,0.2930065,0.65189904,0.115986004,0.26955685,0.061706558,1.9679762,0.36677873,0.05861411,0.87281847,0.084684454,-0.0006882711
TCGA-BR-6455,1.1312877,-0.079161935,0.0775259,-0.00022878229,0.12766613,0.4740948,0.37787178,1.2076223,1.2332855,-0.00038141498,-0.007726793,-0.015098499,0.07887531,1.7026678,-0.07909877,0.2213444,-0.007839955,0.29669943,0.55206335,-0.11439283,0.18825556,0.0035073794,-0.013568455,1.3799844,-0.0013569804,-0.04765277,-0.07634295,0.037525658,0.26832613,-0.045072097,0.5109033,-0.05360086,-0.018355938,1.3704137,-0.100608245,0.14291477,-0.097566105,-0.010816011,0.0033834241,-0.0026321327,-0.010708777,0.47250965,-0.12926905,-0.012868318,0.12599888,-0.025422374,-0.014615292,0.13844198,1.4622494,1.3037484,-0.00013906248,-0.02950403,-0.02331605,0.2532165,0.6828027,0.26212937,0.2682839,-0.017304027,2.2966614,0.116348654,-0.011158197,0.70425224,-0.012049234,-0.003977801
