,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TARGET-10-PANSHK,0.019276075,-0.04070204,-0.03205108,-0.016088407,-0.02104919,-0.018751934,-0.0027963081,-0.011434346,0.7136588,-0.012646459,0.5081722,-0.024509318,-0.0363208,-0.019083183,-0.037324756,0.010620977,-0.014125658,-0.016372684,0.60730505,0.039227888,-0.014432669,0.09121296,-0.03972927,-0.017663686,-0.018028654,-0.009762623,0.2819958,-0.021068227,-0.054321513,-0.015124293,-0.033466477,1.1077908,0.70994246,-0.04951847,0.013720665,-0.013182458,-0.015445523,-0.061617143,-0.027689397,0.056707427,-0.023085304,-0.061174855,-0.013135333,-0.022158194,-0.018467743,-0.0045964196,-0.01565443,-0.0025803195,0.029395102,-0.029853884,-0.0123460395,-0.015145512,-0.014508707,-0.019511234,-0.017351368,0.009463653,0.15026404,-0.019581556,-0.013809966,-0.024740335,-0.026503462,0.0051496453,-0.007813758,0.035663128
TARGET-10-PANTSM,-0.018157516,-0.028766427,-0.032097854,-0.017659768,-0.017367706,-0.022634868,0.025316898,0.016015165,0.79551303,0.01959137,0.65137684,-0.018259456,-0.043052755,0.005142155,-0.047778226,0.013774851,-0.012044749,-0.0063162195,0.62081015,0.059907526,0.05241587,0.06075958,0.0403903,-0.024726287,-0.023535412,0.0076030325,0.34334442,-0.022660736,-0.061959837,-0.016926505,-0.034715667,1.2595497,0.58764535,-0.045759622,0.06541416,-0.012387249,-0.023254262,-0.057099834,0.012558957,0.07685028,-0.010524894,-0.07053733,-0.022783883,-0.02057342,0.007378354,-0.034453362,-0.015573183,-0.011037072,0.016050976,-0.020904226,0.009958239,-0.018117389,-0.025968991,-0.02110507,-0.018921845,-0.00874971,0.18725103,-0.024399891,-0.000588513,-0.037998356,-0.03472902,0.0022041313,-0.006785848,-0.0083615435
TARGET-10-PANUHA,-0.003080663,-0.033617936,-0.029765908,-0.011289877,-0.009552659,-0.014238498,-0.018263778,-0.007881723,0.8533217,0.05172959,0.5392292,-0.032445118,-0.030602774,-0.019186797,-0.02892239,0.040726945,-0.015684044,-0.006322284,0.5620036,-0.012775365,-0.017390117,0.07337528,-0.038444415,-0.026917873,-0.03638787,-0.014003335,0.38333043,-0.016804919,-0.054808546,-0.028825162,-0.040198836,1.2512054,0.7706791,-0.040687658,0.017276304,-0.007293813,-0.017251039,-0.04755231,-0.02474904,0.06683385,-0.013601063,-0.05970952,-0.00058212853,-0.02157794,-0.013647149,0.04530244,0.047047496,-0.007868614,0.0064206664,-0.02437267,-0.020930922,-0.016244914,-0.008985734,-0.039059993,-0.015543697,0.049802296,0.12751122,-0.011515873,-0.014207531,-0.02507378,-0.051328618,-0.011340556,-0.0067193815,-0.011333896
TARGET-10-PANUSN,-0.012023909,-0.029539963,-0.02732398,-0.015802007,0.03233763,-0.028761752,0.035693716,-0.009417009,0.858871,0.008171563,0.5859282,-0.017122254,-0.033055812,-0.0164554,-0.03801913,-0.017484201,-0.011890692,0.010365,0.6902081,0.01140527,0.014581226,0.013150608,0.009988813,-0.0069032237,-0.01173939,-0.006871305,0.44521987,-0.026708925,-0.07008551,-0.014608102,-0.035413735,1.3573332,0.773219,-0.045472562,0.005651751,0.015625678,-0.024620634,-0.0661903,-0.022893017,0.0794733,-0.0031190207,-0.065081924,-0.0074343076,-0.019303337,-0.01592206,-0.01203904,-0.014643174,-0.024901848,-0.008706114,-0.013179818,0.013054137,-0.016715346,-0.029844617,-0.03176509,-0.0074565713,-0.0018511121,0.25372028,-0.0021498855,-0.018385243,-0.040878944,-0.03780278,-0.020659272,-0.004719418,0.0027552978
TARGET-10-PANWHJ,-0.019201249,0.03373497,0.03188899,0.03251078,-0.01146135,-0.007959651,-0.00042697927,-0.021858077,0.94369423,0.023694793,0.6206291,0.09911323,-0.011884078,-0.02045897,-0.04058271,0.0054694396,-0.0136292875,-0.018397978,0.77424645,-0.017731164,0.042096175,0.103016466,-0.02158751,-0.028048728,-0.027102904,0.09606492,0.32569733,-0.016369678,-0.061170444,-0.034998186,-0.013903568,1.5990965,0.8511848,-0.053130485,0.004227425,-0.011116623,-0.013239073,-0.047497943,-0.03710477,0.0009542499,-0.012283633,-0.08847068,0.0043713897,-0.022488877,-0.011884779,-0.022003105,0.1013181,-0.016748466,0.019878939,-0.04402058,0.0346515,0.06386942,-0.02389915,-0.014710477,0.027780436,0.0127613535,0.19474523,-0.019279987,0.05864179,-0.033641294,-0.026147028,0.050850227,-0.0073963343,0.013596198
TARGET-10-PANWYH,-0.008061889,-0.04607462,-0.040071487,-0.007014061,-0.024445677,-0.011632361,0.03338873,0.015807973,0.82677114,0.07309471,0.5745574,-0.017416269,-0.03879053,-0.023088068,-0.028098447,-0.012085369,-0.012975942,0.0040970426,0.6720733,-0.0033916868,-0.014488926,0.02576036,-0.02176151,-0.026722347,-0.025354302,-0.0075573446,0.23863319,0.0076743998,-0.068820566,-0.009620713,-0.013944838,1.2209105,0.8860208,-0.060807172,0.07055096,-0.010141931,-0.01647525,-0.06380238,-0.025479734,0.101208985,0.013808275,-0.06136451,-0.012981445,-0.026693983,-0.0052887695,-0.023631435,-0.0062596197,0.0020702686,0.01733354,-0.016347392,0.011864146,-0.012163896,-0.026770502,-0.0203707,-0.022414567,0.023718905,0.17080298,-0.009692162,-0.025465548,-0.039534405,-0.030751947,0.03373084,-0.01957304,0.049101174
TARGET-10-PANXPE,0.033956155,-0.021315007,-0.034213755,-0.00929677,-0.020645449,-0.009029549,-0.0059565883,-0.022921808,0.70411724,0.051320933,0.58327407,0.10567518,-0.029407613,-0.013598943,-0.038055718,-0.011504138,0.007941012,-0.0111785345,0.529384,0.01533854,0.056175753,0.04730304,0.0041553155,-0.025706628,-0.014570944,0.069793776,0.3452567,0.017248886,-0.048995096,-0.025520455,-0.03113228,1.421256,0.6696999,-0.03495006,0.007918719,-0.010896102,0.012315406,-0.037568696,-0.028367832,0.008968291,-0.014886558,-0.07445401,0.101125576,-0.0155037595,-0.0050645666,0.021493604,0.022512855,-0.012202821,0.014570182,-0.031095691,-0.0024157644,-0.019218732,-0.031953625,0.023407377,-0.023181506,0.021758623,0.22967565,-0.032664422,-0.013688171,-0.024156412,-0.029244049,0.014219886,0.0222538,0.11894283
TARGET-10-PANYGB,-0.00020277407,-0.028458005,-0.034676135,0.0092930915,-0.0132394945,-0.015087583,0.02707971,-0.022705749,1.0202489,0.03723573,0.70382655,-0.028346065,-0.0459415,-0.021273844,-0.02781386,-0.013988313,-0.010096032,0.005879644,0.64418083,-0.015038034,0.054205116,0.016275324,0.019442398,-0.01536224,-0.021695059,-0.026797364,0.47493926,-0.0065513076,-0.06937347,0.016128311,-0.0394004,1.5031083,0.96409017,-0.052426647,-0.015613738,-0.007907626,-0.017022377,-0.0443941,-0.0057889605,0.0038668287,0.035260674,-0.0651059,-0.027048562,-0.022339523,-0.021751672,-0.022564892,-0.006749874,-0.019649772,0.011079131,0.006336281,0.018765537,-0.024849273,-0.034350116,-0.036403403,-0.022425743,0.018369887,0.47100395,-0.02761344,-0.019932816,-0.040810313,-0.02447132,0.012617009,-0.008334565,0.056405794
TARGET-10-PANYZE,-0.01894622,-0.04168885,-0.036298003,-0.0038984884,-0.011852158,-0.018097643,0.04991552,-0.0060030324,0.86836904,-0.01635627,0.54137737,0.011211758,-0.018909594,-0.02037228,-0.026668234,-0.009456889,-0.012900688,-0.012643159,0.5867255,-0.017528288,0.036988676,0.00932208,-0.030412182,-0.029923089,-0.021718744,0.00594639,0.31697273,-0.00827135,-0.073280446,-0.024025459,-0.028155304,1.2136881,0.75250363,-0.038717467,-0.0137427505,-0.0027480742,-0.005784276,-0.05762122,-0.016479895,0.026990492,-0.0153872855,-0.061663963,0.03741882,-0.018862216,-0.013161121,-0.018939678,-0.011428006,-0.020023502,0.018596128,-0.015821425,0.0005397396,-0.0018449016,-0.025935741,-0.030401371,-0.027702205,0.027406521,0.18670501,-0.014514454,-0.0038751606,-0.026508782,-0.026758831,0.028502129,-0.015399442,0.031883407
TARGET-10-PAPAGK,-0.015872382,-0.024920106,-0.022643698,-0.012971273,-0.012773607,0.013936915,-0.014058383,-0.020640297,0.63743496,0.06722421,0.48870334,-0.015170338,-0.030410841,-0.024603272,-0.036694303,-0.012747925,-0.0044545103,-0.0072835675,0.458412,-0.017146472,-0.012215165,-0.0025660763,0.07660356,-0.019441647,-0.015689678,0.020310061,0.3417169,-0.010795769,-0.06103977,-0.02527624,-0.03675956,1.026296,0.44951314,-0.03911573,-0.0051477957,0.0017068079,0.04102209,-0.009313978,-0.028003208,0.14121385,0.007949283,-0.07150888,-0.019893216,-0.012075935,0.009593496,-0.027150951,-0.021565225,-0.020965355,-0.006413272,-0.023306984,0.08476935,-0.0127602415,-0.023388226,-0.01693353,-0.016168084,0.0037943134,0.13285081,-0.025274785,-0.0022279662,-0.019885566,-0.03322927,0.0038858945,-0.016017001,0.0027414616
