,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TARGET-10-PANSHK,0.3483488,-0.19027202,-0.08997633,0.9267748,-0.0012666084,0.5206198,0.4801534,0.68009996,0.12933236,-0.021072393,-0.026119182,1.250808,-0.22390257,-0.06985627,-0.2515637,-0.0010370782,0.82938784,0.7688196,0.13443533,0.34798446,0.2527709,0.25939468,-0.26997575,0.10893622,-0.08813409,-0.06588324,0.10049613,1.7597742,-0.38182217,-0.08185134,-0.18268226,-0.036347378,-0.04057097,-0.1336674,0.32936183,-0.11699784,1.2166073,-0.07294996,0.41613346,0.24514204,0.33536503,-0.3498809,0.3685196,0.43062064,0.26286414,-0.177523,-0.15803674,0.03206072,1.3339943,1.5810937,0.65601635,-0.2578979,1.4676138,1.607325,0.31207427,-0.28739098,0.15971786,-0.074080035,1.2335718,0.38227087,-0.010314683,1.2243259,-0.014412286,0.54099816
TARGET-10-PANTSM,0.3965845,-0.20155442,-0.049219836,0.9466252,0.24467596,0.36952913,0.5767964,0.7580521,-0.016452093,-0.023179723,-0.022648314,1.339988,-0.22339809,-0.09085912,-0.24610023,-0.011109459,0.5593584,1.0070844,0.09754826,0.3679315,0.18644898,0.3301447,-0.25015754,0.13424622,-0.11693164,-0.060163092,0.054852646,1.5778968,-0.37701517,-0.08974805,-0.17632903,-0.049372222,-0.039070345,-0.15468109,0.5326549,-0.13165246,1.1409227,-0.07830209,0.1999499,0.30867413,0.48970553,-0.34355018,0.5480755,0.39732876,0.22973347,-0.16662353,-0.14087528,0.4377006,1.3169008,1.255255,0.45323107,-0.25599417,1.2284999,1.6832653,0.3664522,-0.28751668,0.07290991,-0.029254904,1.5078853,0.17714085,-0.024928417,1.2605863,-0.013303528,0.40383106
TARGET-10-PANUHA,0.2789488,-0.20992759,-0.059980124,1.0160879,0.07251982,0.568653,0.47537667,0.7646744,0.17951702,-0.025016634,-0.015124722,1.1483691,-0.25834092,-0.08424193,-0.24020612,0.061846532,1.0154616,0.96213436,0.290755,0.45394155,0.1727598,0.1716908,-0.24683057,0.28803393,-0.08708454,-0.074566066,0.09715973,1.8588479,-0.40219387,-0.07883538,-0.18262695,-0.03208158,-0.054524254,-0.13206005,0.37446743,-0.131624,1.0086671,-0.07848621,0.34202886,0.47326046,0.39792094,-0.35136804,0.40536705,0.27229905,0.2558964,-0.1856365,-0.14931527,0.10821643,1.2507356,1.1029953,0.62769735,-0.2620791,1.3821008,1.8726717,0.02055603,-0.30303535,0.0834081,-0.06894379,1.5429057,0.49512148,-0.015286349,1.4233077,-0.0037859255,0.38141042
TARGET-10-PANUSN,0.23109809,-0.20437847,-0.021850182,0.68792534,0.16148609,0.23750211,0.38600042,0.62464064,-0.016096646,-0.04698215,-0.032277536,0.7768543,-0.21995871,-0.08303419,-0.2025831,-0.0039110235,0.67871344,1.0322878,0.1427089,0.2725706,0.24428238,0.17512453,-0.22546871,0.44405687,-0.08940015,-0.054427635,-0.0039514625,1.4051926,-0.3838565,-0.051774185,-0.15146396,-0.031526532,-0.036686625,-0.1193962,0.42638373,-0.092376664,0.8214099,-0.06496887,0.43429095,0.045879498,0.11308049,-0.339852,0.33412334,0.51963544,0.19486202,-0.15351254,-0.09309606,0.06468279,1.1774251,0.761978,0.42468625,-0.24745063,1.220278,1.5741911,0.08641965,-0.22665289,-0.0017286096,-0.041771363,1.4563723,0.17027771,-0.039821427,1.1937087,0.15578541,0.43792194
TARGET-10-PANWHJ,0.31652683,-0.20259154,-0.04535627,1.2260294,0.023214094,0.42450124,0.20887035,0.625321,0.0125057325,-0.0343123,0.3226094,1.1001663,-0.25680262,-0.08106714,-0.2522825,-0.003878607,0.99589753,1.0095841,-0.0019513535,0.55753547,0.19013436,0.10764733,-0.27163577,0.13578376,-0.1179819,-0.04655705,0.352164,1.6792507,-0.39586204,-0.05671355,-0.1904268,-0.037235823,-0.04325018,-0.13560183,0.33780545,-0.11373576,1.080753,-0.04920097,0.49705178,0.6477386,0.28817254,-0.37646767,0.5934909,0.47709247,0.16233902,-0.1880567,-0.13061152,0.07171309,1.4645574,1.3585795,0.790686,-0.2664394,1.3846356,1.7950811,0.14054133,-0.3276276,0.16569349,-0.040725198,1.6004157,0.42094505,-0.009504713,1.205888,0.073369965,0.5003117
TARGET-10-PANWYH,0.44579864,-0.17337744,-0.04672575,0.77238077,0.06264383,0.5375447,0.4656981,0.8505686,0.15923648,0.064942405,-0.018996583,1.0294714,-0.2110049,-0.063258834,-0.22842832,-0.009990599,0.7579175,0.83877885,0.14993137,0.19283001,0.3071182,0.2684317,-0.22646558,0.0271141,-0.10192565,-0.04301109,0.1317831,1.6138344,-0.3638866,-0.073199525,-0.16098179,-0.023321178,-0.021887345,-0.12563966,0.36822683,-0.12661305,1.0632639,-0.04838829,0.10420349,0.45678934,0.33523113,-0.3418396,0.666891,0.21974528,0.40174603,-0.16656105,-0.13344777,0.3871731,1.206209,1.5386342,0.49730355,-0.23796876,1.1248134,1.4242663,0.09446471,-0.2743492,0.19406787,-0.047516767,1.3555821,0.43991303,-0.010237576,1.363476,0.0013452601,0.49386466
TARGET-10-PANXPE,0.3813505,-0.20668314,-0.055573802,1.3548908,-0.030732686,0.5077455,0.31466484,0.8595963,0.4230133,-0.01636244,0.24668022,1.0352938,-0.28514555,-0.08076899,-0.25435278,-0.006954865,1.1071432,1.048004,0.03193533,0.44704401,0.1700247,0.04356654,-0.2589416,0.09668359,-0.117710374,-0.054430652,0.2584787,1.4987538,-0.4417418,-0.05477011,-0.19041853,-0.046380114,-0.0788495,-0.15474175,0.3320754,-0.11415001,1.175487,-0.10585105,0.41852874,0.8554468,0.31416813,-0.39152494,0.43035498,0.53673464,0.25476912,-0.2035095,-0.12495096,0.17252381,1.3653532,1.5135684,1.0371794,-0.2720066,1.3681766,1.9408954,-0.015844388,-0.36547324,0.089483246,-0.041476067,1.39943,0.31559235,-0.01121325,1.7065479,0.0132428985,0.7104233
TARGET-10-PANYGB,0.31114224,-0.19063653,-0.070535436,0.9173654,0.016502485,0.35592708,0.61310375,1.0273546,-0.02275675,0.01991027,-0.008051208,1.4233205,-0.2763202,-0.0738386,-0.23340766,0.023294488,0.8821483,1.2613647,0.014085752,0.4585923,0.5170545,0.08036767,-0.25719476,0.5060257,-0.07041098,-0.07554726,0.05847257,1.5761907,-0.43382993,-0.08314969,-0.18392567,-0.043473355,-0.01893483,-0.14612418,0.13602717,-0.12807418,0.9957313,-0.044623993,0.07725836,0.40759683,0.1732129,-0.4005537,0.32135352,0.7091746,0.49001554,-0.20107655,-0.12689921,0.45994335,1.2986642,1.438442,0.7834523,-0.28388754,1.5401871,1.7331408,-0.006906496,-0.32326302,0.17547414,-0.04568955,1.6237931,0.37259734,0.025863241,1.4327165,-0.01993605,0.4771628
TARGET-10-PANYZE,0.2974697,-0.18061973,-0.03299776,0.98078144,-0.033665963,0.19550374,0.36346468,0.66931295,0.13962044,0.009240679,0.16294676,1.1824706,-0.25791284,-0.05996951,-0.22413126,0.13290387,0.99756813,1.1397736,0.08562562,0.2780588,0.2043877,0.053243876,-0.2550834,0.25427964,-0.100623764,-0.045126256,0.1333147,1.5092982,-0.38877282,-0.06317071,-0.1886137,-0.04683888,-0.027025813,-0.14177908,0.2045845,-0.13114323,1.0665481,-0.05946452,0.18834451,0.6178024,0.21405666,-0.34999225,0.5126274,0.36873996,0.37367293,-0.17242594,-0.140797,0.18233776,1.3430742,1.4498155,0.6375053,-0.2547125,1.3437864,1.7875534,0.17477588,-0.3172192,0.3894851,-0.04960889,1.2041736,0.25254494,-0.01682304,1.4351186,-0.0131243905,0.6712635
TARGET-10-PAPAGK,0.26841977,-0.19042328,-0.017098758,0.7866974,0.052938186,0.26869524,0.5075867,0.8118641,0.17603953,-0.038593486,0.005101677,1.1314367,-0.26023862,-0.092861734,-0.24128881,-0.018019047,0.7253379,1.0358665,-0.0005757864,0.19028246,0.27570924,-0.0019849224,-0.21770163,0.14330414,-0.08012702,-0.07289814,-0.020713381,1.5002981,-0.3866345,-0.07511764,-0.15156516,-0.036708064,-0.03557471,-0.13705884,0.48616767,-0.13941322,0.88465244,-0.0528873,0.39134362,0.18876171,0.3259949,-0.34835452,0.2469996,0.58501256,0.16464598,-0.17838491,-0.11545366,0.35200214,1.2928417,1.2385439,0.48503536,-0.26095435,1.2562401,1.7007658,-0.013737589,-0.29037353,-0.0056475517,-0.026023293,1.3126609,0.31263375,-0.05602708,1.2884748,-0.009912513,0.63761085
