,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TARGET-10-PANSHK,0.4663789,0.736916,0.34406653,0.20036805,0.07221662,0.47541365,0.1786224,0.21132897,0.06511228,0.040316887,-0.022304911,0.11865303,0.51385015,0.43824518,0.29827183,0.45358026,0.20118243,0.17437565,-0.0062136822,0.18157193,0.1142178,0.4190188,0.10681602,0.14279519,0.43918604,0.1588822,0.023847105,0.19165573,0.1596052,-0.01034698,0.22739339,-0.017335525,-0.0068444842,0.54028493,0.103294805,0.59384596,0.41638234,0.50030065,0.37952352,0.44342884,0.18756092,0.18427388,0.16138503,0.08403125,-0.0056179636,0.16903636,0.19973144,0.11943117,0.27296412,0.554054,0.5436355,0.13283178,0.16125315,0.16153792,0.16837354,0.051298626,-0.012623401,0.16073802,0.28038225,0.13749722,0.674101,0.2627556,0.14335248,0.2346993
TARGET-10-PANTSM,0.5886444,0.69641,0.33024132,0.22747219,0.08390956,0.36689705,0.25908184,0.48993292,0.15098943,0.14522722,-0.003576588,-0.002500935,0.44117448,0.42169195,0.3496836,0.3328063,0.04312205,0.16995528,-0.02668607,0.23686177,0.08891578,0.15924306,-0.002071439,0.1433453,0.58855253,-0.0031245921,-0.0052230023,0.37507385,0.23204497,0.04342301,0.31651956,-0.02683684,-0.013349265,0.3842417,0.037202343,0.51516837,0.5305575,0.49030098,0.2766455,0.33068076,0.12542456,0.20824477,0.1901851,-0.002353339,0.018463764,0.16019583,0.31742063,-0.01776325,0.17787148,0.39835078,0.37964252,0.20166813,0.067147836,0.071640365,0.032222353,0.26367605,-0.0092242425,0.04384835,0.34063712,-0.004680015,0.69461924,0.30747893,0.052869327,0.06408198
TARGET-10-PANUHA,0.41783404,0.8274743,0.5020584,0.1684286,0.04470633,0.7795837,-0.012298474,0.43675572,0.10979219,0.3707518,-0.04432983,-0.027343605,0.48305032,0.48292178,0.094894305,0.42577565,0.21336569,0.43951783,-0.031354673,0.6298666,0.27744862,0.27634653,0.4541606,-0.00089689234,0.3301409,0.32508978,0.0482153,0.35847017,-0.0059336657,-0.00476988,-0.009667011,-0.013147599,0.28671134,0.5054911,0.31017122,0.77979827,0.8016353,0.65218824,0.29796335,0.6123613,0.32273352,0.5606215,0.39319697,0.1637682,0.056871098,0.7635175,0.19430056,0.074980855,0.19872795,0.48404378,0.6964522,0.34570667,0.21375631,-0.016272563,0.3885849,0.30522287,-0.0035314297,0.22753812,0.24051668,0.33554,0.59075445,0.34519014,0.11954949,0.5406972
TARGET-10-PANUSN,0.4370601,0.965375,0.4369519,0.057620317,0.018713605,0.67921454,0.1955564,0.1781609,0.13516797,0.3420635,-0.032099165,0.09253703,0.39476404,0.3373587,0.49219397,0.2123216,-0.0031732132,0.24252252,-0.024141684,0.37681428,0.24335656,0.22060503,0.17734055,0.061720066,0.4506343,0.17064038,-0.025384763,0.41529685,0.43806997,-0.0055032284,0.50616384,-0.023300782,-0.013928289,0.627093,0.030516036,0.79705775,0.58078563,0.7387334,0.33219892,0.5663953,0.34150496,0.038405888,0.081373304,0.19433376,0.052454177,0.49229518,0.27740425,0.17280789,0.35464442,0.56387824,0.8020128,-0.0039291135,0.33465183,0.23761405,0.013354089,0.1401943,0.014919582,0.14184609,0.53361887,0.18193784,0.7232734,0.44722226,0.10283738,0.00999165
TARGET-10-PANWHJ,0.22961363,0.8367798,0.6508059,0.25754318,-0.030270085,0.52769196,0.058550786,0.03414108,-0.024550281,0.5482218,-0.042687353,0.106166124,0.30978248,0.8314822,0.3343429,0.086879,0.080803216,0.31094214,-0.04196708,0.81765413,0.2979742,0.5037552,0.36311838,0.52546644,0.56760776,0.7310155,-0.00820491,0.20726873,0.424116,-0.018140947,0.15346856,-0.008042482,0.29152465,0.66905075,0.34675547,0.9045322,0.79768246,1.0152923,0.33680448,0.5987016,0.61774606,0.54540354,0.12294543,0.29905987,-0.004529752,0.65584785,0.32546064,-0.007798807,0.25174138,0.7040883,0.6626467,0.31335735,-0.0010685783,-0.005804024,0.09608464,0.2769908,-0.011637478,0.20306247,0.09504747,0.46684813,0.39260754,0.52796847,-0.029750288,0.7166959
TARGET-10-PANWYH,0.5725019,0.69895685,0.23347874,0.2495367,0.04568296,0.38887697,0.12963182,0.31288084,-0.0032240865,0.075748764,-0.019285807,0.12726955,0.5532005,0.37011012,0.2658703,0.29633087,0.21266204,0.17746611,-0.013359385,0.14815906,0.11415094,0.18125026,0.09794532,0.2296574,0.5156984,0.31840798,-0.009534404,0.17760314,0.43521687,0.032298744,0.35640353,-0.009549208,-0.007945006,0.59795785,0.07541482,0.539673,0.45507836,0.60546225,0.2814223,0.49567214,0.14721581,0.18139842,0.082316995,0.032763146,-0.022086537,0.19702047,0.36840567,0.053769756,0.19899125,0.44411057,0.55488473,0.12296203,0.21537828,0.3952142,0.037577115,0.08348027,-0.0067728506,0.073807605,0.33916667,0.16085105,0.521677,0.23679708,0.15332371,0.1803272
TARGET-10-PANXPE,0.5586929,0.5779871,0.5390109,0.27139476,-0.023811953,0.6250651,0.16589835,0.25163102,-0.008337679,0.31511715,-0.04537445,0.09020828,0.5129626,0.49405727,-0.0013613962,0.13873999,0.28794554,0.1579757,-0.028958231,0.65066457,0.04967641,0.4861055,0.039186656,0.39418238,0.3198802,0.55608135,0.117883906,0.2559939,0.3480198,-0.020730782,0.18655448,0.017013943,0.17553182,0.49779776,0.32486048,0.86342835,0.63014805,0.9379888,0.4672062,0.6407995,0.3195309,0.38193238,0.35743487,0.04652755,-0.012311381,0.35891414,0.09514704,-0.0072261617,0.3970138,0.50667274,0.64537305,0.2660581,0.21527748,0.10933277,0.07745668,0.31844893,0.017829027,0.18331252,0.30145708,0.5826073,0.48912066,0.337992,-0.0076289214,0.58766013
TARGET-10-PANYGB,0.5374794,1.016997,0.34014675,0.28823963,0.3185471,0.5816871,0.41704458,0.5512206,0.07006763,0.16320787,-0.023256322,0.07431993,0.4406552,0.40728176,0.54766357,0.20965473,0.045638856,0.37439197,-0.046573382,0.22818926,-0.0032344467,0.44324362,0.20701616,0.10070433,0.48446006,0.44965845,-0.0075120553,0.035499677,0.32985532,0.18631671,0.720293,-0.03780558,0.027154846,0.540918,0.33854008,0.90420073,0.58575535,0.90910244,0.42930582,0.74134314,0.39059326,0.45833707,0.34739622,-0.0050096842,0.10537031,0.43668926,0.20837945,0.29983377,0.051241435,0.6476035,0.80028915,0.052352816,0.33022204,0.28176287,-0.016957203,0.113254026,-0.005987014,0.27361128,0.50030464,-0.010231285,0.5620056,0.3461277,0.42839402,0.33459237
TARGET-10-PANYZE,0.67928857,0.83285195,0.38551033,0.34805486,0.055110253,0.60003436,0.25606567,0.38762796,-0.0023043833,0.0007751323,-0.022262737,0.044107,0.42910957,0.44572937,0.23774801,0.29060727,0.15260297,0.12544368,0.050593752,0.36166582,0.28984523,0.40438974,0.029558334,0.20356524,0.71896243,0.33358186,-0.00374614,0.22099751,0.44339952,0.09607449,0.3731253,-0.01616127,-0.007042785,0.58326983,0.09829845,0.6221065,0.4037785,0.7638058,0.44852,0.5463817,0.29755074,0.27729478,0.16803204,0.07238148,-0.014007414,0.12147305,0.3517099,-0.0020808391,0.119439155,0.5883739,0.653818,0.19694215,0.12145209,0.2770819,0.17245613,0.07184329,-0.0038613775,0.057419956,0.43940696,0.066755414,0.86966056,0.35501862,0.2808693,0.34895873
TARGET-10-PAPAGK,0.49241015,0.59634405,0.28207207,0.2039698,-0.017340483,0.48503345,0.17871578,0.29522175,0.1613847,0.22117789,-0.0054416396,0.13368228,0.33899128,0.32750538,-0.010598526,0.12869425,0.17898619,0.19533554,-0.024195878,0.19166875,0.07634458,0.12644264,0.008822251,0.05470851,0.3297776,0.22514668,0.13400382,0.2813461,0.09622508,0.011154719,0.34663296,-0.0022748888,0.1610602,0.49157014,0.118927546,0.5522921,0.7429118,0.40394917,0.13912195,0.48591298,0.20693767,0.44625747,0.22512035,0.12539692,-0.009260989,0.33985472,0.063367285,-0.0072301957,0.11701684,0.24325332,0.4290217,0.27226883,0.12577529,-0.029868534,0.3565487,0.1615561,-0.003691269,0.073787056,0.1199336,0.083841704,0.38535458,0.40165058,0.076007605,0.2882421
