,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TARGET-10-PANSHK,1.3112288,0.6321402,0.47043642,0.2867435,0.37559026,1.3185066,0.50340843,0.23231173,0.07878059,-0.014463707,0.031369854,1.5738447,0.51252526,0.5048176,0.3320294,1.1901181,0.2610827,0.28509924,-0.01421491,0.36554372,-0.04697893,-0.017303085,0.66103876,0.29028273,0.07869136,-0.022219786,-0.005393143,0.4692071,0.07667403,0.46841824,0.08726126,-0.0049707056,0.3721878,-0.055252135,-0.09302785,-0.017716523,0.777986,-0.15121067,0.0011976026,-0.022754006,-0.011268749,-0.029423553,0.41945282,0.49377745,0.21916226,1.6856067,0.2565626,1.6003656,0.5964773,-0.0050925105,0.994667,0.16313685,0.4550269,0.22238739,2.3759155,1.8146017,-0.024176471,1.7571961,0.1453346,-0.0976557,-0.07676702,-0.030390618,0.5989905,-0.079204485
TARGET-10-PANTSM,1.5599416,0.7428036,0.38312116,0.3922671,0.4081328,1.449257,0.2754007,0.37556398,-0.027746934,-0.01756244,0.051344212,1.6535645,0.60044074,0.6265552,0.23801312,1.6581911,0.2765375,0.49987248,0.13198486,0.26833165,-0.08761902,-0.0021446196,0.8435589,0.57676864,0.019246487,-0.039078638,-0.013011612,0.6643446,0.07768497,0.36392078,0.11098157,-0.021424286,0.47946322,-0.0598541,-0.074817464,-0.0008860831,0.8828546,-0.16342466,-0.00025835112,-0.013816649,-0.009858535,-0.046791553,0.46508202,0.6609999,0.31352374,1.869299,0.20619778,1.6336932,0.6722355,0.018703245,1.3608944,0.26005328,0.5505502,-0.0027735208,2.7602472,2.3167808,0.0004937388,2.0503483,0.29016143,-0.11148148,-0.10743411,-0.047444813,0.5948179,-0.107386105
TARGET-10-PANUHA,0.9452003,0.53096384,0.40160295,0.3195074,0.22015853,1.0274491,0.29863364,0.14156295,-0.004962194,-0.01464544,0.113668576,1.1243035,0.3885509,0.38260597,0.12875581,0.9770717,0.25786224,0.22715083,-0.004167374,0.4046449,-0.058390297,-0.027210921,0.47228476,0.13240504,0.091732174,-0.023437122,-0.004874582,0.47092572,0.097678125,0.21145238,-0.009440678,-0.0036338635,0.3236009,-0.045964655,-0.064026944,-0.01438445,0.32302067,-0.10935914,0.011920232,0.045094922,0.045812413,-0.01744479,0.2680281,0.4839965,0.23587827,1.3255104,0.27533606,1.2136254,0.3983753,-0.002692412,0.77069026,0.16362977,0.37753457,0.18532373,1.7033737,1.501417,-0.004429111,1.2861129,0.0501054,-0.08284222,-0.059351154,-0.02160803,0.44645527,-0.05353805
TARGET-10-PANUSN,1.5101954,0.58059514,0.31080624,0.4105092,0.39376453,1.3416904,0.3418061,0.28894606,-0.011499705,-0.009069523,-0.0036854146,1.3792807,0.73870045,0.52342755,0.34149694,1.4438871,0.3407345,0.3937631,-0.014274028,0.3275383,-0.07566612,-0.013350864,0.56604135,0.74545026,0.16123559,-0.02305597,-0.02230115,0.61280525,0.05803833,0.24762529,0.052289013,-0.0098190075,0.5062051,-0.06406822,-0.09158906,0.012660812,0.960153,-0.15254782,0.13203768,-0.03090232,-0.011543453,-0.0337932,0.4697026,0.4421987,0.19296455,1.8667793,0.24945143,1.5299575,0.89399356,0.006846659,1.4516346,0.13025942,0.29379466,0.09223914,2.4945438,2.0041227,0.028392736,1.8449676,0.074746266,-0.087083034,-0.09993426,-0.06313057,0.37191704,-0.08998603
TARGET-10-PANWHJ,1.196833,0.60899645,0.11446957,0.085974135,0.7529915,1.5025958,0.24727264,0.092828065,-0.013073905,0.00030088658,0.14021583,1.4048613,0.38830742,0.3024639,0.20052773,1.5741119,0.1031547,0.28237772,0.31825945,0.303571,-0.043659683,-0.0118128015,0.5487813,0.8540338,0.06416194,-0.023347145,-0.027316784,0.5440915,0.34281167,0.70770085,-0.021173945,-0.036170896,0.48167422,-0.055285294,-0.08228143,-0.0030885853,0.6302728,-0.11946837,-0.002814417,-0.0054696756,-0.012985065,-0.031692874,0.2512817,0.8340899,0.3713544,1.6550074,0.018154807,1.4635706,0.49786222,-0.01624459,0.6839666,0.18915065,0.59636796,0.068176836,2.2534251,1.635458,0.10122427,1.5051152,-0.001504193,-0.06732385,-0.07170584,-0.041654117,0.2328926,-0.07135864
TARGET-10-PANWYH,1.7759552,0.7837765,0.5046702,0.37241971,0.39638096,1.5512927,0.27588117,0.3285562,-0.02170654,-0.0070750886,-0.014669715,1.8233134,0.78836614,0.6715348,0.3945838,1.7558041,0.3971066,0.513497,-0.018493226,0.20999126,-0.08224568,-0.018963046,0.8172977,0.9399548,0.16381356,-0.036394056,-0.02164206,0.6215208,0.14345811,0.20548299,0.18140782,-0.0074621276,0.5800218,-0.077253185,-0.117091775,0.04944596,1.337905,-0.17369454,0.06773546,-0.015015381,-0.017030094,-0.030393958,0.38402453,0.5147362,0.38842472,2.3079648,0.42854872,2.1468801,0.7016654,-0.010570484,1.5857611,0.50342643,0.5213852,0.15234494,3.1577663,2.402571,-0.0058562784,2.4722717,0.022955742,-0.1316716,-0.12735836,-0.07698889,0.7711349,-0.102916025
TARGET-10-PANXPE,0.7978314,0.35882384,0.17986065,0.017426243,0.5371297,1.2971017,0.10105949,0.04020313,-0.00082961604,-0.016365798,0.07664716,1.0421596,0.36460018,0.27102318,0.019975264,1.1565678,0.06010873,0.14924133,0.08073781,0.16165186,-0.044448867,-0.0026378362,0.35785997,0.40838024,-0.015219149,0.07366628,-0.028187249,0.24220185,0.21193989,0.6604318,-0.008135368,-0.013623806,0.28021315,-0.050765645,-0.064163655,0.056058537,0.56696093,-0.08022478,-0.005693728,-0.00456926,0.016599953,-0.041222226,0.11740046,0.4034198,0.33194917,1.0890963,-0.00088720286,1.0182906,0.19362201,0.053506017,0.44128266,0.052818425,0.24659327,-0.011040779,1.7285161,1.1166705,0.0902423,1.1352185,0.049098164,-0.040641442,-0.058368243,-0.041663673,0.23023137,-0.06481258
TARGET-10-PANYGB,1.3541474,0.66044647,0.3185437,0.023712168,0.10757996,1.6293708,0.28795028,0.28509486,-0.03001496,-0.058614384,0.018314827,1.6112798,0.8321816,0.83654326,0.26921508,1.4387834,0.30364513,0.40547353,-0.022742052,0.26291615,-0.06072094,-0.003799741,0.7895412,0.59072524,0.113539636,-0.044648997,-0.026957667,0.6634672,0.21284127,0.5322351,0.11707893,-0.025891233,0.72581613,-0.07621685,-0.08991746,0.19547266,0.7917442,-0.16899489,-0.007970824,-0.04454652,-0.01562858,-0.040446144,0.19931714,0.4641199,0.09967737,2.116659,0.28397256,1.6640614,0.78379107,0.014695391,1.0483218,0.07625576,0.6523274,0.26358166,2.5607173,2.0527313,-0.016701013,1.8862076,0.16529925,-0.0916478,-0.0929627,-0.0398197,0.5275874,-0.10206925
TARGET-10-PANYZE,1.460763,0.645386,0.29927766,0.28375646,0.32949468,1.3661512,0.388482,0.3715251,-0.016121842,-0.0058784215,-0.0058158813,1.506428,0.5287972,0.61848885,0.26424268,1.481633,0.19118306,0.45146224,0.0041387193,0.5579977,-0.067544706,-0.026160419,0.5725308,0.5918615,-0.0009515742,-0.03915535,-0.010397988,0.44943583,0.14571272,0.47709948,-0.0016826469,-0.0106482385,0.38870984,-0.08544797,-0.07276895,0.13411216,0.82431585,-0.1443246,0.07921465,-0.008569278,-0.022186333,-0.021502005,0.38252255,0.37731847,0.1870922,1.7439094,0.44335324,1.7849164,0.67681557,0.028715208,1.04691,0.21998137,0.38459674,0.059311606,2.4955668,1.9061211,-0.022183714,1.8815539,-0.010102086,-0.087214194,-0.10060904,-0.04449978,0.38990107,-0.08111575
TARGET-10-PAPAGK,1.1050338,0.5238415,0.24704406,0.2760842,0.36250034,1.0938003,0.19497943,0.18032545,-0.017717555,-0.007409656,0.034470215,1.3374184,0.4747551,0.38516802,0.10036652,1.0872666,0.23215148,0.4370338,0.015460104,0.225656,-0.05747817,0.019569965,0.42807442,0.35652807,0.04457345,-0.0354917,-0.011475291,0.38976207,0.13402252,0.46188155,0.035991143,-0.01943037,0.32181817,-0.038820036,-0.057116605,0.034877006,0.65564185,-0.11461768,-0.009627364,-0.021596171,0.083708115,-0.027899219,0.25678334,0.4853477,0.10227764,1.3458326,0.23222433,1.2682322,0.39270535,-0.0029510052,0.74319136,-0.0009274759,0.3006281,-0.00037928336,1.9787266,1.4782225,0.087434396,1.4760077,0.23162308,-0.057211466,-0.065517485,-0.030989608,0.32581684,-0.07100885
TARGET-10-PAPAIZ,1.0923425,0.50481284,0.00864318,0.102326974,0.7261502,1.3398728,0.15890035,0.22142175,-0.0019230269,0.0799064,0.049416054,1.3096524,0.29492578,0.13373835,0.21149707,1.277564,-0.013270812,0.49570504,0.11565191,0.033918917,-0.04144042,0.019620681,0.5534401,0.61745524,-0.008655845,0.09104001,-0.009336633,0.3437985,0.31794128,0.85907376,-0.010789099,-0.019753803,0.3103135,-0.04331382,-0.075088315,-0.0036668298,0.7682654,-0.10323925,-0.007149787,0.024174958,-0.012571678,-0.022823267,0.19703001,0.4873373,0.24552163,1.427086,0.019728392,1.299103,0.29165837,-0.002797377,0.61510795,0.23473953,0.2909089,-0.00095722044,1.911583,1.1532067,0.032502744,1.3856734,0.021759238,-0.05679393,-0.07761185,-0.03536646,0.036466632,-0.074152134
TARGET-10-PAPBSY,1.394798,0.63692355,0.32845125,0.12739687,0.39015704,1.1652405,0.3566308,0.23651743,-0.02578171,-0.04547665,-0.010610704,1.6941808,0.47457564,0.59180707,0.15210867,1.3668389,0.07228781,0.36142132,0.010392806,0.1276605,-0.062081214,-0.025067225,0.53657585,0.48080382,0.08732079,-0.04050305,-0.001951483,0.505591,0.12928715,0.61259466,0.122364774,-0.0048462762,0.486785,-0.056135423,-0.05991277,0.12723978,0.6742165,-0.12879662,0.021172103,-0.02228476,0.05798418,-0.03681134,0.25362056,0.6772101,0.17800744,1.576235,0.30257735,1.7023016,0.36690998,0.07251365,0.9035624,0.2478326,0.52375245,0.08333756,2.5898182,1.8360959,-0.018378863,1.8849657,0.2818943,-0.06751781,-0.08407879,-0.025894022,0.3795936,-0.07773187
